dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.002539,9.121318,0.000050,0.009969,0.996892,99.689152,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,-0.996892,-199.378304,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,99.689152,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.002539,9.121318,0.000050,0.000000,0.000000,0.000000,0.000000
0.010000,0.004143,9.121318,0.001654,0.160389,16.038914,1603.891403,0.000000
0.010000,0.006735,9.121318,0.004246,0.259192,9.880265,-615.864857,0.000000
0.010000,0.009526,9.121318,0.007037,0.279130,1.993783,-788.648242,0.000000
0.010000,0.012517,9.121318,0.010028,0.299067,1.993783,0.000000,0.000000
0.010000,0.015707,9.121318,0.013218,0.319005,1.993783,0.000000,0.000000
0.010000,0.019096,9.121318,0.016607,0.338943,1.993783,-0.000000,0.000000
0.010000,0.022685,9.121318,0.020196,0.358881,1.993783,-0.000000,0.000000
0.010000,0.026473,9.121318,0.023984,0.378819,1.993783,0.000000,0.000000
0.010000,0.030461,9.121318,0.027972,0.398757,1.993783,0.000000,0.000000
0.010000,0.034648,9.121318,0.032159,0.418694,1.993783,-0.000000,0.000000
0.010000,0.039034,9.121318,0.036545,0.438632,1.993783,0.000000,0.000000
0.010000,0.043620,9.121318,0.041131,0.458570,1.993783,-0.000000,0.000000
0.010000,0.048405,9.121318,0.045916,0.478508,1.993783,0.000000,0.000000
0.010000,0.053389,9.121318,0.050900,0.498446,1.993783,-0.000000,0.000000
0.010000,0.058573,9.121318,0.056084,0.518384,1.993783,0.000000,0.000000
0.010000,0.063957,9.121318,0.061467,0.538321,1.993783,-0.000000,0.000000
0.010000,0.069539,9.121318,0.067050,0.558259,1.993783,0.000000,0.000000
0.010000,0.075321,9.121318,0.072832,0.578197,1.993783,-0.000000,0.000000
0.010000,0.081302,9.121318,0.078813,0.598135,1.993783,0.000000,0.000000
0.010000,0.087483,9.121318,0.084994,0.618073,1.993783,-0.000000,0.000000
0.010000,0.093863,9.121318,0.091374,0.638011,1.993783,0.000000,0.000000
0.010000,0.100443,9.121318,0.097953,0.657948,1.993783,-0.000000,0.000000
0.010000,0.107222,9.121318,0.104732,0.677886,1.993783,0.000000,0.000000
0.010000,0.114200,9.121318,0.111711,0.697824,1.993783,-0.000000,0.000000
0.010000,0.121377,9.121318,0.118888,0.717762,1.993783,0.000000,0.000000
0.010000,0.128754,9.121318,0.126265,0.737700,1.993783,0.000000,0.000000
0.010000,0.136331,9.121318,0.133842,0.757638,1.993783,-0.000000,0.000000
0.010000,0.144107,9.121318,0.141617,0.777575,1.993783,0.000000,0.000000
0.010000,0.152082,9.121318,0.149592,0.797513,1.993783,0.000000,0.000000
0.010000,0.160256,9.121318,0.157767,0.817451,1.993783,-0.000000,0.000000
0.010000,0.168630,9.121318,0.166141,0.837389,1.993783,0.000000,0.000000
0.010000,0.177203,9.121318,0.174714,0.857327,1.993783,-0.000000,0.000000
0.010000,0.185976,9.121318,0.183487,0.877265,1.993783,-0.000000,0.000000
0.010000,0.194948,9.121318,0.192459,0.897202,1.993783,0.000000,0.000000
0.010000,0.204119,9.121318,0.201630,0.917140,1.993783,-0.000000,0.000000
0.010000,0.213490,9.121318,0.211001,0.937078,1.993783,0.000000,0.000000
0.010000,0.223060,9.121318,0.220571,0.957016,1.993783,0.000000,0.000000
0.010000,0.232830,9.121318,0.230341,0.976954,1.993783,0.000000,0.000000
0.010000,0.242799,9.121318,0.240310,0.996892,1.993783,-0.000000,0.000000
0.010000,0.252967,9.121318,0.250478,1.016829,1.993783,0.000000,0.000000
0.010000,0.263335,9.121318,0.260846,1.036767,1.993783,0.000000,0.000000
0.010000,0.273902,9.121318,0.271413,1.056705,1.993783,-0.000000,0.000000
