dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303248,10.485328,0.000400,0.040000,2.000000,100.000000,0.000314
0.020000,0.303278,10.485328,0.000430,0.001493,-1.925369,-196.268469,0.000281
0.020000,0.303328,10.485328,0.000480,0.002486,0.049657,98.751332,0.000227
0.020000,0.303397,10.485328,0.000549,0.003476,0.049513,-0.007236,0.000151
0.020000,0.303486,10.485328,0.000638,0.004462,0.049310,-0.010129,0.000054
0.020000,0.306017,10.485328,0.003169,0.126522,6.102968,302.682925,6.283120
0.020000,0.311345,10.485327,0.008497,0.266417,6.994753,44.589245,6.282980
0.020000,0.317493,10.485325,0.014645,0.307386,2.048483,-247.313494,6.282818
0.020000,0.324460,10.485322,0.021612,0.348341,2.047756,-0.036355,6.282636
0.020000,0.332246,10.485317,0.029397,0.389291,2.047469,-0.014391,6.282433
0.020000,0.340850,10.485310,0.038002,0.430231,2.047009,-0.022968,6.282209
0.020000,0.350273,10.485299,0.047425,0.471151,2.046024,-0.049272,6.281965
0.020000,0.360514,10.485285,0.057666,0.512064,2.045610,-0.020680,6.281702
0.020000,0.371574,10.485267,0.068726,0.552962,2.044893,-0.035841,6.281418
0.020000,0.383451,10.485245,0.080602,0.593843,2.044079,-0.040712,6.281116
0.020000,0.396145,10.485216,0.093297,0.634708,2.043227,-0.042593,6.280794
0.020000,0.409656,10.485182,0.106808,0.675554,2.042337,-0.044488,6.280454
0.020000,0.423983,10.485140,0.121135,0.716383,2.041410,-0.046399,6.280096
0.020000,0.439127,10.485090,0.136279,0.757190,2.040368,-0.052073,6.279721
0.020000,0.455086,10.485032,0.152239,0.797972,2.039081,-0.064361,6.279328
0.020000,0.471861,10.484964,0.169013,0.838738,2.038302,-0.038964,6.278918
0.020000,0.489450,10.484885,0.186603,0.879478,2.036997,-0.065249,6.278492
0.020000,0.507854,10.484794,0.205007,0.920190,2.035612,-0.069224,6.278051
0.020000,0.527071,10.484691,0.224224,0.960880,2.034528,-0.054205,6.277595
0.020000,0.547102,10.484575,0.244255,1.001542,2.033077,-0.072565,6.277124
0.020000,0.567945,10.484443,0.265099,1.042173,2.031537,-0.076991,6.276639
0.020000,0.589600,10.484296,0.286754,1.082779,2.030300,-0.061836,6.276141
0.020000,0.612066,10.484132,0.309221,1.123353,2.028712,-0.079384,6.275631
0.020000,0.635343,10.483950,0.332499,1.163895,2.027089,-0.081160,6.275109
0.020000,0.659431,10.483749,0.356587,1.204403,2.025430,-0.082966,6.274575
0.020000,0.684327,10.483528,0.381485,1.244878,2.023734,-0.084805,6.274031
0.020000,0.710032,10.483286,0.407191,1.285318,2.022000,-0.086681,6.273478
0.020000,0.736546,10.483021,0.433706,1.325723,2.020228,-0.088597,6.272916
0.020000,0.763866,10.482732,0.461027,1.366091,2.018417,-0.090556,6.272345
0.020000,0.791993,10.482419,0.489156,1.406422,2.016566,-0.092562,6.271768
0.020000,0.820925,10.482081,0.518090,1.446710,2.014384,-0.109104,6.271184
0.020000,0.850662,10.481715,0.547829,1.486960,2.012509,-0.093746,6.270595
0.020000,0.881203,10.481321,0.578373,1.527170,2.010495,-0.100714,6.270001
0.020000,0.912546,10.480899,0.609719,1.567334,2.008217,-0.113875,6.269403
0.020000,0.944692,10.480446,0.641868,1.607457,2.006131,-0.104291,6.268803
0.020000,0.977640,10.479962,0.674819,1.647537,2.004007,-0.106231,6.268201
0.020000,1.011387,10.479446,0.708571,1.687566,2.001463,-0.127168,6.267599
0.020000,1.045934,10.478897,0.743122,1.727552,1.999267,-0.109805,6.266997
0.020000,1.081279,10.478314,0.778471,1.767490,1.996911,-0.117839,6.266396
0.020000,1.117421,10.477696,0.814619,1.807379,1.994444,-0.123337,6.265797
0.020000,1.154360,10.477043,0.851563,1.847218,1.991939,-0.125220,6.265202
0.020000,1.192093,10.476353,0.889303,1.887005,1.989396,-0.127180,6.264612
0.020000,1.230621,10.475626,0.927838,1.926742,1.986811,-0.129224,6.264028
0.020000,1.269942,10.474861,0.967167,1.966425,1.984146,-0.133281,6.263450
0.020000,1.310055,10.474058,1.007288,2.006050,1.981289,-0.142848,6.262881
0.020000,1.350959,10.473216,1.048200,2.045625,1.978753,-0.126792,6.262320
0.020000,1.392653,10.472334,1.089903,2.085143,1.975887,-0.143303,6.261771
0.020000,1.435135,10.471413,1.132395,2.124601,1.972892,-0.149740,6.261233
0.020000,1.478404,10.470452,1.175675,2.164004,1.970153,-0.136974,6.260709
0.020000,1.522460,10.469450,1.219742,2.203345,1.967058,-0.154747,6.260198
0.020000,1.567300,10.468408,1.264595,2.242626,1.964042,-0.150778,6.259704
0.020000,1.612924,10.467325,1.310232,2.281847,1.961048,-0.149723,6.259226
0.020000,1.659331,10.466202,1.356652,2.321005,1.957878,-0.158460,6.258767
0.020000,1.706518,10.465039,1.403854,2.360098,1.954656,-0.161141,6.258328
0.020000,1.754486,10.463837,1.451836,2.399126,1.951413,-0.162136,6.257910
0.020000,1.803232,10.462595,1.500598,2.438089,1.948163,-0.162471,6.257514
0.020000,1.852755,10.461314,1.550138,2.476985,1.944793,-0.168527,6.257143
0.020000,1.903054,10.459995,1.600454,2.515812,1.941372,-0.171054,6.256797
0.020000,1.954127,10.458638,1.651545,2.554571,1.937950,-0.171112,6.256479
0.020000,2.005974,10.457246,1.703410,2.593260,1.934449,-0.175047,6.256189
0.020000,2.058592,10.455818,1.756048,2.631878,1.930867,-0.179072,6.255929
0.020000,2.111980,10.454356,1.809456,2.670421,1.927177,-0.184515,6.255702
0.020000,2.166138,10.452862,1.863634,2.708893,1.923592,-0.179251,6.255507
0.020000,2.221062,10.451337,1.918580,2.747288,1.919747,-0.192240,6.255348
0.020000,2.276753,10.449782,1.974292,2.785609,1.916023,-0.186188,6.255225
0.020000,2.333208,10.448201,2.030769,2.823851,1.912117,-0.195301,6.255141
0.020000,2.390425,10.446594,2.088010,2.862015,1.908203,-0.195722,6.255097
0.020000,2.448404,10.444965,2.146012,2.900099,1.904221,-0.199093,6.255095
0.020000,2.507143,10.443316,2.204774,2.938103,1.900166,-0.202730,6.255137
0.020000,2.566640,10.441649,2.264294,2.976024,1.896053,-0.205651,6.255223
0.020000,2.626495,10.439979,2.324172,2.993909,0.894258,-50.089763,6.255357
0.020000,2.686309,10.438319,2.384009,2.991813,-0.104782,-49.952024,6.255536
0.020000,2.746080,10.436672,2.443803,2.989717,-0.104816,-0.001686,6.255760
