dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.303831,8.655328,0.000050,0.009976,0.997601,99.760121,0.000324
0.010000,0.303826,8.655328,0.000055,0.000497,-0.947946,-194.554756,0.000318
0.010000,0.303817,8.655328,0.000065,0.000993,0.049640,99.758681,0.000307
0.010000,0.303802,8.655328,0.000080,0.001489,0.049612,-0.002881,0.000291
0.010000,0.303782,8.655328,0.000100,0.001985,0.049568,-0.004321,0.000269
0.010000,0.303757,8.655328,0.000124,0.002480,0.049511,-0.005761,0.000242
0.010000,0.303727,8.655328,0.000154,0.002974,0.049439,-0.007201,0.000210
0.010000,0.303693,8.655328,0.000189,0.003468,0.049352,-0.008641,0.000172
0.010000,0.303653,8.655328,0.000228,0.003960,0.049252,-0.010081,0.000128
0.010000,0.303608,8.655328,0.000273,0.004452,0.049136,-0.011520,0.000080
0.010000,0.303559,8.655328,0.000322,0.004942,0.049007,-0.012960,0.000026
0.010000,0.304745,8.655328,0.001508,0.118550,11.360852,1131.184507,6.283152
0.010000,0.307080,8.655328,0.003843,0.233504,11.495333,13.448111,6.283087
0.010000,0.309609,8.655327,0.006373,0.252973,1.946907,-954.842567,6.283017
0.010000,0.312334,8.655327,0.009097,0.272444,1.947158,0.025032,6.282942
0.010000,0.315253,8.655326,0.012016,0.291918,1.947410,0.025268,6.282861
0.010000,0.318367,8.655325,0.015130,0.311380,1.946212,-0.119804,6.282776
0.010000,0.321675,8.655323,0.018439,0.330860,1.947928,0.171589,6.282685
0.010000,0.325179,8.655321,0.021942,0.350342,1.948255,0.032670,6.282589
0.010000,0.328877,8.655319,0.025640,0.369819,1.947641,-0.061389,6.282487
0.010000,0.332770,8.655316,0.029533,0.389299,1.948031,0.039035,6.282381
0.010000,0.336858,8.655312,0.033621,0.408792,1.949254,0.122272,6.282269
0.010000,0.341141,8.655308,0.037904,0.428276,1.948422,-0.083250,6.282153
0.010000,0.345618,8.655303,0.042382,0.447767,1.949143,0.072174,6.282031
0.010000,0.350291,8.655298,0.047054,0.467271,1.950419,0.127596,6.281904
0.010000,0.355159,8.655291,0.051922,0.486757,1.948537,-0.188183,6.281773
0.010000,0.360221,8.655284,0.056984,0.506269,1.951266,0.272866,6.281636
0.010000,0.365479,8.655275,0.062242,0.525770,1.950077,-0.118881,6.281495
0.010000,0.370932,8.655266,0.067695,0.545284,1.951341,0.126337,6.281349
0.010000,0.376580,8.655255,0.073343,0.564797,1.951323,-0.001771,6.281198
0.010000,0.382423,8.655243,0.079186,0.584315,1.951865,0.054166,6.281042
0.010000,0.388461,8.655229,0.085225,0.603838,1.952269,0.040477,6.280882
0.010000,0.394695,8.655214,0.091458,0.623367,1.952838,0.056830,6.280717
0.010000,0.401124,8.655198,0.097887,0.642896,1.952920,0.008268,6.280547
0.010000,0.407748,8.655180,0.104512,0.662438,1.954255,0.133473,6.280373
0.010000,0.414568,8.655160,0.111331,0.681971,1.953280,-0.097539,6.280195
0.010000,0.421583,8.655138,0.118347,0.701527,1.955588,0.230795,6.280011
0.010000,0.428794,8.655115,0.125557,0.721071,1.954400,-0.118780,6.279824
0.010000,0.436200,8.655089,0.132964,0.740631,1.955991,0.159101,6.279632
