dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.009171,3.203198,0.000400,0.040000,2.000000,100.000000,6.282248
0.020000,0.009077,3.203198,0.000494,0.004711,-1.764466,-188.223308,6.282351
0.020000,0.008920,3.203198,0.000651,0.007852,0.157047,96.075668,6.282523
0.020000,0.008700,3.203198,0.000871,0.010993,0.157084,0.001846,6.282763
0.020000,0.008417,3.203198,0.001154,0.014136,0.157136,0.002580,6.283072
0.020000,0.011155,3.203199,0.003892,0.136903,6.138352,299.060814,0.000265
0.020000,0.015947,3.203201,0.008683,0.239569,5.133298,-50.252719,0.000711
0.020000,0.021475,3.203206,0.014212,0.276415,1.842296,-164.550076,0.001227
0.020000,0.027740,3.203216,0.020477,0.313247,1.841608,-0.034385,0.001811
0.020000,0.034742,3.203231,0.027479,0.350109,1.843112,0.075172,0.002465
0.020000,0.042481,3.203253,0.035217,0.386917,1.840394,-0.135877,0.003188
0.020000,0.050955,3.203283,0.043692,0.423733,1.840766,0.018602,0.003980
0.020000,0.060166,3.203324,0.052903,0.460556,1.841172,0.020269,0.004842
0.020000,0.070114,3.203376,0.062850,0.497378,1.841119,-0.002623,0.005774
0.020000,0.080797,3.203443,0.073534,0.534171,1.839653,-0.073326,0.006776
0.020000,0.092216,3.203527,0.084953,0.570970,1.839939,0.014296,0.007848
0.020000,0.104371,3.203629,0.097109,0.607765,1.839736,-0.010124,0.008990
0.020000,0.117261,3.203753,0.109999,0.644532,1.838346,-0.069512,0.010202
0.020000,0.130885,3.203901,0.123625,0.681276,1.837185,-0.058058,0.011486
0.020000,0.145245,3.204075,0.137985,0.718036,1.838017,0.041597,0.012840
0.020000,0.160340,3.204280,0.153081,0.754788,1.837626,-0.019539,0.014266
0.020000,0.176168,3.204518,0.168911,0.791496,1.835362,-0.113212,0.015763
0.020000,0.192730,3.204792,0.185476,0.828227,1.836545,0.059148,0.017332
0.020000,0.210026,3.205106,0.202774,0.864934,1.835365,-0.058983,0.018973
0.020000,0.228054,3.205463,0.220806,0.901604,1.833498,-0.093365,0.020686
0.020000,0.246815,3.205868,0.239572,0.938273,1.833468,-0.001484,0.022472
0.020000,0.266309,3.206324,0.259071,0.974958,1.834228,0.038012,0.024331
0.020000,0.286535,3.206836,0.279303,1.011600,1.832104,-0.106235,0.026263
0.020000,0.307491,3.207408,0.300267,1.048224,1.831192,-0.045600,0.028269
0.020000,0.329179,3.208044,0.321964,1.084839,1.830762,-0.021500,0.030349
0.020000,0.351597,3.208748,0.344393,1.121458,1.830948,0.009326,0.032503
0.020000,0.374744,3.209527,0.367554,1.158033,1.828752,-0.109815,0.034732
0.020000,0.398621,3.210384,0.391446,1.194578,1.827251,-0.075021,0.037036
0.020000,0.423226,3.211325,0.416068,1.231144,1.828288,0.051853,0.039416
0.020000,0.448558,3.212355,0.441422,1.267672,1.826443,-0.092272,0.041871
0.020000,0.474618,3.213480,0.467506,1.304185,1.825634,-0.040466,0.044403
0.020000,0.501403,3.214705,0.494319,1.340666,1.824024,-0.080484,0.047011
0.020000,0.528914,3.216036,0.521862,1.377177,1.825547,0.076163,0.049696
0.020000,0.557150,3.217480,0.550135,1.413620,1.822164,-0.169140,0.052458
0.020000,0.586109,3.219041,0.579136,1.450056,1.821792,-0.018603,0.055298
0.020000,0.615790,3.220728,0.608866,1.486480,1.821214,-0.028942,0.058217
0.020000,0.646194,3.222546,0.639323,1.522889,1.820435,-0.038911,0.061214
0.020000,0.677318,3.224501,0.670509,1.559278,1.819466,-0.048487,0.064290
0.020000,0.709162,3.226602,0.702422,1.595644,1.818313,-0.057648,0.067445
0.020000,0.741724,3.228854,0.735061,1.631984,1.816985,-0.066372,0.070680
0.020000,0.775003,3.231266,0.768428,1.668309,1.816270,-0.035757,0.073995
0.020000,0.808998,3.233844,0.802521,1.704652,1.817151,0.044050,0.077391
0.020000,0.843707,3.236596,0.837339,1.740908,1.812759,-0.219620,0.080868
0.020000,0.879130,3.239530,0.872883,1.777227,1.815949,0.159540,0.084427
0.020000,0.915265,3.242654,0.909152,1.813453,1.811332,-0.230872,0.088067
0.020000,0.952109,3.245977,0.946147,1.849706,1.812647,0.065739,0.091789
0.020000,0.989663,3.249505,0.983865,1.885944,1.811893,-0.037692,0.095594
0.020000,1.027923,3.253249,1.022308,1.922145,1.810076,-0.090856,0.099481
0.020000,1.066888,3.257216,1.061475,1.958337,1.809593,-0.024152,0.103452
0.020000,1.106557,3.261416,1.101365,1.994516,1.808951,-0.032088,0.107506
0.020000,1.146927,3.265857,1.141979,2.030680,1.808163,-0.039378,0.111644
0.020000,1.187996,3.270549,1.183315,2.066824,1.807244,-0.045996,0.115866
0.020000,1.229763,3.275502,1.225375,2.102968,1.807190,-0.002671,0.120173
0.020000,1.272225,3.280724,1.268157,2.139112,1.807181,-0.000444,0.124564
0.020000,1.315380,3.286225,1.311661,2.175201,1.804445,-0.136829,0.129040
0.020000,1.359226,3.292017,1.355888,2.211335,1.806720,0.113792,0.133602
0.020000,1.403759,3.298107,1.400836,2.247402,1.803317,-0.170189,0.138248
0.020000,1.448979,3.304508,1.446506,2.283525,1.806183,0.143289,0.142980
0.020000,1.494882,3.311229,1.492898,2.319599,1.803686,-0.124826,0.147798
0.020000,1.541464,3.318281,1.540012,2.355673,1.803722,0.001777,0.152701
0.020000,1.588725,3.325675,1.587847,2.391751,1.803878,0.007817,0.157690
0.020000,1.636659,3.333422,1.636403,2.427830,1.803937,0.002949,0.162764
0.020000,1.685265,3.341533,1.685682,2.463908,1.803917,-0.001004,0.167925
0.020000,1.734540,3.350019,1.735681,2.499985,1.803836,-0.004019,0.173171
0.020000,1.784479,3.358892,1.786402,2.536059,1.803715,-0.006076,0.178503
0.020000,1.835079,3.368163,1.837846,2.572155,1.804812,0.054838,0.183920
0.020000,1.886338,3.377844,1.890011,2.608258,1.805142,0.016513,0.189423
0.020000,1.938251,3.387947,1.942898,2.644351,1.804631,-0.025566,0.195010
0.020000,1.990815,3.398485,1.996507,2.680484,1.806660,0.101453,0.200683
0.020000,2.044026,3.409468,2.050840,2.716617,1.806649,-0.000522,0.206440
0.020000,2.097522,3.420834,2.105530,2.734530,0.895666,-45.549155,0.212242
0.020000,2.150947,3.432509,2.160215,2.734255,-0.013764,-45.471505,0.218051
0.020000,2.204298,3.444493,2.214896,2.734020,-0.011757,0.100348,0.223865
0.020000,2.257574,3.456786,2.269572,2.733797,-0.011118,0.031976,0.229683
0.020000,2.310774,3.469388,2.324244,2.733608,-0.009450,0.083373,0.235506
0.020000,2.363896,3.482299,2.378913,2.733456,-0.007645,0.090248,0.241332
0.020000,2.416941,3.495519,2.433580,2.733353,-0.005125,0.126020,0.247160
0.020000,2.469906,3.509047,2.488245,2.733262,-0.004538,0.029314,0.252990
0.020000,2.522790,3.522884,2.542909,2.733205,-0.002857,0.084049,0.258822
0.020000,2.575592,3.537028,2.597573,2.733182,-0.001177,0.084046,0.264654
0.020000,2.628310,3.551481,2.652237,2.733194,0.000619,0.089761,0.270485
0.020000,2.680945,3.566241,2.706902,2.733251,0.002860,0.112071,0.276316
0.020000,2.733494,3.581308,2.761569,2.733327,0.003774,0.045672,0.282145
0.020000,2.785957,3.596681,2.816237,2.733436,0.005450,0.083823,0.287971
0.020000,2.838332,3.612361,2.870909,2.733578,0.007122,0.083591,0.293795
0.020000,2.890618,3.628346,2.925584,2.733754,0.008788,0.083313,0.299614
0.020000,2.942814,3.644637,2.980263,2.733963,0.010479,0.084542,0.305429
0.020000,2.994919,3.661232,3.034947,2.734215,0.012578,0.104939,0.311238
0.020000,3.046933,3.678131,3.089637,2.734489,0.013683,0.055268,0.317042
0.020000,3.098853,3.695334,3.144333,2.734795,0.015321,0.081898,0.322839
0.020000,3.150679,3.712839,3.199036,2.735134,0.016948,0.081373,0.328628
0.020000,3.202410,3.730646,3.253746,2.735505,0.018565,0.080801,0.334409
0.020000,3.254045,3.748754,3.308464,2.735909,0.020168,0.080181,0.340182
0.020000,3.305583,3.767163,3.363191,2.736344,0.021758,0.079514,0.345944
0.020000,3.357023,3.785871,3.417927,2.736812,0.023394,0.081759,0.351697
0.020000,3.408364,3.804878,3.472673,2.737314,0.025092,0.084905,0.357439
0.020000,3.459605,3.824183,3.527430,2.737842,0.026402,0.065498,0.363169
0.020000,3.510745,3.843785,3.582198,2.738400,0.027932,0.076504,0.368887
0.020000,3.561783,3.863683,3.636978,2.738989,0.029444,0.075605,0.374592
0.020000,3.612718,3.883877,3.691770,2.739608,0.030937,0.074663,0.380283
0.020000,3.663550,3.904364,3.746575,2.740256,0.032411,0.073680,0.385961
0.020000,3.714277,3.925144,3.801394,2.740933,0.033864,0.072657,0.391623
0.020000,3.764899,3.946216,3.856227,2.741639,0.035296,0.071595,0.397271
0.020000,3.815415,3.967579,3.911074,2.742373,0.036706,0.070497,0.402902
0.020000,3.865824,3.989232,3.965937,2.743135,0.038093,0.069362,0.408516
0.020000,3.916126,4.011173,4.020815,2.743925,0.039502,0.070437,0.414113
0.020000,3.966319,4.033402,4.075710,2.744742,0.040822,0.066009,0.419693
0.020000,4.016402,4.055917,4.130622,2.745583,0.042091,0.063446,0.425254
0.020000,4.066376,4.078716,4.185551,2.746451,0.043382,0.064547,0.430795
0.020000,4.116239,4.101800,4.240498,2.747344,0.044647,0.063252,0.436318
0.020000,4.165991,4.125165,4.295463,2.748262,0.045885,0.061932,0.441820
0.020000,4.215630,4.148812,4.350447,2.749204,0.047097,0.060588,0.447302
0.020000,4.265157,4.172738,4.405451,2.750169,0.048282,0.059221,0.452763
0.020000,4.314571,4.196943,4.460474,2.751158,0.049438,0.057835,0.458202
0.020000,4.363870,4.221424,4.515517,2.752169,0.050567,0.056431,0.463619
0.020000,4.413055,4.246181,4.570581,2.753203,0.051667,0.055010,0.469013
0.020000,4.462125,4.271212,4.625666,2.754258,0.052739,0.053575,0.474385
0.020000,4.511078,4.296515,4.680773,2.755333,0.053781,0.052127,0.479732
0.020000,4.559916,4.322090,4.735902,2.756429,0.054792,0.050543,0.485056
0.020000,4.608637,4.347934,4.791052,2.757544,0.055739,0.047359,0.490356
0.020000,4.657240,4.374045,4.846226,2.758678,0.056716,0.048862,0.495631
0.020000,4.705726,4.400424,4.901423,2.759831,0.057641,0.046241,0.500880
0.020000,4.754093,4.427067,4.956643,2.761002,0.058536,0.044755,0.506104
0.020000,4.802342,4.453973,5.011886,2.762190,0.059402,0.043267,0.511302
0.020000,4.850471,4.481141,5.067154,2.763394,0.060237,0.041779,0.516474
0.020000,4.898481,4.508569,5.122447,2.764615,0.061043,0.040293,0.521619
0.020000,4.946371,4.536255,5.177764,2.765852,0.061819,0.038810,0.526736
0.020000,4.994141,4.564198,5.233106,2.767103,0.062566,0.037333,0.531827
0.020000,5.041789,4.592396,5.288473,2.768369,0.063283,0.035861,0.536890
0.020000,5.089317,4.620848,5.343866,2.769648,0.063971,0.034398,0.541925
0.020000,5.136724,4.649551,5.399285,2.770941,0.064630,0.032944,0.546932
0.020000,5.184008,4.678504,5.454730,2.772243,0.065124,0.024680,0.551910
0.020000,5.231171,4.707705,5.510201,2.773559,0.065813,0.034455,0.556859
0.020000,5.278212,4.737153,5.565699,2.774888,0.066412,0.029958,0.561780
0.020000,5.325130,4.766846,5.621223,2.776227,0.066956,0.027221,0.566671
0.020000,5.371926,4.796781,5.676775,2.777576,0.067473,0.025832,0.571532
0.020000,5.418599,4.826958,5.732353,2.778936,0.067962,0.024461,0.576364
0.020000,5.465149,4.857374,5.787960,2.780304,0.068424,0.023107,0.581166
0.020000,5.511576,4.888028,5.843593,2.781681,0.068860,0.021772,0.585938
0.020000,5.557879,4.918917,5.899255,2.783067,0.069269,0.020457,0.590680
0.020000,5.604059,4.950041,5.954944,2.784457,0.069509,0.011995,0.595391
0.020000,5.650116,4.981397,6.010661,2.785853,0.069824,0.015738,0.600072
0.020000,5.696048,5.012984,6.066406,2.787259,0.070313,0.024479,0.604722
0.020000,5.741858,5.044799,6.122179,2.788672,0.070621,0.015378,0.609341
0.020000,5.787543,5.076841,6.177981,2.790090,0.070904,0.014172,0.613929
0.020000,5.833105,5.109107,6.233811,2.791513,0.071164,0.012990,0.618486
0.020000,5.878543,5.141598,6.289670,2.792941,0.071401,0.011833,0.623012
0.020000,5.923857,5.174309,6.345558,2.794372,0.071558,0.007890,0.627507
