dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008314,2.288198,0.000400,0.040000,2.000000,100.000000,6.282248
0.020000,0.008314,2.288198,0.001600,0.080000,2.000000,0.000000,6.282351
0.020000,0.008314,2.288198,0.003600,0.120000,2.000000,-0.000000,6.282523
0.020000,0.008314,2.288198,0.006400,0.160000,2.000000,0.000000,6.282763
0.020000,0.008314,2.288198,0.010000,0.200000,2.000000,0.000000,6.283072
0.020000,0.011398,2.288199,0.014400,0.240000,2.000000,-0.000000,0.000265
0.020000,0.016598,2.288201,0.019600,0.280000,2.000000,0.000000,0.000711
0.020000,0.022598,2.288207,0.025600,0.320000,2.000000,-0.000000,0.001227
0.020000,0.029397,2.288217,0.032400,0.360000,2.000000,0.000000,0.001811
0.020000,0.036998,2.288234,0.040000,0.400000,2.000000,0.000000,0.002465
0.020000,0.045398,2.288257,0.048400,0.440000,2.000000,-0.000000,0.003188
0.020000,0.054597,2.288290,0.057600,0.480000,2.000000,0.000000,0.003980
0.020000,0.064597,2.288334,0.067600,0.520000,2.000000,0.000000,0.004842
0.020000,0.075397,2.288392,0.078400,0.560000,2.000000,0.000000,0.005774
0.020000,0.086997,2.288464,0.090000,0.600000,2.000000,0.000000,0.006776
0.020000,0.099396,2.288555,0.102400,0.640000,2.000000,-0.000000,0.007848
0.020000,0.112596,2.288666,0.115600,0.680000,2.000000,0.000000,0.008990
0.020000,0.126596,2.288801,0.129600,0.720000,2.000000,0.000000,0.010202
0.020000,0.141395,2.288961,0.144400,0.760000,2.000000,0.000000,0.011486
0.020000,0.156993,2.289151,0.160000,0.800000,2.000000,0.000000,0.012840
0.020000,0.173392,2.289373,0.176400,0.840000,2.000000,0.000000,0.014266
0.020000,0.190590,2.289631,0.193600,0.880000,2.000000,-0.000000,0.015763
0.020000,0.208588,2.289929,0.211600,0.920000,2.000000,0.000000,0.017332
0.020000,0.227385,2.290270,0.230400,0.960000,2.000000,0.000000,0.018973
0.020000,0.246981,2.290659,0.250000,1.000000,2.000000,0.000000,0.020686
0.020000,0.267375,2.291099,0.270400,1.040000,2.000000,0.000000,0.022472
0.020000,0.288570,2.291595,0.291600,1.080000,2.000000,0.000000,0.024331
0.020000,0.310563,2.292152,0.313600,1.120000,2.000000,0.000000,0.026263
0.020000,0.333354,2.292773,0.336400,1.160000,2.000000,-0.000000,0.028269
0.020000,0.356944,2.293465,0.360000,1.200000,2.000000,0.000000,0.030349
0.020000,0.381332,2.294232,0.384400,1.240000,2.000000,-0.000000,0.032503
0.020000,0.406518,2.295079,0.409600,1.280000,2.000000,0.000000,0.034732
0.020000,0.432501,2.296011,0.435600,1.320000,2.000000,0.000000,0.037036
0.020000,0.459282,2.297036,0.462400,1.360000,2.000000,-0.000000,0.039416
0.020000,0.486859,2.298157,0.490000,1.400000,2.000000,0.000000,0.041871
0.020000,0.515233,2.299382,0.518400,1.440000,2.000000,0.000000,0.044403
0.020000,0.544402,2.300716,0.547600,1.480000,2.000000,0.000000,0.047011
0.020000,0.574367,2.302166,0.577600,1.520000,2.000000,0.000000,0.049696
0.020000,0.605127,2.303738,0.608400,1.560000,2.000000,0.000000,0.052458
0.020000,0.636681,2.305440,0.640000,1.600000,2.000000,0.000000,0.055298
0.020000,0.669029,2.307278,0.672400,1.640000,2.000000,-0.000000,0.058217
0.020000,0.702169,2.309259,0.705600,1.680000,2.000000,0.000000,0.061214
0.020000,0.736103,2.311391,0.739600,1.720000,2.000000,-0.000000,0.064290
0.020000,0.770827,2.313682,0.774400,1.760000,2.000000,-0.000000,0.067445
0.020000,0.806342,2.316139,0.810000,1.800000,2.000000,0.000000,0.070680
0.020000,0.842647,2.318769,0.846400,1.840000,2.000000,0.000000,0.073995
0.020000,0.879741,2.321582,0.883600,1.880000,2.000000,0.000000,0.077391
0.020000,0.917621,2.324586,0.921600,1.920000,2.000000,-0.000000,0.080868
0.020000,0.956289,2.327789,0.960400,1.960000,2.000000,0.000000,0.084427
0.020000,0.995742,2.331200,1.000000,2.000000,2.000000,0.000000,0.088067
0.020000,1.035978,2.334829,1.040400,2.040000,2.000000,0.000000,0.091789
0.020000,1.076998,2.338683,1.081600,2.080000,2.000000,0.000000,0.095594
0.020000,1.118798,2.342773,1.123600,2.120000,2.000000,0.000000,0.099481
0.020000,1.161378,2.347108,1.166400,2.160000,2.000000,0.000000,0.103452
0.020000,1.204736,2.351699,1.210000,2.200000,2.000000,-0.000000,0.107506
0.020000,1.248869,2.356554,1.254400,2.240000,2.000000,0.000000,0.111644
0.020000,1.293777,2.361685,1.299600,2.280000,2.000000,-0.000000,0.115866
0.020000,1.339457,2.367101,1.345600,2.320000,2.000000,-0.000000,0.120173
0.020000,1.385907,2.372813,1.392400,2.360000,2.000000,0.000000,0.124564
0.020000,1.433125,2.378833,1.440000,2.400000,2.000000,0.000000,0.129040
0.020000,1.481108,2.385171,1.488400,2.440000,2.000000,-0.000000,0.133602
0.020000,1.529854,2.391837,1.537600,2.480000,2.000000,0.000000,0.138248
0.020000,1.579361,2.398845,1.587600,2.520000,2.000000,0.000000,0.142980
0.020000,1.629625,2.406205,1.638400,2.560000,2.000000,0.000000,0.147798
0.020000,1.680643,2.413928,1.690000,2.600000,2.000000,0.000000,0.152701
0.020000,1.732413,2.422028,1.742400,2.640000,2.000000,0.000000,0.157690
0.020000,1.784932,2.430516,1.795600,2.680000,2.000000,-0.000000,0.162764
0.020000,1.838196,2.439404,1.849600,2.720000,2.000000,0.000000,0.167925
0.020000,1.892200,2.448704,1.904400,2.760000,2.000000,0.000000,0.173171
0.020000,1.946943,2.458430,1.960000,2.800000,2.000000,-0.000000,0.178503
0.020000,2.002419,2.468595,2.016400,2.840000,2.000000,0.000000,0.183920
0.020000,2.058626,2.479211,2.073600,2.880000,2.000000,0.000000,0.189423
0.020000,2.115557,2.490290,2.131600,2.920000,2.000000,0.000000,0.195010
0.020000,2.173210,2.501848,2.190400,2.960000,2.000000,0.000000,0.200683
0.020000,2.231580,2.513897,2.250000,3.000000,2.000000,0.000000,0.206440
0.020000,2.290269,2.526366,2.310000,3.000000,0.000000,-100.000000,0.212242
0.020000,2.348886,2.539175,2.370000,3.000000,0.000000,0.000000,0.218051
0.020000,2.407427,2.552325,2.430000,3.000000,0.000000,0.000000,0.223865
