dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.007429,1.373199,0.000050,0.009987,0.998718,99.871810,6.282218
0.010000,0.007445,1.373199,0.000066,0.001568,-0.841902,-184.062017,6.282236
0.010000,0.007476,1.373199,0.000097,0.003136,0.156820,99.872179,6.282270
0.010000,0.007523,1.373199,0.000144,0.004705,0.156827,0.000737,6.282321
0.010000,0.007586,1.373198,0.000207,0.006273,0.156838,0.001106,6.282390
0.010000,0.007664,1.373198,0.000285,0.007842,0.156853,0.001474,6.282475
0.010000,0.007759,1.373198,0.000379,0.009410,0.156871,0.001841,6.282578
0.010000,0.007868,1.373198,0.000489,0.010979,0.156893,0.002208,6.282698
0.010000,0.007994,1.373198,0.000615,0.012548,0.156919,0.002573,6.282835
0.010000,0.008135,1.373198,0.000756,0.014118,0.156948,0.002938,6.282990
0.010000,0.008292,1.373198,0.000913,0.015688,0.156982,0.003302,6.283161
0.010000,0.010381,1.373198,0.003002,0.208919,19.323162,1916.618081,0.000165
0.010000,0.012967,1.373199,0.005587,0.258551,4.963216,-1435.994616,0.000370
0.010000,0.015767,1.373200,0.008388,0.280072,2.152013,-281.120334,0.000593
0.010000,0.018783,1.373203,0.011404,0.301586,2.151395,-0.061825,0.000834
0.010000,0.022015,1.373206,0.014636,0.323165,2.157988,0.659310,0.001091
0.010000,0.025462,1.373210,0.018083,0.344760,2.159465,0.147771,0.001366
0.010000,0.029125,1.373215,0.021746,0.366263,2.150299,-0.916684,0.001658
0.010000,0.033003,1.373222,0.025623,0.387772,2.150884,0.058528,0.001967
0.010000,0.037097,1.373231,0.029718,0.409442,2.167051,1.616690,0.002293
0.010000,0.041406,1.373242,0.034027,0.430930,2.148778,-1.827280,0.002637
0.010000,0.045931,1.373255,0.038552,0.452458,2.152770,0.399237,0.002998
0.010000,0.050672,1.373270,0.043293,0.474106,2.164785,1.201519,0.003376
0.010000,0.055628,1.373287,0.048249,0.495574,2.146836,-1.794925,0.003772
0.010000,0.060800,1.373308,0.053421,0.517210,2.163595,1.675853,0.004185
0.010000,0.066187,1.373332,0.058808,0.538737,2.152729,-1.086614,0.004615
0.010000,0.071790,1.373359,0.064411,0.560303,2.156552,0.382323,0.005063
0.010000,0.077609,1.373390,0.070230,0.581894,2.159154,0.260192,0.005529
0.010000,0.083643,1.373424,0.076264,0.603429,2.153510,-0.564334,0.006011
0.010000,0.089893,1.373464,0.082515,0.625041,2.161198,0.768792,0.006511
0.010000,0.096359,1.373507,0.088981,0.646586,2.154448,-0.675054,0.007029
0.010000,0.103041,1.373556,0.095662,0.668175,2.158888,0.444007,0.007564
0.010000,0.109938,1.373610,0.102560,0.689768,2.159341,0.045274,0.008117
