dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.304981,3.104999,0.000050,0.009984,0.998372,99.837248,6.282113
0.010000,0.304963,3.104999,0.000067,0.001756,-0.822742,-182.111413,6.282132
0.010000,0.304928,3.105000,0.000103,0.003513,0.175635,99.837662,6.282171
0.010000,0.304876,3.105000,0.000155,0.005269,0.175643,0.000828,6.282228
0.010000,0.304805,3.105000,0.000226,0.007026,0.175656,0.001241,6.282305
0.010000,0.304718,3.105000,0.000313,0.008782,0.175672,0.001654,6.282401
0.010000,0.304612,3.105000,0.000419,0.010539,0.175693,0.002065,6.282516
0.010000,0.304489,3.105000,0.000542,0.012296,0.175718,0.002476,6.282651
0.010000,0.304349,3.105000,0.000682,0.014054,0.175746,0.002885,6.282804
0.010000,0.304190,3.105000,0.000840,0.015812,0.175779,0.003292,6.282977
0.010000,0.304015,3.105000,0.001016,0.017570,0.175816,0.003698,6.283169
0.010000,0.305850,3.105000,0.002851,0.183540,16.597038,1642.122172,0.000195
0.010000,0.308036,3.105001,0.005037,0.218545,3.500444,-1309.659393,0.000426
0.010000,0.310403,3.105002,0.007404,0.236722,1.817695,-168.274931,0.000675
0.010000,0.312952,3.105004,0.009953,0.254890,1.816855,-0.083986,0.000944
0.010000,0.315683,3.105007,0.012684,0.273133,1.824303,0.744827,0.001233
0.010000,0.318597,3.105011,0.015598,0.291365,1.823163,-0.114016,0.001540
0.010000,0.321692,3.105017,0.018693,0.309515,1.814981,-0.818160,0.001867
0.010000,0.324969,3.105023,0.021970,0.327685,1.817020,0.203811,0.002214
0.010000,0.328428,3.105031,0.025430,0.345977,1.829186,1.216634,0.002579
0.010000,0.332069,3.105042,0.029071,0.364102,1.812535,-1.665140,0.002964
0.010000,0.335892,3.105054,0.032894,0.382287,1.818479,0.594456,0.003369
0.010000,0.339898,3.105068,0.036899,0.400540,1.825307,0.682792,0.003793
0.010000,0.344084,3.105085,0.041085,0.418635,1.809521,-1.578643,0.004236
0.010000,0.348453,3.105104,0.045455,0.436921,1.828622,1.910157,0.004699
0.010000,0.353004,3.105127,0.050005,0.455037,1.811598,-1.702378,0.005181
0.010000,0.357736,3.105153,0.054738,0.473251,1.821402,0.980410,0.005683
0.010000,0.362650,3.105182,0.059652,0.491416,1.816475,-0.492756,0.006204
0.010000,0.367746,3.105215,0.064748,0.509597,1.818076,0.160117,0.006745
0.010000,0.373023,3.105252,0.070025,0.527766,1.816953,-0.112290,0.007306
0.010000,0.378483,3.105293,0.075485,0.545953,1.818617,0.166432,0.007886
0.010000,0.384123,3.105339,0.081126,0.564083,1.813064,-0.555348,0.008486
0.010000,0.389946,3.105391,0.086949,0.582313,1.823000,0.993630,0.009105
0.010000,0.395950,3.105447,0.092953,0.600378,1.806474,-1.652679,0.009744
0.010000,0.402136,3.105510,0.099139,0.618657,1.827930,2.145636,0.010403
0.010000,0.408503,3.105578,0.105507,0.636747,1.808944,-1.898567,0.011082
0.010000,0.415052,3.105653,0.112055,0.654879,1.813188,0.424398,0.011780
0.010000,0.421782,3.105735,0.118787,0.673107,1.822879,0.969075,0.012499
0.010000,0.428694,3.105823,0.125698,0.691194,1.808630,-1.424859,0.013237
0.010000,0.435786,3.105920,0.132792,0.709311,1.811695,0.306478,0.013995
0.010000,0.443061,3.106025,0.140067,0.727543,1.823236,1.154041,0.014774
0.010000,0.450516,3.106138,0.147523,0.745636,1.809349,-1.388659,0.015572
0.010000,0.458153,3.106260,0.155161,0.763735,1.809822,0.047299,0.016390
0.010000,0.465970,3.106391,0.162979,0.781870,1.813511,0.368915,0.017228
0.010000,0.473969,3.106533,0.170980,0.800058,1.818796,0.528511,0.018087
0.010000,0.482150,3.106684,0.179162,0.818155,1.809751,-0.904503,0.018965
0.010000,0.490511,3.106846,0.187524,0.836255,1.809957,0.020547,0.019864
0.010000,0.499052,3.107020,0.196068,0.854356,1.810095,0.013817,0.020783
0.010000,0.507775,3.107206,0.204792,0.872457,1.810166,0.007138,0.021723
0.010000,0.516679,3.107403,0.213698,0.890578,1.812021,0.185524,0.022682
0.010000,0.525763,3.107614,0.222785,0.908714,1.813594,0.157243,0.023663
0.010000,0.535029,3.107838,0.232053,0.926803,1.808949,-0.464518,0.024663
0.010000,0.544474,3.108076,0.241502,0.944891,1.808766,-0.018306,0.025684
0.010000,0.554101,3.108328,0.251132,0.962976,1.808519,-0.024685,0.026726
0.010000,0.563908,3.108595,0.260942,0.981058,1.808209,-0.030998,0.027788
0.010000,0.573895,3.108878,0.270934,0.999136,1.807836,-0.037242,0.028871
0.010000,0.584063,3.109177,0.281106,1.017210,1.807402,-0.043414,0.029974
0.010000,0.594411,3.109494,0.291459,1.035280,1.806907,-0.049512,0.031098
0.010000,0.604939,3.109827,0.301992,1.053343,1.806352,-0.055533,0.032243
0.010000,0.615647,3.110179,0.312706,1.071400,1.805737,-0.061475,0.033409
0.010000,0.626536,3.110549,0.323601,1.089451,1.805064,-0.067334,0.034596
0.010000,0.637604,3.110939,0.334676,1.107504,1.805259,0.019556,0.035803
0.010000,0.648852,3.111349,0.345932,1.125596,1.809228,0.396921,0.037032
0.010000,0.660280,3.111779,0.357368,1.143632,1.803646,-0.558287,0.038281
0.010000,0.671888,3.112231,0.368985,1.161660,1.802739,-0.090700,0.039552
0.010000,0.683675,3.112705,0.380781,1.179678,1.801778,-0.096110,0.040844
0.010000,0.695642,3.113202,0.392758,1.197685,1.800763,-0.101421,0.042157
0.010000,0.707788,3.113723,0.404915,1.215711,1.802581,0.181779,0.043491
0.010000,0.720114,3.114267,0.417253,1.233791,1.807995,0.541353,0.044847
0.010000,0.732619,3.114837,0.429771,1.251774,1.798306,-0.968881,0.046224
0.010000,0.745302,3.115433,0.442468,1.269745,1.797081,-0.122463,0.047622
0.010000,0.758165,3.116055,0.455346,1.287768,1.802298,0.521657,0.049042
0.010000,0.771207,3.116704,0.468404,1.305807,1.803959,0.166105,0.050483
0.010000,0.784427,3.117382,0.481642,1.323747,1.793983,-0.997599,0.051946
0.010000,0.797825,3.118089,0.495059,1.341739,1.799211,0.522856,0.053431
0.010000,0.811403,3.118825,0.508657,1.359770,1.803094,0.388296,0.054937
0.010000,0.825159,3.119592,0.522433,1.377675,1.790433,-1.266155,0.056465
0.010000,0.839093,3.120391,0.536391,1.395717,1.804253,1.381979,0.058015
0.010000,0.853205,3.121221,0.550527,1.413649,1.793142,-1.111069,0.059586
0.010000,0.867495,3.122085,0.564843,1.431608,1.795905,0.276307,0.061180
0.010000,0.881963,3.122983,0.579339,1.449590,1.798286,0.238090,0.062795
0.010000,0.896608,3.123916,0.594014,1.467503,1.791259,-0.702645,0.064433
0.010000,0.911432,3.124885,0.608869,1.485496,1.799323,0.806408,0.066093
0.010000,0.926432,3.125890,0.623903,1.503399,1.790231,-0.909202,0.067774
0.010000,0.941610,3.126934,0.639117,1.521362,1.796361,0.612986,0.069478
0.010000,0.956965,3.128016,0.654510,1.539290,1.792736,-0.362535,0.071205
0.010000,0.972496,3.129137,0.670081,1.557185,1.789508,-0.322819,0.072953
0.010000,0.988205,3.130299,0.685833,1.575171,1.798687,0.917933,0.074724
0.010000,1.004090,3.131503,0.701763,1.593020,1.784860,-1.382688,0.076517
0.010000,1.020151,3.132749,0.717873,1.610980,1.796024,1.116400,0.078333
0.010000,1.036389,3.134038,0.734162,1.628890,1.791001,-0.502309,0.080171
0.010000,1.052802,3.135372,0.750629,1.646746,1.785566,-0.543477,0.082032
0.010000,1.069392,3.136752,0.767276,1.664683,1.793652,0.808553,0.083915
0.010000,1.086157,3.138178,0.784102,1.682595,1.791260,-0.239210,0.085821
0.010000,1.103098,3.139652,0.801107,1.700453,1.785758,-0.550201,0.087750
0.010000,1.120213,3.141175,0.818290,1.718313,1.786066,0.030809,0.089701
0.010000,1.137504,3.142747,0.835652,1.736240,1.792618,0.655172,0.091676
0.010000,1.154970,3.144370,0.853194,1.754127,1.788741,-0.387677,0.093673
0.010000,1.172611,3.146046,0.870913,1.771983,1.785627,-0.311367,0.095693
0.010000,1.190426,3.147774,0.888812,1.789840,1.785719,0.009149,0.097736
0.010000,1.208414,3.149556,0.906889,1.807698,1.785757,0.003789,0.099802
0.010000,1.226577,3.151394,0.925144,1.825555,1.785743,-0.001381,0.101891
0.010000,1.244914,3.153289,0.943578,1.843412,1.785679,-0.006356,0.104003
0.010000,1.263424,3.155241,0.962191,1.861299,1.788643,0.296413,0.106138
0.010000,1.282108,3.157252,0.980983,1.879144,1.784506,-0.413721,0.108296
0.010000,1.300964,3.159323,0.999953,1.896987,1.784320,-0.018608,0.110477
0.010000,1.319993,3.161455,1.019101,1.914828,1.784095,-0.022513,0.112682
0.010000,1.339195,3.163649,1.038428,1.932666,1.783831,-0.026435,0.114910
0.010000,1.358569,3.165907,1.057933,1.950501,1.783529,-0.030136,0.117161
0.010000,1.378115,3.168231,1.077616,1.968333,1.783193,-0.033611,0.119435
0.010000,1.397832,3.170620,1.097478,1.986162,1.782825,-0.036855,0.121733
0.010000,1.417721,3.173076,1.117518,2.004021,1.785962,0.313701,0.124054
0.010000,1.437781,3.175602,1.137736,2.021851,1.782939,-0.302297,0.126399
0.010000,1.458012,3.178197,1.158133,2.039674,1.782301,-0.063724,0.128767
0.010000,1.478414,3.180863,1.178708,2.057492,1.781810,-0.049177,0.131158
0.010000,1.498985,3.183602,1.199461,2.075305,1.781297,-0.051214,0.133573
0.010000,1.519726,3.186415,1.220392,2.093112,1.780767,-0.052996,0.136011
0.010000,1.540637,3.189303,1.241502,2.110944,1.783157,0.238942,0.138472
0.010000,1.561718,3.192268,1.262790,2.128801,1.785740,0.258280,0.140958
0.010000,1.582967,3.195310,1.284256,2.146599,1.779743,-0.599625,0.143466
0.010000,1.604385,3.198432,1.305900,2.164390,1.779151,-0.059253,0.145998
0.010000,1.625971,3.201634,1.327722,2.182233,1.784256,0.510462,0.148554
0.010000,1.647725,3.204918,1.349723,2.200073,1.784008,-0.024743,0.151133
0.010000,1.669646,3.208286,1.371901,2.217852,1.777931,-0.607680,0.153735
0.010000,1.691735,3.211739,1.394258,2.235692,1.783931,0.599943,0.156361
0.010000,1.713991,3.215277,1.416793,2.253529,1.783783,-0.014795,0.159010
0.010000,1.736412,3.218904,1.439506,2.271296,1.776638,-0.714449,0.161683
0.010000,1.759001,3.222619,1.462398,2.289197,1.790162,1.352345,0.164379
0.010000,1.781754,3.226425,1.485468,2.306965,1.776758,-1.340364,0.167099
0.010000,1.804674,3.230323,1.508716,2.324830,1.786461,0.970309,0.169842
0.010000,1.827757,3.234315,1.532143,2.342632,1.780254,-0.620676,0.172608
0.010000,1.851006,3.238402,1.555747,2.360490,1.785752,0.549776,0.175398
0.010000,1.874418,3.242585,1.579530,2.378297,1.780715,-0.503676,0.178211
0.010000,1.897994,3.246866,1.603492,2.396176,1.787884,0.716849,0.181047
0.010000,1.921733,3.251246,1.627632,2.413959,1.778377,-0.950665,0.183907
0.010000,1.945635,3.255728,1.651951,2.431886,1.792633,1.425598,0.186789
0.010000,1.969699,3.260312,1.676448,2.449690,1.780393,-1.223990,0.189695
0.010000,1.993925,3.265000,1.701123,2.467550,1.786016,0.562315,0.192624
