dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.304000,2.190000,0.000050,0.009984,0.998372,99.837248,6.282113
0.010000,0.304000,2.190000,0.000250,0.029951,1.996745,99.837248,6.282132
0.010000,0.304000,2.190000,0.000649,0.049919,1.996745,0.000000,6.282171
0.010000,0.304000,2.190000,0.001248,0.069886,1.996745,-0.000000,6.282228
0.010000,0.304000,2.190000,0.002047,0.089854,1.996745,0.000000,6.282305
0.010000,0.304000,2.190000,0.003045,0.109821,1.996745,0.000000,6.282401
0.010000,0.304000,2.190000,0.004243,0.129788,1.996745,-0.000000,6.282516
0.010000,0.304000,2.190000,0.005641,0.149756,1.996745,0.000000,6.282651
0.010000,0.304000,2.190000,0.007238,0.169723,1.996745,-0.000000,6.282804
0.010000,0.304000,2.190000,0.009035,0.189691,1.996745,0.000000,6.282977
0.010000,0.304000,2.190000,0.011032,0.209658,1.996745,0.000000,6.283169
0.010000,0.306029,2.190000,0.013228,0.229626,1.996745,0.000000,0.000195
0.010000,0.308425,2.190001,0.015625,0.249593,1.996745,-0.000000,0.000426
0.010000,0.311021,2.190002,0.018220,0.269561,1.996745,0.000000,0.000675
0.010000,0.313816,2.190005,0.021016,0.289528,1.996745,-0.000000,0.000944
0.010000,0.316811,2.190008,0.024011,0.309495,1.996745,0.000000,0.001233
0.010000,0.320006,2.190012,0.027206,0.329463,1.996745,0.000000,0.001540
0.010000,0.323401,2.190018,0.030600,0.349430,1.996745,0.000000,0.001867
0.010000,0.326994,2.190025,0.034194,0.369398,1.996745,0.000000,0.002214
0.010000,0.330789,2.190035,0.037988,0.389365,1.996745,-0.000000,0.002579
0.010000,0.334782,2.190046,0.041982,0.409333,1.996745,0.000000,0.002964
0.010000,0.338975,2.190059,0.046175,0.429300,1.996745,-0.000000,0.003369
0.010000,0.343368,2.190075,0.050568,0.449268,1.996745,0.000000,0.003793
0.010000,0.347960,2.190093,0.055160,0.469235,1.996745,-0.000000,0.004236
0.010000,0.352753,2.190114,0.059952,0.489203,1.996745,-0.000000,0.004699
0.010000,0.357744,2.190139,0.064944,0.509170,1.996745,0.000000,0.005181
0.010000,0.362936,2.190167,0.070136,0.529137,1.996745,-0.000000,0.005683
0.010000,0.368327,2.190199,0.075527,0.549105,1.996745,0.000000,0.006204
0.010000,0.373918,2.190236,0.081118,0.569072,1.996745,0.000000,0.006745
0.010000,0.379708,2.190276,0.086908,0.589040,1.996745,-0.000000,0.007306
0.010000,0.385698,2.190322,0.092899,0.609007,1.996745,0.000000,0.007886
0.010000,0.391888,2.190372,0.099088,0.628975,1.996745,-0.000000,0.008486
0.010000,0.398277,2.190429,0.105478,0.648942,1.996745,0.000000,0.009105
0.010000,0.404866,2.190491,0.112067,0.668910,1.996745,0.000000,0.009744
0.010000,0.411655,2.190559,0.118856,0.688877,1.996745,-0.000000,0.010403
0.010000,0.418643,2.190634,0.125845,0.708844,1.996745,0.000000,0.011082
0.010000,0.425830,2.190716,0.133033,0.728812,1.996745,0.000000,0.011780
0.010000,0.433218,2.190806,0.140421,0.748779,1.996745,-0.000000,0.012499
0.010000,0.440805,2.190904,0.148009,0.768747,1.996745,0.000000,0.013237
0.010000,0.448591,2.191010,0.155796,0.788714,1.996745,-0.000000,0.013995
0.010000,0.456578,2.191125,0.163783,0.808682,1.996745,0.000000,0.014774
0.010000,0.464764,2.191249,0.171970,0.828649,1.996745,0.000000,0.015572
0.010000,0.473149,2.191383,0.180356,0.848617,1.996745,-0.000000,0.016390
0.010000,0.481733,2.191527,0.188942,0.868584,1.996745,0.000000,0.017228
0.010000,0.490518,2.191682,0.197728,0.888552,1.996745,0.000000,0.018087
0.010000,0.499502,2.191849,0.206713,0.908519,1.996745,-0.000000,0.018965
0.010000,0.508685,2.192027,0.215898,0.928486,1.996745,0.000000,0.019864
0.010000,0.518068,2.192218,0.225283,0.948454,1.996745,0.000000,0.020783
0.010000,0.527650,2.192421,0.234867,0.968421,1.996745,-0.000000,0.021723
0.010000,0.537431,2.192639,0.244651,0.988389,1.996745,0.000000,0.022682
0.010000,0.547412,2.192870,0.254635,1.008356,1.996745,0.000000,0.023663
0.010000,0.557593,2.193116,0.264818,1.028324,1.996745,0.000000,0.024663
0.010000,0.567973,2.193377,0.275201,1.048291,1.996745,-0.000000,0.025684
0.010000,0.578552,2.193655,0.285784,1.068259,1.996745,0.000000,0.026726
0.010000,0.589331,2.193948,0.296567,1.088226,1.996745,-0.000000,0.027788
0.010000,0.600308,2.194260,0.307549,1.108193,1.996745,0.000000,0.028871
0.010000,0.611485,2.194588,0.318730,1.128161,1.996745,0.000000,0.029974
0.010000,0.622861,2.194936,0.330112,1.148128,1.996745,0.000000,0.031098
0.010000,0.634436,2.195303,0.341693,1.168096,1.996745,0.000000,0.032243
0.010000,0.646211,2.195689,0.353474,1.188063,1.996745,-0.000000,0.033409
0.010000,0.658184,2.196097,0.365454,1.208031,1.996745,0.000000,0.034596
0.010000,0.670357,2.196525,0.377634,1.227998,1.996745,0.000000,0.035803
0.010000,0.682728,2.196976,0.390014,1.247966,1.996745,-0.000000,0.037032
0.010000,0.695299,2.197450,0.402594,1.267933,1.996745,0.000000,0.038281
0.010000,0.708069,2.197947,0.415373,1.287900,1.996745,0.000000,0.039552
0.010000,0.721037,2.198468,0.428352,1.307868,1.996745,-0.000000,0.040844
0.010000,0.734204,2.199015,0.441530,1.327835,1.996745,0.000000,0.042157
0.010000,0.747570,2.199588,0.454908,1.347803,1.996745,-0.000000,0.043491
0.010000,0.761135,2.200187,0.468486,1.367770,1.996745,0.000000,0.044847
0.010000,0.774898,2.200815,0.482264,1.387738,1.996745,0.000000,0.046224
0.010000,0.788860,2.201470,0.496241,1.407705,1.996745,0.000000,0.047622
0.010000,0.803020,2.202155,0.510418,1.427673,1.996745,0.000000,0.049042
0.010000,0.817379,2.202870,0.524794,1.447640,1.996745,-0.000000,0.050483
0.010000,0.831936,2.203616,0.539371,1.467608,1.996745,0.000000,0.051946
0.010000,0.846691,2.204395,0.554147,1.487575,1.996745,0.000000,0.053431
0.010000,0.861645,2.205206,0.569122,1.507542,1.996745,-0.000000,0.054937
