dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303050,1.275000,0.000400,0.040000,2.000000,100.000000,6.282147
0.020000,0.303155,1.275000,0.000506,0.005278,-1.736115,-186.805774,6.282262
0.020000,0.303331,1.275000,0.000681,0.008797,0.175951,95.603308,6.282454
0.020000,0.303578,1.275000,0.000928,0.012317,0.175992,0.002072,6.282724
0.020000,0.303894,1.275000,0.001245,0.015838,0.176050,0.002894,6.283070
0.020000,0.307482,1.275001,0.004832,0.179388,8.177524,400.073717,0.000308
0.020000,0.313140,1.275004,0.010490,0.282888,5.175004,-150.126006,0.000808
0.020000,0.319668,1.275011,0.017019,0.326429,2.177035,-149.898461,0.001386
0.020000,0.327067,1.275024,0.024418,0.369948,2.175944,-0.054561,0.002041
0.020000,0.335338,1.275043,0.032688,0.413539,2.179582,0.181921,0.002773
0.020000,0.344479,1.275072,0.041830,0.457063,2.176197,-0.169268,0.003584
0.020000,0.354492,1.275113,0.051842,0.500614,2.177519,0.066098,0.004472
0.020000,0.365375,1.275167,0.062726,0.544186,2.178604,0.054285,0.005438
0.020000,0.377130,1.275237,0.074481,0.587775,2.179455,0.042522,0.006482
0.020000,0.389758,1.275326,0.087109,0.631376,2.180071,0.030822,0.007605
0.020000,0.403257,1.275437,0.100608,0.674985,2.180455,0.019195,0.008807
0.020000,0.417628,1.275572,0.114980,0.718598,2.180608,0.007652,0.010087
0.020000,0.432872,1.275736,0.130225,0.762208,2.180532,-0.003795,0.011447
0.020000,0.448987,1.275932,0.146341,0.805813,2.180230,-0.015135,0.012886
0.020000,0.465975,1.276164,0.163331,0.849519,2.185314,0.254192,0.014405
0.020000,0.483836,1.276436,0.181194,0.893144,2.181260,-0.202695,0.016004
0.020000,0.502570,1.276751,0.199931,0.936847,2.185132,0.193623,0.017683
0.020000,0.522177,1.277115,0.219541,0.980492,2.182255,-0.143856,0.019443
0.020000,0.542658,1.277533,0.240026,1.024269,2.188870,0.330727,0.021285
0.020000,0.564012,1.278008,0.261386,1.067966,2.184835,-0.201723,0.023207
0.020000,0.586240,1.278546,0.283619,1.111696,2.186521,0.084286,0.025212
0.020000,0.609341,1.279153,0.306729,1.155455,2.187950,0.071473,0.027298
0.020000,0.633316,1.279833,0.330713,1.199238,2.189126,0.058801,0.029468
0.020000,0.658165,1.280594,0.355574,1.243039,2.190052,0.046283,0.031720
0.020000,0.683888,1.281440,0.381311,1.286854,2.190731,0.033935,0.034055
0.020000,0.710485,1.282378,0.407925,1.330677,2.191166,0.021771,0.036474
0.020000,0.737956,1.283415,0.435415,1.374504,2.191362,0.009804,0.038978
