dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.212034,11.706002,0.000400,0.040000,2.000000,100.000000,3.139444
0.020000,18.212184,11.706002,0.000550,0.007483,-1.625841,-181.292042,3.139608
0.020000,18.212433,11.706001,0.000799,0.012475,0.249605,93.772282,3.139880
0.020000,18.212783,11.706001,0.001149,0.017472,0.249853,0.012400,3.140262
0.020000,18.213232,11.706000,0.001598,0.022476,0.250200,0.017356,3.140754
0.020000,18.213782,11.706000,0.002148,0.027489,0.250646,0.022306,3.141354
0.020000,18.210973,11.705999,0.004957,0.140431,5.647082,269.821820,3.142066
0.020000,18.205724,11.705995,0.010206,0.262474,6.102145,22.753118,3.142887
0.020000,18.199781,11.705984,0.016149,0.297147,1.733677,-218.423381,3.143819
0.020000,18.193133,11.705966,0.022797,0.332385,1.761862,1.409227,3.144865
0.020000,18.185796,11.705938,0.030134,0.366858,1.723665,-1.909825,3.146022
0.020000,18.177756,11.705897,0.038174,0.402031,1.758641,1.748780,3.147293
0.020000,18.169025,11.705841,0.046905,0.436547,1.725801,-1.641997,3.148679
0.020000,18.159599,11.705767,0.056331,0.471292,1.737251,0.572491,3.150180
0.020000,18.149478,11.705672,0.066453,0.506091,1.739941,0.134532,3.151797
0.020000,18.138667,11.705552,0.077265,0.540603,1.725603,-0.716931,3.153533
0.020000,18.127165,11.705404,0.088767,0.575109,1.725329,-0.013666,3.155387
0.020000,18.114975,11.705224,0.100959,0.609594,1.724249,-0.054014,3.157361
0.020000,18.102096,11.705008,0.113840,0.644041,1.722357,-0.094589,3.159458
0.020000,18.088530,11.704750,0.127409,0.678438,1.719855,-0.125106,3.161677
0.020000,18.074278,11.704447,0.141664,0.712753,1.715717,-0.206899,3.164022
0.020000,18.059342,11.704094,0.156604,0.746993,1.711989,-0.186437,3.166494
0.020000,18.043725,11.703684,0.172226,0.781125,1.706623,-0.268287,3.169094
0.020000,18.027429,11.703214,0.188529,0.815138,1.700645,-0.298913,3.171824
0.020000,18.010457,11.702676,0.205509,0.849015,1.693852,-0.339635,3.174686
0.020000,17.992812,11.702066,0.223165,0.882768,1.687675,-0.308837,3.177682
0.020000,17.974489,11.701376,0.241501,0.916801,1.701651,0.698776,3.180816
0.020000,17.955500,11.700599,0.260505,0.950245,1.672162,-1.474441,3.184088
0.020000,17.935842,11.699730,0.280183,0.983858,1.680645,0.424172,3.187501
0.020000,17.915521,11.698760,0.300527,1.017234,1.668805,-0.592015,3.191059
0.020000,17.894536,11.697682,0.321540,1.050613,1.668965,0.008015,3.194762
0.020000,17.872897,11.696489,0.343212,1.083601,1.649416,-0.977438,3.198614
0.020000,17.850598,11.695171,0.365550,1.116917,1.665765,0.817416,3.202619
0.020000,17.827648,11.693721,0.388545,1.149753,1.641821,-1.197172,3.206778
0.020000,17.804052,11.692130,0.412195,1.182478,1.636241,-0.278996,3.211095
0.020000,17.779813,11.690388,0.436497,1.215104,1.631326,-0.245762,3.215572
0.020000,17.754933,11.688486,0.461449,1.247613,1.625432,-0.294721,3.220214
0.020000,17.729417,11.686414,0.487049,1.279984,1.618568,-0.343191,3.225023
0.020000,17.703270,11.684162,0.513293,1.312199,1.610748,-0.390981,3.230003
0.020000,17.676497,11.681720,0.540177,1.344239,1.601991,-0.437890,3.235157
0.020000,17.649102,11.679075,0.567699,1.376086,1.592316,-0.483704,3.240489
0.020000,17.621093,11.676218,0.595853,1.407721,1.581752,-0.528198,3.246002
0.020000,17.592475,11.673137,0.624637,1.439187,1.573330,-0.421111,3.251701
0.020000,17.563248,11.669819,0.654052,1.470736,1.577439,0.205448,3.257589
0.020000,17.533426,11.666252,0.684086,1.501702,1.548320,-1.455939,3.263670
0.020000,17.503010,11.662424,0.714743,1.532835,1.556624,0.415194,3.269949
0.020000,17.472011,11.658321,0.746011,1.563439,1.530186,-1.321896,3.276428
0.020000,17.440430,11.653929,0.777897,1.594274,1.541761,0.578753,3.283113
0.020000,17.408279,11.649236,0.810388,1.624564,1.514496,-1.363270,3.290008
0.020000,17.375566,11.644226,0.843483,1.654731,1.508373,-0.306159,3.297115
0.020000,17.342296,11.638885,0.877178,1.684781,1.502504,-0.293426,3.304441
0.020000,17.308477,11.633198,0.911472,1.714693,1.495604,-0.345008,3.311990
0.020000,17.274120,11.627149,0.946358,1.744304,1.480525,-0.753962,3.319764
0.020000,17.239232,11.620722,0.981833,1.773725,1.471056,-0.473453,3.327769
0.020000,17.203821,11.613901,1.017894,1.803076,1.467565,-0.174541,3.336009
0.020000,17.167899,11.606670,1.054538,1.832162,1.454290,-0.663737,3.344488
0.020000,17.131475,11.599011,1.091758,1.861007,1.442247,-0.602159,3.353209
0.020000,17.094561,11.590908,1.129551,1.889660,1.432629,-0.480886,3.362175
0.020000,17.057161,11.582341,1.167919,1.918405,1.437252,0.231150,3.371393
0.020000,17.019295,11.573294,1.206852,1.946629,1.411222,-1.301529,3.380863
0.020000,16.980964,11.563746,1.246353,1.975073,1.422219,0.549844,3.390590
0.020000,16.942187,11.553680,1.286416,2.003130,1.402819,-0.969966,3.400576
0.020000,16.902973,11.543076,1.327038,2.031106,1.398802,-0.200861,3.410823
0.020000,16.863334,11.531914,1.368219,2.059036,1.396509,-0.114683,3.421335
0.020000,16.823280,11.520174,1.409957,2.086944,1.395385,-0.056160,3.432112
0.020000,16.782826,11.507836,1.452252,2.114703,1.387958,-0.371359,3.443156
0.020000,16.741983,11.494878,1.495101,2.142484,1.389037,0.053951,3.454468
0.020000,16.700762,11.481280,1.538506,2.170263,1.388964,-0.003656,3.466048
0.020000,16.659180,11.467020,1.582467,2.198007,1.387203,-0.088031,3.477895
0.020000,16.617248,11.452076,1.626982,2.225763,1.387793,0.029472,3.490007
0.020000,16.574976,11.436425,1.672058,2.253803,1.401983,0.709526,3.502384
0.020000,16.532382,11.420046,1.717693,2.281740,1.396863,-0.256002,3.515022
0.020000,16.489474,11.402915,1.763894,2.310072,1.416606,0.987123,3.527918
0.020000,16.446268,11.385009,1.810663,2.338439,1.418352,0.087302,3.541066
0.020000,16.402778,11.366304,1.858005,2.367109,1.433493,0.757061,3.554461
0.020000,16.359303,11.346909,1.905610,2.380243,0.656715,-38.838894,3.568006
0.020000,16.316137,11.326944,1.953169,2.377974,-0.113436,-38.507563,3.581603
0.020000,16.273281,11.306410,2.000692,2.376107,-0.093388,1.002395,3.595240
0.020000,16.230733,11.285304,2.048186,2.374715,-0.069577,1.190555,3.608907
0.020000,16.188495,11.263627,2.095662,2.373809,-0.045309,1.213396,3.622594
0.020000,16.146564,11.241378,2.143130,2.373396,-0.020668,1.232061,3.636289
0.020000,16.104941,11.218555,2.190600,2.373481,0.004257,1.246230,3.649983
0.020000,16.063624,11.195159,2.238081,2.374068,0.029369,1.255637,3.663664
0.020000,16.022611,11.171190,2.285584,2.375160,0.054571,1.260079,3.677321
0.020000,15.981902,11.146647,2.333119,2.376755,0.079759,1.259415,3.690944
0.020000,15.941495,11.121530,2.380696,2.378851,0.104831,1.253573,3.704520
0.020000,15.901389,11.095840,2.428325,2.381445,0.129682,1.242547,3.718040
0.020000,15.861580,11.069578,2.476016,2.384548,0.155131,1.272481,3.731492
0.020000,15.822069,11.042744,2.523778,2.388118,0.178501,1.168483,3.744866
0.020000,15.782852,11.015339,2.571622,2.392154,0.201812,1.165544,3.758152
0.020000,15.743929,10.987365,2.619555,2.396649,0.224757,1.147251,3.771340
0.020000,15.705297,10.958823,2.667586,2.401589,0.247011,1.112729,3.784419
0.020000,15.666954,10.929716,2.715725,2.406959,0.268497,1.074265,3.797381
0.020000,15.628899,10.900046,2.763980,2.412742,0.289141,1.032238,3.810217
0.020000,15.591129,10.869814,2.812359,2.418928,0.309323,1.009059,3.822917
0.020000,15.553643,10.839025,2.860869,2.425488,0.327956,0.931688,3.835475
0.020000,15.516438,10.807682,2.909516,2.432392,0.345213,0.862813,3.847881
0.020000,15.479513,10.775787,2.958309,2.439631,0.361950,0.836849,3.860129
0.020000,15.442866,10.743346,3.007253,2.447183,0.377621,0.783562,3.872212
0.020000,15.406494,10.710362,3.056353,2.455027,0.392207,0.729306,3.884124
0.020000,15.370396,10.676839,3.105616,2.463145,0.405897,0.684492,3.895858
0.020000,15.334569,10.642784,3.155046,2.471502,0.417859,0.598097,3.907410
0.020000,15.299012,10.608200,3.204648,2.480086,0.429168,0.565457,3.918773
0.020000,15.263722,10.573094,3.254425,2.488874,0.439397,0.511448,3.929945
0.020000,15.228697,10.537472,3.304382,2.497845,0.448564,0.458349,3.940921
0.020000,15.193936,10.501339,3.354522,2.506973,0.456408,0.392217,3.951697
0.020000,15.159434,10.464702,3.404847,2.516245,0.463590,0.359099,3.962271
0.020000,15.125191,10.427568,3.455360,2.525641,0.469799,0.310449,3.972639
0.020000,15.091204,10.389943,3.506062,2.535142,0.475027,0.261375,3.982800
0.020000,15.057469,10.351834,3.556957,2.544729,0.479359,0.216604,3.992751
0.020000,15.023985,10.313250,3.608045,2.554380,0.482546,0.159381,4.002491
0.020000,14.990749,10.274197,3.659326,2.564080,0.485024,0.123900,4.012019
0.020000,14.957756,10.234683,3.710803,2.573827,0.487335,0.115541,4.021334
0.020000,14.925006,10.194716,3.762475,2.583598,0.488555,0.060968,4.030435
0.020000,14.892493,10.154303,3.814342,2.593380,0.489110,0.027751,4.039323
0.020000,14.860215,10.113453,3.866405,2.603161,0.489048,-0.003064,4.047997
0.020000,14.828169,10.072174,3.918664,2.612926,0.488270,-0.038924,4.056457
0.020000,14.796350,10.030474,3.971117,2.622658,0.486561,-0.085440,4.064705
0.020000,14.764756,9.988361,4.023765,2.632370,0.485624,-0.046860,4.072740
0.020000,14.733381,9.945842,4.076605,2.642042,0.483578,-0.102274,4.080564
0.020000,14.702223,9.902928,4.129639,2.651665,0.481144,-0.121720,4.088178
0.020000,14.671276,9.859624,4.182863,2.661232,0.478362,-0.139089,4.095583
0.020000,14.640537,9.815941,4.236278,2.670737,0.475273,-0.154469,4.102780
0.020000,14.610001,9.771885,4.289882,2.680176,0.471914,-0.167953,4.109770
0.020000,14.579664,9.727466,4.343672,2.689542,0.468321,-0.179635,4.116556
0.020000,14.549521,9.682690,4.397649,2.698827,0.464264,-0.202830,4.123139
0.020000,14.519566,9.637567,4.451810,2.708033,0.460268,-0.199816,4.129521
0.020000,14.489796,9.592104,4.506153,2.717163,0.456519,-0.187444,4.135703
0.020000,14.460204,9.546308,4.560677,2.726209,0.452317,-0.210100,4.141687
0.020000,14.430786,9.500188,4.615380,2.735170,0.448032,-0.214282,4.147476
0.020000,14.401537,9.453751,4.670261,2.744044,0.443687,-0.217237,4.153070
0.020000,14.372450,9.407005,4.725318,2.752830,0.439306,-0.219054,4.158473
0.020000,14.343521,9.359957,4.780548,2.761528,0.434909,-0.219818,4.163685
0.020000,14.314744,9.312614,4.835951,2.770138,0.430517,-0.219611,4.168710
0.020000,14.286112,9.264984,4.891524,2.778661,0.426147,-0.218510,4.173548
0.020000,14.257621,9.217074,4.947266,2.787098,0.421815,-0.216589,4.178201
0.020000,14.229264,9.168890,5.003175,2.795448,0.417537,-0.213918,4.182672
0.020000,14.201035,9.120440,5.059250,2.803715,0.413326,-0.210561,4.186962
0.020000,14.172927,9.071729,5.115488,2.811899,0.409194,-0.206580,4.191074
0.020000,14.144936,9.022766,5.171888,2.820002,0.405153,-0.202031,4.195008
0.020000,14.117054,8.973555,5.228448,2.828026,0.401214,-0.196967,4.198767
0.020000,14.089275,8.924104,5.285168,2.835974,0.397385,-0.191437,4.202353
0.020000,14.061593,8.874418,5.342045,2.843847,0.393676,-0.185487,4.205766
0.020000,14.034001,8.824504,5.399078,2.851649,0.390093,-0.179157,4.209008
0.020000,14.006492,8.774367,5.456265,2.859382,0.386643,-0.172486,4.212082
0.020000,13.979059,8.724014,5.513606,2.867049,0.383333,-0.165508,4.214988
0.020000,13.951697,8.673449,5.571099,2.874652,0.380168,-0.158256,4.217728
0.020000,13.924397,8.622680,5.628743,2.882195,0.377152,-0.150759,4.220303
0.020000,13.897154,8.571710,5.686537,2.889681,0.374291,-0.143043,4.222714
0.020000,13.869960,8.520546,5.744479,2.897113,0.371589,-0.135131,4.224963
0.020000,13.842808,8.469192,5.802569,2.904494,0.369048,-0.127045,4.227051
0.020000,13.815690,8.417655,5.860805,2.911827,0.366672,-0.118805,4.228978
0.020000,13.788600,8.365938,5.919188,2.919116,0.364463,-0.110428,4.230746
0.020000,13.761531,8.314047,5.977715,2.926362,0.362290,-0.108671,4.232356
0.020000,13.734474,8.261986,6.036386,2.933573,0.360523,-0.088318,4.233808
0.020000,13.707423,8.209761,6.095202,2.940751,0.358900,-0.081163,4.235103
0.020000,13.680370,8.157376,6.154159,2.947898,0.357387,-0.075668,4.236241
0.020000,13.653308,8.104836,6.213260,2.955019,0.356050,-0.066832,4.237225
0.020000,13.626228,8.052145,6.272502,2.962117,0.354892,-0.057935,4.238053
0.020000,13.599123,7.999308,6.331886,2.969195,0.353912,-0.048985,4.238726
0.020000,13.571985,7.946329,6.391411,2.976258,0.353112,-0.039990,4.239245
0.020000,13.544806,7.893213,6.451077,2.983308,0.352493,-0.030958,4.239610
0.020000,13.517579,7.839963,6.510884,2.990349,0.352055,-0.021896,4.239821
0.020000,13.490294,7.786584,6.570832,2.997385,0.351799,-0.012810,4.239878
0.020000,13.462945,7.733081,6.630920,3.004419,0.351725,-0.003707,4.239782
0.020000,13.435522,7.679457,6.691150,3.011456,0.351833,0.005406,4.239531
0.020000,13.408017,7.625716,6.751520,3.018499,0.352140,0.015344,4.239127
0.020000,13.380422,7.571864,6.812031,3.025552,0.352687,0.027366,4.238568
0.020000,13.352729,7.517903,6.872683,3.032618,0.353299,0.030604,4.237855
0.020000,13.324928,7.463838,6.933477,3.039701,0.354134,0.041737,4.236988
0.020000,13.297010,7.409673,6.994413,3.046804,0.355149,0.050771,4.235965
0.020000,13.268968,7.355412,7.055492,3.053931,0.356345,0.059771,4.234786
0.020000,13.240792,7.301060,7.116713,3.061085,0.357719,0.068725,4.233451
0.020000,13.212473,7.246620,7.178079,3.068271,0.359272,0.077624,4.231958
0.020000,13.184001,7.192096,7.239589,3.075491,0.361001,0.086457,4.230308
0.020000,13.155367,7.137493,7.301244,3.082749,0.362905,0.095209,4.228500
0.020000,13.126563,7.082815,7.363045,3.090048,0.364982,0.103869,4.226531
0.020000,13.097578,7.028067,7.424992,3.097393,0.367231,0.112419,4.224403
0.020000,13.068402,6.973252,7.487088,3.104786,0.369648,0.120844,4.222112
0.020000,13.039027,6.918375,7.549333,3.112231,0.372230,0.129124,4.219659
0.020000,13.009441,6.863441,7.611727,3.119730,0.374975,0.137239,4.217042
0.020000,12.979635,6.808454,7.674273,3.127288,0.377878,0.145168,4.214260
0.020000,12.949598,6.753419,7.736971,3.134906,0.380936,0.152885,4.211311
0.020000,12.919321,6.698341,7.799823,3.142590,0.384161,0.161245,4.208194
0.020000,12.888792,6.643224,7.862830,3.150342,0.387641,0.174013,4.204908
0.020000,12.858001,6.588074,7.925993,3.158162,0.390964,0.166135,4.201451
