dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.214000,12.621000,0.000400,0.040000,2.000000,100.000000,3.139444
0.020000,18.214000,12.621000,0.001600,0.080000,2.000000,0.000000,3.139608
0.020000,18.214000,12.621000,0.003600,0.120000,2.000000,-0.000000,3.139880
0.020000,18.214000,12.621000,0.006400,0.160000,2.000000,0.000000,3.140262
0.020000,18.214000,12.621000,0.010000,0.200000,2.000000,0.000000,3.140754
0.020000,18.214000,12.621000,0.014400,0.240000,2.000000,-0.000000,3.141354
0.020000,18.210541,12.620999,0.019600,0.280000,2.000000,0.000000,3.142066
0.020000,18.204539,12.620994,0.025600,0.320000,2.000000,-0.000000,3.142887
0.020000,18.197743,12.620982,0.032400,0.360000,2.000000,0.000000,3.143819
0.020000,18.190139,12.620961,0.040000,0.400000,2.000000,0.000000,3.144865
0.020000,18.181744,12.620929,0.048400,0.440000,2.000000,-0.000000,3.146022
0.020000,18.172540,12.620882,0.057600,0.480000,2.000000,0.000000,3.147293
0.020000,18.162541,12.620818,0.067600,0.520000,2.000000,0.000000,3.148679
0.020000,18.151742,12.620734,0.078400,0.560000,2.000000,0.000000,3.150180
0.020000,18.140141,12.620625,0.090000,0.600000,2.000000,0.000000,3.151797
0.020000,18.127742,12.620487,0.102400,0.640000,2.000000,-0.000000,3.153533
0.020000,18.114544,12.620317,0.115600,0.680000,2.000000,0.000000,3.155387
0.020000,18.100547,12.620111,0.129600,0.720000,2.000000,0.000000,3.157361
0.020000,18.085750,12.619862,0.144400,0.760000,2.000000,0.000000,3.159458
0.020000,18.070153,12.619566,0.160000,0.800000,2.000000,0.000000,3.161677
0.020000,18.053756,12.619217,0.176400,0.840000,2.000000,0.000000,3.164022
0.020000,18.036560,12.618810,0.193600,0.880000,2.000000,-0.000000,3.166494
0.020000,18.018565,12.618339,0.211600,0.920000,2.000000,0.000000,3.169094
0.020000,17.999772,12.617796,0.230400,0.960000,2.000000,0.000000,3.171824
0.020000,17.980182,12.617175,0.250000,1.000000,2.000000,0.000000,3.174686
0.020000,17.959798,12.616470,0.270400,1.040000,2.000000,0.000000,3.177682
0.020000,17.938609,12.615672,0.291600,1.080000,2.000000,0.000000,3.180816
0.020000,17.916629,12.614773,0.313600,1.120000,2.000000,0.000000,3.184088
0.020000,17.893851,12.613766,0.336400,1.160000,2.000000,-0.000000,3.187501
0.020000,17.870278,12.612641,0.360000,1.200000,2.000000,0.000000,3.191059
0.020000,17.845909,12.611389,0.384400,1.240000,2.000000,-0.000000,3.194762
0.020000,17.820751,12.610002,0.409600,1.280000,2.000000,0.000000,3.198614
0.020000,17.794793,12.608468,0.435600,1.320000,2.000000,0.000000,3.202619
0.020000,17.768046,12.606778,0.462400,1.360000,2.000000,-0.000000,3.206778
0.020000,17.740509,12.604921,0.490000,1.400000,2.000000,0.000000,3.211095
0.020000,17.712183,12.602885,0.518400,1.440000,2.000000,0.000000,3.215572
0.020000,17.683069,12.600660,0.547600,1.480000,2.000000,0.000000,3.220214
0.020000,17.653167,12.598232,0.577600,1.520000,2.000000,0.000000,3.225023
0.020000,17.622480,12.595589,0.608400,1.560000,2.000000,0.000000,3.230003
0.020000,17.591010,12.592717,0.640000,1.600000,2.000000,0.000000,3.235157
0.020000,17.558760,12.589604,0.672400,1.640000,2.000000,-0.000000,3.240489
0.020000,17.525732,12.586236,0.705600,1.680000,2.000000,0.000000,3.246002
0.020000,17.491929,12.582596,0.739600,1.720000,2.000000,-0.000000,3.251701
0.020000,17.457349,12.578670,0.774400,1.760000,2.000000,-0.000000,3.257589
0.020000,17.422003,12.574443,0.810000,1.800000,2.000000,0.000000,3.263670
0.020000,17.385886,12.569897,0.846400,1.840000,2.000000,0.000000,3.269949
0.020000,17.349011,12.565016,0.883600,1.880000,2.000000,0.000000,3.276428
0.020000,17.311370,12.559782,0.921600,1.920000,2.000000,-0.000000,3.283113
0.020000,17.272977,12.554177,0.960400,1.960000,2.000000,0.000000,3.290008
0.020000,17.233835,12.548183,1.000000,2.000000,2.000000,0.000000,3.297115
0.020000,17.193947,12.541779,1.040400,2.040000,2.000000,0.000000,3.304441
0.020000,17.153317,12.534946,1.081600,2.080000,2.000000,0.000000,3.311990
0.020000,17.111954,12.527664,1.123600,2.120000,2.000000,0.000000,3.319764
0.020000,17.069863,12.519910,1.166400,2.160000,2.000000,0.000000,3.327769
0.020000,17.027049,12.511663,1.210000,2.200000,2.000000,-0.000000,3.336009
0.020000,16.983521,12.502901,1.254400,2.240000,2.000000,0.000000,3.344488
0.020000,16.939288,12.493600,1.299600,2.280000,2.000000,-0.000000,3.353209
0.020000,16.894360,12.483738,1.345600,2.320000,2.000000,-0.000000,3.362175
0.020000,16.848740,12.473288,1.392400,2.360000,2.000000,0.000000,3.371393
0.020000,16.802446,12.462227,1.440000,2.400000,2.000000,0.000000,3.380863
0.020000,16.755479,12.450528,1.488400,2.440000,2.000000,-0.000000,3.390590
0.020000,16.707858,12.438166,1.537600,2.480000,2.000000,0.000000,3.400576
0.020000,16.659593,12.425114,1.587600,2.520000,2.000000,0.000000,3.410823
0.020000,16.610696,12.411345,1.638400,2.560000,2.000000,0.000000,3.421335
0.020000,16.561179,12.396832,1.690000,2.600000,2.000000,0.000000,3.432112
0.020000,16.511058,12.381545,1.742400,2.640000,2.000000,0.000000,3.443156
0.020000,16.460349,12.365457,1.795600,2.680000,2.000000,-0.000000,3.454468
0.020000,16.409067,12.348539,1.849600,2.720000,2.000000,0.000000,3.466048
0.020000,16.357231,12.330763,1.904400,2.760000,2.000000,0.000000,3.477895
0.020000,16.304859,12.312098,1.960000,2.800000,2.000000,-0.000000,3.490007
0.020000,16.251967,12.292515,2.016400,2.840000,2.000000,0.000000,3.502384
0.020000,16.198580,12.271986,2.073600,2.880000,2.000000,0.000000,3.515022
0.020000,16.144714,12.250479,2.131600,2.920000,2.000000,0.000000,3.527918
0.020000,16.090395,12.227967,2.190400,2.960000,2.000000,0.000000,3.541066
0.020000,16.035645,12.204420,2.250000,3.000000,2.000000,0.000000,3.554461
0.020000,15.980852,12.179975,2.310000,3.000000,0.000000,-100.000000,3.568006
0.020000,15.926394,12.154788,2.370000,3.000000,0.000000,0.000000,3.581603
0.020000,15.872285,12.128862,2.430000,3.000000,0.000000,0.000000,3.595240
0.020000,15.818535,12.102199,2.490000,3.000000,0.000000,0.000000,3.608907
0.020000,15.765155,12.074804,2.550000,3.000000,0.000000,0.000000,3.622594
0.020000,15.712155,12.046681,2.610000,3.000000,0.000000,0.000000,3.636289
0.020000,15.659545,12.017834,2.670000,3.000000,0.000000,0.000000,3.649983
0.020000,15.607334,11.988270,2.730000,3.000000,0.000000,0.000000,3.663664
0.020000,15.555533,11.957996,2.790000,3.000000,0.000000,0.000000,3.677321
0.020000,15.504150,11.927017,2.850000,3.000000,0.000000,0.000000,3.690944
0.020000,15.453193,11.895342,2.910000,3.000000,0.000000,0.000000,3.704520
0.020000,15.402669,11.862981,2.970000,3.000000,0.000000,0.000000,3.718040
0.020000,15.352587,11.829940,3.030000,3.000000,0.000000,0.000000,3.731492
0.020000,15.302952,11.796230,3.090000,3.000000,0.000000,0.000000,3.744866
0.020000,15.253770,11.761862,3.150000,3.000000,0.000000,0.000000,3.758152
0.020000,15.205049,11.726846,3.210000,3.000000,0.000000,0.000000,3.771340
0.020000,15.156791,11.691193,3.270000,3.000000,0.000000,0.000000,3.784419
0.020000,15.109002,11.654915,3.330000,3.000000,0.000000,0.000000,3.797381
0.020000,15.061684,11.618023,3.390000,3.000000,0.000000,0.000000,3.810217
0.020000,15.014842,11.580531,3.450000,3.000000,0.000000,0.000000,3.822917
0.020000,14.968476,11.542449,3.510000,3.000000,0.000000,0.000000,3.835475
0.020000,14.922590,11.503792,3.570000,3.000000,0.000000,0.000000,3.847881
0.020000,14.877183,11.464572,3.630000,3.000000,0.000000,0.000000,3.860129
0.020000,14.832258,11.424802,3.690000,3.000000,0.000000,0.000000,3.872212
0.020000,14.787812,11.384497,3.750000,3.000000,0.000000,0.000000,3.884124
0.020000,14.743846,11.343668,3.810000,3.000000,0.000000,0.000000,3.895858
0.020000,14.700359,11.302331,3.870000,3.000000,0.000000,0.000000,3.907410
0.020000,14.657348,11.260498,3.930000,3.000000,0.000000,0.000000,3.918773
0.020000,14.614811,11.218183,3.990000,3.000000,0.000000,0.000000,3.929945
0.020000,14.572745,11.175399,4.050000,3.000000,0.000000,0.000000,3.940921
0.020000,14.531147,11.132161,4.110000,3.000000,0.000000,0.000000,3.951697
0.020000,14.490013,11.088480,4.170000,3.000000,0.000000,0.000000,3.962271
0.020000,14.449338,11.044372,4.230000,3.000000,0.000000,0.000000,3.972639
0.020000,14.409119,10.999848,4.290000,3.000000,0.000000,0.000000,3.982800
0.020000,14.369349,10.954923,4.350000,3.000000,0.000000,0.000000,3.992751
0.020000,14.330023,10.909607,4.410000,3.000000,0.000000,0.000000,4.002491
0.020000,14.291136,10.863915,4.470000,3.000000,0.000000,0.000000,4.012019
0.020000,14.252681,10.817859,4.530000,3.000000,0.000000,0.000000,4.021334
0.020000,14.214652,10.771451,4.590000,3.000000,0.000000,0.000000,4.030435
0.020000,14.177042,10.724702,4.650000,3.000000,0.000000,0.000000,4.039323
