dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.215966,13.535998,0.000400,0.040000,2.000000,100.000000,3.139444
0.020000,18.215816,13.535998,0.000550,0.007483,-1.625841,-181.292042,3.139608
0.020000,18.215567,13.535999,0.000799,0.012475,0.249605,93.772282,3.139880
0.020000,18.215217,13.535999,0.001149,0.017472,0.249853,0.012400,3.140262
0.020000,18.214768,13.536000,0.001598,0.022476,0.250200,0.017356,3.140754
0.020000,18.214218,13.536000,0.002148,0.027489,0.250646,0.022306,3.141354
0.020000,18.210108,13.535999,0.006258,0.205504,8.900716,432.503495,3.142066
0.020000,18.203355,13.535993,0.013011,0.337654,6.607532,-114.659186,3.142887
0.020000,18.195706,13.535980,0.020660,0.382445,2.239556,-218.398822,3.143819
0.020000,18.187145,13.535956,0.029221,0.428032,2.279349,1.989664,3.144865
0.020000,18.177691,13.535920,0.038675,0.472714,2.234097,-2.262581,3.146022
0.020000,18.167324,13.535867,0.049043,0.518385,2.283534,2.471814,3.147293
0.020000,18.156058,13.535795,0.060309,0.563305,2.246000,-1.876683,3.148679
0.020000,18.143886,13.535700,0.072481,0.608625,2.266001,1.000056,3.150180
0.020000,18.130804,13.535577,0.085564,0.654128,2.275176,0.458766,3.151797
0.020000,18.116817,13.535422,0.099551,0.699384,2.262785,-0.619558,3.153533
0.020000,18.101923,13.535230,0.114447,0.744764,2.269014,0.311425,3.155387
0.020000,18.086119,13.534997,0.130252,0.790258,2.274668,0.282712,3.157361
0.020000,18.069405,13.534716,0.146969,0.835853,2.279746,0.253885,3.159458
0.020000,18.051777,13.534381,0.164600,0.881543,2.284512,0.238288,3.161677
0.020000,18.033235,13.533987,0.183146,0.927296,2.287634,0.156145,3.164022
0.020000,18.013778,13.533526,0.202608,0.973131,2.291775,0.207037,3.166494
0.020000,17.993405,13.532993,0.222989,1.019017,2.294274,0.124957,3.169094
0.020000,17.972115,13.532378,0.244288,1.064946,2.296464,0.109488,3.171824
0.020000,17.949908,13.531674,0.266506,1.110908,2.298081,0.080860,3.174686
0.020000,17.926783,13.530874,0.289644,1.156928,2.301000,0.145957,3.177682
0.020000,17.902729,13.529968,0.313715,1.203546,2.330903,1.495149,3.180816
0.020000,17.877757,13.528947,0.338708,1.249632,2.304299,-1.330215,3.184088
0.020000,17.851859,13.527802,0.364632,1.296193,2.328072,1.188650,3.187501
0.020000,17.825035,13.526522,0.391486,1.342706,2.325667,-0.120258,3.191059
0.020000,17.797282,13.525096,0.419276,1.389499,2.339629,0.698122,3.194762
0.020000,17.768604,13.523515,0.447997,1.436060,2.328058,-0.578589,3.198614
0.020000,17.738989,13.521765,0.477664,1.483352,2.364610,1.827645,3.202619
0.020000,17.708443,13.519835,0.508270,1.530318,2.348291,-0.815950,3.206778
0.020000,17.676966,13.517712,0.539820,1.577455,2.356846,0.427719,3.211095
0.020000,17.644553,13.515382,0.572315,1.624792,2.366855,0.500474,3.215572
0.020000,17.611204,13.512833,0.605762,1.672315,2.376126,0.463549,3.220214
0.020000,17.576917,13.510049,0.640162,1.720008,2.384656,0.426475,3.225023
0.020000,17.541690,13.507015,0.675519,1.767857,2.392442,0.389333,3.230003
0.020000,17.505524,13.503715,0.711836,1.815846,2.399487,0.352204,3.235157
