dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.625120,11.607545,0.000050,0.009996,0.999626,99.962629,3.143696
0.010000,17.625100,11.607544,0.000069,0.001932,-0.806396,-180.602229,3.143675
0.010000,17.625062,11.607544,0.000108,0.003865,0.193251,99.964736,3.143633
0.010000,17.625004,11.607544,0.000166,0.005798,0.193294,0.004215,3.143569
0.010000,17.624926,11.607544,0.000243,0.007731,0.193357,0.006322,3.143485
0.010000,17.624830,11.607544,0.000340,0.009666,0.193441,0.008431,3.143379
0.010000,17.624714,11.607544,0.000456,0.011601,0.193546,0.010540,3.143253
0.010000,17.624578,11.607544,0.000591,0.013538,0.193673,0.012650,3.143105
0.010000,17.624424,11.607543,0.000746,0.015476,0.193821,0.014762,3.142935
0.010000,17.624249,11.607543,0.000920,0.017416,0.193989,0.016874,3.142745
0.010000,17.624056,11.607543,0.001114,0.019358,0.194179,0.018989,3.142534
0.010000,17.623843,11.607543,0.001327,0.021302,0.194390,0.021105,3.142301
0.010000,17.623610,11.607543,0.001559,0.023248,0.194622,0.023223,3.142047
0.010000,17.623358,11.607542,0.001811,0.025197,0.194876,0.025344,3.141771
0.010000,17.621972,11.607543,0.003198,0.138645,11.344837,1114.996089,3.141474
0.010000,17.618679,11.607543,0.006491,0.329317,19.067237,772.240002,3.141156
0.010000,17.615167,11.607546,0.010002,0.351159,2.184171,-1688.306579,3.140816
0.010000,17.611437,11.607549,0.013732,0.372979,2.181997,-0.217448,3.140455
0.010000,17.607490,11.607554,0.017680,0.394776,2.179689,-0.230774,3.140072
0.010000,17.603324,11.607562,0.021846,0.416548,2.177248,-0.244052,3.139667
0.010000,17.598935,11.607571,0.026235,0.438927,2.237830,6.058221,3.139241
0.010000,17.594323,11.607583,0.030847,0.461218,2.229099,-0.873123,3.138792
0.010000,17.589493,11.607598,0.035677,0.482965,2.174751,-5.434829,3.138322
0.010000,17.584446,11.607615,0.040723,0.504683,2.171769,-0.298173,3.137829
0.010000,17.579182,11.607636,0.045988,0.526469,2.178561,0.679177,3.137315
0.010000,17.573687,11.607661,0.051483,0.549456,2.298723,12.016172,3.136777
0.010000,17.567976,11.607691,0.057194,0.571132,2.167614,-13.110843,3.136218
0.010000,17.562048,11.607724,0.063122,0.592773,2.164096,-0.351835,3.135636
0.010000,17.555900,11.607763,0.069270,0.614876,2.210275,4.617897,3.135032
0.010000,17.549524,11.607806,0.075647,0.637604,2.272881,6.260631,3.134405
0.010000,17.542932,11.607856,0.082238,0.659187,2.158289,-11.459250,3.133755
0.010000,17.536125,11.607912,0.089046,0.680730,2.154240,-0.404833,3.133083
0.010000,17.529085,11.607974,0.096086,0.704058,2.332845,17.860431,3.132386
0.010000,17.521829,11.608043,0.103342,0.725575,2.151685,-18.115956,3.131667
0.010000,17.514359,11.608120,0.110813,0.747066,2.149114,-0.257117,3.130925
0.010000,17.506655,11.608205,0.118517,0.770469,2.340242,19.112838,3.130158
0.010000,17.498736,11.608299,0.126436,0.791898,2.142952,-19.729064,3.129368
0.010000,17.490598,11.608402,0.134575,0.813860,2.196198,5.324655,3.128555
0.010000,17.482231,11.608514,0.142943,0.836784,2.292426,9.622821,3.127717
0.010000,17.473651,11.608637,0.151524,0.858119,2.133437,-15.898924,3.126856
0.010000,17.464841,11.608771,0.160335,0.881068,2.294946,16.150905,3.125970
0.010000,17.455813,11.608916,0.169364,0.902972,2.190391,-10.455504,3.125060
0.010000,17.446564,11.609073,0.178615,0.925023,2.205042,1.465096,3.124125
0.010000,17.437087,11.609243,0.188093,0.947828,2.280525,7.548246,3.123165
0.010000,17.427397,11.609427,0.197785,0.969217,2.138910,-14.161431,3.122180
0.010000,17.417472,11.609625,0.207712,0.992674,2.345724,20.681352,3.121170
0.010000,17.407336,11.609837,0.217850,1.013774,2.110019,-23.570507,3.120135
0.010000,17.396965,11.610065,0.228223,1.037365,2.359062,24.904360,3.119073
0.010000,17.386383,11.610309,0.238808,1.058528,2.116297,-24.276506,3.117987
0.010000,17.375566,11.610570,0.249629,1.082044,2.351591,23.529383,3.116873
0.010000,17.364537,11.610849,0.260661,1.103243,2.119958,-23.163298,3.115734
0.010000,17.353271,11.611147,0.271931,1.126922,2.367822,24.786364,3.114568
0.010000,17.341794,11.611464,0.283412,1.148162,2.124031,-24.379036,3.113376
0.010000,17.330082,11.611802,0.295130,1.171734,2.357173,23.314110,3.112156
0.010000,17.318153,11.612161,0.307063,1.193381,2.164707,-19.246513,3.110909
0.010000,17.305996,11.612542,0.319227,1.216359,2.297838,13.313053,3.109635
0.010000,17.293615,11.612946,0.331615,1.238768,2.240927,-5.691077,3.108333
0.010000,17.281013,11.613373,0.344224,1.260906,2.213738,-2.718937,3.107003
0.010000,17.268178,11.613826,0.357067,1.284313,2.340688,12.695049,3.105644
0.010000,17.255125,11.614305,0.370128,1.306100,2.178771,-16.191775,3.104258
0.010000,17.241842,11.614810,0.383420,1.329263,2.316273,13.750225,3.102842
0.010000,17.228334,11.615344,0.396940,1.351922,2.265852,-5.042123,3.101397
0.010000,17.214606,11.615906,0.410679,1.373941,2.201937,-6.391421,3.099923
0.010000,17.200643,11.616499,0.424655,1.397545,2.360388,15.845055,3.098418
0.010000,17.186456,11.617122,0.438855,1.420011,2.246625,-11.376247,3.096884
0.010000,17.172049,11.617778,0.453277,1.442248,2.223700,-2.292513,3.095320
0.010000,17.157408,11.618468,0.467934,1.465710,2.346221,12.252059,3.093724
0.010000,17.142540,11.619192,0.482820,1.488539,2.282837,-6.338372,3.092097
0.010000,17.127450,11.619952,0.497929,1.510979,2.244027,-3.881050,3.090440
0.010000,17.112133,11.620749,0.513267,1.533719,2.274012,2.998528,3.088751
0.010000,17.096581,11.621585,0.528841,1.557461,2.374223,10.021065,3.087028
0.010000,17.080804,11.622461,0.544642,1.580090,2.262889,-11.133334,3.085274
0.010000,17.064803,11.623377,0.560670,1.602802,2.271203,0.831406,3.083487
0.010000,17.048575,11.624336,0.576926,1.625596,2.279353,0.814988,3.081667
0.010000,17.032111,11.625339,0.593420,1.649407,2.381116,10.176300,3.079813
0.010000,17.015420,11.626388,0.610144,1.672419,2.301202,-7.991381,3.077925
0.010000,16.998502,11.627483,0.627098,1.695376,2.295719,-0.548312,3.076002
0.010000,16.981356,11.628626,0.644282,1.718408,2.303190,0.747102,3.074045
0.010000,16.963981,11.629818,0.661697,1.741513,2.310489,0.729836,3.072052
0.010000,16.946378,11.631062,0.679345,1.764721,2.320814,1.032564,3.070024
0.010000,16.928539,11.632360,0.697230,1.788595,2.387340,6.652613,3.067959
0.010000,16.910471,11.633712,0.715349,1.811838,2.324300,-6.304094,3.065858
0.010000,16.892174,11.635120,0.733700,1.835146,2.330898,0.659887,3.063719
0.010000,16.873647,11.636586,0.752285,1.858520,2.337318,0.641996,3.061543
0.010000,16.854889,11.638111,0.771105,1.881955,2.343558,0.623970,3.059330
0.010000,16.835901,11.639698,0.790160,1.905451,2.349616,0.605820,3.057077
0.010000,16.816682,11.641349,0.809450,1.929006,2.355492,0.587556,3.054785
0.010000,16.797231,11.643064,0.828976,1.952618,2.361184,0.569190,3.052454
