dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.623195,12.522542,0.000050,0.009996,0.999626,99.962629,3.143696
0.010000,17.623195,12.522542,0.000250,0.029989,1.999253,99.962629,3.143675
0.010000,17.623195,12.522542,0.000650,0.049981,1.999253,0.000000,3.143633
0.010000,17.623195,12.522542,0.001250,0.069974,1.999253,-0.000000,3.143569
0.010000,17.623195,12.522542,0.002049,0.089966,1.999253,0.000000,3.143485
0.010000,17.623195,12.522542,0.003049,0.109959,1.999253,-0.000000,3.143379
0.010000,17.623195,12.522542,0.004248,0.129951,1.999253,0.000000,3.143253
0.010000,17.623195,12.522542,0.005648,0.149944,1.999253,-0.000000,3.143105
0.010000,17.623195,12.522542,0.007247,0.169936,1.999253,0.000000,3.142935
0.010000,17.623195,12.522542,0.009047,0.189929,1.999253,0.000000,3.142745
0.010000,17.623195,12.522542,0.011046,0.209922,1.999253,0.000000,3.142534
0.010000,17.623195,12.522542,0.013245,0.229914,1.999253,-0.000000,3.142301
0.010000,17.623195,12.522542,0.015644,0.249907,1.999253,0.000000,3.142047
0.010000,17.623195,12.522542,0.018243,0.269899,1.999253,-0.000000,3.141771
0.010000,17.622080,12.522543,0.021042,0.289892,1.999253,-0.000000,3.141474
0.010000,17.619078,12.522543,0.024041,0.309884,1.999253,0.000000,3.141156
0.010000,17.615878,12.522545,0.027240,0.329877,1.999253,0.000000,3.140816
0.010000,17.612479,12.522549,0.030639,0.349869,1.999253,0.000000,3.140455
0.010000,17.608881,12.522553,0.034237,0.369862,1.999253,0.000000,3.140072
0.010000,17.605086,12.522560,0.038036,0.389854,1.999253,0.000000,3.139667
0.010000,17.601087,12.522568,0.042034,0.409847,1.999253,0.000000,3.139241
0.010000,17.596885,12.522579,0.046233,0.429839,1.999253,0.000000,3.138792
0.010000,17.592486,12.522593,0.050631,0.449832,1.999253,-0.000000,3.138322
0.010000,17.587890,12.522609,0.055229,0.469824,1.999253,0.000000,3.137829
0.010000,17.583096,12.522628,0.060028,0.489817,1.999253,0.000000,3.137315
0.010000,17.578093,12.522651,0.065026,0.509809,1.999253,-0.000000,3.136777
0.010000,17.572894,12.522677,0.070224,0.529802,1.999253,0.000000,3.136218
0.010000,17.567498,12.522708,0.075622,0.549794,1.999253,0.000000,3.135636
0.010000,17.561902,12.522743,0.081220,0.569787,1.999253,0.000000,3.135032
0.010000,17.556101,12.522783,0.087017,0.589780,1.999253,0.000000,3.134405
0.010000,17.550104,12.522828,0.093015,0.609772,1.999253,0.000000,3.133755
0.010000,17.543912,12.522878,0.099213,0.629765,1.999253,0.000000,3.133083
0.010000,17.537509,12.522935,0.105611,0.649757,1.999253,0.000000,3.132386
0.010000,17.530911,12.522998,0.112208,0.669750,1.999253,0.000000,3.131667
0.010000,17.524120,12.523068,0.119006,0.689742,1.999253,0.000000,3.130925
0.010000,17.517117,12.523146,0.126003,0.709735,1.999253,-0.000000,3.130158
0.010000,17.509921,12.523231,0.133200,0.729727,1.999253,0.000000,3.129368
0.010000,17.502527,12.523324,0.140597,0.749720,1.999253,0.000000,3.128555
0.010000,17.494927,12.523426,0.148195,0.769712,1.999253,0.000000,3.127717
0.010000,17.487134,12.523538,0.155992,0.789705,1.999253,0.000000,3.126856
0.010000,17.479136,12.523659,0.163989,0.809697,1.999253,0.000000,3.125970
0.010000,17.470940,12.523791,0.172186,0.829690,1.999253,0.000000,3.125060
0.010000,17.462546,12.523934,0.180582,0.849682,1.999253,0.000000,3.124125
0.010000,17.453948,12.524088,0.189179,0.869675,1.999253,-0.000000,3.123165
0.010000,17.445158,12.524254,0.197976,0.889667,1.999253,0.000000,3.122180
0.010000,17.436158,12.524434,0.206973,0.909660,1.999253,0.000000,3.121170
0.010000,17.426969,12.524626,0.216169,0.929652,1.999253,0.000000,3.120135
0.010000,17.417569,12.524833,0.225566,0.949645,1.999253,0.000000,3.119073
0.010000,17.407980,12.525054,0.235162,0.969637,1.999253,0.000000,3.117987
0.010000,17.398182,12.525291,0.244958,0.989630,1.999253,0.000000,3.116873
0.010000,17.388194,12.525544,0.254955,1.009623,1.999253,0.000000,3.115734
0.010000,17.377996,12.525813,0.265151,1.029615,1.999253,-0.000000,3.114568
0.010000,17.367609,12.526100,0.275547,1.049608,1.999253,0.000000,3.113376
0.010000,17.357012,12.526406,0.286143,1.069600,1.999253,-0.000000,3.112156
0.010000,17.346224,12.526730,0.296939,1.089593,1.999253,0.000000,3.110909
0.010000,17.335232,12.527075,0.307935,1.109585,1.999253,-0.000000,3.109635
0.010000,17.324042,12.527440,0.319131,1.129578,1.999253,0.000000,3.108333
0.010000,17.312656,12.527826,0.330526,1.149570,1.999253,-0.000000,3.107003
0.010000,17.301063,12.528235,0.342122,1.169563,1.999253,0.000000,3.105644
0.010000,17.289279,12.528667,0.353918,1.189555,1.999253,-0.000000,3.104258
0.010000,17.277291,12.529123,0.365913,1.209548,1.999253,0.000000,3.102842
0.010000,17.265103,12.529605,0.378109,1.229540,1.999253,-0.000000,3.101397
0.010000,17.252723,12.530112,0.390504,1.249533,1.999253,0.000000,3.099923
0.010000,17.240135,12.530646,0.403099,1.269525,1.999253,0.000000,3.098418
0.010000,17.227351,12.531208,0.415895,1.289518,1.999253,-0.000000,3.096884
0.010000,17.214374,12.531799,0.428890,1.309510,1.999253,0.000000,3.095320
