dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.621304,13.437541,0.000400,0.040000,2.000000,100.000000,3.143659
0.020000,17.621420,13.437541,0.000516,0.005800,-1.710001,-185.500070,3.143532
0.020000,17.621613,13.437541,0.000709,0.009669,0.193473,95.173720,3.143321
0.020000,17.621884,13.437542,0.000980,0.013543,0.193684,0.010548,3.143025
0.020000,17.622233,13.437542,0.001329,0.017423,0.193979,0.014773,3.142644
0.020000,17.622659,13.437542,0.001755,0.021310,0.194360,0.019004,3.142178
0.020000,17.623163,13.437542,0.002259,0.025206,0.194824,0.023241,3.141627
0.020000,17.618069,13.437544,0.007353,0.254681,11.473731,563.945358,3.140990
0.020000,17.611930,13.437550,0.013492,0.306962,2.614032,-442.984957,3.140267
0.020000,17.605076,13.437562,0.020346,0.342687,1.786278,-41.387725,3.139458
0.020000,17.597492,13.437581,0.027930,0.379226,1.826961,2.034179,3.138560
0.020000,17.589197,13.437611,0.036225,0.414739,1.775606,-2.567761,3.137575
0.020000,17.580177,13.437652,0.045245,0.451017,1.813946,1.916977,3.136500
0.020000,17.570447,13.437707,0.054976,0.486523,1.775256,-1.934499,3.135337
0.020000,17.559990,13.437779,0.065432,0.522824,1.815078,1.991130,3.134082
0.020000,17.548825,13.437870,0.076598,0.558272,1.772409,-2.133482,3.132736
0.020000,17.536943,13.437984,0.088481,0.594172,1.795006,1.129884,3.131297
0.020000,17.524343,13.438123,0.101081,0.630001,1.791417,-0.179483,3.129764
0.020000,17.511035,13.438292,0.114391,0.665488,1.774343,-0.853694,3.128136
0.020000,17.497016,13.438492,0.128411,0.700989,1.775071,0.036429,3.126412
0.020000,17.482285,13.438729,0.143143,0.736641,1.782606,0.376751,3.124591
0.020000,17.466843,13.439007,0.158588,0.772237,1.779810,-0.139821,3.122670
0.020000,17.450695,13.439329,0.174740,0.807584,1.767350,-0.623019,3.120649
0.020000,17.433841,13.439700,0.191598,0.842880,1.764777,-0.128611,3.118526
0.020000,17.416284,13.440124,0.209160,0.878107,1.761354,-0.171159,3.116299
0.020000,17.398025,13.440607,0.227425,0.913248,1.757071,-0.214165,3.113967
0.020000,17.379068,13.441154,0.246390,0.948287,1.751919,-0.257594,3.111527
0.020000,17.359412,13.441771,0.266056,0.983263,1.748800,-0.155950,3.108977
0.020000,17.339056,13.442462,0.286424,1.018405,1.757107,0.415361,3.106315
0.020000,17.318007,13.443234,0.307486,1.053124,1.735946,-1.058048,3.103540
0.020000,17.296271,13.444093,0.329240,1.087668,1.727202,-0.437240,3.100649
0.020000,17.273848,13.445045,0.351683,1.122166,1.724900,-0.115094,3.097640
0.020000,17.250732,13.446098,0.374822,1.156968,1.740096,0.759835,3.094509
0.020000,17.226941,13.447258,0.398642,1.190970,1.700094,-2.000100,3.091255
0.020000,17.202466,13.448532,0.423151,1.225447,1.723840,1.187300,3.087874
0.020000,17.177318,13.449929,0.448337,1.259301,1.692727,-1.555645,3.084364
0.020000,17.151493,13.451455,0.474206,1.293492,1.709522,0.839707,3.080721
0.020000,17.125007,13.453120,0.500746,1.326956,1.673241,-1.814031,3.076944
0.020000,17.097847,13.454931,0.527965,1.360973,1.700838,1.379862,3.073027
0.020000,17.070030,13.456898,0.555852,1.394355,1.669117,-1.586043,3.068968
0.020000,17.041558,13.459030,0.584403,1.427561,1.660295,-0.441111,3.064764
0.020000,17.012436,13.461335,0.613617,1.460672,1.655532,-0.238181,3.060410
0.020000,16.982663,13.463825,0.643494,1.493840,1.658394,0.143114,3.055903
0.020000,16.952248,13.466509,0.674027,1.526647,1.640359,-0.901738,3.051238
0.020000,16.921198,13.469397,0.705211,1.559216,1.628445,-0.595689,3.046412
0.020000,16.889518,13.472502,0.737043,1.591592,1.618806,-0.481984,3.041421
0.020000,16.857214,13.475832,0.769518,1.623750,1.607914,-0.544594,3.036259
0.020000,16.824290,13.479402,0.802635,1.655866,1.605801,-0.105618,3.030921
0.020000,16.790753,13.483222,0.836389,1.687699,1.591615,-0.709329,3.025404
0.020000,16.756613,13.487305,0.870772,1.719152,1.572648,-0.948328,3.019702
0.020000,16.721880,13.491664,0.905778,1.750285,1.556658,-0.799532,3.013810
0.020000,16.686552,13.496312,0.941410,1.781589,1.565200,0.427109,3.007722
0.020000,16.650646,13.501262,0.977655,1.812279,1.534525,-1.533740,3.001433
0.020000,16.614169,13.506529,1.014511,1.842809,1.526478,-0.402352,2.994938
0.020000,16.577128,13.512127,1.051973,1.873075,1.513319,-0.657936,2.988230
0.020000,16.539532,13.518072,1.090036,1.903159,1.504164,-0.457764,2.981302
0.020000,16.501396,13.524377,1.128689,1.932675,1.475845,-1.415957,2.974151
0.020000,16.462725,13.531060,1.167933,1.962187,1.475579,-0.013291,2.966767
0.020000,16.423531,13.538137,1.207761,1.991394,1.460360,-0.760959,2.959146
0.020000,16.383828,13.545623,1.248164,2.020137,1.437127,-1.161654,2.951279
0.020000,16.343627,13.553536,1.289136,2.048601,1.423239,-0.694401,2.943161
