dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.106964,18.161086,0.000050,0.009994,0.999372,99.937178,6.282920
0.010000,0.106960,18.161086,0.000054,0.000426,-0.956800,-195.617219,6.282924
0.010000,0.106951,18.161086,0.000063,0.000851,0.042561,99.936120,6.282934
0.010000,0.106939,18.161086,0.000076,0.001277,0.042540,-0.002115,6.282948
0.010000,0.106921,18.161086,0.000093,0.001702,0.042508,-0.003173,6.282966
0.010000,0.106900,18.161086,0.000114,0.002126,0.042466,-0.004231,6.282990
0.010000,0.106875,18.161086,0.000139,0.002551,0.042413,-0.005288,6.283017
0.010000,0.106845,18.161086,0.000169,0.002974,0.042349,-0.006346,6.283050
0.010000,0.106811,18.161086,0.000203,0.003397,0.042275,-0.007404,6.283087
0.010000,0.106773,18.161086,0.000241,0.003819,0.042191,-0.008461,6.283129
0.010000,0.106730,18.161086,0.000284,0.004240,0.042095,-0.009518,6.283175
0.010000,0.108442,18.161086,0.001995,0.171112,16.687229,1664.513361,0.000041
0.010000,0.110789,18.161086,0.004342,0.234770,6.365779,-1032.144998,0.000096
0.010000,0.113333,18.161087,0.006886,0.254341,1.957104,-440.867485,0.000156
0.010000,0.116072,18.161087,0.009625,0.273914,1.957270,0.016542,0.000221
0.010000,0.119007,18.161088,0.012560,0.293486,1.957232,-0.003717,0.000290
0.010000,0.122137,18.161089,0.015690,0.313058,1.957208,-0.002397,0.000364
0.010000,0.125464,18.161090,0.019017,0.332636,1.957802,0.059322,0.000442
0.010000,0.128986,18.161092,0.022539,0.352216,1.958018,0.021619,0.000524
0.010000,0.132704,18.161094,0.026257,0.371791,1.957526,-0.049140,0.000612
0.010000,0.136617,18.161097,0.030171,0.391375,1.958403,0.087636,0.000703
0.010000,0.140727,18.161100,0.034280,0.410962,1.958645,0.024213,0.000799
0.010000,0.145032,18.161103,0.038586,0.430543,1.958141,-0.050384,0.000899
0.010000,0.149534,18.161108,0.043087,0.450135,1.959208,0.106705,0.001004
