dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.106721,17.246086,0.000050,0.009994,0.999372,99.937178,6.282920
0.010000,0.106721,17.246086,0.000250,0.029981,1.998744,99.937178,6.282924
0.010000,0.106721,17.246086,0.000650,0.049969,1.998744,0.000000,6.282934
0.010000,0.106721,17.246086,0.001249,0.069956,1.998744,-0.000000,6.282948
0.010000,0.106721,17.246086,0.002049,0.089943,1.998744,0.000000,6.282966
0.010000,0.106721,17.246086,0.003048,0.109931,1.998744,0.000000,6.282990
0.010000,0.106721,17.246086,0.004247,0.129918,1.998744,-0.000000,6.283017
0.010000,0.106721,17.246086,0.005646,0.149906,1.998744,0.000000,6.283050
0.010000,0.106721,17.246086,0.007245,0.169893,1.998744,0.000000,6.283087
0.010000,0.106721,17.246086,0.009044,0.189881,1.998744,-0.000000,6.283129
0.010000,0.106721,17.246086,0.011043,0.209868,1.998744,0.000000,6.283175
0.010000,0.108479,17.246086,0.013242,0.229856,1.998744,-0.000000,0.000041
0.010000,0.110877,17.246086,0.015640,0.249843,1.998744,0.000000,0.000096
0.010000,0.113476,17.246087,0.018239,0.269830,1.998744,-0.000000,0.000156
0.010000,0.116274,17.246087,0.021037,0.289818,1.998744,0.000000,0.000221
0.010000,0.119272,17.246088,0.024035,0.309805,1.998744,-0.000000,0.000290
0.010000,0.122470,17.246089,0.027233,0.329793,1.998744,0.000000,0.000364
0.010000,0.125868,17.246090,0.030631,0.349780,1.998744,-0.000000,0.000442
0.010000,0.129466,17.246092,0.034228,0.369768,1.998744,0.000000,0.000524
0.010000,0.133263,17.246094,0.038026,0.389755,1.998744,0.000000,0.000612
0.010000,0.137261,17.246097,0.042024,0.409742,1.998744,0.000000,0.000703
0.010000,0.141458,17.246100,0.046221,0.429730,1.998744,-0.000000,0.000799
0.010000,0.145855,17.246104,0.050618,0.449717,1.998744,0.000000,0.000899
0.010000,0.150452,17.246108,0.055215,0.469705,1.998744,-0.000000,0.001004
0.010000,0.155249,17.246113,0.060012,0.489692,1.998744,0.000000,0.001113
0.010000,0.160246,17.246119,0.065009,0.509680,1.998744,-0.000000,0.001226
0.010000,0.165443,17.246126,0.070206,0.529667,1.998744,-0.000000,0.001344
0.010000,0.170840,17.246133,0.075602,0.549654,1.998744,0.000000,0.001466
0.010000,0.176436,17.246142,0.081199,0.569642,1.998744,-0.000000,0.001592
0.010000,0.182232,17.246151,0.086995,0.589629,1.998744,0.000000,0.001722
0.010000,0.188229,17.246162,0.092992,0.609617,1.998744,0.000000,0.001856
0.010000,0.194425,17.246174,0.099188,0.629604,1.998744,0.000000,0.001995
0.010000,0.200821,17.246187,0.105584,0.649592,1.998744,-0.000000,0.002137
0.010000,0.207417,17.246202,0.112179,0.669579,1.998744,0.000000,0.002284
0.010000,0.214212,17.246218,0.118975,0.689567,1.998744,0.000000,0.002434
0.010000,0.221208,17.246235,0.125971,0.709554,1.998744,0.000000,0.002589
0.010000,0.228403,17.246255,0.133166,0.729541,1.998744,0.000000,0.002748
0.010000,0.235799,17.246276,0.140562,0.749529,1.998744,-0.000000,0.002910
0.010000,0.243394,17.246298,0.148157,0.769516,1.998744,0.000000,0.003076
0.010000,0.251189,17.246323,0.155952,0.789504,1.998744,0.000000,0.003246
0.010000,0.259184,17.246350,0.163947,0.809491,1.998744,-0.000000,0.003420
0.010000,0.267379,17.246378,0.172142,0.829479,1.998744,0.000000,0.003597
0.010000,0.275773,17.246409,0.180537,0.849466,1.998744,0.000000,0.003778
0.010000,0.284368,17.246443,0.189131,0.869453,1.998744,-0.000000,0.003963
0.010000,0.293162,17.246478,0.197926,0.889441,1.998744,0.000000,0.004151
0.010000,0.302156,17.246516,0.206920,0.909428,1.998744,-0.000000,0.004343
0.010000,0.311351,17.246557,0.216114,0.929416,1.998744,0.000000,0.004538
0.010000,0.320745,17.246601,0.225508,0.949403,1.998744,-0.000000,0.004737
0.010000,0.330338,17.246647,0.235102,0.969391,1.998744,0.000000,0.004939
0.010000,0.340132,17.246697,0.244896,0.989378,1.998744,0.000000,0.005144
0.010000,0.350126,17.246749,0.254890,1.009365,1.998744,-0.000000,0.005353
0.010000,0.360319,17.246805,0.265083,1.029353,1.998744,0.000000,0.005564
0.010000,0.370712,17.246864,0.275477,1.049340,1.998744,0.000000,0.005779
0.010000,0.381306,17.246926,0.286070,1.069328,1.998744,0.000000,0.005997
0.010000,0.392099,17.246992,0.296863,1.089315,1.998744,-0.000000,0.006218
0.010000,0.403091,17.247062,0.307856,1.109303,1.998744,0.000000,0.006442
0.010000,0.414284,17.247135,0.319049,1.129290,1.998744,0.000000,0.006668
0.010000,0.425677,17.247212,0.330442,1.149278,1.998744,0.000000,0.006898
0.010000,0.437269,17.247293,0.342035,1.169265,1.998744,0.000000,0.007130
0.010000,0.449061,17.247379,0.353828,1.189252,1.998744,-0.000000,0.007365
0.010000,0.461054,17.247469,0.365820,1.209240,1.998744,0.000000,0.007602
0.010000,0.473246,17.247563,0.378012,1.229227,1.998744,-0.000000,0.007842
0.010000,0.485637,17.247662,0.390405,1.249215,1.998744,0.000000,0.008085
0.010000,0.498229,17.247765,0.402997,1.269202,1.998744,0.000000,0.008330
