dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.106486,16.331086,0.000400,0.040000,2.000000,100.000000,6.282928
0.020000,0.106511,16.331086,0.000426,0.001277,-1.936125,-196.806266,6.282956
0.020000,0.106554,16.331086,0.000468,0.002128,0.042513,98.931892,6.283002
0.020000,0.106613,16.331086,0.000528,0.002976,0.042407,-0.005295,6.283067
0.020000,0.106690,16.331086,0.000604,0.003821,0.042258,-0.007413,6.283151
0.020000,0.109699,16.331086,0.003613,0.150464,7.332146,364.494396,0.000068
0.020000,0.115009,16.331087,0.008923,0.265499,5.751748,-79.019905,0.000188
0.020000,0.121135,16.331088,0.015050,0.306330,2.041571,-185.508878,0.000326
0.020000,0.128079,16.331091,0.021993,0.347155,2.041237,-0.016695,0.000482
0.020000,0.135838,16.331096,0.029752,0.387972,2.040836,-0.020058,0.000657
0.020000,0.144414,16.331102,0.038328,0.428782,2.040527,-0.015415,0.000849
0.020000,0.153805,16.331111,0.047720,0.469583,2.040047,-0.024014,0.001058
0.020000,0.164013,16.331123,0.057927,0.510373,2.039465,-0.029104,0.001285
0.020000,0.175036,16.331138,0.068950,0.551153,2.039019,-0.022312,0.001529
0.020000,0.186874,16.331158,0.080789,0.591922,2.038447,-0.028582,0.001789
0.020000,0.199528,16.331182,0.093442,0.632679,2.037832,-0.030728,0.002066
0.020000,0.212996,16.331212,0.106911,0.673421,2.037145,-0.034358,0.002360
0.020000,0.227279,16.331248,0.121194,0.714150,2.036411,-0.036702,0.002669
0.020000,0.242376,16.331291,0.136291,0.754865,2.035746,-0.033261,0.002994
0.020000,0.258288,16.331341,0.152202,0.795565,2.034997,-0.037455,0.003334
0.020000,0.275012,16.331400,0.168927,0.836245,2.034002,-0.049732,0.003689
0.020000,0.292550,16.331468,0.186465,0.876911,2.033316,-0.034310,0.004059
0.020000,0.310901,16.331546,0.204817,0.917556,2.032258,-0.052886,0.004443
0.020000,0.330065,16.331635,0.223980,0.958185,2.031463,-0.039780,0.004840
0.020000,0.350040,16.331736,0.243956,0.998791,2.030286,-0.058820,0.005251
0.020000,0.370828,16.331849,0.264744,1.039378,2.029358,-0.046436,0.005674
0.020000,0.392426,16.331977,0.286342,1.079944,2.028286,-0.053573,0.006110
0.020000,0.414836,16.332119,0.308752,1.120487,2.027147,-0.056942,0.006558
0.020000,0.438055,16.332276,0.331972,1.161006,2.025976,-0.058593,0.007017
0.020000,0.462085,16.332450,0.356002,1.201502,2.024771,-0.060250,0.007487
0.020000,0.486923,16.332642,0.380842,1.241972,2.023532,-0.061916,0.007968
0.020000,0.512571,16.332853,0.406490,1.282418,2.022260,-0.063591,0.008458
0.020000,0.539026,16.333083,0.432947,1.322837,2.020955,-0.065277,0.008957
0.020000,0.566290,16.333335,0.460211,1.363226,2.019478,-0.073847,0.009464
0.020000,0.594360,16.333607,0.488283,1.403590,2.018160,-0.065883,0.009980
0.020000,0.623237,16.333903,0.517162,1.443924,2.016733,-0.071378,0.010503
0.020000,0.652920,16.334223,0.546846,1.484227,2.015132,-0.080021,0.011032
0.020000,0.683408,16.334567,0.577336,1.524501,2.013702,-0.071536,0.011568
0.020000,0.714701,16.334938,0.608631,1.564743,2.012121,-0.079008,0.012109
0.020000,0.746797,16.335335,0.640730,1.604951,2.010391,-0.086543,0.012654
0.020000,0.779697,16.335761,0.673633,1.645128,2.008850,-0.077034,0.013203
0.020000,0.813400,16.336215,0.707338,1.685271,2.007133,-0.085863,0.013756
0.020000,0.847904,16.336699,0.741846,1.725378,2.005383,-0.087487,0.014311
0.020000,0.883209,16.337215,0.777155,1.765450,2.003600,-0.089130,0.014867
0.020000,0.919315,16.337761,0.813264,1.805486,2.001784,-0.090794,0.015424
0.020000,0.956220,16.338341,0.850174,1.845485,1.999935,-0.092483,0.015981
0.020000,0.993924,16.338954,0.887883,1.885446,1.998051,-0.094199,0.016537
0.020000,1.032425,16.339602,0.926390,1.925367,1.996045,-0.100303,0.017092
0.020000,1.071725,16.340284,0.965695,1.965249,1.994098,-0.097335,0.017644
0.020000,1.111820,16.341003,1.005797,2.005092,1.992159,-0.096934,0.018192
0.020000,1.152711,16.341758,1.046695,2.044890,1.989919,-0.112015,0.018736
0.020000,1.194396,16.342550,1.088388,2.084650,1.988010,-0.095436,0.019275
0.020000,1.236875,16.343381,1.130875,2.124365,1.985729,-0.114088,0.019807
0.020000,1.280147,16.344249,1.174156,2.164037,1.983609,-0.105995,0.020333
0.020000,1.324211,16.345157,1.218229,2.203665,1.981403,-0.110302,0.020850
0.020000,1.369066,16.346104,1.263094,2.243248,1.979122,-0.114017,0.021358
0.020000,1.414711,16.347090,1.308750,2.282784,1.976809,-0.115662,0.021856
0.020000,1.461146,16.348117,1.355195,2.322273,1.974462,-0.117349,0.022343
0.020000,1.508368,16.349183,1.402430,2.361715,1.972080,-0.119082,0.022818
0.020000,1.556377,16.350290,1.450452,2.401108,1.969663,-0.120864,0.023279
0.020000,1.605173,16.351437,1.499261,2.440452,1.967209,-0.122699,0.023726
0.020000,1.654753,16.352624,1.548856,2.479746,1.964717,-0.124590,0.024158
0.020000,1.705118,16.353852,1.599236,2.518990,1.962166,-0.127585,0.024573
0.020000,1.756266,16.355119,1.650399,2.558180,1.959529,-0.131824,0.024970
0.020000,1.808196,16.356426,1.702346,2.597320,1.956997,-0.126591,0.025349
0.020000,1.860907,16.357772,1.755074,2.636405,1.954224,-0.138645,0.025707
0.020000,1.914398,16.359157,1.808583,2.675437,1.951611,-0.130652,0.026045
0.020000,1.968668,16.360579,1.862871,2.714413,1.948807,-0.140228,0.026360
