dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.107180,18.161086,0.000050,0.009989,0.998934,99.893442,6.282684
0.010000,0.107172,18.161086,0.000058,0.000756,-0.923355,-192.228943,6.282692
0.010000,0.107157,18.161086,0.000073,0.001511,0.075561,99.891598,6.282709
0.010000,0.107134,18.161086,0.000095,0.002267,0.075524,-0.003688,6.282734
0.010000,0.107104,18.161086,0.000125,0.003021,0.075469,-0.005532,6.282767
0.010000,0.107066,18.161086,0.000163,0.003775,0.075395,-0.007376,6.282808
0.010000,0.107021,18.161086,0.000209,0.004528,0.075303,-0.009219,6.282857
0.010000,0.106968,18.161086,0.000261,0.005280,0.075192,-0.011062,6.282915
0.010000,0.106908,18.161086,0.000322,0.006031,0.075063,-0.012905,6.282981
0.010000,0.106840,18.161086,0.000389,0.006780,0.074916,-0.014748,6.283055
0.010000,0.106765,18.161086,0.000465,0.007528,0.074750,-0.016590,6.283137
0.010000,0.107717,18.161086,0.001417,0.095225,8.769775,869.502536,0.000043
0.010000,0.110024,18.161086,0.003724,0.230722,13.549656,477.988106,0.000141
0.010000,0.112524,18.161087,0.006224,0.249963,1.924099,-1162.555715,0.000248
0.010000,0.115216,18.161088,0.008916,0.269207,1.924439,0.033984,0.000362
0.010000,0.118101,18.161089,0.011800,0.288455,1.924805,0.036588,0.000485
0.010000,0.121177,18.161090,0.014877,0.307686,1.923062,-0.174305,0.000616
0.010000,0.124447,18.161093,0.018147,0.326938,1.925177,0.211499,0.000755
0.010000,0.127909,18.161096,0.021609,0.346197,1.925907,0.072993,0.000901
0.010000,0.131563,18.161099,0.025263,0.365450,1.925314,-0.059268,0.001056
0.010000,0.135410,18.161104,0.029110,0.384699,1.924912,-0.040146,0.001219
0.010000,0.139450,18.161109,0.033150,0.403971,1.927242,0.232927,0.001389
0.010000,0.143682,18.161115,0.037382,0.423236,1.926439,-0.080282,0.001567
0.010000,0.148107,18.161122,0.041807,0.442498,1.926242,-0.019646,0.001753
0.010000,0.152725,18.161131,0.046425,0.461786,1.928809,0.256665,0.001946
0.010000,0.157536,18.161141,0.051236,0.481051,1.926442,-0.236689,0.002148
0.010000,0.162539,18.161152,0.056239,0.500342,1.929159,0.271660,0.002356
0.010000,0.167735,18.161165,0.061435,0.519631,1.928838,-0.032104,0.002573
0.010000,0.173125,18.161179,0.066824,0.538919,1.928869,0.003104,0.002797
0.010000,0.178707,18.161196,0.072407,0.558227,1.930732,0.186288,0.003028
0.010000,0.184482,18.161214,0.078182,0.577520,1.929286,-0.144608,0.003267
0.010000,0.190450,18.161234,0.084150,0.596841,1.932127,0.284109,0.003512
0.010000,0.196612,18.161256,0.090312,0.616145,1.930406,-0.172119,0.003766
0.010000,0.202966,18.161281,0.096667,0.635475,1.933026,0.262007,0.004026
0.010000,0.209514,18.161308,0.103215,0.654797,1.932225,-0.080090,0.004294
0.010000,0.216256,18.161338,0.109956,0.674132,1.933431,0.120648,0.004568
0.010000,0.223190,18.161371,0.116891,0.693479,1.934739,0.130796,0.004850
0.010000,0.230318,18.161407,0.124019,0.712813,1.933346,-0.139279,0.005138
0.010000,0.237640,18.161445,0.131341,0.732180,1.936737,0.339057,0.005433
0.010000,0.245155,18.161487,0.138856,0.751532,1.935190,-0.154727,0.005735
0.010000,0.252864,18.161533,0.146565,0.770900,1.936773,0.158337,0.006044
0.010000,0.260767,18.161582,0.154468,0.790285,1.938561,0.178751,0.006359
0.010000,0.268863,18.161634,0.162564,0.809657,1.937209,-0.135154,0.006681
0.010000,0.277153,18.161691,0.170855,0.829048,1.939089,0.187953,0.007009
0.010000,0.285638,18.161752,0.179339,0.848454,1.940615,0.152645,0.007344
0.010000,0.294316,18.161817,0.188018,0.867862,1.940778,0.016281,0.007685
