dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.106721,17.246086,0.000050,0.009989,0.998934,99.893442,6.282684
0.010000,0.106721,17.246086,0.000250,0.029968,1.997869,99.893442,6.282692
0.010000,0.106721,17.246086,0.000649,0.049947,1.997869,-0.000000,6.282709
0.010000,0.106721,17.246086,0.001249,0.069925,1.997869,0.000000,6.282734
0.010000,0.106721,17.246086,0.002048,0.089904,1.997869,-0.000000,6.282767
0.010000,0.106721,17.246086,0.003047,0.109883,1.997869,0.000000,6.282808
0.010000,0.106721,17.246086,0.004245,0.129861,1.997869,0.000000,6.282857
0.010000,0.106721,17.246086,0.005644,0.149840,1.997869,-0.000000,6.282915
0.010000,0.106721,17.246086,0.007242,0.169819,1.997869,0.000000,6.282981
0.010000,0.106721,17.246086,0.009040,0.189798,1.997869,0.000000,6.283055
0.010000,0.106721,17.246086,0.011038,0.209776,1.997869,0.000000,6.283137
0.010000,0.107756,17.246086,0.013236,0.229755,1.997869,0.000000,0.000043
0.010000,0.110153,17.246086,0.015633,0.249734,1.997869,0.000000,0.000141
0.010000,0.112751,17.246087,0.018231,0.269712,1.997869,0.000000,0.000248
0.010000,0.115548,17.246088,0.021028,0.289691,1.997869,-0.000000,0.000362
0.010000,0.118545,17.246089,0.024024,0.309670,1.997869,0.000000,0.000485
0.010000,0.121741,17.246091,0.027221,0.329648,1.997869,0.000000,0.000616
0.010000,0.125137,17.246093,0.030617,0.349627,1.997869,0.000000,0.000755
0.010000,0.128734,17.246096,0.034214,0.369606,1.997869,0.000000,0.000901
0.010000,0.132530,17.246100,0.038009,0.389584,1.997869,-0.000000,0.001056
0.010000,0.136525,17.246104,0.042005,0.409563,1.997869,0.000000,0.001219
0.010000,0.140721,17.246110,0.046201,0.429542,1.997869,0.000000,0.001389
0.010000,0.145116,17.246116,0.050596,0.449520,1.997869,-0.000000,0.001567
0.010000,0.149711,17.246124,0.055191,0.469499,1.997869,0.000000,0.001753
0.010000,0.154506,17.246133,0.059986,0.489478,1.997869,0.000000,0.001946
0.010000,0.159501,17.246143,0.064981,0.509457,1.997869,0.000000,0.002148
0.010000,0.164695,17.246155,0.070175,0.529435,1.997869,-0.000000,0.002356
0.010000,0.170089,17.246168,0.075569,0.549414,1.997869,0.000000,0.002573
0.010000,0.175683,17.246183,0.081163,0.569393,1.997869,0.000000,0.002797
0.010000,0.181477,17.246200,0.086957,0.589371,1.997869,0.000000,0.003028
0.010000,0.187471,17.246219,0.092951,0.609350,1.997869,0.000000,0.003267
0.010000,0.193664,17.246240,0.099144,0.629329,1.997869,0.000000,0.003512
0.010000,0.200057,17.246263,0.105537,0.649307,1.997869,-0.000000,0.003766
0.010000,0.206650,17.246289,0.112130,0.669286,1.997869,0.000000,0.004026
0.010000,0.213443,17.246317,0.118923,0.689265,1.997869,-0.000000,0.004294
0.010000,0.220435,17.246348,0.125916,0.709243,1.997869,0.000000,0.004568
0.010000,0.227628,17.246382,0.133108,0.729222,1.997869,0.000000,0.004850
0.010000,0.235020,17.246419,0.140500,0.749201,1.997869,0.000000,0.005138
0.010000,0.242612,17.246459,0.148092,0.769180,1.997869,0.000000,0.005433
0.010000,0.250403,17.246502,0.155884,0.789158,1.997869,0.000000,0.005735
0.010000,0.258394,17.246549,0.163875,0.809137,1.997869,0.000000,0.006044
0.010000,0.266586,17.246600,0.172066,0.829116,1.997869,0.000000,0.006359
0.010000,0.274976,17.246655,0.180458,0.849094,1.997869,0.000000,0.006681
0.010000,0.283567,17.246714,0.189048,0.869073,1.997869,0.000000,0.007009
0.010000,0.292357,17.246777,0.197839,0.889052,1.997869,0.000000,0.007344
0.010000,0.301348,17.246844,0.206829,0.909030,1.997869,-0.000000,0.007685
0.010000,0.310537,17.246916,0.216020,0.929009,1.997869,0.000000,0.008032
0.010000,0.319927,17.246994,0.225410,0.948988,1.997869,0.000000,0.008385
0.010000,0.329517,17.247076,0.234999,0.968966,1.997869,0.000000,0.008744
0.010000,0.339306,17.247163,0.244789,0.988945,1.997869,0.000000,0.009109
0.010000,0.349295,17.247256,0.254778,1.008924,1.997869,0.000000,0.009479
0.010000,0.359483,17.247354,0.264967,1.028902,1.997869,-0.000000,0.009856
0.010000,0.369872,17.247459,0.275356,1.048881,1.997869,0.000000,0.010237
0.010000,0.380460,17.247569,0.285945,1.068860,1.997869,0.000000,0.010625
0.010000,0.391248,17.247686,0.296733,1.088839,1.997869,0.000000,0.011018
0.010000,0.402235,17.247809,0.307722,1.108817,1.997869,0.000000,0.011416
0.010000,0.413423,17.247939,0.318910,1.128796,1.997869,0.000000,0.011819
0.010000,0.424810,17.248076,0.330298,1.148775,1.997869,0.000000,0.012227
0.010000,0.436396,17.248220,0.341885,1.168753,1.997869,0.000000,0.012640
0.010000,0.448183,17.248372,0.353673,1.188732,1.997869,0.000000,0.013058
0.010000,0.460169,17.248531,0.365660,1.208711,1.997869,0.000000,0.013481
0.010000,0.472355,17.248698,0.377847,1.228689,1.997869,0.000000,0.013908
0.010000,0.484740,17.248873,0.390234,1.248668,1.997869,0.000000,0.014340
0.010000,0.497326,17.249056,0.402820,1.268647,1.997869,0.000000,0.014775
0.010000,0.510111,17.249248,0.415607,1.288625,1.997869,0.000000,0.015216
0.010000,0.523095,17.249448,0.428593,1.308604,1.997869,0.000000,0.015660
0.010000,0.536279,17.249657,0.441779,1.328583,1.997869,0.000000,0.016108
0.010000,0.549663,17.249876,0.455164,1.348561,1.997869,0.000000,0.016560
0.010000,0.563247,17.250104,0.468750,1.368540,1.997869,0.000000,0.017016
0.010000,0.577030,17.250342,0.482535,1.388519,1.997869,-0.000000,0.017475
0.010000,0.591013,17.250589,0.496520,1.408498,1.997869,0.000000,0.017938
0.010000,0.605196,17.250847,0.510705,1.428476,1.997869,0.000000,0.018404
0.010000,0.619578,17.251115,0.525090,1.448455,1.997869,0.000000,0.018873
0.010000,0.634160,17.251394,0.539674,1.468434,1.997869,0.000000,0.019345
0.010000,0.648941,17.251683,0.554459,1.488412,1.997869,0.000000,0.019820
0.010000,0.663922,17.251984,0.569443,1.508391,1.997869,0.000000,0.020297
0.010000,0.679103,17.252296,0.584626,1.528370,1.997869,0.000000,0.020778
0.010000,0.694483,17.252619,0.600010,1.548348,1.997869,0.000000,0.021260
0.010000,0.710062,17.252954,0.615593,1.568327,1.997869,-0.000000,0.021745
0.010000,0.725842,17.253301,0.631377,1.588306,1.997869,0.000000,0.022232
0.010000,0.741821,17.253660,0.647359,1.608284,1.997869,-0.000000,0.022721
0.010000,0.757999,17.254032,0.663542,1.628263,1.997869,0.000000,0.023212
0.010000,0.774377,17.254416,0.679925,1.648242,1.997869,-0.000000,0.023704
0.010000,0.790955,17.254814,0.696507,1.668220,1.997869,0.000000,0.024198
0.010000,0.807732,17.255224,0.713289,1.688199,1.997869,-0.000000,0.024694
0.010000,0.824708,17.255647,0.730271,1.708178,1.997869,0.000000,0.025190
0.010000,0.841885,17.256084,0.747453,1.728157,1.997869,-0.000000,0.025687
0.010000,0.859260,17.256535,0.764834,1.748135,1.997869,0.000000,0.026186
0.010000,0.876835,17.257000,0.782415,1.768114,1.997869,0.000000,0.026685
0.010000,0.894610,17.257479,0.800196,1.788093,1.997869,0.000000,0.027184
0.010000,0.912584,17.257972,0.818177,1.808071,1.997869,0.000000,0.027684
0.010000,0.930757,17.258480,0.836358,1.828050,1.997869,-0.000000,0.028184
0.010000,0.949130,17.259002,0.854738,1.848029,1.997869,0.000000,0.028684
0.010000,0.967703,17.259540,0.873318,1.868007,1.997869,-0.000000,0.029183
0.010000,0.986475,17.260092,0.892098,1.887986,1.997869,0.000000,0.029683
0.010000,1.005446,17.260660,0.911078,1.907965,1.997869,-0.000000,0.030181
0.010000,1.024617,17.261244,0.930258,1.927943,1.997869,0.000000,0.030679
0.010000,1.043987,17.261843,0.949637,1.947922,1.997869,-0.000000,0.031177
0.010000,1.063556,17.262458,0.969216,1.967901,1.997869,0.000000,0.031673
0.010000,1.083325,17.263090,0.988995,1.987879,1.997869,-0.000000,0.032167
0.010000,1.103293,17.263737,1.008974,2.007858,1.997869,0.000000,0.032661
0.010000,1.123461,17.264401,1.029152,2.027837,1.997869,-0.000000,0.033152
0.010000,1.143828,17.265082,1.049530,2.047816,1.997869,0.000000,0.033642
0.010000,1.164394,17.265779,1.070108,2.067794,1.997869,-0.000000,0.034130
0.010000,1.185159,17.266493,1.090886,2.087773,1.997869,0.000000,0.034615
0.010000,1.206124,17.267224,1.111864,2.107752,1.997869,-0.000000,0.035098
0.010000,1.227288,17.267972,1.133041,2.127730,1.997869,0.000000,0.035579
0.010000,1.248652,17.268738,1.154419,2.147709,1.997869,-0.000000,0.036056
0.010000,1.270215,17.269521,1.175996,2.167688,1.997869,0.000000,0.036531
0.010000,1.291977,17.270321,1.197772,2.187666,1.997869,-0.000000,0.037002
0.010000,1.313938,17.271139,1.219749,2.207645,1.997869,0.000000,0.037470
0.010000,1.336099,17.271975,1.241925,2.227624,1.997869,-0.000000,0.037935
0.010000,1.358459,17.272829,1.264301,2.247602,1.997869,0.000000,0.038395
0.010000,1.381018,17.273701,1.286877,2.267581,1.997869,-0.000000,0.038851
0.010000,1.403776,17.274590,1.309653,2.287560,1.997869,0.000000,0.039303
0.010000,1.426733,17.275498,1.332628,2.307539,1.997869,-0.000000,0.039751
0.010000,1.449890,17.276425,1.355804,2.327517,1.997869,0.000000,0.040194
0.010000,1.473246,17.277369,1.379179,2.347496,1.997869,0.000000,0.040632
0.010000,1.496801,17.278332,1.402754,2.367475,1.997869,-0.000000,0.041065
0.010000,1.520556,17.279313,1.426528,2.387453,1.997869,0.000000,0.041492
0.010000,1.544509,17.280312,1.450503,2.407432,1.997869,-0.000000,0.041914
0.010000,1.568662,17.281330,1.474677,2.427411,1.997869,0.000000,0.042330
0.010000,1.593014,17.282367,1.499051,2.447389,1.997869,-0.000000,0.042741
0.010000,1.617565,17.283422,1.523625,2.467368,1.997869,0.000000,0.043144
0.010000,1.642316,17.284495,1.548398,2.487347,1.997869,-0.000000,0.043542
0.010000,1.667265,17.285587,1.573372,2.507325,1.997869,0.000000,0.043933
0.010000,1.692414,17.286698,1.598545,2.527304,1.997869,-0.000000,0.044316
0.010000,1.717761,17.287826,1.623918,2.547283,1.997869,0.000000,0.044693
0.010000,1.743308,17.288974,1.649490,2.567261,1.997869,-0.000000,0.045062
0.010000,1.769055,17.290139,1.675263,2.587240,1.997869,0.000000,0.045424
0.010000,1.795000,17.291323,1.701235,2.607219,1.997869,-0.000000,0.045778
0.010000,1.821144,17.292526,1.727407,2.627198,1.997869,0.000000,0.046123
0.010000,1.847488,17.293746,1.753779,2.647176,1.997869,-0.000000,0.046460
0.010000,1.874031,17.294984,1.780351,2.667155,1.997869,0.000000,0.046789
0.010000,1.900773,17.296241,1.807122,2.687134,1.997869,0.000000,0.047109
0.010000,1.927714,17.297515,1.834094,2.707112,1.997869,-0.000000,0.047420
0.010000,1.954854,17.298807,1.861265,2.727091,1.997869,0.000000,0.047721
0.010000,1.982194,17.300117,1.888635,2.747070,1.997869,-0.000000,0.048013
0.010000,2.009732,17.301444,1.916206,2.767048,1.997869,0.000000,0.048295
0.010000,2.037470,17.302789,1.943976,2.787027,1.997869,0.000000,0.048567
0.010000,2.065407,17.304150,1.971946,2.807006,1.997869,-0.000000,0.048828
0.010000,2.093543,17.305529,2.000116,2.826984,1.997869,0.000000,0.049079
0.010000,2.121879,17.306924,2.028486,2.846963,1.997869,0.000000,0.049320
0.010000,2.150413,17.308336,2.057056,2.866942,1.997869,-0.000000,0.049548
0.010000,2.179147,17.309764,2.085825,2.886920,1.997869,0.000000,0.049766
0.010000,2.208080,17.311208,2.114794,2.906899,1.997869,-0.000000,0.049972
0.010000,2.237212,17.312668,2.143963,2.926878,1.997869,0.000000,0.050166
0.010000,2.266544,17.314143,2.173332,2.946857,1.997869,-0.000000,0.050348
0.010000,2.296075,17.315634,2.202900,2.966835,1.997869,0.000000,0.050517
0.010000,2.325805,17.317139,2.232668,2.986814,1.997869,-0.000000,0.050674
0.010000,2.355735,17.318659,2.262636,3.006793,1.997869,0.000000,0.050817
0.010000,2.385863,17.320194,2.292804,3.026771,1.997869,-0.000000,0.050947
0.010000,2.416191,17.321742,2.323172,3.046750,1.997869,0.000000,0.051064
0.010000,2.446719,17.323304,2.353739,3.066729,1.997869,-0.000000,0.051167
0.010000,2.477446,17.324879,2.384506,3.086707,1.997869,0.000000,0.051256
0.010000,2.508372,17.326467,2.415473,3.106686,1.997869,0.000000,0.051330
0.010000,2.539498,17.328067,2.446640,3.126665,1.997869,-0.000000,0.051390
0.010000,2.570823,17.329679,2.478007,3.146643,1.997869,0.000000,0.051434
0.010000,2.602347,17.331302,2.509573,3.166622,1.997869,0.000000,0.051463
0.010000,2.634071,17.332936,2.541339,3.186601,1.997869,0.000000,0.051477
0.010000,2.665995,17.334581,2.573305,3.206579,1.997869,-0.000000,0.051475
0.010000,2.698118,17.336236,2.605471,3.226558,1.997869,0.000000,0.051456
0.010000,2.730441,17.337900,2.637836,3.246537,1.997869,0.000000,0.051421
0.010000,2.762963,17.339573,2.670401,3.266516,1.997869,0.000000,0.051370
0.010000,2.795685,17.341254,2.703166,3.286494,1.997869,-0.000000,0.051301
0.010000,2.828606,17.342943,2.736131,3.306473,1.997869,0.000000,0.051215
0.010000,2.861728,17.344639,2.769296,3.326452,1.997869,0.000000,0.051111
0.010000,2.895049,17.346342,2.802660,3.346430,1.997869,-0.000000,0.050989
0.010000,2.928569,17.348050,2.836225,3.366409,1.997869,0.000000,0.050848
0.010000,2.962290,17.349764,2.869989,3.386388,1.997869,0.000000,0.050689
0.010000,2.996210,17.351482,2.903952,3.406366,1.997869,0.000000,0.050511
0.010000,3.030330,17.353203,2.938116,3.426345,1.997869,-0.000000,0.050313
0.010000,3.064650,17.354928,2.972479,3.446324,1.997869,0.000000,0.050096
0.010000,3.099170,17.356654,3.007042,3.466302,1.997869,-0.000000,0.049859
0.010000,3.133890,17.358383,3.041805,3.486281,1.997869,0.000000,0.049602
0.010000,3.168810,17.360111,3.076768,3.506260,1.997869,-0.000000,0.049323
0.010000,3.203930,17.361840,3.111930,3.526239,1.997869,0.000000,0.049024
0.010000,3.239250,17.363567,3.147293,3.546217,1.997869,0.000000,0.048704
0.010000,3.274770,17.365292,3.182855,3.566196,1.997869,-0.000000,0.048361
0.010000,3.310491,17.367015,3.218617,3.586175,1.997869,0.000000,0.047997
0.010000,3.346411,17.368733,3.254578,3.606153,1.997869,0.000000,0.047610
0.010000,3.382532,17.370447,3.290740,3.626132,1.997869,0.000000,0.047201
0.010000,3.418853,17.372155,3.327101,3.646111,1.997869,0.000000,0.046768
0.010000,3.455375,17.373856,3.363662,3.666089,1.997869,-0.000000,0.046312
0.010000,3.492096,17.375549,3.400423,3.686068,1.997869,0.000000,0.045832
0.010000,3.529018,17.377233,3.437383,3.706047,1.997869,0.000000,0.045328
0.010000,3.566141,17.378907,3.474544,3.726025,1.997869,0.000000,0.044799
0.010000,3.603464,17.380570,3.511904,3.746004,1.997869,-0.000000,0.044245
0.010000,3.640988,17.382220,3.549464,3.765983,1.997869,0.000000,0.043666
0.010000,3.678712,17.383857,3.587223,3.785961,1.997869,0.000000,0.043061
0.010000,3.716637,17.385480,3.625183,3.805940,1.997869,0.000000,0.042430
0.010000,3.754762,17.387086,3.663342,3.825919,1.997869,-0.000000,0.041773
0.010000,3.793089,17.388675,3.701701,3.845898,1.997869,0.000000,0.041088
0.010000,3.831616,17.390245,3.740260,3.865876,1.997869,0.000000,0.040376
0.010000,3.870343,17.391795,3.779019,3.885855,1.997869,-0.000000,0.039637
0.010000,3.909272,17.393324,3.817977,3.905834,1.997869,0.000000,0.038869
0.010000,3.948401,17.394830,3.857136,3.925812,1.997869,0.000000,0.038073
0.010000,3.987731,17.396312,3.896494,3.945791,1.997869,0.000000,0.037248
0.010000,4.027262,17.397768,3.936051,3.965770,1.997869,-0.000000,0.036393
0.010000,4.066994,17.399198,3.975809,3.985748,1.997869,0.000000,0.035509
0.010000,4.106927,17.400598,4.015766,4.005727,1.997869,0.000000,0.034594
0.010000,4.147060,17.401968,4.055923,4.025706,1.997869,0.000000,0.033649
0.010000,4.187395,17.403306,4.096280,4.045684,1.997869,-0.000000,0.032672
0.010000,4.227931,17.404611,4.136837,4.065663,1.997869,0.000000,0.031665
0.010000,4.268668,17.405880,4.177594,4.085642,1.997869,0.000000,0.030625
0.010000,4.309605,17.407112,4.218550,4.105620,1.997869,0.000000,0.029553
0.010000,4.350744,17.408305,4.259706,4.125599,1.997869,-0.000000,0.028447
0.010000,4.392084,17.409458,4.301062,4.145578,1.997869,0.000000,0.027309
0.010000,4.433625,17.410569,4.342618,4.165557,1.997869,0.000000,0.026137
0.010000,4.475367,17.411635,4.384373,4.185535,1.997869,0.000000,0.024930
0.010000,4.517310,17.412655,4.426328,4.205514,1.997869,-0.000000,0.023689
0.010000,4.559453,17.413627,4.468483,4.225493,1.997869,0.000000,0.022412
0.010000,4.601798,17.414548,4.510838,4.245471,1.997869,0.000000,0.021100
0.010000,4.644344,17.415417,4.553393,4.265450,1.997869,0.000000,0.019752
0.010000,4.687091,17.416232,4.596147,4.285429,1.997869,-0.000000,0.018367
0.010000,4.730038,17.416991,4.639101,4.305407,1.997869,0.000000,0.016945
0.010000,4.773186,17.417691,4.682255,4.325386,1.997869,0.000000,0.015485
0.010000,4.816535,17.418330,4.725609,4.345365,1.997869,0.000000,0.013988
0.010000,4.860085,17.418905,4.769163,4.365343,1.997869,-0.000000,0.012451
0.010000,4.903835,17.419416,4.812916,4.385322,1.997869,0.000000,0.010875
0.010000,4.947786,17.419858,4.856869,4.405301,1.997869,0.000000,0.009260
0.010000,4.991938,17.420231,4.901022,4.425279,1.997869,-0.000000,0.007605
0.010000,5.036289,17.420531,4.945375,4.445258,1.997869,0.000000,0.005908
0.010000,5.080841,17.420755,4.989927,4.465237,1.997869,0.000000,0.004171
0.010000,5.125593,17.420902,5.034679,4.485216,1.997869,0.000000,0.002392
0.010000,5.170545,17.420969,5.079631,4.505194,1.997869,0.000000,0.000570
0.010000,5.215697,17.420953,5.124783,4.525173,1.997869,-0.000000,6.281891
0.010000,5.261049,17.420851,5.170135,4.545152,1.997869,0.000000,6.279984
0.010000,5.306600,17.420661,5.215686,4.565130,1.997869,0.000000,6.278032
