dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.106263,16.331086,0.000050,0.009989,0.998934,99.893442,6.282684
0.010000,0.106270,16.331086,0.000058,0.000756,-0.923355,-192.228943,6.282692
0.010000,0.106285,16.331086,0.000073,0.001511,0.075561,99.891598,6.282709
0.010000,0.106308,16.331086,0.000095,0.002267,0.075524,-0.003688,6.282734
0.010000,0.106338,16.331086,0.000125,0.003021,0.075469,-0.005532,6.282767
0.010000,0.106376,16.331086,0.000163,0.003775,0.075395,-0.007376,6.282808
0.010000,0.106421,16.331086,0.000209,0.004528,0.075303,-0.009219,6.282857
0.010000,0.106474,16.331086,0.000261,0.005280,0.075192,-0.011062,6.282915
0.010000,0.106534,16.331086,0.000322,0.006031,0.075063,-0.012905,6.282981
0.010000,0.106602,16.331086,0.000389,0.006780,0.074916,-0.014748,6.283055
0.010000,0.106677,16.331086,0.000465,0.007528,0.074750,-0.016590,6.283137
0.010000,0.107795,16.331086,0.001582,0.111771,10.424379,1034.962948,0.000043
0.010000,0.110283,16.331086,0.004070,0.248755,13.698341,327.396215,0.000141
0.010000,0.112977,16.331087,0.006765,0.269478,2.072377,-1162.596489,0.000248
0.010000,0.115879,16.331088,0.009667,0.290201,2.072237,-0.013917,0.000362
0.010000,0.118989,16.331089,0.012776,0.310922,2.072087,-0.014991,0.000485
0.010000,0.122305,16.331091,0.016092,0.331618,2.069626,-0.246155,0.000616
0.010000,0.125828,16.331093,0.019615,0.352331,2.071284,0.165814,0.000755
0.010000,0.129559,16.331096,0.023346,0.373045,2.071410,0.012628,0.000901
0.010000,0.133496,16.331100,0.027283,0.393746,2.070073,-0.133750,0.001056
0.010000,0.137640,16.331105,0.031428,0.414435,2.068903,-0.116962,0.001219
0.010000,0.141992,16.331111,0.035779,0.435141,2.070637,0.173350,0.001389
0.010000,0.146550,16.331117,0.040337,0.455831,2.068958,-0.167919,0.001567
0.010000,0.151315,16.331125,0.045103,0.476510,2.067894,-0.106402,0.001753
0.010000,0.156287,16.331134,0.050075,0.497207,2.069766,0.187280,0.001946
0.010000,0.161466,16.331145,0.055253,0.517870,2.066289,-0.347770,0.002148
0.010000,0.166851,16.331157,0.060639,0.538553,2.068246,0.195716,0.002356
0.010000,0.172444,16.331171,0.066231,0.559222,2.066894,-0.135147,0.002573
0.010000,0.178242,16.331186,0.072030,0.579880,2.065884,-0.101028,0.002797
0.010000,0.184248,16.331204,0.078035,0.600548,2.066807,0.092248,0.003028
0.010000,0.190460,16.331224,0.084247,0.621190,2.064131,-0.267550,0.003267
0.010000,0.196878,16.331245,0.090666,0.641850,2.066029,0.189813,0.003512
0.010000,0.203503,16.331269,0.097291,0.662480,2.062983,-0.304663,0.003766
0.010000,0.210334,16.331296,0.104122,0.683126,2.064566,0.158377,0.004026
0.010000,0.217372,16.331325,0.111159,0.703750,2.062434,-0.213219,0.004294
0.010000,0.224615,16.331357,0.118403,0.724374,2.062422,-0.001190,0.004568
0.010000,0.232065,16.331392,0.125853,0.744999,2.062481,0.005889,0.004850
0.010000,0.239721,16.331431,0.133509,0.765595,2.059601,-0.287978,0.005138
0.010000,0.247583,16.331472,0.141371,0.786213,2.061822,0.222050,0.005433
0.010000,0.255651,16.331517,0.149439,0.806800,2.058702,-0.312005,0.005735
0.010000,0.263925,16.331566,0.157713,0.827389,2.058906,0.020455,0.006044
0.010000,0.272404,16.331619,0.166193,0.847982,2.059292,0.038537,0.006359
0.010000,0.281090,16.331675,0.174878,0.868545,2.056272,-0.301994,0.006681
0.010000,0.289980,16.331736,0.183769,0.889112,2.056682,0.041000,0.007009
0.010000,0.299077,16.331801,0.192866,0.909678,2.056675,-0.000679,0.007344
0.010000,0.308379,16.331871,0.202168,0.930230,2.055169,-0.150605,0.007685
0.010000,0.317886,16.331946,0.211676,0.950760,2.052948,-0.222054,0.008032
0.010000,0.327599,16.332026,0.221389,0.971299,2.053971,0.102278,0.008385
0.010000,0.337517,16.332111,0.231307,0.991829,2.052994,-0.097671,0.008744
0.010000,0.347640,16.332201,0.241431,1.012349,2.052009,-0.098581,0.009109
0.010000,0.357968,16.332297,0.251759,1.032847,2.049743,-0.226554,0.009479
0.010000,0.368501,16.332399,0.262293,1.053344,2.049705,-0.003794,0.009856
0.010000,0.379239,16.332507,0.273031,1.073835,2.049160,-0.054508,0.010237
0.010000,0.390181,16.332621,0.283974,1.094317,2.048137,-0.102347,0.010625
0.010000,0.401329,16.332742,0.295122,1.114788,2.047104,-0.103268,0.011018
0.010000,0.412680,16.332869,0.306475,1.135248,2.046062,-0.104191,0.011416
0.010000,0.424237,16.333003,0.318032,1.155699,2.045011,-0.105118,0.011819
0.010000,0.435997,16.333145,0.329793,1.176138,2.043950,-0.106049,0.012227
0.010000,0.447962,16.333293,0.341759,1.196566,2.042817,-0.113332,0.012640
0.010000,0.460131,16.333450,0.353928,1.216982,2.041531,-0.128605,0.013058
0.010000,0.472503,16.333614,0.366302,1.237390,2.040866,-0.066544,0.013481
0.010000,0.485080,16.333786,0.378880,1.257788,2.039766,-0.109970,0.013908
0.010000,0.497861,16.333967,0.391662,1.278174,2.038657,-0.110933,0.014340
0.010000,0.510845,16.334156,0.404648,1.298550,2.037537,-0.111902,0.014775
0.010000,0.524032,16.334353,0.417837,1.318912,2.036210,-0.132716,0.015216
0.010000,0.537423,16.334560,0.431229,1.339261,2.034907,-0.130301,0.015660
0.010000,0.551018,16.334776,0.444825,1.359601,2.033978,-0.092940,0.016108
0.010000,0.564815,16.335002,0.458625,1.379929,2.032821,-0.115696,0.016560
0.010000,0.578816,16.335237,0.472627,1.400245,2.031654,-0.116708,0.017016
0.010000,0.593019,16.335482,0.486832,1.420550,2.030477,-0.117731,0.017475
0.010000,0.607425,16.335737,0.501241,1.440843,2.029289,-0.118767,0.017938
0.010000,0.622034,16.336002,0.515852,1.461124,2.028091,-0.119815,0.018404
0.010000,0.636845,16.336278,0.530666,1.481393,2.026882,-0.120877,0.018873
0.010000,0.651859,16.336565,0.545682,1.501635,2.024242,-0.263983,0.019345
0.010000,0.667075,16.336863,0.560901,1.521876,2.024036,-0.020610,0.019820
0.010000,0.682493,16.337172,0.576322,1.542106,2.023064,-0.097202,0.020297
0.010000,0.698113,16.337493,0.591946,1.562324,2.021813,-0.125069,0.020778
0.010000,0.713934,16.337826,0.607771,1.582522,2.019778,-0.203560,0.021260
0.010000,0.729958,16.338171,0.623798,1.602699,2.017714,-0.206368,0.021745
0.010000,0.746183,16.338527,0.640026,1.622878,2.017875,0.016056,0.022232
0.010000,0.762609,16.338897,0.656457,1.643044,2.016580,-0.129510,0.022721
0.010000,0.779236,16.339279,0.673089,1.663173,2.012933,-0.364643,0.023212
0.010000,0.796065,16.339673,0.689922,1.683308,2.013471,0.053806,0.023704
0.010000,0.813094,16.340081,0.706956,1.703433,2.012512,-0.095878,0.024198
0.010000,0.830324,16.340503,0.724191,1.723517,2.008371,-0.414095,0.024694
0.010000,0.847755,16.340938,0.741627,1.743611,2.009449,0.107752,0.025190
0.010000,0.865386,16.341386,0.759264,1.763684,2.007315,-0.213430,0.025687
0.010000,0.883217,16.341849,0.777102,1.783730,2.004608,-0.270669,0.026186
0.010000,0.901249,16.342326,0.795139,1.803785,2.005476,0.086807,0.026685
0.010000,0.919480,16.342817,0.813377,1.823792,2.000639,-0.483704,0.027184
0.010000,0.937911,16.343322,0.831815,1.843816,2.002395,0.175595,0.027684
0.010000,0.956542,16.343843,0.850453,1.863797,1.998148,-0.424706,0.028184
0.010000,0.975372,16.344379,0.869291,1.883785,1.998784,0.063646,0.028684
0.010000,0.994402,16.344929,0.888329,1.903736,1.995097,-0.368726,0.029183
0.010000,1.013630,16.345495,0.907566,1.923692,1.995648,0.055087,0.029683
0.010000,1.033058,16.346077,0.927002,1.943607,1.991510,-0.413781,0.030181
0.010000,1.052684,16.346675,0.946637,1.963534,1.992681,0.117091,0.030679
0.010000,1.072509,16.347288,0.966471,1.983414,1.987966,-0.471539,0.031177
0.010000,1.092532,16.347917,0.986504,2.003302,1.988842,0.087649,0.031673
0.010000,1.112753,16.348563,1.006736,2.023162,1.985960,-0.288221,0.032167
0.010000,1.133172,16.349225,1.027166,2.043002,1.983962,-0.199799,0.032661
0.010000,1.153789,16.349904,1.047794,2.062838,1.983630,-0.033190,0.033152
0.010000,1.174604,16.350599,1.068621,2.082638,1.980027,-0.360256,0.033642
0.010000,1.195616,16.351312,1.089645,2.102431,1.979301,-0.072692,0.034130
0.010000,1.216826,16.352041,1.110867,2.122212,1.978081,-0.121923,0.034615
0.010000,1.238233,16.352787,1.132287,2.141962,1.975052,-0.302918,0.035098
0.010000,1.259836,16.353551,1.153904,2.161698,1.973522,-0.153047,0.035579
0.010000,1.281636,16.354332,1.175718,2.181422,1.972466,-0.105523,0.036056
0.010000,1.303633,16.355131,1.197729,2.201128,1.970526,-0.193996,0.036531
0.010000,1.325826,16.355947,1.219937,2.220803,1.967508,-0.301806,0.037002
0.010000,1.348215,16.356782,1.242342,2.240467,1.966385,-0.112308,0.037470
0.010000,1.370800,16.357633,1.264943,2.260115,1.964815,-0.156997,0.037935
0.010000,1.393581,16.358503,1.287740,2.279743,1.962847,-0.196877,0.038395
0.010000,1.416558,16.359391,1.310734,2.299352,1.960871,-0.197564,0.038851
0.010000,1.439729,16.360297,1.333923,2.318937,1.958540,-0.233121,0.039303
0.010000,1.463096,16.361221,1.357308,2.338502,1.956490,-0.204969,0.039751
0.010000,1.486658,16.362164,1.380889,2.358052,1.955020,-0.147004,0.040194
0.010000,1.510414,16.363124,1.404665,2.377582,1.953009,-0.201136,0.040632
0.010000,1.534365,16.364103,1.428635,2.397092,1.950989,-0.202006,0.041065
0.010000,1.558510,16.365100,1.452801,2.416582,1.948959,-0.202916,0.041492
0.010000,1.582850,16.366116,1.477162,2.436051,1.946921,-0.203867,0.041914
0.010000,1.607383,16.367150,1.501717,2.455500,1.944872,-0.204862,0.042330
0.010000,1.632110,16.368202,1.526466,2.474928,1.942813,-0.205901,0.042741
0.010000,1.657030,16.369273,1.551409,2.494335,1.940743,-0.206986,0.043144
0.010000,1.682144,16.370362,1.576547,2.513722,1.938662,-0.208120,0.043542
