dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008424,25.738437,0.000400,0.040000,2.000000,100.000000,6.283065
0.020000,0.008412,25.738437,0.000412,0.000586,-1.970699,-198.534955,6.283078
0.020000,0.008393,25.738437,0.000431,0.000974,0.019394,99.504649,6.283099
0.020000,0.008365,25.738437,0.000458,0.001358,0.019184,-0.010504,6.283129
0.020000,0.008331,25.738437,0.000493,0.001735,0.018890,-0.014703,6.283167
0.020000,0.010933,25.738437,0.003096,0.130132,6.419857,320.048342,0.000028
0.020000,0.016084,25.738437,0.008246,0.257533,6.370012,-2.492241,0.000082
0.020000,0.022028,25.738438,0.014190,0.297185,1.982601,-219.370520,0.000143
0.020000,0.028765,25.738439,0.020927,0.336846,1.983038,0.021858,0.000212
0.020000,0.036295,25.738441,0.028457,0.376522,1.983835,0.039830,0.000288
0.020000,0.044619,25.738444,0.036782,0.416218,1.984792,0.047867,0.000371
0.020000,0.053738,25.738448,0.045900,0.455927,1.985429,0.031833,0.000460
0.020000,0.063651,25.738453,0.055813,0.495655,1.986411,0.049117,0.000555
0.020000,0.074359,25.738459,0.066522,0.535407,1.987589,0.058870,0.000655
0.020000,0.085863,25.738467,0.078025,0.575181,1.988694,0.055260,0.000760
0.020000,0.098162,25.738477,0.090325,0.614979,1.989903,0.060466,0.000870
0.020000,0.111258,25.738489,0.103421,0.654803,1.991214,0.065546,0.000984
0.020000,0.125152,25.738504,0.117314,0.694655,1.992595,0.069058,0.001101
0.020000,0.139842,25.738521,0.132005,0.734532,1.993836,0.062038,0.001220
0.020000,0.155331,25.738541,0.147493,0.774445,1.995664,0.091402,0.001342
0.020000,0.171619,25.738564,0.163781,0.814392,1.997359,0.084735,0.001464
0.020000,0.188706,25.738590,0.180869,0.854365,1.998630,0.063544,0.001587
0.020000,0.206594,25.738619,0.198756,0.894384,2.000968,0.116888,0.001710
0.020000,0.225282,25.738652,0.217445,0.934430,2.002323,0.067768,0.001832
0.020000,0.244773,25.738689,0.236935,0.974524,2.004675,0.117596,0.001952
0.020000,0.265066,25.738730,0.257228,1.014656,2.006617,0.097129,0.002068
0.020000,0.286162,25.738775,0.278325,1.054827,2.008535,0.095888,0.002182
0.020000,0.308063,25.738824,0.300226,1.095046,2.010930,0.119739,0.002290
0.020000,0.330769,25.738877,0.322932,1.135309,2.013185,0.112740,0.002392
0.020000,0.354282,25.738935,0.346444,1.175620,2.015537,0.117623,0.002488
0.020000,0.378601,25.738996,0.370764,1.215980,2.017983,0.122280,0.002576
0.020000,0.403729,25.739062,0.395892,1.256390,2.020517,0.126705,0.002655
0.020000,0.429666,25.739132,0.421829,1.296852,2.023124,0.130341,0.002724
0.020000,0.456413,25.739205,0.448576,1.337368,2.025758,0.131739,0.002781
0.020000,0.483972,25.739283,0.476135,1.377940,2.028625,0.143309,0.002826
0.020000,0.512343,25.739363,0.504506,1.418570,2.031470,0.142257,0.002858
0.020000,0.541528,25.739447,0.533692,1.459257,2.034378,0.145410,0.002874
0.020000,0.571528,25.739533,0.563692,1.500006,2.037443,0.153267,0.002874
0.020000,0.602344,25.739621,0.594508,1.540817,2.040555,0.155558,0.002856
0.020000,0.633978,25.739711,0.626142,1.581692,2.043758,0.160197,0.002819
0.020000,0.666431,25.739802,0.658595,1.622633,2.047026,0.163375,0.002761
0.020000,0.699703,25.739893,0.691867,1.663641,2.050420,0.169688,0.002682
0.020000,0.733798,25.739982,0.725962,1.704720,2.053938,0.175925,0.002579
0.020000,0.768715,25.740070,0.760879,1.745869,2.057449,0.175521,0.002450
0.020000,0.804457,25.740155,0.796621,1.787091,2.061098,0.182492,0.002295
0.020000,0.841024,25.740236,0.833189,1.828387,2.064834,0.186774,0.002112
0.020000,0.878419,25.740311,0.870584,1.869762,2.068740,0.195305,0.001899
0.020000,0.916644,25.740379,0.908808,1.911216,2.072704,0.198196,0.001653
0.020000,0.955699,25.740438,0.947863,1.952749,2.076625,0.196053,0.001375
0.020000,0.995586,25.740487,0.987751,1.994362,2.080666,0.202048,0.001061
0.020000,1.036307,25.740523,1.028472,2.036070,2.085369,0.235135,0.000710
0.020000,1.077864,25.740544,1.070029,2.077852,2.089122,0.187643,0.000319
0.020000,1.120259,25.740549,1.112424,2.119735,2.094160,0.251912,6.283073
0.020000,1.163493,25.740534,1.155658,2.161699,2.098186,0.201327,6.282599
0.020000,1.207568,25.740497,1.199733,2.203764,2.103240,0.252682,6.282080
0.020000,1.252487,25.740434,1.244651,2.245925,2.108046,0.240280,6.281513
0.020000,1.298250,25.740344,1.290415,2.288180,2.112775,0.236465,6.280897
0.020000,1.344861,25.740222,1.337026,2.330538,2.117881,0.255287,6.280230
0.020000,1.392320,25.740065,1.384486,2.373000,2.123097,0.260830,6.279508
0.020000,1.440631,25.739868,1.432797,2.415568,2.128419,0.266080,6.278731
0.020000,1.489796,25.739629,1.481962,2.458245,2.133840,0.271040,6.277895
0.020000,1.539816,25.739342,1.531983,2.501032,2.139354,0.275714,6.276998
0.020000,1.590693,25.739003,1.582861,2.543933,2.145054,0.285027,6.276038
0.020000,1.642431,25.738607,1.634601,2.586966,2.151625,0.328536,6.275011
0.020000,1.695031,25.738148,1.687203,2.630100,2.156729,0.255199,6.273916
0.020000,1.748496,25.737622,1.740670,2.673370,2.163478,0.337457,6.272750
0.020000,1.802828,25.737021,1.795005,2.716763,2.169666,0.309388,6.271509
0.020000,1.858029,25.736341,1.850211,2.760294,2.176527,0.343068,6.270191
0.020000,1.914103,25.735573,1.906290,2.803946,2.182621,0.304687,6.268793
0.020000,1.971051,25.734712,1.963245,2.847752,2.190315,0.384684,6.267312
0.020000,2.028877,25.733749,2.021079,2.891699,2.197333,0.350912,6.265745
0.020000,2.087583,25.732676,2.079795,2.935786,2.204372,0.351951,6.264089
0.020000,2.147172,25.731486,2.139395,2.980027,2.212017,0.382261,6.262339
0.020000,2.207646,25.730170,2.199884,3.024423,2.219826,0.390435,6.260494
0.020000,2.269009,25.728718,2.261263,3.068979,2.227794,0.398395,6.258549
0.020000,2.330850,25.727132,2.323125,3.093067,1.204379,-51.170730,6.256515
0.020000,2.392758,25.725415,2.385057,3.096606,0.176981,-51.369921,6.254403
0.020000,2.454734,25.723564,2.447060,3.100174,0.178397,0.070789,6.252214
0.020000,2.516777,25.721571,2.509136,3.103764,0.179491,0.054740,6.249946
0.020000,2.578888,25.719433,2.571283,3.107384,0.181018,0.076318,6.247599
0.020000,2.641067,25.717145,2.633504,3.111036,0.182590,0.078621,6.245171
0.020000,2.703313,25.714699,2.695798,3.114720,0.184208,0.080903,6.242664
0.020000,2.765628,25.712093,2.758168,3.118461,0.187051,0.142126,6.240075
0.020000,2.828010,25.709318,2.820612,3.122215,0.187689,0.031927,6.237403
0.020000,2.890461,25.706372,2.883132,3.126004,0.189419,0.086477,6.234649
0.020000,2.952979,25.703246,2.945729,3.129828,0.191215,0.089809,6.231811
0.020000,3.015566,25.699937,3.008402,3.133694,0.193292,0.103846,6.228889
0.020000,3.078221,25.696437,3.071155,3.137618,0.196228,0.146792,6.225881
0.020000,3.140943,25.692742,3.133986,3.141557,0.196949,0.036068,6.222787
0.020000,3.203733,25.688846,3.196897,3.145535,0.198910,0.098047,6.219606
0.020000,3.266590,25.684741,3.259888,3.149554,0.200909,0.099964,6.216336
0.020000,3.329515,25.680423,3.322961,3.153645,0.204586,0.183810,6.212978
0.020000,3.392507,25.675884,3.386116,3.157751,0.205291,0.035263,6.209530
0.020000,3.455565,25.671119,3.449354,3.161896,0.207223,0.096610,6.205991
0.020000,3.518689,25.666122,3.512675,3.166086,0.209513,0.114475,6.202361
0.020000,3.581880,25.660886,3.576082,3.170356,0.213505,0.199609,6.198637
0.020000,3.645135,25.655403,3.639575,3.174633,0.213830,0.016236,6.194820
0.020000,3.708455,25.649669,3.703154,3.178954,0.216053,0.111192,6.190908
0.020000,3.771839,25.643676,3.766821,3.183347,0.219688,0.181740,6.186901
0.020000,3.835287,25.637417,3.830577,3.187780,0.221636,0.097405,6.182797
0.020000,3.898797,25.630886,3.894422,3.192239,0.222958,0.066102,6.178594
0.020000,3.962368,25.624075,3.958357,3.196764,0.226233,0.163716,6.174293
0.020000,4.026001,25.616977,4.022384,3.201350,0.229293,0.153002,6.169892
0.020000,4.089692,25.609585,4.086503,3.205950,0.229999,0.035311,6.165391
0.020000,4.153442,25.601893,4.150715,3.210618,0.233421,0.171122,6.160787
0.020000,4.217249,25.593891,4.215022,3.215348,0.236485,0.153198,6.156080
0.020000,4.281112,25.585575,4.279424,3.220090,0.237080,0.029717,6.151269
0.020000,4.345029,25.576934,4.343922,3.224913,0.241192,0.205636,6.146353
0.020000,4.408998,25.567963,4.408518,3.229774,0.243055,0.093138,6.141330
0.020000,4.473018,25.558653,4.473211,3.234656,0.244085,0.051487,6.136201
0.020000,4.537087,25.548996,4.538004,3.239645,0.249432,0.267380,6.130963
0.020000,4.601203,25.538985,4.602896,3.244622,0.248850,-0.029141,6.125616
0.020000,4.665363,25.528612,4.667889,3.249669,0.252368,0.175901,6.120159
0.020000,4.729566,25.517869,4.732985,3.254769,0.254986,0.130920,6.114590
0.020000,4.793808,25.506747,4.798182,3.259877,0.255404,0.020888,6.108909
0.020000,4.858087,25.495238,4.863484,3.265090,0.260629,0.261282,6.103115
0.020000,4.922400,25.483334,4.928890,3.270276,0.259325,-0.065199,6.097207
0.020000,4.986745,25.471028,4.994401,3.275557,0.264041,0.235766,6.091184
0.020000,5.051118,25.458309,5.060018,3.280836,0.263969,-0.003598,6.085045
0.020000,5.115515,25.445171,5.125741,3.286177,0.267017,0.152420,6.078790
0.020000,5.179932,25.431604,5.191572,3.291539,0.268143,0.056311,6.072417
0.020000,5.244367,25.417601,5.257511,3.296936,0.269849,0.085272,6.065927
0.020000,5.308814,25.403151,5.323558,3.302368,0.271594,0.087252,6.059318
0.020000,5.373270,25.388248,5.389714,3.307817,0.272439,0.042264,6.052589
0.020000,5.437730,25.372882,5.455980,3.313302,0.274254,0.090735,6.045741
0.020000,5.502189,25.357045,5.522356,3.318796,0.274678,0.021179,6.038773
0.020000,5.566642,25.340728,5.588843,3.324317,0.276061,0.069155,6.031683
0.020000,5.631084,25.323923,5.655440,3.329846,0.276439,0.018938,6.024474
0.020000,5.695509,25.306622,5.722147,3.335385,0.276955,0.025800,6.017143
0.020000,5.759911,25.288814,5.788966,3.340937,0.277587,0.031606,6.009690
0.020000,5.824284,25.270493,5.855895,3.346474,0.276885,-0.035144,6.002117
0.020000,5.888622,25.251650,5.922936,3.352034,0.277973,0.054425,5.994422
0.020000,5.952918,25.232277,5.990087,3.357550,0.275800,-0.108632,5.986606
0.020000,6.017165,25.212365,6.057349,3.363099,0.277438,0.081872,5.978670
0.020000,6.081355,25.191907,6.124721,3.368583,0.274216,-0.161090,5.970613
0.020000,6.145482,25.170894,6.192202,3.374077,0.274708,0.024592,5.962436
0.020000,6.209536,25.149319,6.259793,3.379520,0.272148,-0.127987,5.954140
0.020000,6.273511,25.127174,6.327491,3.384932,0.270622,-0.076313,5.945726
0.020000,6.337396,25.104452,6.395298,3.390310,0.268881,-0.087042,5.937195
0.020000,6.401184,25.081146,6.463210,3.395619,0.265449,-0.171604,5.928547
0.020000,6.464866,25.057248,6.531228,3.400899,0.264006,-0.072156,5.919784
0.020000,6.528431,25.032751,6.599350,3.406091,0.259604,-0.220077,5.910907
0.020000,6.591870,25.007651,6.667574,3.411224,0.256640,-0.148220,5.901919
0.020000,6.655173,24.981939,6.735900,3.416279,0.252727,-0.195643,5.892819
0.020000,6.718330,24.955611,6.804325,3.421241,0.248101,-0.231283,5.883612
0.020000,6.781330,24.928661,6.872847,3.426120,0.243993,-0.205410,5.874297
0.020000,6.844162,24.901084,6.941465,3.430890,0.238463,-0.276512,5.864879
0.020000,6.906816,24.872874,7.010176,3.435554,0.233214,-0.262446,5.855358
0.020000,6.969279,24.844028,7.078978,3.440100,0.227309,-0.295239,5.845738
0.020000,7.031540,24.814542,7.147868,3.444524,0.221212,-0.304845,5.836021
0.020000,7.093587,24.784412,7.216845,3.448810,0.214256,-0.347805,5.826211
0.020000,7.155409,24.753634,7.285904,3.452961,0.207573,-0.334167,5.816310
0.020000,7.216993,24.722207,7.355043,3.456963,0.200087,-0.374292,5.806321
0.020000,7.278326,24.690128,7.424259,3.460802,0.191941,-0.407322,5.796248
0.020000,7.339398,24.657396,7.493549,3.464494,0.184635,-0.365285,5.786095
0.020000,7.400193,24.624009,7.562909,3.467990,0.174762,-0.493640,5.775866
0.020000,7.460701,24.589968,7.632335,3.471333,0.167161,-0.380086,5.765563
0.020000,7.520909,24.555271,7.701825,3.474480,0.157356,-0.490238,5.755191
0.020000,7.580803,24.519919,7.771374,3.477431,0.147581,-0.488746,5.744755
0.020000,7.640371,24.483914,7.840978,3.480211,0.138966,-0.430760,5.734259
0.020000,7.699600,24.447257,7.910633,3.482741,0.126510,-0.622803,5.723706
0.020000,7.758478,24.409951,7.980335,3.485123,0.119101,-0.370453,5.713102
0.020000,7.816992,24.371997,8.050080,3.487229,0.105309,-0.689558,5.702452
0.020000,7.875130,24.333400,8.119863,3.489178,0.097441,-0.393415,5.691759
0.020000,7.932879,24.294164,8.189680,3.490857,0.083965,-0.673791,5.681030
0.020000,7.990227,24.254292,8.259528,3.492353,0.074772,-0.459658,5.670267
0.020000,8.047163,24.213790,8.329399,3.493588,0.061745,-0.651379,5.659478
0.020000,8.103674,24.172664,8.399292,3.494626,0.051922,-0.491133,5.648666
