dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.008201,23.908437,0.000050,0.009998,0.999802,99.980189,6.283061
0.010000,0.008203,23.908437,0.000052,0.000196,-0.980242,-198.004396,6.283064
0.010000,0.008206,23.908437,0.000056,0.000391,0.019539,99.978089,6.283068
0.010000,0.008212,23.908437,0.000062,0.000586,0.019497,-0.004200,6.283074
0.010000,0.008220,23.908437,0.000070,0.000780,0.019434,-0.006300,6.283083
0.010000,0.008230,23.908437,0.000079,0.000974,0.019350,-0.008400,6.283093
0.010000,0.008242,23.908437,0.000091,0.001166,0.019245,-0.010499,6.283106
0.010000,0.008255,23.908437,0.000104,0.001357,0.019119,-0.012599,6.283121
0.010000,0.008271,23.908437,0.000120,0.001547,0.018972,-0.014698,6.283138
0.010000,0.008288,23.908437,0.000137,0.001735,0.018804,-0.016796,6.283157
0.010000,0.008307,23.908437,0.000157,0.001921,0.018615,-0.018894,6.283178
0.010000,0.009820,23.908437,0.001670,0.151321,14.939970,1492.135516,0.000016
0.010000,0.012243,23.908437,0.004092,0.242236,9.091491,-584.847937,0.000041
0.010000,0.014867,23.908437,0.006716,0.262414,2.017803,-707.368794,0.000068
0.010000,0.017693,23.908438,0.009542,0.282590,2.017602,-0.020079,0.000096
0.010000,0.020720,23.908438,0.012570,0.302761,2.017090,-0.051227,0.000127
0.010000,0.023950,23.908438,0.015799,0.322918,2.015679,-0.141025,0.000160
0.010000,0.027380,23.908439,0.019230,0.343086,2.016792,0.111291,0.000194
0.010000,0.031013,23.908440,0.022862,0.363251,2.016527,-0.026584,0.000231
0.010000,0.034847,23.908441,0.026696,0.383398,2.014744,-0.178292,0.000269
0.010000,0.038882,23.908442,0.030732,0.403551,2.015284,0.053985,0.000308
0.010000,0.043119,23.908443,0.034969,0.423706,2.015521,0.023706,0.000350
0.010000,0.047558,23.908445,0.039407,0.443839,2.013276,-0.224475,0.000393
0.010000,0.052198,23.908447,0.044047,0.463982,2.014317,0.104118,0.000437
0.010000,0.057039,23.908449,0.048888,0.484119,2.013713,-0.060402,0.000483
0.010000,0.062081,23.908452,0.053931,0.504240,2.012044,-0.166946,0.000531
0.010000,0.067325,23.908454,0.059174,0.524375,2.013468,0.142490,0.000579
