dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008314,24.823437,0.000400,0.040000,2.000000,100.000000,6.283065
0.020000,0.008314,24.823437,0.001600,0.080000,2.000000,0.000000,6.283078
0.020000,0.008314,24.823437,0.003600,0.120000,2.000000,-0.000000,6.283099
0.020000,0.008314,24.823437,0.006400,0.160000,2.000000,0.000000,6.283129
0.020000,0.008314,24.823437,0.010000,0.200000,2.000000,0.000000,6.283167
0.020000,0.010959,24.823437,0.014400,0.240000,2.000000,-0.000000,0.000028
0.020000,0.016159,24.823437,0.019600,0.280000,2.000000,0.000000,0.000082
0.020000,0.022159,24.823438,0.025600,0.320000,2.000000,-0.000000,0.000143
0.020000,0.028959,24.823439,0.032400,0.360000,2.000000,0.000000,0.000212
0.020000,0.036559,24.823441,0.040000,0.400000,2.000000,0.000000,0.000288
0.020000,0.044959,24.823444,0.048400,0.440000,2.000000,-0.000000,0.000371
0.020000,0.054159,24.823448,0.057600,0.480000,2.000000,0.000000,0.000460
0.020000,0.064159,24.823453,0.067600,0.520000,2.000000,0.000000,0.000555
0.020000,0.074959,24.823459,0.078400,0.560000,2.000000,0.000000,0.000655
0.020000,0.086559,24.823468,0.090000,0.600000,2.000000,0.000000,0.000760
0.020000,0.098959,24.823478,0.102400,0.640000,2.000000,-0.000000,0.000870
0.020000,0.112159,24.823490,0.115600,0.680000,2.000000,0.000000,0.000984
0.020000,0.126159,24.823505,0.129600,0.720000,2.000000,0.000000,0.001101
0.020000,0.140959,24.823522,0.144400,0.760000,2.000000,0.000000,0.001220
0.020000,0.156559,24.823542,0.160000,0.800000,2.000000,0.000000,0.001342
0.020000,0.172959,24.823565,0.176400,0.840000,2.000000,0.000000,0.001464
0.020000,0.190159,24.823591,0.193600,0.880000,2.000000,-0.000000,0.001587
0.020000,0.208159,24.823621,0.211600,0.920000,2.000000,0.000000,0.001710
0.020000,0.226959,24.823654,0.230400,0.960000,2.000000,0.000000,0.001832
0.020000,0.246559,24.823691,0.250000,1.000000,2.000000,0.000000,0.001952
