dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.008201,23.908437,0.000050,0.009971,0.997070,99.706973,6.283061
0.010000,0.008203,23.908437,0.000052,0.000195,-0.977563,-197.463308,6.283064
0.010000,0.008206,23.908437,0.000056,0.000390,0.019485,99.704884,6.283068
0.010000,0.008212,23.908437,0.000062,0.000584,0.019444,-0.004177,6.283074
0.010000,0.008220,23.908437,0.000069,0.000778,0.019381,-0.006266,6.283083
0.010000,0.008230,23.908437,0.000079,0.000971,0.019298,-0.008354,6.283093
0.010000,0.008241,23.908437,0.000091,0.001163,0.019193,-0.010442,6.283106
0.010000,0.008255,23.908437,0.000104,0.001354,0.019068,-0.012530,6.283121
0.010000,0.008270,23.908437,0.000120,0.001543,0.018922,-0.014617,6.283138
0.010000,0.008288,23.908437,0.000137,0.001731,0.018755,-0.016704,6.283157
0.010000,0.008307,23.908437,0.000156,0.001916,0.018567,-0.018791,6.283178
0.010000,0.009784,23.908437,0.001633,0.147695,14.577919,1455.935245,0.000015
0.010000,0.012200,23.908437,0.004049,0.241574,9.387873,-519.004576,0.000040
0.010000,0.014817,23.908437,0.006666,0.261697,2.012292,-737.558132,0.000067
0.010000,0.017635,23.908438,0.009484,0.281818,2.012092,-0.019969,0.000096
0.010000,0.020654,23.908438,0.012503,0.301934,2.011618,-0.047476,0.000127
0.010000,0.023874,23.908438,0.015724,0.322036,2.010141,-0.147677,0.000159
0.010000,0.027296,23.908439,0.019145,0.342148,2.011287,0.114608,0.000193
0.010000,0.030918,23.908440,0.022768,0.362259,2.011023,-0.026437,0.000230
0.010000,0.034742,23.908441,0.026591,0.382352,2.009297,-0.172515,0.000268
0.010000,0.038766,23.908442,0.030616,0.402449,2.009732,0.043502,0.000307
0.010000,0.042992,23.908443,0.034841,0.422549,2.010022,0.028941,0.000348
0.010000,0.047418,23.908445,0.039267,0.442628,2.007852,-0.216976,0.000391
0.010000,0.052045,23.908447,0.043895,0.462715,2.008756,0.090351,0.000436
0.010000,0.056873,23.908449,0.048723,0.482798,2.008305,-0.045044,0.000482
0.010000,0.061902,23.908451,0.053751,0.502863,2.006475,-0.182971,0.000529
0.010000,0.067131,23.908454,0.058981,0.522943,2.007981,0.150515,0.000578
0.010000,0.072561,23.908458,0.064411,0.542994,2.005094,-0.288631,0.000628
0.010000,0.078192,23.908461,0.070041,0.563061,2.006772,0.167727,0.000679
0.010000,0.084023,23.908465,0.075872,0.583105,2.004350,-0.242191,0.000732
0.010000,0.090055,23.908470,0.081904,0.603159,2.005356,0.100665,0.000785
0.010000,0.096287,23.908475,0.088136,0.623190,2.003139,-0.221704,0.000840
0.010000,0.102719,23.908481,0.094568,0.643233,2.004268,0.112899,0.000896
0.010000,0.109351,23.908487,0.101201,0.663248,2.001490,-0.277856,0.000953
0.010000,0.116184,23.908493,0.108033,0.683277,2.002963,0.147364,0.001010
0.010000,0.123217,23.908501,0.115066,0.703282,2.000453,-0.251036,0.001068
0.010000,0.130450,23.908509,0.122299,0.723290,2.000872,0.041904,0.001127
0.010000,0.137883,23.908517,0.129732,0.743291,2.000106,-0.076609,0.001187
0.010000,0.145515,23.908527,0.137365,0.763273,1.998189,-0.191673,0.001247
0.010000,0.153348,23.908537,0.145197,0.783262,1.998824,0.063487,0.001308
0.010000,0.161380,23.908547,0.153230,0.803236,1.997458,-0.136635,0.001369
0.010000,0.169612,23.908559,0.161462,0.823196,1.995965,-0.149220,0.001430
0.010000,0.178044,23.908571,0.169893,0.843157,1.996152,0.018617,0.001491
0.010000,0.186675,23.908584,0.178524,0.863109,1.995182,-0.096986,0.001553
0.010000,0.195505,23.908598,0.187355,0.883042,1.993295,-0.188698,0.001614
0.010000,0.204535,23.908613,0.196384,0.902974,1.993147,-0.014755,0.001676
0.010000,0.213764,23.908629,0.205613,0.922897,1.992350,-0.079725,0.001737
0.010000,0.223192,23.908646,0.215042,0.942810,1.991332,-0.101766,0.001798
0.010000,0.232819,23.908663,0.224669,0.962711,1.990087,-0.124544,0.001858
0.010000,0.242645,23.908682,0.234495,0.982600,1.988843,-0.124440,0.001918
0.010000,0.252670,23.908701,0.244519,1.002483,1.988320,-0.052278,0.001977
0.010000,0.262894,23.908722,0.254743,1.022355,1.987247,-0.107298,0.002035
0.010000,0.273316,23.908743,0.265165,1.042217,1.986160,-0.108627,0.002093
0.010000,0.283936,23.908766,0.275786,1.062068,1.985060,-0.110010,0.002149
0.010000,0.294755,23.908789,0.286605,1.081907,1.983946,-0.111447,0.002205
0.010000,0.305773,23.908814,0.297622,1.101735,1.982817,-0.112940,0.002259
0.010000,0.316988,23.908840,0.308838,1.121552,1.981672,-0.114489,0.002312
0.010000,0.328402,23.908866,0.320251,1.141357,1.980511,-0.116097,0.002363
0.010000,0.340013,23.908894,0.331863,1.161150,1.979333,-0.117765,0.002413
0.010000,0.351823,23.908923,0.343672,1.180932,1.978138,-0.119493,0.002461
0.010000,0.363830,23.908953,0.355679,1.200701,1.976925,-0.121284,0.002507
0.010000,0.376034,23.908984,0.367884,1.220458,1.975694,-0.123138,0.002551
0.010000,0.388436,23.909015,0.380286,1.240202,1.974443,-0.125058,0.002593
0.010000,0.401035,23.909048,0.392885,1.259934,1.973173,-0.127043,0.002633
0.010000,0.413832,23.909082,0.405682,1.279653,1.971882,-0.129097,0.002670
0.010000,0.426825,23.909117,0.418675,1.299359,1.970570,-0.131219,0.002704
0.010000,0.440016,23.909153,0.431866,1.319051,1.969236,-0.133412,0.002736
0.010000,0.453403,23.909190,0.445253,1.338730,1.967879,-0.135677,0.002765
0.010000,0.466987,23.909228,0.458837,1.358395,1.966499,-0.138015,0.002791
0.010000,0.480767,23.909266,0.472617,1.378046,1.965094,-0.140428,0.002814
0.010000,0.494744,23.909306,0.486594,1.397681,1.963562,-0.153265,0.002834
0.010000,0.508917,23.909346,0.500767,1.417303,1.962194,-0.136781,0.002850
0.010000,0.523286,23.909387,0.515136,1.436911,1.960777,-0.141646,0.002862
0.010000,0.537851,23.909429,0.529701,1.456504,1.959276,-0.150138,0.002871
0.010000,0.552612,23.909471,0.544462,1.476081,1.957742,-0.153389,0.002875
0.010000,0.567568,23.909514,0.559419,1.495643,1.956206,-0.153632,0.002876
0.010000,0.582720,23.909558,0.574571,1.515190,1.954679,-0.152637,0.002872
0.010000,0.598067,23.909602,0.589918,1.534721,1.953068,-0.161162,0.002863
0.010000,0.613610,23.909646,0.605460,1.554236,1.951557,-0.151064,0.002850
0.010000,0.629347,23.909691,0.621198,1.573735,1.949897,-0.166052,0.002832
0.010000,0.645279,23.909736,0.637130,1.593217,1.948151,-0.174609,0.002809
0.010000,0.661406,23.909781,0.653257,1.612684,1.946750,-0.140104,0.002781
