dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.977983,13.575688,0.000050,0.009992,0.999162,99.916222,3.139388
0.010000,17.978002,13.575688,0.000070,0.001984,-0.800748,-179.991041,3.139409
0.010000,17.978042,13.575688,0.000109,0.003969,0.198436,99.918452,3.139453
0.010000,17.978102,13.575688,0.000169,0.005953,0.198481,0.004460,3.139518
0.010000,17.978181,13.575687,0.000248,0.007939,0.198548,0.006691,3.139605
0.010000,17.978280,13.575687,0.000348,0.009925,0.198637,0.008922,3.139713
0.010000,17.978399,13.575687,0.000467,0.011913,0.198749,0.011155,3.139843
0.010000,17.978538,13.575687,0.000606,0.013901,0.198882,0.013388,3.139995
0.010000,17.978697,13.575687,0.000765,0.015892,0.199039,0.015623,3.140169
0.010000,17.978876,13.575686,0.000944,0.017884,0.199217,0.017859,3.140364
0.010000,17.979075,13.575686,0.001142,0.019878,0.199418,0.020097,3.140582
0.010000,17.979294,13.575686,0.001361,0.021875,0.199642,0.022337,3.140821
0.010000,17.979532,13.575686,0.001600,0.023874,0.199887,0.024580,3.141082
0.010000,17.979791,13.575686,0.001859,0.025875,0.200156,0.026824,3.141364
0.010000,17.979368,13.575686,0.002282,0.042363,1.648758,144.860246,3.141669
0.010000,17.976666,13.575685,0.004984,0.270142,22.777936,2112.917740,3.141996
0.010000,17.973786,13.575683,0.007864,0.287999,1.785718,-2099.221748,3.142345
0.010000,17.970728,13.575680,0.010922,0.305827,1.782778,-0.293987,3.142716
0.010000,17.967492,13.575676,0.014158,0.323624,1.779657,-0.312123,3.143110
0.010000,17.964078,13.575670,0.017572,0.341387,1.776355,-0.330216,3.143525
0.010000,17.960483,13.575663,0.021167,0.359456,1.806885,3.053013,3.143963
0.010000,17.956705,13.575653,0.024945,0.377840,1.838452,3.156670,3.144424
0.010000,17.952749,13.575641,0.028900,0.395542,1.770125,-6.832618,3.144907
0.010000,17.948617,13.575626,0.033032,0.413203,1.766082,-0.404301,3.145413
0.010000,17.944309,13.575608,0.037341,0.430821,1.761860,-0.422233,3.145941
0.010000,17.939815,13.575587,0.041835,0.449407,1.858591,9.673050,3.146493
0.010000,17.935143,13.575563,0.046507,0.467200,1.779256,-7.933491,3.147068
0.010000,17.930296,13.575535,0.051354,0.484727,1.752787,-2.646896,3.147666
0.010000,17.925274,13.575503,0.056376,0.502232,1.750494,-0.229294,3.148286
0.010000,17.920063,13.575467,0.061587,0.521054,1.882207,13.171339,3.148931
0.010000,17.914679,13.575425,0.066972,0.538474,1.741980,-14.022717,3.149599
0.010000,17.909121,13.575379,0.072530,0.555839,1.736461,-0.551900,3.150290
0.010000,17.903379,13.575327,0.078272,0.574213,1.837390,10.092891,3.151006
