dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.980000,14.490686,0.000050,0.009992,0.999162,99.916222,3.139388
0.010000,17.980000,14.490686,0.000250,0.029975,1.998324,99.916222,3.139409
0.010000,17.980000,14.490686,0.000649,0.049958,1.998324,0.000000,3.139453
0.010000,17.980000,14.490686,0.001249,0.069941,1.998324,0.000000,3.139518
0.010000,17.980000,14.490686,0.002048,0.089925,1.998324,0.000000,3.139605
0.010000,17.980000,14.490686,0.003047,0.109908,1.998324,-0.000000,3.139713
0.010000,17.980000,14.490686,0.004246,0.129891,1.998324,0.000000,3.139843
0.010000,17.980000,14.490686,0.005645,0.149874,1.998324,-0.000000,3.139995
0.010000,17.980000,14.490686,0.007244,0.169858,1.998324,0.000000,3.140169
0.010000,17.980000,14.490686,0.009042,0.189841,1.998324,-0.000000,3.140364
0.010000,17.980000,14.490686,0.011041,0.209824,1.998324,0.000000,3.140582
0.010000,17.980000,14.490686,0.013239,0.229807,1.998324,-0.000000,3.140821
0.010000,17.980000,14.490686,0.015637,0.249791,1.998324,0.000000,3.141082
0.010000,17.980000,14.490686,0.018235,0.269774,1.998324,-0.000000,3.141364
0.010000,17.979297,14.490686,0.021032,0.289757,1.998324,0.000000,3.141669
0.010000,17.976297,14.490685,0.024030,0.309740,1.998324,-0.000000,3.141996
0.010000,17.973097,14.490683,0.027227,0.329724,1.998324,0.000000,3.142345
0.010000,17.969700,14.490680,0.030624,0.349707,1.998324,0.000000,3.142716
0.010000,17.966103,14.490675,0.034221,0.369690,1.998324,-0.000000,3.143110
0.010000,17.962310,14.490669,0.038018,0.389673,1.998324,0.000000,3.143525
0.010000,17.958314,14.490660,0.042015,0.409657,1.998324,-0.000000,3.143963
0.010000,17.954114,14.490649,0.046211,0.429640,1.998324,0.000000,3.144424
0.010000,17.949716,14.490636,0.050608,0.449623,1.998324,0.000000,3.144907
0.010000,17.945122,14.490619,0.055204,0.469606,1.998324,-0.000000,3.145413
0.010000,17.940330,14.490600,0.060000,0.489589,1.998324,0.000000,3.145941
0.010000,17.935331,14.490576,0.064996,0.509573,1.998324,-0.000000,3.146493
0.010000,17.930133,14.490549,0.070191,0.529556,1.998324,0.000000,3.147068
0.010000,17.924739,14.490518,0.075587,0.549539,1.998324,0.000000,3.147666
0.010000,17.919149,14.490483,0.081182,0.569522,1.998324,-0.000000,3.148286
0.010000,17.913349,14.490442,0.086977,0.589506,1.998324,0.000000,3.148931
0.010000,17.907353,14.490396,0.092972,0.609489,1.998324,0.000000,3.149599
0.010000,17.901162,14.490344,0.099167,0.629472,1.998324,0.000000,3.150290
0.010000,17.894766,14.490286,0.105561,0.649455,1.998324,-0.000000,3.151006
0.010000,17.888170,14.490222,0.112156,0.669439,1.998324,0.000000,3.151745
0.010000,17.881380,14.490150,0.118950,0.689422,1.998324,0.000000,3.152508
0.010000,17.874384,14.490071,0.125944,0.709405,1.998324,0.000000,3.153295
0.010000,17.867189,14.489984,0.133138,0.729388,1.998324,0.000000,3.154107
0.010000,17.859801,14.489888,0.140532,0.749372,1.998324,0.000000,3.154943
0.010000,17.852203,14.489784,0.148126,0.769355,1.998324,-0.000000,3.155805
0.010000,17.844411,14.489670,0.155919,0.789338,1.998324,0.000000,3.156690
0.010000,17.836421,14.489545,0.163913,0.809321,1.998324,0.000000,3.157601
0.010000,17.828226,14.489410,0.172106,0.829305,1.998324,-0.000000,3.158537
0.010000,17.819840,14.489264,0.180499,0.849288,1.998324,0.000000,3.159498
0.010000,17.811243,14.489106,0.189091,0.869271,1.998324,0.000000,3.160486
0.010000,17.802455,14.488935,0.197884,0.889254,1.998324,-0.000000,3.161499
0.010000,17.793462,14.488752,0.206877,0.909238,1.998324,0.000000,3.162538
0.010000,17.784273,14.488554,0.216069,0.929221,1.998324,0.000000,3.163603
0.010000,17.774883,14.488342,0.225461,0.949204,1.998324,-0.000000,3.164695
0.010000,17.765293,14.488116,0.235053,0.969187,1.998324,0.000000,3.165813
0.010000,17.755505,14.487873,0.244845,0.989171,1.998324,0.000000,3.166958
0.010000,17.745516,14.487613,0.254836,1.009154,1.998324,0.000000,3.168131
0.010000,17.735329,14.487337,0.265028,1.029137,1.998324,-0.000000,3.169331
0.010000,17.724942,14.487042,0.275419,1.049120,1.998324,0.000000,3.170558
0.010000,17.714355,14.486729,0.286010,1.069104,1.998324,0.000000,3.171814
0.010000,17.703571,14.486396,0.296801,1.089087,1.998324,-0.000000,3.173097
0.010000,17.692583,14.486043,0.307792,1.109070,1.998324,0.000000,3.174409
0.010000,17.681405,14.485668,0.318983,1.129053,1.998324,0.000000,3.175749
0.010000,17.670015,14.485271,0.330373,1.149037,1.998324,-0.000000,3.177120
0.010000,17.658435,14.484851,0.341963,1.169020,1.998324,0.000000,3.178518
0.010000,17.646653,14.484408,0.353753,1.189003,1.998324,0.000000,3.179947
