dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.982017,15.405683,0.000050,0.009992,0.999162,99.916222,3.139388
0.010000,17.981998,15.405683,0.000070,0.001984,-0.800748,-179.991041,3.139409
0.010000,17.981958,15.405684,0.000109,0.003969,0.198436,99.918452,3.139453
0.010000,17.981898,15.405684,0.000169,0.005953,0.198481,0.004460,3.139518
0.010000,17.981819,15.405684,0.000248,0.007939,0.198548,0.006691,3.139605
0.010000,17.981720,15.405684,0.000348,0.009925,0.198637,0.008922,3.139713
0.010000,17.981601,15.405684,0.000467,0.011913,0.198749,0.011155,3.139843
0.010000,17.981462,15.405684,0.000606,0.013901,0.198882,0.013388,3.139995
0.010000,17.981303,15.405685,0.000765,0.015892,0.199039,0.015623,3.140169
0.010000,17.981124,15.405685,0.000944,0.017884,0.199217,0.017859,3.140364
0.010000,17.980925,15.405685,0.001142,0.019878,0.199418,0.020097,3.140582
0.010000,17.980706,15.405685,0.001361,0.021875,0.199642,0.022337,3.140821
0.010000,17.980468,15.405685,0.001600,0.023874,0.199887,0.024580,3.141082
0.010000,17.980209,15.405686,0.001859,0.025875,0.200156,0.026824,3.141364
0.010000,17.979227,15.405686,0.002840,0.098141,7.226579,702.642370,3.141669
0.010000,17.975927,15.405685,0.006140,0.329998,23.185729,1595.914978,3.141996
0.010000,17.972409,15.405683,0.009659,0.351883,2.188465,-2099.726420,3.142345
0.010000,17.968671,15.405679,0.013396,0.373745,2.186244,-0.222127,3.142716
0.010000,17.964715,15.405674,0.017352,0.395584,2.183886,-0.235731,3.143110
0.010000,17.960541,15.405667,0.021526,0.417398,2.181394,-0.249284,3.143525
0.010000,17.956145,15.405657,0.025922,0.439602,2.220368,3.897398,3.143963
0.010000,17.951523,15.405645,0.030544,0.462209,2.260741,4.037362,3.144424
0.010000,17.946683,15.405630,0.035384,0.483999,2.179004,-8.173764,3.144907
0.010000,17.941626,15.405612,0.040442,0.505759,2.175958,-0.304585,3.145413
0.010000,17.936351,15.405591,0.045717,0.527487,2.172779,-0.317911,3.145941
0.010000,17.930847,15.405565,0.051221,0.550420,2.293350,12.057154,3.146493
0.010000,17.925123,15.405536,0.056945,0.572404,2.198429,-9.492111,3.147068
0.010000,17.919182,15.405501,0.062886,0.594087,2.168278,-3.015052,3.147666
0.010000,17.913025,15.405462,0.069043,0.615765,2.167824,-0.045414,3.148286
0.010000,17.906634,15.405417,0.075434,0.639084,2.331855,16.403095,3.148931
0.010000,17.900027,15.405367,0.082041,0.660709,2.162504,-16.935172,3.149599
0.010000,17.893204,15.405310,0.088864,0.682293,2.158368,-0.413542,3.150290
0.010000,17.886153,15.405246,0.095916,0.705143,2.285068,12.669991,3.151006
0.010000,17.878880,15.405175,0.103189,0.727313,2.217004,-6.806377,3.151745
0.010000,17.871393,15.405096,0.110677,0.748822,2.150915,-6.608888,3.152508
0.010000,17.863676,15.405008,0.118394,0.771685,2.286232,13.531695,3.153295
0.010000,17.855738,15.404912,0.126332,0.793862,2.217675,-6.855732,3.154107
0.010000,17.847586,15.404807,0.134485,0.815284,2.142202,-7.547258,3.154943
0.010000,17.839200,15.404691,0.142872,0.838702,2.341846,19.964365,3.155805
0.010000,17.830598,15.404565,0.151475,0.860315,2.161284,-18.056185,3.156690
0.010000,17.821774,15.404428,0.160300,0.882425,2.211060,4.977585,3.157601
0.010000,17.812722,15.404279,0.169353,0.905367,2.294156,8.309606,3.158537
0.010000,17.803457,15.404117,0.178620,0.926635,2.126767,-16.738944,3.159498
0.010000,17.793956,15.403943,0.188122,0.950214,2.357919,23.115206,3.160486
0.010000,17.784242,15.403754,0.197838,0.971635,2.142149,-21.577013,3.161499
0.010000,17.774299,15.403551,0.207784,0.994526,2.289098,14.694906,3.162538
0.010000,17.764135,15.403333,0.217950,1.016627,2.210106,-7.899179,3.163603
0.010000,17.753747,15.403098,0.228341,1.039081,2.245346,3.524030,3.164695
0.010000,17.743134,15.402847,0.238957,1.061599,2.251805,0.645836,3.165813
0.010000,17.732298,15.402578,0.249795,1.083866,2.226661,-2.514376,3.166958
0.010000,17.721237,15.402291,0.260861,1.106538,2.267249,4.058779,3.168131
0.010000,17.709952,15.401985,0.272149,1.128868,2.233022,-3.422657,3.169331
0.010000,17.698442,15.401659,0.283664,1.151433,2.256460,2.343760,3.170558
0.010000,17.686707,15.401311,0.295404,1.174077,2.264394,0.793474,3.171814
0.010000,17.674750,15.400942,0.307367,1.196272,2.219477,-4.491731,3.173097
0.010000,17.662561,15.400550,0.319562,1.219479,2.320726,10.124924,3.174409
0.010000,17.650158,15.400134,0.331972,1.241042,2.156358,-16.436826,3.175749
0.010000,17.637515,15.399694,0.344623,1.265062,2.401950,24.559225,3.177120
0.010000,17.624656,15.399228,0.357490,1.286735,2.167279,-23.467116,3.178518
0.010000,17.611567,15.398735,0.370588,1.309812,2.307780,14.050069,3.179947
0.010000,17.598251,15.398214,0.383915,1.332635,2.282233,-2.554713,3.181406
0.010000,17.584716,15.397665,0.397460,1.354565,2.193025,-8.920765,3.182894
0.010000,17.570943,15.397085,0.411246,1.378539,2.397435,20.441002,3.184413
0.010000,17.556949,15.396475,0.425253,1.400754,2.221428,-17.600668,3.185963
0.010000,17.542733,15.395832,0.439484,1.423036,2.228220,0.679185,3.187544
0.010000,17.528278,15.395156,0.453954,1.447073,2.403674,17.545422,3.189157
0.010000,17.513602,15.394445,0.468648,1.469375,2.230279,-17.339551,3.190802
0.010000,17.498703,15.393699,0.483566,1.491778,2.240236,0.995715,3.192478
0.010000,17.483566,15.392915,0.498723,1.515696,2.391866,15.163007,3.194188
0.010000,17.468203,15.392093,0.514108,1.538456,2.275972,-11.589389,3.195931
0.010000,17.452616,15.391231,0.529718,1.561072,2.261628,-1.434396,3.197707
0.010000,17.436802,15.390329,0.545559,1.584044,2.297135,3.550657,3.199516
0.010000,17.420750,15.389383,0.561638,1.607952,2.390774,9.363875,3.201360
0.010000,17.404472,15.388394,0.577946,1.630767,2.281507,-10.926714,3.203239
0.010000,17.387968,15.387359,0.594483,1.653670,2.290297,0.879063,3.205152
0.010000,17.371236,15.386278,0.611249,1.676659,2.298917,0.862001,3.207100
0.010000,17.354269,15.385148,0.628254,1.700487,2.382787,8.387029,3.209085
0.010000,17.337071,15.383968,0.645493,1.723897,2.340986,-4.180103,3.211106
0.010000,17.319643,15.382736,0.662964,1.747059,2.316212,-2.477457,3.213164
0.010000,17.301987,15.381452,0.680667,1.770300,2.324127,0.791560,3.215259
