dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.920306,13.477280,0.000050,0.009996,0.999565,99.956515,3.143657
0.010000,17.920282,13.477280,0.000074,0.002402,-0.759399,-175.896369,3.143631
0.010000,17.920233,13.477280,0.000122,0.004804,0.240189,99.958757,3.143579
0.010000,17.920161,13.477280,0.000194,0.007206,0.240234,0.004483,3.143500
0.010000,17.920065,13.477280,0.000290,0.009609,0.240301,0.006725,3.143395
0.010000,17.919945,13.477280,0.000410,0.012013,0.240391,0.008965,3.143263
0.010000,17.919801,13.477280,0.000554,0.014418,0.240503,0.011205,3.143106
0.010000,17.919633,13.477279,0.000723,0.016824,0.240637,0.013445,3.142922
0.010000,17.919440,13.477279,0.000915,0.019232,0.240794,0.015682,3.142712
0.010000,17.919224,13.477279,0.001131,0.021642,0.240973,0.017919,3.142475
0.010000,17.918984,13.477279,0.001372,0.024054,0.241175,0.020154,3.142212
0.010000,17.918719,13.477279,0.001637,0.026468,0.241399,0.022388,3.141923
0.010000,17.918430,13.477278,0.001926,0.028884,0.241645,0.024619,3.141607
0.010000,17.915628,13.477279,0.004727,0.280167,25.128285,2488.664015,3.141265
0.010000,17.912491,13.477281,0.007865,0.313778,3.361156,-2176.712945,3.140896
0.010000,17.909130,13.477284,0.011226,0.336097,2.231865,-112.929012,3.140501
0.010000,17.905546,13.477288,0.014810,0.358396,2.229927,-0.193835,3.140079
0.010000,17.901739,13.477295,0.018617,0.380675,2.227862,-0.206477,3.139630
0.010000,17.897703,13.477304,0.022652,0.403544,2.286922,5.905959,3.139154
0.010000,17.893443,13.477315,0.026912,0.426014,2.246986,-3.993627,3.138651
0.010000,17.888961,13.477330,0.031395,0.448267,2.225315,-2.167032,3.138121
0.010000,17.884256,13.477347,0.036100,0.470495,2.222740,-0.257492,3.137564
0.010000,17.879321,13.477368,0.041034,0.493460,2.296489,7.374807,3.136980
0.010000,17.874162,13.477394,0.046193,0.515893,2.243372,-5.311660,3.136368
0.010000,17.868782,13.477424,0.051574,0.538080,2.218639,-2.473251,3.135730
0.010000,17.863175,13.477458,0.057181,0.560713,2.263286,4.464653,3.135063
0.010000,17.857340,13.477499,0.063016,0.583517,2.280493,1.720661,3.134369
0.010000,17.851283,13.477545,0.069073,0.605651,2.213375,-6.711715,3.133647
0.010000,17.845000,13.477597,0.075356,0.628349,2.269759,5.638353,3.132897
0.010000,17.838489,13.477656,0.081868,0.651104,2.275548,0.578946,3.132119
0.010000,17.831758,13.477722,0.088599,0.673174,2.206958,-6.859010,3.131313
0.010000,17.824795,13.477797,0.095563,0.696331,2.315743,10.878509,3.130479
0.010000,17.817609,13.477880,0.102749,0.718618,2.228712,-8.703156,3.129616
0.010000,17.810198,13.477972,0.110160,0.741162,2.254344,2.563222,3.128725
0.010000,17.802558,13.478074,0.117801,0.764073,2.291145,3.680114,3.127805
0.010000,17.794697,13.478186,0.125663,0.786183,2.210981,-8.016459,3.126856
0.010000,17.786603,13.478309,0.133758,0.809528,2.334466,12.348563,3.125878
0.010000,17.778289,13.478444,0.142073,0.831432,2.190383,-14.408352,3.124871
0.010000,17.769741,13.478591,0.150622,0.854923,2.349165,15.878266,3.123834
0.010000,17.760975,13.478752,0.159390,0.876822,2.189890,-15.927542,3.122768
0.010000,17.751973,13.478926,0.168393,0.900323,2.350070,16.018010,3.121672
0.010000,17.742752,13.479115,0.177616,0.922278,2.195491,-15.457879,3.120546
0.010000,17.733297,13.479320,0.187074,0.945782,2.350375,15.488377,3.119390
0.010000,17.723620,13.479540,0.196753,0.967948,2.216668,-13.370651,3.118204
0.010000,17.713711,13.479778,0.206665,0.991127,2.317925,10.125632,3.116987
0.010000,17.703577,13.480034,0.216802,1.013752,2.262483,-5.544228,3.115739
0.010000,17.693216,13.480308,0.227166,1.036420,2.266760,0.427701,3.114461
0.010000,17.682624,13.480603,0.237763,1.059678,2.325861,5.910144,3.113151
0.010000,17.671808,13.480918,0.248584,1.082053,2.237474,-8.838657,3.111810
0.010000,17.660760,13.481254,0.259637,1.105310,2.325728,8.825385,3.110437
0.010000,17.649484,13.481614,0.270919,1.128189,2.287841,-3.788712,3.109032
0.010000,17.637983,13.481997,0.282426,1.150736,2.254712,-3.312908,3.107596
0.010000,17.626248,13.482404,0.294167,1.174147,2.341090,8.637763,3.106126
0.010000,17.614286,13.482838,0.306138,1.197055,2.290763,-5.032691,3.104625
0.010000,17.602097,13.483298,0.318336,1.219760,2.270559,-2.020358,3.103090
0.010000,17.589677,13.483786,0.330765,1.242893,2.313246,4.268642,3.101523
0.010000,17.577026,13.484303,0.343427,1.266235,2.334222,2.097590,3.099921
0.010000,17.564146,13.484851,0.356318,1.289085,2.285005,-4.921685,3.098287
0.010000,17.551039,13.485430,0.369438,1.311997,2.291236,0.623178,3.096618
0.010000,17.537701,13.486042,0.382790,1.335203,2.320616,2.937942,3.094915
0.010000,17.524130,13.486687,0.396376,1.358669,2.346611,2.599495,3.093178
0.010000,17.510330,13.487368,0.410193,1.381707,2.303787,-4.282390,3.091405
0.010000,17.496300,13.488086,0.424241,1.404801,2.309363,0.557613,3.089598
0.010000,17.482040,13.488841,0.438521,1.427949,2.314770,0.540689,3.087755
0.010000,17.467551,13.489635,0.453032,1.451149,2.320007,0.523678,3.085877
0.010000,17.452828,13.490471,0.467779,1.474659,2.350994,3.098777,3.083962
0.010000,17.437873,13.491348,0.482760,1.498072,2.341350,-0.964489,3.082011
0.010000,17.422687,13.492269,0.497973,1.521369,2.329672,-1.167746,3.080024
0.010000,17.407270,13.493235,0.513421,1.544711,2.334245,0.457264,3.077999
0.010000,17.391622,13.494248,0.529102,1.568098,2.338645,0.440063,3.075937
0.010000,17.375742,13.495309,0.545017,1.591527,2.342874,0.422822,3.073837
0.010000,17.359630,13.496419,0.561167,1.614996,2.346929,0.405551,3.071699
0.010000,17.343286,13.497581,0.577552,1.638504,2.350812,0.388258,3.069523
0.010000,17.326710,13.498796,0.594172,1.662049,2.354521,0.370952,3.067307
0.010000,17.309902,13.500066,0.611029,1.685630,2.358058,0.353642,3.065053
0.010000,17.292861,13.501393,0.628121,1.709244,2.361421,0.336336,3.062759
0.010000,17.275588,13.502778,0.645450,1.732890,2.364611,0.319043,3.060425
0.010000,17.258082,13.504223,0.663016,1.756566,2.367629,0.301774,3.058051
0.010000,17.240343,13.505730,0.680818,1.780271,2.370475,0.284536,3.055636
0.010000,17.222371,13.507301,0.698858,1.804003,2.373148,0.267339,3.053180
0.010000,17.204167,13.508937,0.717136,1.827759,2.375650,0.250192,3.050683
