dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.918416,14.392278,0.000400,0.040000,2.000000,100.000000,3.143611
0.020000,17.918416,14.392278,0.001600,0.080000,2.000000,0.000000,3.143454
0.020000,17.918416,14.392278,0.003600,0.120000,2.000000,-0.000000,3.143191
0.020000,17.918416,14.392278,0.006400,0.160000,2.000000,0.000000,3.142823
0.020000,17.918416,14.392278,0.010000,0.200000,2.000000,0.000000,3.142350
0.020000,17.918416,14.392278,0.014400,0.240000,2.000000,-0.000000,3.141771
0.020000,17.914569,14.392279,0.019600,0.280000,2.000000,0.000000,3.141086
0.020000,17.908569,14.392285,0.025600,0.320000,2.000000,-0.000000,3.140295
0.020000,17.901771,14.392297,0.032400,0.360000,2.000000,0.000000,3.139397
0.020000,17.894168,14.392317,0.040000,0.400000,2.000000,0.000000,3.138390
0.020000,17.885771,14.392349,0.048400,0.440000,2.000000,-0.000000,3.137276
0.020000,17.876569,14.392394,0.057600,0.480000,2.000000,0.000000,3.136052
0.020000,17.866569,14.392456,0.067600,0.520000,2.000000,0.000000,3.134719
0.020000,17.855773,14.392538,0.078400,0.560000,2.000000,0.000000,3.133275
0.020000,17.844170,14.392644,0.090000,0.600000,2.000000,0.000000,3.131718
0.020000,17.831770,14.392777,0.102400,0.640000,2.000000,-0.000000,3.130048
0.020000,17.818572,14.392941,0.115600,0.680000,2.000000,0.000000,3.128265
0.020000,17.804574,14.393141,0.129600,0.720000,2.000000,0.000000,3.126366
0.020000,17.789776,14.393381,0.144400,0.760000,2.000000,0.000000,3.124351
0.020000,17.774179,14.393666,0.160000,0.800000,2.000000,0.000000,3.122218
0.020000,17.757782,14.394003,0.176400,0.840000,2.000000,0.000000,3.119965
0.020000,17.740586,14.394395,0.193600,0.880000,2.000000,-0.000000,3.117591
0.020000,17.722591,14.394849,0.211600,0.920000,2.000000,0.000000,3.115094
0.020000,17.703800,14.395372,0.230400,0.960000,2.000000,0.000000,3.112474
0.020000,17.684210,14.395970,0.250000,1.000000,2.000000,0.000000,3.109727
0.020000,17.663819,14.396649,0.270400,1.040000,2.000000,0.000000,3.106852
0.020000,17.642634,14.397417,0.291600,1.080000,2.000000,0.000000,3.103847
0.020000,17.620651,14.398282,0.313600,1.120000,2.000000,0.000000,3.100710
0.020000,17.597872,14.399251,0.336400,1.160000,2.000000,-0.000000,3.097439
0.020000,17.574296,14.400333,0.360000,1.200000,2.000000,0.000000,3.094032
0.020000,17.549928,14.401536,0.384400,1.240000,2.000000,-0.000000,3.090486
0.020000,17.524761,14.402869,0.409600,1.280000,2.000000,0.000000,3.086798
0.020000,17.498803,14.404343,0.435600,1.320000,2.000000,0.000000,3.082967
0.020000,17.472053,14.405966,0.462400,1.360000,2.000000,-0.000000,3.078990
0.020000,17.444513,14.407750,0.490000,1.400000,2.000000,0.000000,3.074864
0.020000,17.416180,14.409704,0.518400,1.440000,2.000000,0.000000,3.070586
0.020000,17.387058,14.411840,0.547600,1.480000,2.000000,0.000000,3.066153
0.020000,17.357149,14.414170,0.577600,1.520000,2.000000,0.000000,3.061563
0.020000,17.326453,14.416705,0.608400,1.560000,2.000000,0.000000,3.056812
0.020000,17.294972,14.419458,0.640000,1.600000,2.000000,0.000000,3.051897
0.020000,17.262709,14.422442,0.672400,1.640000,2.000000,-0.000000,3.046815
0.020000,17.229667,14.425671,0.705600,1.680000,2.000000,0.000000,3.041564
0.020000,17.195847,14.429158,0.739600,1.720000,2.000000,-0.000000,3.036139
0.020000,17.161249,14.432918,0.774400,1.760000,2.000000,-0.000000,3.030536
0.020000,17.125883,14.436965,0.810000,1.800000,2.000000,0.000000,3.024753
0.020000,17.089741,14.441316,0.846400,1.840000,2.000000,0.000000,3.018786
0.020000,17.052837,14.445986,0.883600,1.880000,2.000000,0.000000,3.012631
0.020000,17.015169,14.450993,0.921600,1.920000,2.000000,-0.000000,3.006285
0.020000,16.976740,14.456352,0.960400,1.960000,2.000000,0.000000,2.999743
0.020000,16.937556,14.462083,1.000000,2.000000,2.000000,0.000000,2.993002
0.020000,16.897622,14.468202,1.040400,2.040000,2.000000,0.000000,2.986059
0.020000,16.856943,14.474729,1.081600,2.080000,2.000000,0.000000,2.978910
0.020000,16.815523,14.481684,1.123600,2.120000,2.000000,0.000000,2.971550
0.020000,16.773368,14.489086,1.166400,2.160000,2.000000,0.000000,2.963977
0.020000,16.730485,14.496956,1.210000,2.200000,2.000000,-0.000000,2.956186
0.020000,16.686881,14.505316,1.254400,2.240000,2.000000,0.000000,2.948174
0.020000,16.642558,14.514186,1.299600,2.280000,2.000000,-0.000000,2.939937
0.020000,16.597531,14.523590,1.345600,2.320000,2.000000,-0.000000,2.931472
0.020000,16.551802,14.533550,1.392400,2.360000,2.000000,0.000000,2.922775
0.020000,16.505386,14.544089,1.440000,2.400000,2.000000,0.000000,2.913844
0.020000,16.458284,14.555233,1.488400,2.440000,2.000000,-0.000000,2.904676
0.020000,16.410514,14.567005,1.537600,2.480000,2.000000,0.000000,2.895267
0.020000,16.362083,14.579431,1.587600,2.520000,2.000000,0.000000,2.885616
0.020000,16.313003,14.592535,1.638400,2.560000,2.000000,0.000000,2.875720
0.020000,16.263286,14.606345,1.690000,2.600000,2.000000,0.000000,2.865577
0.020000,16.212944,14.620887,1.742400,2.640000,2.000000,0.000000,2.855187
0.020000,16.161991,14.636187,1.795600,2.680000,2.000000,-0.000000,2.844547
0.020000,16.110443,14.652273,1.849600,2.720000,2.000000,0.000000,2.833659
0.020000,16.058316,14.669172,1.904400,2.760000,2.000000,0.000000,2.822521
0.020000,16.005621,14.686913,1.960000,2.800000,2.000000,-0.000000,2.811133
0.020000,15.952382,14.705523,2.016400,2.840000,2.000000,0.000000,2.799499
0.020000,15.898610,14.725031,2.073600,2.880000,2.000000,0.000000,2.787618
0.020000,15.844330,14.745464,2.131600,2.920000,2.000000,0.000000,2.775494
0.020000,15.789559,14.766851,2.190400,2.960000,2.000000,0.000000,2.763130
0.020000,15.734316,14.789221,2.250000,3.000000,2.000000,0.000000,2.750531
0.020000,15.678993,14.812444,2.310000,3.000000,0.000000,-100.000000,2.737786
0.020000,15.623971,14.836372,2.370000,3.000000,0.000000,0.000000,2.724987
0.020000,15.569260,14.861003,2.430000,3.000000,0.000000,0.000000,2.712144
0.020000,15.514871,14.886335,2.490000,3.000000,0.000000,0.000000,2.699265
0.020000,15.460812,14.912367,2.550000,3.000000,0.000000,0.000000,2.686358
0.020000,15.407095,14.939095,2.610000,3.000000,0.000000,0.000000,2.673432
0.020000,15.353728,14.966515,2.670000,3.000000,0.000000,0.000000,2.660497
0.020000,15.300720,14.994623,2.730000,3.000000,0.000000,0.000000,2.647562
0.020000,15.248080,15.023415,2.790000,3.000000,0.000000,0.000000,2.634636
0.020000,15.195815,15.052884,2.850000,3.000000,0.000000,0.000000,2.621728
0.020000,15.143935,15.083024,2.910000,3.000000,0.000000,0.000000,2.608848
0.020000,15.092448,15.113829,2.970000,3.000000,0.000000,0.000000,2.596005
0.020000,15.041359,15.145292,3.030000,3.000000,0.000000,0.000000,2.583209
0.020000,14.990677,15.177404,3.090000,3.000000,0.000000,0.000000,2.570469
0.020000,14.940406,15.210158,3.150000,3.000000,0.000000,0.000000,2.557794
0.020000,14.890554,15.243545,3.210000,3.000000,0.000000,0.000000,2.545192
0.020000,14.841124,15.277555,3.270000,3.000000,0.000000,0.000000,2.532673
0.020000,14.792123,15.312179,3.330000,3.000000,0.000000,0.000000,2.520245
0.020000,14.743555,15.347407,3.390000,3.000000,0.000000,0.000000,2.507916
0.020000,14.695422,15.383229,3.450000,3.000000,0.000000,0.000000,2.495694
0.020000,14.647728,15.419634,3.510000,3.000000,0.000000,0.000000,2.483587
0.020000,14.600477,15.456610,3.570000,3.000000,0.000000,0.000000,2.471602
0.020000,14.553670,15.494147,3.630000,3.000000,0.000000,0.000000,2.459746
0.020000,14.507309,15.532234,3.690000,3.000000,0.000000,0.000000,2.448026
0.020000,14.461394,15.570858,3.750000,3.000000,0.000000,0.000000,2.436448
0.020000,14.415927,15.610007,3.810000,3.000000,0.000000,0.000000,2.425018
0.020000,14.370907,15.649670,3.870000,3.000000,0.000000,0.000000,2.413742
0.020000,14.326334,15.689835,3.930000,3.000000,0.000000,0.000000,2.402624
0.020000,14.282207,15.730489,3.990000,3.000000,0.000000,0.000000,2.391670
0.020000,14.238524,15.771621,4.050000,3.000000,0.000000,0.000000,2.380883
0.020000,14.195284,15.813217,4.110000,3.000000,0.000000,0.000000,2.370268
0.020000,14.152485,15.855267,4.170000,3.000000,0.000000,0.000000,2.359829
0.020000,14.110123,15.897757,4.230000,3.000000,0.000000,0.000000,2.349568
0.020000,14.068195,15.940676,4.290000,3.000000,0.000000,0.000000,2.339488
0.020000,14.026698,15.984011,4.350000,3.000000,0.000000,0.000000,2.329593
0.020000,13.985628,16.027752,4.410000,3.000000,0.000000,0.000000,2.319883
0.020000,13.944980,16.071885,4.470000,3.000000,0.000000,0.000000,2.310362
0.020000,13.904750,16.116399,4.530000,3.000000,0.000000,0.000000,2.301030
0.020000,13.864933,16.161283,4.590000,3.000000,0.000000,0.000000,2.291890
0.020000,13.825524,16.206525,4.650000,3.000000,0.000000,0.000000,2.282941
