dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.916569,15.307277,0.000400,0.040000,2.000000,100.000000,3.143611
0.020000,17.916714,15.307277,0.000544,0.007209,-1.639546,-181.977283,3.143454
0.020000,17.916954,15.307277,0.000785,0.012018,0.240452,93.999906,3.143191
0.020000,17.917291,15.307278,0.001121,0.016832,0.240677,0.011215,3.142823
0.020000,17.917724,15.307278,0.001554,0.021651,0.240991,0.015696,3.142350
0.020000,17.918253,15.307278,0.002084,0.026479,0.241394,0.020171,3.141771
0.020000,17.915033,15.307279,0.005304,0.161014,6.726730,324.266783,3.141086
0.020000,17.909756,15.307284,0.010581,0.263836,5.141109,-79.281017,3.140295
0.020000,17.903781,15.307295,0.016556,0.298777,1.747040,-169.703445,3.139397
0.020000,17.897099,15.307313,0.023238,0.334107,1.766479,0.971926,3.138390
0.020000,17.889721,15.307340,0.030616,0.368891,1.739218,-1.363048,3.137276
0.020000,17.881638,15.307380,0.038699,0.404124,1.761645,1.121353,3.136052
0.020000,17.872859,15.307435,0.047478,0.438977,1.742679,-0.948308,3.134719
0.020000,17.863384,15.307507,0.056954,0.473775,1.739858,-0.141027,3.133275
0.020000,17.853206,15.307599,0.067132,0.508920,1.757295,0.871829,3.131718
0.020000,17.842333,15.307716,0.078005,0.543662,1.737086,-1.010437,3.130048
0.020000,17.830766,15.307859,0.089573,0.578396,1.736699,-0.019341,3.128265
0.020000,17.818505,15.308034,0.101836,0.613107,1.735556,-0.057149,3.126366
0.020000,17.805551,15.308245,0.114791,0.647780,1.733654,-0.095122,3.124351
0.020000,17.791906,15.308495,0.128439,0.682400,1.730990,-0.133210,3.122218
0.020000,17.777570,15.308789,0.142778,0.716951,1.727563,-0.171364,3.119965
0.020000,17.762545,15.309131,0.157807,0.751419,1.723372,-0.209530,3.117591
0.020000,17.746834,15.309528,0.173522,0.785787,1.718419,-0.247652,3.115094
0.020000,17.730440,15.309984,0.189923,0.820041,1.712705,-0.285673,3.112474
0.020000,17.713362,15.310505,0.207009,0.854283,1.712093,-0.030607,3.109727
0.020000,17.695601,15.311097,0.224780,0.888578,1.714725,0.131585,3.106852
0.020000,17.677163,15.311765,0.243230,0.922465,1.694369,-1.017798,3.103847
0.020000,17.658048,15.312517,0.262360,0.956515,1.702497,0.406378,3.100710
0.020000,17.638259,15.313359,0.282167,0.990335,1.690999,-0.574900,3.097439
0.020000,17.617798,15.314298,0.302649,1.024134,1.689948,-0.052545,3.094032
0.020000,17.596671,15.315341,0.323802,1.057647,1.675648,-0.715004,3.090486
0.020000,17.574873,15.316496,0.345631,1.091416,1.688458,0.640530,3.086798
0.020000,17.552415,15.317771,0.368125,1.124726,1.665516,-1.147134,3.082967
0.020000,17.529298,15.319174,0.391285,1.157977,1.662538,-0.148883,3.078990
0.020000,17.505524,15.320713,0.415108,1.191150,1.658651,-0.194322,3.074864
0.020000,17.481096,15.322398,0.439594,1.224296,1.657295,-0.067810,3.070586
0.020000,17.456020,15.324238,0.464738,1.257215,1.645940,-0.567748,3.066153
0.020000,17.430298,15.326241,0.490537,1.289974,1.637967,-0.398645,3.061563
0.020000,17.403934,15.328418,0.516991,1.322661,1.634360,-0.180360,3.056812
0.020000,17.376933,15.330780,0.544095,1.355222,1.628052,-0.315410,3.051897
0.020000,17.349300,15.333336,0.571846,1.387556,1.616697,-0.567772,3.046815
0.020000,17.321041,15.336097,0.600240,1.419691,1.606741,-0.497782,3.041564
0.020000,17.292159,15.339075,0.629275,1.451739,1.602410,-0.216539,3.036139
0.020000,17.262657,15.342281,0.658950,1.483763,1.601179,-0.061551,3.030536
0.020000,17.232548,15.345726,0.689256,1.515307,1.577176,-1.200151,3.024753
0.020000,17.201827,15.349425,0.720198,1.547108,1.590089,0.645624,3.018786
0.020000,17.170510,15.353388,0.751766,1.578371,1.563128,-1.348029,3.012631
0.020000,17.138598,15.357629,0.783958,1.609597,1.561327,-0.090044,3.006285
0.020000,17.106097,15.362162,0.816774,1.640792,1.559728,-0.079957,2.999743
0.020000,17.073016,15.367000,0.850206,1.671637,1.542242,-0.874281,2.993002
0.020000,17.039362,15.372157,0.884253,1.702346,1.535467,-0.338766,2.986059
0.020000,17.005142,15.377648,0.918911,1.732903,1.527854,-0.380641,2.978910
0.020000,16.970363,15.383488,0.954177,1.763293,1.519468,-0.419314,2.971550
0.020000,16.935033,15.389691,0.990047,1.793500,1.510381,-0.454355,2.963977
0.020000,16.899162,15.396274,1.026517,1.823514,1.500674,-0.485325,2.956186
0.020000,16.862757,15.403253,1.063585,1.853393,1.493952,-0.336113,2.948174
0.020000,16.825825,15.410645,1.101250,1.883227,1.491733,-0.110971,2.939937
0.020000,16.788380,15.418465,1.139503,1.912657,1.471489,-1.012171,2.931472
0.020000,16.750426,15.426732,1.178346,1.942177,1.475987,0.224902,2.922775
0.020000,16.711979,15.435462,1.217773,1.971311,1.456703,-0.964211,2.913844
0.020000,16.673041,15.444674,1.257785,2.000613,1.465094,0.419527,2.904676
0.020000,16.633629,15.454386,1.298376,2.029546,1.446667,-0.921339,2.895267
0.020000,16.593753,15.464617,1.339544,2.058420,1.443670,-0.149818,2.885616
0.020000,16.553421,15.475386,1.381289,2.087228,1.440402,-0.163442,2.875720
0.020000,16.512645,15.486712,1.423608,2.115968,1.437024,-0.168897,2.865577
0.020000,16.471437,15.498615,1.466501,2.144642,1.433711,-0.165607,2.855187
0.020000,16.429808,15.511115,1.509966,2.173255,1.430651,-0.153045,2.844547
0.020000,16.387771,15.524233,1.554002,2.201816,1.428036,-0.130747,2.833659
0.020000,16.345339,15.537989,1.598609,2.230337,1.426069,-0.098322,2.822521
0.020000,16.302518,15.552406,1.643791,2.259097,1.438002,0.596627,2.811133
0.020000,16.259328,15.567503,1.689544,2.287633,1.426775,-0.561361,2.799499
0.020000,16.215776,15.583303,1.735874,2.316500,1.443342,0.828394,2.787618
0.020000,16.171877,15.599828,1.782780,2.345297,1.439838,-0.175198,2.775494
0.020000,16.127644,15.617100,1.830266,2.374298,1.450049,0.510518,2.763130
0.020000,16.083087,15.635143,1.878337,2.403568,1.463548,0.674963,2.750531
0.020000,16.038516,15.653852,1.926675,2.416905,0.666826,-39.836086,2.737786
0.020000,15.994233,15.673110,1.974964,2.414465,-0.122007,-39.441662,2.724987
0.020000,15.950238,15.692917,2.023213,2.412407,-0.102878,0.956452,2.712144
0.020000,15.906531,15.713274,2.071427,2.410743,-0.083236,0.982099,2.699265
0.020000,15.863114,15.734181,2.119617,2.409480,-0.063134,1.005116,2.686358
0.020000,15.819985,15.755641,2.167790,2.408627,-0.042630,1.025196,2.673432
0.020000,15.777145,15.777652,2.215953,2.408192,-0.021788,1.042058,2.660497
0.020000,15.734593,15.800215,2.264117,2.408178,-0.000679,1.055459,2.647562
0.020000,15.692330,15.823331,2.312289,2.408620,0.022085,1.138220,2.634636
0.020000,15.650353,15.847000,2.360479,2.409466,0.042292,1.010357,2.621728
0.020000,15.608664,15.871220,2.408693,2.410736,0.063528,1.061771,2.608848
0.020000,15.567260,15.895992,2.456942,2.412434,0.084899,1.068551,2.596005
0.020000,15.526141,15.921315,2.505233,2.414557,0.106152,1.062676,2.583209
0.020000,15.485305,15.947188,2.553575,2.417101,0.127207,1.052763,2.570469
0.020000,15.444752,15.973611,2.601977,2.420070,0.148443,1.061772,2.557794
0.020000,15.404480,16.000582,2.650446,2.423468,0.169918,1.073741,2.545192
0.020000,15.364488,16.028099,2.698991,2.427232,0.188184,0.913295,2.532673
0.020000,15.324774,16.056161,2.747618,2.431385,0.207658,0.973711,2.520245
0.020000,15.285337,16.084765,2.796337,2.435917,0.226571,0.945650,2.507916
0.020000,15.246176,16.113911,2.845153,2.440838,0.246047,0.973827,2.495694
0.020000,15.207288,16.143594,2.894075,2.446091,0.262664,0.830829,2.483587
0.020000,15.168673,16.173812,2.943109,2.451672,0.279062,0.819898,2.471602
0.020000,15.130329,16.204563,2.992260,2.457576,0.295177,0.805738,2.459746
0.020000,15.092253,16.235842,3.041536,2.463803,0.311386,0.810475,2.448026
0.020000,15.054445,16.267647,3.090942,2.470300,0.324818,0.671609,2.436448
0.020000,15.016903,16.299972,3.140484,2.477065,0.338277,0.672919,2.425018
0.020000,14.979625,16.332815,3.190165,2.484089,0.351180,0.645186,2.413742
0.020000,14.942610,16.366170,3.239992,2.491351,0.363119,0.596929,2.402624
0.020000,14.905854,16.400033,3.289969,2.498823,0.373591,0.523602,2.391670
0.020000,14.869358,16.434398,3.340099,2.506497,0.383702,0.505541,2.380883
0.020000,14.833117,16.469261,3.390386,2.514355,0.392892,0.459491,2.370268
0.020000,14.797132,16.504617,3.440833,2.522376,0.401048,0.407818,2.359829
0.020000,14.761399,16.540458,3.491444,2.530547,0.408559,0.375526,2.349568
0.020000,14.725916,16.576780,3.542221,2.538849,0.415111,0.327644,2.339488
0.020000,14.690681,16.613576,3.593167,2.547263,0.420687,0.278759,2.329593
0.020000,14.655692,16.650840,3.644282,2.555784,0.426043,0.267814,2.319883
0.020000,14.620947,16.688565,3.695570,2.564392,0.430418,0.218767,2.310362
0.020000,14.586442,16.726744,3.747031,2.573060,0.433401,0.149132,2.301030
0.020000,14.552176,16.765372,3.798667,2.581794,0.436701,0.165024,2.291890
0.020000,14.518144,16.804440,3.850479,2.590579,0.439212,0.125540,2.282941
0.020000,14.484346,16.843942,3.902467,2.599396,0.440848,0.081777,2.274184
0.020000,14.450777,16.883870,3.954631,2.608216,0.441019,0.008549,2.265621
