dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002539,10.951318,0.000656,0.065574,3.278689,163.934426,0.000000
0.020000,0.002539,10.951318,0.000656,0.000000,-3.278689,-327.868852,0.000000
0.020000,0.002539,10.951318,0.000656,0.000000,0.000000,163.934426,0.000000
0.020000,0.004935,10.951318,0.003052,0.119799,5.989954,299.497719,0.000000
0.020000,0.015427,10.951318,0.013544,0.524590,20.239554,712.479972,0.000000
0.020000,0.028542,10.951318,0.026658,0.655738,6.557377,-684.108838,0.000000
0.020000,0.044279,10.951318,0.042396,0.786885,6.557377,-0.000000,0.000000
0.020000,0.062640,10.951318,0.060757,0.918033,6.557377,0.000000,0.000000
0.020000,0.083624,10.951318,0.081740,1.049180,6.557377,0.000000,0.000000
0.020000,0.107230,10.951318,0.105347,1.180328,6.557377,-0.000000,0.000000
0.020000,0.133460,10.951318,0.131576,1.311475,6.557377,0.000000,0.000000
0.020000,0.162312,10.951318,0.160429,1.442623,6.557377,0.000000,0.000000
0.020000,0.193788,10.951318,0.191904,1.573770,6.557377,0.000000,0.000000
0.020000,0.227886,10.951318,0.226003,1.704918,6.557377,0.000000,0.000000
0.020000,0.264607,10.951318,0.262724,1.836066,6.557377,-0.000000,0.000000
0.020000,0.303952,10.951318,0.302068,1.967213,6.557377,0.000000,0.000000
0.020000,0.345919,10.951318,0.344035,2.098361,6.557377,0.000000,0.000000
0.020000,0.390509,10.951318,0.388625,2.229508,6.557377,-0.000000,0.000000
0.020000,0.437722,10.951318,0.435839,2.360656,6.557377,0.000000,0.000000
0.020000,0.487558,10.951318,0.485675,2.491803,6.557377,-0.000000,0.000000
0.020000,0.540017,10.951318,0.538134,2.622951,6.557377,-0.000000,0.000000
0.020000,0.595099,10.951318,0.593216,2.754098,6.557377,0.000000,0.000000
0.020000,0.652804,10.951318,0.650921,2.885246,6.557377,0.000000,0.000000
0.020000,0.713132,10.951318,0.711248,3.016393,6.557377,-0.000000,0.000000
0.020000,0.776083,10.951318,0.774199,3.147541,6.557377,0.000000,0.000000
0.020000,0.841656,10.951318,0.839773,3.278689,6.557377,-0.000000,0.000000
0.020000,0.909853,10.951318,0.907970,3.409836,6.557377,0.000000,0.000000
