dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002539,10.036318,0.000656,0.065574,3.278689,163.934426,0.000000
0.020000,0.002539,10.036318,0.003279,0.196721,6.557377,163.934426,0.000000
0.020000,0.002539,10.036318,0.008525,0.327869,6.557377,0.000000,0.000000
0.020000,0.004935,10.036318,0.016393,0.459016,6.557377,0.000000,0.000000
0.020000,0.015427,10.036318,0.026885,0.590164,6.557377,-0.000000,0.000000
0.020000,0.028542,10.036318,0.040000,0.721311,6.557377,0.000000,0.000000
0.020000,0.044279,10.036318,0.055738,0.852459,6.557377,-0.000000,0.000000
0.020000,0.062640,10.036318,0.074098,0.983607,6.557377,0.000000,0.000000
0.020000,0.083624,10.036318,0.095082,1.114754,6.557377,-0.000000,0.000000
0.020000,0.107230,10.036318,0.118689,1.245902,6.557377,0.000000,0.000000
0.020000,0.133460,10.036318,0.144918,1.377049,6.557377,-0.000000,0.000000
0.020000,0.162312,10.036318,0.173770,1.508197,6.557377,0.000000,0.000000
0.020000,0.193788,10.036318,0.205246,1.639344,6.557377,0.000000,0.000000
0.020000,0.227886,10.036318,0.239344,1.770492,6.557377,-0.000000,0.000000
0.020000,0.264607,10.036318,0.276066,1.901639,6.557377,0.000000,0.000000
0.020000,0.303952,10.036318,0.315410,2.032787,6.557377,0.000000,0.000000
0.020000,0.345919,10.036318,0.357377,2.163934,6.557377,0.000000,0.000000
0.020000,0.390509,10.036318,0.401967,2.295082,6.557377,-0.000000,0.000000
0.020000,0.437722,10.036318,0.449180,2.426230,6.557377,0.000000,0.000000
0.020000,0.487558,10.036318,0.499016,2.557377,6.557377,0.000000,0.000000
0.020000,0.540017,10.036318,0.551475,2.688525,6.557377,-0.000000,0.000000
0.020000,0.595099,10.036318,0.606557,2.819672,6.557377,0.000000,0.000000
0.020000,0.652804,10.036318,0.664262,2.950820,6.557377,0.000000,0.000000
0.020000,0.713132,10.036318,0.724590,3.081967,6.557377,-0.000000,0.000000
0.020000,0.776083,10.036318,0.787541,3.213115,6.557377,0.000000,0.000000
0.020000,0.841656,10.036318,0.853115,3.344262,6.557377,0.000000,0.000000
0.020000,0.909853,10.036318,0.921311,3.475410,6.557377,-0.000000,0.000000
0.020000,0.980673,10.036318,0.992131,3.606557,6.557377,0.000000,0.000000
0.020000,1.054115,10.036318,1.065574,3.737705,6.557377,0.000000,0.000000
0.020000,1.130181,10.036318,1.141639,3.868852,6.557377,-0.000000,0.000000
0.020000,1.208870,10.036318,1.220328,4.000000,6.557377,0.000000,0.000000
0.020000,1.290181,10.036318,1.301639,4.131148,6.557377,0.000000,0.000000
0.020000,1.374115,10.036318,1.385574,4.262295,6.557377,0.000000,0.000000
0.020000,1.460673,10.036318,1.472131,4.393443,6.557377,0.000000,0.000000
