dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303254,10.485328,0.000656,0.065574,3.278689,163.934426,0.000307
0.020000,0.303320,10.485328,0.000721,0.003261,-3.115638,-319.716325,0.000236
0.020000,0.303450,10.485328,0.000851,0.006510,0.162428,163.903312,0.000093
0.020000,0.308060,10.485328,0.005461,0.230483,11.198654,551.811294,6.283066
0.020000,0.318810,10.485325,0.016211,0.537510,15.351367,207.635649,6.282784
0.020000,0.332246,10.485317,0.029647,0.671792,6.714098,-431.863476,6.282433
0.020000,0.348366,10.485301,0.045767,0.806013,6.711059,-0.151945,6.282015
0.020000,0.367169,10.485275,0.064570,0.940160,6.707334,-0.186244,6.281531
0.020000,0.388653,10.485233,0.086055,1.074218,6.702910,-0.221194,6.280984
0.020000,0.412817,10.485173,0.110218,1.208174,6.697817,-0.254628,6.280375
0.020000,0.439657,10.485088,0.137059,1.342021,6.692307,-0.275498,6.279707
0.020000,0.469172,10.484975,0.166573,1.475739,6.685946,-0.318049,6.278984
0.020000,0.501358,10.484827,0.198760,1.609328,6.679437,-0.325458,6.278206
0.020000,0.536213,10.484639,0.233615,1.742763,6.671734,-0.385149,6.277379
0.020000,0.573733,10.484405,0.271136,1.876036,6.663654,-0.404031,6.276506
0.020000,0.613914,10.484118,0.311319,2.009135,6.654945,-0.435456,6.275589
0.020000,0.656754,10.483772,0.354160,2.142054,6.645974,-0.448552,6.274634
0.020000,0.702247,10.483361,0.399655,2.274771,6.635846,-0.506359,6.273645
0.020000,0.750391,10.482877,0.447801,2.407283,6.625576,-0.513539,6.272626
0.020000,0.801179,10.482314,0.498592,2.539572,6.614487,-0.554421,6.271581
0.020000,0.854608,10.481665,0.552025,2.671632,6.602990,-0.574839,6.270517
0.020000,0.910672,10.480924,0.608094,2.803440,6.590386,-0.630241,6.269439
0.020000,0.969366,10.480085,0.666794,2.935001,6.578033,-0.617613,6.268351
0.020000,1.030684,10.479142,0.728119,3.066291,6.564531,-0.675123,6.267261
0.020000,1.094622,10.478089,0.792066,3.197304,6.550625,-0.695313,6.266173
0.020000,1.161172,10.476920,0.858626,3.328027,6.536175,-0.722468,6.265095
0.020000,1.230329,10.475632,0.927795,3.458447,6.520961,-0.760711,6.264032
0.020000,1.302086,10.474220,0.999566,3.588555,6.505442,-0.775957,6.262992
0.020000,1.376437,10.472680,1.073933,3.718341,6.489282,-0.807980,6.261982
0.020000,1.453375,10.471010,1.150889,3.847790,6.472475,-0.840379,6.261009
0.020000,1.532892,10.469209,1.230427,3.976892,6.455080,-0.869726,6.260081
0.020000,1.614982,10.467276,1.312539,4.105638,6.437287,-0.889659,6.259205
0.020000,1.699637,10.465210,1.397220,4.234014,6.418786,-0.925036,6.258390
0.020000,1.786850,10.463014,1.484460,4.362008,6.399728,-0.952923,6.257644
0.020000,1.876612,10.460690,1.574252,4.489611,6.380146,-0.979091,6.256975
0.020000,1.968915,10.458243,1.666588,4.616807,6.359776,-1.018522,6.256393
0.020000,2.063753,10.455677,1.761460,4.743588,6.339096,-1.033987,6.255906
0.020000,2.161115,10.453001,1.858859,4.869941,6.317623,-1.073629,6.255524
0.020000,2.260993,10.450223,1.958776,4.995852,6.295571,-1.102610,6.255256
0.020000,2.363379,10.447354,2.061202,5.121309,6.272858,-1.135660,6.255113
0.020000,2.468264,10.444407,2.166128,5.246300,6.249531,-1.166365,6.255104
0.020000,2.575638,10.441397,2.273544,5.370810,6.225504,-1.201319,6.255241
0.020000,2.685492,10.438341,2.383441,5.494827,6.200821,-1.234184,6.255533
0.020000,2.797816,10.435259,2.495807,5.618335,6.175395,-1.271277,6.255992
0.020000,2.912601,10.432172,2.610634,5.741318,6.149186,-1.310471,6.256630
0.020000,3.029836,10.429104,2.727909,5.863765,6.122318,-1.343398,6.257458
0.020000,3.149511,10.426085,2.847622,5.985656,6.094592,-1.386256,6.258488
0.020000,3.271615,10.423142,2.969762,6.106979,6.066110,-1.424147,6.259733
0.020000,3.396137,10.420311,3.094316,6.227712,6.036651,-1.472935,6.261205
0.020000,3.523066,10.417627,3.221273,6.347839,6.006392,-1.512922,6.262919
0.020000,3.652389,10.415131,3.350620,6.467343,5.975191,-1.560073,6.264887
0.020000,3.784093,10.412865,3.482344,6.586205,5.943106,-1.604235,6.267123
0.020000,3.918166,10.410878,3.616432,6.704403,5.909891,-1.660752,6.269643
0.020000,4.054595,10.409219,3.752870,6.821921,5.875903,-1.699396,6.272460
0.020000,4.193364,10.407945,3.891645,6.938732,5.840551,-1.767590,6.275591
0.020000,4.334458,10.407114,4.032741,7.054822,5.804468,-1.804169,6.279051
0.020000,4.477861,10.406791,4.176145,7.170164,5.767117,-1.867555,6.282856
0.020000,4.623555,10.407043,4.321839,7.284733,5.728429,-1.934375,0.003838
0.020000,4.771523,10.407943,4.469810,7.398520,5.689385,-1.952238,0.008385
0.020000,4.921744,10.409570,4.620039,7.511487,5.648336,-2.052447,0.013330
0.020000,5.074196,10.412007,4.772512,7.623620,5.606666,-2.083515,0.018690
0.020000,5.228225,10.415326,4.926576,7.703232,3.980565,-81.305010,0.024460
0.020000,5.382546,10.419571,5.080956,7.718967,0.786781,-159.689208,0.030602
0.020000,5.536516,10.424780,5.235013,7.702874,-0.804681,-79.573102,0.037097
0.020000,5.690124,10.431003,5.388747,7.686710,-0.808202,-0.176061,0.043944
0.020000,5.843360,10.438289,5.542157,7.670460,-0.812483,-0.214056,0.051147
0.020000,5.996212,10.446689,5.695240,7.654150,-0.815508,-0.151216,0.058706
0.020000,6.148668,10.456250,5.847995,7.637781,-0.818416,-0.145398,0.066623
0.020000,6.300715,10.467022,6.000423,7.621370,-0.820582,-0.108302,0.074899
0.020000,6.452337,10.479053,6.152521,7.604933,-0.821839,-0.062869,0.083533
0.020000,6.603519,10.492392,6.304291,7.588482,-0.822535,-0.034778,0.092528
0.020000,6.754246,10.507084,6.455732,7.572046,-0.821810,0.036224,0.101881
0.020000,6.904499,10.523178,6.606845,7.555638,-0.820400,0.070507,0.111593
0.020000,7.054261,10.540720,6.757631,7.539292,-0.817293,0.155334,0.121663
0.020000,7.203513,10.559754,6.908091,7.523029,-0.813154,0.206955,0.132088
0.020000,7.352235,10.580324,7.058229,7.506885,-0.807196,0.297923,0.142865
0.020000,7.500406,10.602476,7.208047,7.490890,-0.799746,0.372461,0.153993
0.020000,7.648005,10.626249,7.357548,7.475082,-0.790420,0.466337,0.165465
0.020000,7.795010,10.651687,7.506738,7.459499,-0.779139,0.564013,0.177279
0.020000,7.941399,10.678828,7.655622,7.444181,-0.765934,0.660267,0.189427
0.020000,8.087148,10.707711,7.804205,7.429173,-0.750359,0.778739,0.201903
0.020000,8.232234,10.738373,7.952496,7.414516,-0.732863,0.874841,0.214699
0.020000,8.376632,10.770849,8.100501,7.400265,-0.712552,1.015514,0.227807
0.020000,8.520319,10.805173,8.248230,7.386453,-0.690585,1.098378,0.241216
0.020000,8.663269,10.841376,8.395693,7.373153,-0.665041,1.277197,0.254917
0.020000,8.805457,10.879488,8.542901,7.360376,-0.638843,1.309902,0.268896
0.020000,8.946860,10.919536,8.689865,7.348217,-0.607921,1.546091,0.283141
0.020000,9.087451,10.961547,8.836599,7.336682,-0.576742,1.558962,0.297639
0.020000,9.227206,11.005542,8.983115,7.325843,-0.541977,1.738245,0.312373
0.020000,9.366101,11.051545,9.129430,7.315749,-0.504712,1.863260,0.327328
0.020000,9.504112,11.099572,9.275559,7.306407,-0.467060,1.882592,0.342486
0.020000,9.641213,11.149640,9.421516,7.297888,-0.425952,2.055379,0.357831
0.020000,9.777383,11.201763,9.567321,7.290229,-0.382994,2.147914,0.373344
0.020000,9.912598,11.255952,9.712990,7.283447,-0.339101,2.194667,0.389005
0.020000,10.046835,11.312215,9.858541,7.277568,-0.293939,2.258054,0.404794
0.020000,10.180073,11.370558,10.003993,7.272613,-0.247749,2.309542,0.420692
0.020000,10.312291,11.430984,10.149365,7.268597,-0.200773,2.348788,0.436677
0.020000,10.443469,11.493495,10.294676,7.265532,-0.153258,2.375742,0.452729
0.020000,10.573587,11.558087,10.439944,7.263423,-0.105445,2.390655,0.468827
0.020000,10.702628,11.624757,10.585190,7.262272,-0.057563,2.394083,0.484950
0.020000,10.830572,11.693497,10.730431,7.262076,-0.009826,2.386874,0.501078
0.020000,10.957405,11.764298,10.875687,7.262786,0.035533,2.267923,0.517190
0.020000,11.083109,11.837148,11.020975,7.264385,0.079949,2.220835,0.533267
0.020000,11.207671,11.912032,11.166314,7.266932,0.127355,2.370287,0.549289
0.020000,11.331076,11.988932,11.311718,7.270238,0.165306,1.897561,0.565238
0.020000,11.453313,12.067831,11.457207,7.274427,0.209442,2.206798,0.581096
0.020000,11.585574,12.155022,11.615621,7.920727,32.314983,1605.277041,0.575366
0.020000,11.739738,12.252358,11.797943,9.116068,59.767077,1372.604715,0.550966
0.020000,11.896278,12.345925,11.980314,9.118577,0.125409,-2982.083406,0.526511
0.020000,12.055048,12.435629,12.162673,9.117930,-0.032355,-7.888219,0.502070
0.020000,12.215891,12.521397,12.344954,9.114079,-0.192526,-8.008541,0.477714
0.020000,12.378643,12.603170,12.527095,9.107021,-0.352906,-8.019024,0.453512
0.020000,12.543131,12.680911,12.709029,9.096722,-0.514969,-8.103121,0.429535
0.020000,12.709181,12.754601,12.890696,9.083327,-0.669734,-7.738283,0.405851
0.020000,12.876614,12.824240,13.072034,9.066888,-0.821928,-7.609681,0.382527
0.020000,13.045036,12.889770,13.252754,9.036025,-1.543178,-36.062501,0.359653
0.020000,13.213353,12.950923,13.431836,8.954095,-4.096483,-127.665255,0.337407
0.020000,13.380198,13.007448,13.607997,8.808038,-7.302872,-160.319435,0.315979
0.020000,13.544904,13.059424,13.780709,8.635626,-8.620573,-65.885065,0.295454
0.020000,13.707303,13.107109,13.949964,8.462736,-8.644531,-1.197889,0.275842
0.020000,13.867246,13.150765,14.115758,8.289708,-8.651384,-0.342651,0.257146
0.020000,14.024609,13.190646,14.278095,8.116863,-8.642264,0.455989,0.239361
0.020000,14.179282,13.227004,14.436985,7.944467,-8.619760,1.125207,0.222478
0.020000,14.331177,13.260085,14.592440,7.772753,-8.585720,1.702006,0.206482
0.020000,14.480218,13.290122,14.744478,7.601908,-8.542266,2.172705,0.191354
0.020000,14.626346,13.317343,14.893120,7.432085,-8.491117,2.557420,0.177072
0.020000,14.769513,13.341963,15.038388,7.263409,-8.433815,2.865122,0.163610
0.020000,14.909681,13.364186,15.180307,7.095971,-8.371913,3.095101,0.150942
0.020000,15.046825,13.384205,15.318904,6.929834,-8.306842,3.253546,0.139038
0.020000,15.180923,13.402203,15.454205,6.765048,-8.239312,3.376506,0.127870
0.020000,15.311965,13.418350,15.586238,6.601638,-8.170504,3.440409,0.117407
0.020000,15.439943,13.432806,15.715030,6.439614,-8.101201,3.465111,0.107619
0.020000,15.564857,13.445720,15.840609,6.278972,-8.032064,3.456856,0.098476
0.020000,15.686709,13.457230,15.963003,6.119708,-7.963222,3.442114,0.089947
0.020000,15.805505,13.467465,16.082239,5.961796,-7.895577,3.382252,0.082004
0.020000,15.921253,13.476545,16.198344,5.805208,-7.829425,3.307585,0.074617
0.020000,16.033966,13.484579,16.311342,5.649915,-7.764618,3.240367,0.067757
0.020000,16.143654,13.491669,16.421260,5.495886,-7.701488,3.156503,0.061398
0.020000,16.250333,13.497910,16.528121,5.343076,-7.640476,3.050590,0.055512
0.020000,16.354018,13.503386,16.631950,5.191449,-7.581342,2.956693,0.050074
0.020000,16.454723,13.508178,16.732769,5.040969,-7.524000,2.867088,0.045059
0.020000,16.552466,13.512357,16.830601,4.891593,-7.468827,2.758678,0.040442
0.020000,16.647262,13.515989,16.925467,4.743274,-7.415952,2.643754,0.036200
0.020000,16.739128,13.519136,17.017386,4.595982,-7.364592,2.568002,0.032311
