dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303535,9.570328,0.000656,0.065574,3.278689,163.934426,0.000307
0.020000,0.303535,9.570328,0.003279,0.196721,6.557377,163.934426,0.000236
0.020000,0.303535,9.570328,0.008525,0.327869,6.557377,0.000000,0.000093
0.020000,0.307950,9.570328,0.016393,0.459016,6.557377,0.000000,6.283066
0.020000,0.318442,9.570325,0.026885,0.590164,6.557377,-0.000000,6.282784
0.020000,0.331557,9.570317,0.040000,0.721311,6.557377,0.000000,6.282433
0.020000,0.347295,9.570302,0.055738,0.852459,6.557377,-0.000000,6.282015
0.020000,0.365655,9.570276,0.074098,0.983607,6.557377,0.000000,6.281531
0.020000,0.386639,9.570236,0.095082,1.114754,6.557377,-0.000000,6.280984
0.020000,0.410245,9.570177,0.118689,1.245902,6.557377,0.000000,6.280375
0.020000,0.436475,9.570094,0.144918,1.377049,6.557377,-0.000000,6.279707
0.020000,0.465327,9.569983,0.173770,1.508197,6.557377,0.000000,6.278984
0.020000,0.496802,9.569839,0.205246,1.639344,6.557377,0.000000,6.278206
0.020000,0.530900,9.569655,0.239344,1.770492,6.557377,-0.000000,6.277379
0.020000,0.567621,9.569425,0.276066,1.901639,6.557377,0.000000,6.276506
0.020000,0.606964,9.569145,0.315410,2.032787,6.557377,0.000000,6.275589
0.020000,0.648930,9.568806,0.357377,2.163934,6.557377,0.000000,6.274634
0.020000,0.693518,9.568402,0.401967,2.295082,6.557377,-0.000000,6.273645
0.020000,0.740729,9.567928,0.449180,2.426230,6.557377,0.000000,6.272626
0.020000,0.790562,9.567375,0.499016,2.557377,6.557377,0.000000,6.271581
0.020000,0.843017,9.566738,0.551475,2.688525,6.557377,-0.000000,6.270517
0.020000,0.898094,9.566011,0.606557,2.819672,6.557377,0.000000,6.269439
0.020000,0.955793,9.565186,0.664262,2.950820,6.557377,0.000000,6.268351
0.020000,1.016114,9.564258,0.724590,3.081967,6.557377,-0.000000,6.267261
0.020000,1.079056,9.563221,0.787541,3.213115,6.557377,0.000000,6.266173
0.020000,1.144620,9.562070,0.853115,3.344262,6.557377,0.000000,6.265095
0.020000,1.212805,9.560800,0.921311,3.475410,6.557377,-0.000000,6.264032
0.020000,1.283611,9.559406,0.992131,3.606557,6.557377,0.000000,6.262992
0.020000,1.357037,9.557886,1.065574,3.737705,6.557377,0.000000,6.261982
0.020000,1.433085,9.556235,1.141639,3.868852,6.557377,-0.000000,6.261009
0.020000,1.511753,9.554454,1.220328,4.000000,6.557377,0.000000,6.260081
0.020000,1.593042,9.552539,1.301639,4.131148,6.557377,0.000000,6.259205
0.020000,1.676952,9.550492,1.385574,4.262295,6.557377,0.000000,6.258390
0.020000,1.763482,9.548313,1.472131,4.393443,6.557377,0.000000,6.257644
0.020000,1.852632,9.546004,1.561311,4.524590,6.557377,-0.000000,6.256975
0.020000,1.944403,9.543571,1.653115,4.655738,6.557377,0.000000,6.256393
0.020000,2.038795,9.541018,1.747541,4.786885,6.557377,0.000000,6.255906
0.020000,2.135808,9.538351,1.844590,4.918033,6.557377,0.000000,6.255524
0.020000,2.235441,9.535580,1.944262,5.049180,6.557377,0.000000,6.255256
0.020000,2.337696,9.532715,2.046557,5.180328,6.557377,0.000000,6.255113
0.020000,2.442573,9.529768,2.151475,5.311475,6.557377,-0.000000,6.255104
0.020000,2.550071,9.526755,2.259016,5.442623,6.557377,0.000000,6.255241
0.020000,2.660193,9.523691,2.369180,5.573770,6.557377,0.000000,6.255533
0.020000,2.772937,9.520597,2.481967,5.704918,6.557377,0.000000,6.255992
0.020000,2.888305,9.517494,2.597377,5.836066,6.557377,0.000000,6.256630
0.020000,3.006298,9.514407,2.715410,5.967213,6.557377,0.000000,6.257458
0.020000,3.126915,9.511364,2.836066,6.098361,6.557377,-0.000000,6.258488
0.020000,3.250158,9.508394,2.959344,6.229508,6.557377,0.000000,6.259733
0.020000,3.376027,9.505532,3.085246,6.360656,6.557377,0.000000,6.261205
0.020000,3.504523,9.502815,3.213770,6.491803,6.557377,0.000000,6.262919
0.020000,3.635646,9.500284,3.344918,6.622951,6.557377,0.000000,6.264887
0.020000,3.769397,9.497983,3.478689,6.754098,6.557377,0.000000,6.267123
0.020000,3.905775,9.495962,3.615082,6.885246,6.557377,-0.000000,6.269643
0.020000,4.044781,9.494272,3.754098,7.016393,6.557377,0.000000,6.272460
0.020000,4.186415,9.492971,3.895738,7.147541,6.557377,0.000000,6.275591
0.020000,4.330674,9.492122,4.040000,7.278689,6.557377,0.000000,6.279051
0.020000,4.477559,9.491791,4.186885,7.409836,6.557377,0.000000,6.282856
0.020000,4.627067,9.492049,4.336393,7.540984,6.557377,0.000000,0.003838
0.020000,4.779195,9.492975,4.488525,7.672131,6.557377,-0.000000,0.008385
0.020000,4.933940,9.494651,4.643279,7.803279,6.557377,0.000000,0.013330
0.020000,5.091297,9.497166,4.800656,7.934426,6.557377,0.000000,0.018690
0.020000,5.250604,9.500599,4.960000,8.000000,3.278689,-163.934426,0.024460
0.020000,5.410543,9.504999,5.120000,8.000000,0.000000,-163.934426,0.030602
0.020000,5.570451,9.510409,5.280000,8.000000,0.000000,0.000000,0.037097
0.020000,5.730320,9.516886,5.440000,8.000000,0.000000,0.000000,0.043944
0.020000,5.890139,9.524486,5.600000,8.000000,0.000000,0.000000,0.051147
0.020000,6.049898,9.533265,5.760000,8.000000,0.000000,0.000000,0.058706
0.020000,6.209583,9.543280,5.920000,8.000000,0.000000,0.000000,0.066623
0.020000,6.369183,9.554587,6.080000,8.000000,0.000000,0.000000,0.074899
0.020000,6.528681,9.567244,6.240000,8.000000,0.000000,0.000000,0.083533
0.020000,6.688061,9.581306,6.400000,8.000000,0.000000,0.000000,0.092528
0.020000,6.847306,9.596829,6.560000,8.000000,0.000000,0.000000,0.101881
0.020000,7.006395,9.613870,6.720000,8.000000,0.000000,0.000000,0.111593
0.020000,7.165308,9.632483,6.880000,8.000000,0.000000,0.000000,0.121663
0.020000,7.324022,9.652724,7.040000,8.000000,0.000000,0.000000,0.132088
0.020000,7.482512,9.674646,7.200000,8.000000,0.000000,0.000000,0.142865
0.020000,7.640753,9.698303,7.360000,8.000000,0.000000,0.000000,0.153993
0.020000,7.798716,9.723747,7.520000,8.000000,0.000000,0.000000,0.165465
0.020000,7.956372,9.751027,7.680000,8.000000,0.000000,0.000000,0.177279
0.020000,8.113690,9.780195,7.840000,8.000000,0.000000,0.000000,0.189427
0.020000,8.270637,9.811298,8.000000,8.000000,0.000000,0.000000,0.201903
0.020000,8.427178,9.844381,8.160000,8.000000,0.000000,0.000000,0.214699
0.020000,8.583277,9.879489,8.320000,8.000000,0.000000,0.000000,0.227807
0.020000,8.738898,9.916664,8.480000,8.000000,0.000000,0.000000,0.241216
0.020000,8.894000,9.955945,8.640000,8.000000,0.000000,0.000000,0.254917
0.020000,9.048543,9.997368,8.800000,8.000000,0.000000,0.000000,0.268896
0.020000,9.202486,10.040969,8.960000,8.000000,0.000000,0.000000,0.283141
0.020000,9.355787,10.086778,9.120000,8.000000,0.000000,0.000000,0.297639
0.020000,9.508402,10.134822,9.280000,8.000000,0.000000,0.000000,0.312373
0.020000,9.660286,10.185127,9.440000,8.000000,0.000000,0.000000,0.327328
0.020000,9.811396,10.237713,9.600000,8.000000,0.000000,0.000000,0.342486
0.020000,9.961686,10.292597,9.760000,8.000000,0.000000,0.000000,0.357831
0.020000,10.111112,10.349795,9.920000,8.000000,0.000000,0.000000,0.373344
0.020000,10.259627,10.409314,10.080000,8.000000,0.000000,0.000000,0.389005
0.020000,10.407189,10.471162,10.240000,8.000000,0.000000,0.000000,0.404794
0.020000,10.553752,10.535340,10.400000,8.000000,0.000000,0.000000,0.420692
0.020000,10.699273,10.601846,10.560000,8.000000,0.000000,0.000000,0.436677
0.020000,10.843709,10.670675,10.720000,8.000000,0.000000,0.000000,0.452729
0.020000,10.987021,10.741816,10.880000,8.000000,0.000000,0.000000,0.468827
0.020000,11.129168,10.815258,11.040000,8.000000,0.000000,0.000000,0.484950
0.020000,11.270112,10.890983,11.200000,8.000000,0.000000,0.000000,0.501078
0.020000,11.409817,10.968970,11.360000,8.000000,0.000000,0.000000,0.517190
0.020000,11.548248,11.049195,11.520000,8.000000,0.000000,0.000000,0.533267
0.020000,11.685375,11.131632,11.680000,8.000000,0.000000,0.000000,0.549289
0.020000,11.821165,11.216250,11.840000,8.000000,0.000000,0.000000,0.565238
0.020000,11.955593,11.303018,12.000000,8.000000,0.000000,0.000000,0.581096
0.020000,12.083463,11.387343,12.160000,8.000000,0.000000,0.000000,0.575366
0.020000,12.218750,11.472760,12.320000,8.000000,0.000000,0.000000,0.550966
0.020000,12.356084,11.554847,12.480000,8.000000,0.000000,0.000000,0.526511
0.020000,12.495383,11.633551,12.640000,8.000000,0.000000,0.000000,0.502070
0.020000,12.636562,11.708833,12.800000,8.000000,0.000000,0.000000,0.477714
0.020000,12.779527,11.780664,12.960000,8.000000,0.000000,0.000000,0.453512
0.020000,12.924181,11.849030,13.120000,8.000000,0.000000,0.000000,0.429535
0.020000,13.070424,11.913929,13.280000,8.000000,0.000000,0.000000,0.405851
0.020000,13.218152,11.975372,13.440000,8.000000,0.000000,0.000000,0.382527
0.020000,13.367069,12.033312,13.599795,7.979529,-1.023570,-51.178482,0.359653
0.020000,13.516255,12.087514,13.758525,7.893483,-4.302258,-163.934426,0.337407
0.020000,13.664532,12.137748,13.915084,7.762336,-6.557377,-112.755944,0.315979
