dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303816,8.655328,0.000656,0.065574,3.278689,163.934426,0.000307
0.020000,0.303751,8.655328,0.000721,0.003261,-3.115638,-319.716325,0.000236
0.020000,0.303621,8.655328,0.000851,0.006510,0.162428,163.903312,0.000093
0.020000,0.307841,8.655328,0.005071,0.211016,10.225342,503.145688,6.283066
0.020000,0.318075,8.655325,0.015305,0.511672,15.032767,240.371264,6.282784
0.020000,0.330868,8.655317,0.028099,0.639682,6.400529,-431.611923,6.282433
0.020000,0.346223,8.655303,0.043454,0.767757,6.403749,0.161030,6.282015
0.020000,0.364142,8.655277,0.061372,0.895908,6.407534,0.189202,6.281531
0.020000,0.384624,8.655238,0.081855,1.024145,6.411865,0.216579,6.280984
0.020000,0.407674,8.655180,0.104904,1.152481,6.416769,0.245197,6.280375
0.020000,0.433293,8.655100,0.130523,1.280930,6.422481,0.285582,6.279707
0.020000,0.461482,8.654991,0.158713,1.409502,6.428581,0.305035,6.278984
0.020000,0.492246,8.654850,0.189477,1.538217,6.435737,0.357782,6.278206
0.020000,0.525587,8.654670,0.222819,1.667076,6.442943,0.360295,6.277379
0.020000,0.561509,8.654446,0.258741,1.796095,6.450972,0.401474,6.276506
0.020000,0.600013,8.654171,0.297247,1.925287,6.459579,0.430348,6.275589
0.020000,0.641105,8.653839,0.338340,2.054669,6.469109,0.476467,6.274634
0.020000,0.684788,8.653444,0.382025,2.184243,6.478696,0.479371,6.273645
0.020000,0.731067,8.652979,0.428305,2.314029,6.489306,0.530472,6.272626
0.020000,0.779944,8.652437,0.477186,2.444034,6.500283,0.548886,6.271581
0.020000,0.831426,8.651812,0.528671,2.574275,6.512016,0.586618,6.270517
0.020000,0.885516,8.651097,0.582767,2.704751,6.523821,0.590291,6.269439
0.020000,0.942220,8.650287,0.639476,2.835491,6.537006,0.659239,6.268351
0.020000,1.001543,8.649374,0.698806,2.966496,6.550211,0.660259,6.267261
0.020000,1.063490,8.648353,0.760762,3.097779,6.564151,0.697000,6.266173
0.020000,1.128068,8.647220,0.825349,3.229352,6.578688,0.726807,6.265095
0.020000,1.195280,8.645967,0.892573,3.361224,6.593601,0.745658,6.264032
0.020000,1.265135,8.644593,0.962442,3.493411,6.609335,0.786713,6.262992
0.020000,1.337638,8.643091,1.034960,3.625922,6.625564,0.811441,6.261982
0.020000,1.412796,8.641460,1.110135,3.758768,6.642280,0.835795,6.261009
0.020000,1.490615,8.639698,1.187975,3.891959,6.659544,0.863213,6.260081
0.020000,1.571103,8.637802,1.268485,4.025510,6.677545,0.900070,6.259205
0.020000,1.654267,8.635773,1.351673,4.159429,6.695988,0.922141,6.258390
0.020000,1.740114,8.633611,1.437548,4.293730,6.715028,0.951975,6.257644
0.020000,1.828653,8.631319,1.526116,4.428424,6.734710,0.984096,6.256975
0.020000,1.919891,8.628899,1.617387,4.563520,6.754787,1.003850,6.256393
0.020000,2.013837,8.626358,1.711368,4.699035,6.775750,1.048152,6.255906
0.020000,2.110500,8.623701,1.808067,4.834978,6.797142,1.069635,6.255524
0.020000,2.209889,8.620937,1.907494,4.971362,6.819200,1.102870,6.255256
