dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.009151,3.203198,0.000656,0.065574,3.278689,163.934426,6.282270
0.020000,0.008945,3.203198,0.000862,0.010297,-2.763841,-302.126474,6.282495
0.020000,0.008533,3.203198,0.001274,0.020597,0.515006,163.942363,6.282946
0.020000,0.012992,3.203199,0.005733,0.222957,10.117973,480.148315,0.000436
0.020000,0.022659,3.203208,0.015400,0.483351,13.019709,145.086810,0.001337
0.020000,0.034742,3.203231,0.027483,0.604142,6.039588,-349.006044,0.002465
0.020000,0.049240,3.203276,0.041980,0.724873,6.036537,-0.152542,0.003820
0.020000,0.066152,3.203354,0.058893,0.845635,6.038081,0.077200,0.005403
0.020000,0.085477,3.203476,0.078218,0.966282,6.032357,-0.286197,0.007215
0.020000,0.107215,3.203655,0.099956,1.086902,6.030994,-0.068180,0.009257
0.020000,0.131362,3.203906,0.124105,1.207447,6.027276,-0.185883,0.011531
0.020000,0.157920,3.204246,0.150665,1.327971,6.026191,-0.054223,0.014037
0.020000,0.186884,3.204692,0.179632,1.448376,6.020244,-0.297392,0.016778
0.020000,0.218253,3.205265,0.211007,1.568740,6.018208,-0.101799,0.019754
0.020000,0.252026,3.205987,0.244787,1.689017,6.013841,-0.218331,0.022968
0.020000,0.288198,3.206880,0.280971,1.809172,6.007739,-0.305116,0.026422
0.020000,0.326769,3.207971,0.319557,1.929307,6.006751,-0.049364,0.030118
0.020000,0.367734,3.209285,0.360543,2.049296,5.999460,-0.364574,0.034057
0.020000,0.411089,3.210853,0.403927,2.169189,5.994626,-0.241710,0.038242
0.020000,0.456832,3.212705,0.449707,2.289027,5.991944,-0.134066,0.042674
0.020000,0.504957,3.214873,0.497881,2.408698,5.983539,-0.420283,0.047357
0.020000,0.555461,3.217391,0.548447,2.528295,5.979863,-0.183789,0.052293
0.020000,0.608337,3.220296,0.601403,2.647787,5.974572,-0.264544,0.057483
0.020000,0.663579,3.223626,0.656746,2.767132,5.967237,-0.366769,0.062931
0.020000,0.721183,3.227421,0.714474,2.886439,5.965358,-0.093929,0.068638
0.020000,0.781140,3.231722,0.774586,3.005576,5.956838,-0.426022,0.074608
0.020000,0.843444,3.236575,0.837078,3.124607,5.951575,-0.263131,0.080842
0.020000,0.908086,3.242023,0.901950,3.243582,5.948729,-0.142287,0.087343
0.020000,0.975058,3.248116,0.969197,3.362393,5.940583,-0.407312,0.094113
0.020000,1.044349,3.254902,1.038820,3.481144,5.937552,-0.151564,0.101154
0.020000,1.115950,3.262434,1.110816,3.599800,5.932781,-0.238564,0.108468
0.020000,1.189848,3.270765,1.185183,3.718335,5.926737,-0.302190,0.116057
0.020000,1.266034,3.279951,1.261920,3.836852,5.925858,-0.043926,0.123923
0.020000,1.344492,3.290048,1.341025,3.955256,5.920210,-0.282409,0.132067
0.020000,1.425209,3.301116,1.422498,4.073633,5.918839,-0.068558,0.140491
0.020000,1.508170,3.313217,1.506337,4.191940,5.915350,-0.174421,0.149195
0.020000,1.593359,3.326413,1.592542,4.310244,5.915216,-0.006741,0.158180
0.020000,1.680758,3.340770,1.681112,4.428513,5.913450,-0.088275,0.167446
0.020000,1.770349,3.356353,1.772048,4.546820,5.915359,0.095432,0.176993
