dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008314,2.288198,0.000656,0.065574,3.278689,163.934426,6.282270
0.020000,0.008314,2.288198,0.003279,0.196721,6.557377,163.934426,6.282495
0.020000,0.008314,2.288198,0.008525,0.327869,6.557377,0.000000,6.282946
0.020000,0.013391,2.288199,0.016393,0.459016,6.557377,0.000000,0.000436
0.020000,0.023883,2.288209,0.026885,0.590164,6.557377,-0.000000,0.001337
0.020000,0.036998,2.288234,0.040000,0.721311,6.557377,0.000000,0.002465
0.020000,0.052735,2.288283,0.055738,0.852459,6.557377,-0.000000,0.003820
0.020000,0.071096,2.288368,0.074098,0.983607,6.557377,0.000000,0.005403
0.020000,0.092079,2.288500,0.095082,1.114754,6.557377,-0.000000,0.007215
0.020000,0.115685,2.288694,0.118689,1.245902,6.557377,0.000000,0.009257
0.020000,0.141913,2.288967,0.144918,1.377049,6.557377,-0.000000,0.011531
0.020000,0.170763,2.289336,0.173770,1.508197,6.557377,0.000000,0.014037
0.020000,0.202234,2.289821,0.205246,1.639344,6.557377,0.000000,0.016778
0.020000,0.236327,2.290444,0.239344,1.770492,6.557377,-0.000000,0.019754
0.020000,0.273040,2.291228,0.276066,1.901639,6.557377,0.000000,0.022968
0.020000,0.312372,2.292199,0.315410,2.032787,6.557377,0.000000,0.026422
0.020000,0.354323,2.293386,0.357377,2.163934,6.557377,0.000000,0.030118
0.020000,0.398890,2.294816,0.401967,2.295082,6.557377,-0.000000,0.034057
0.020000,0.446072,2.296522,0.449180,2.426230,6.557377,0.000000,0.038242
0.020000,0.495867,2.298538,0.499016,2.557377,6.557377,0.000000,0.042674
0.020000,0.548273,2.300899,0.551475,2.688525,6.557377,-0.000000,0.047357
0.020000,0.603287,2.303642,0.606557,2.819672,6.557377,0.000000,0.052293
0.020000,0.660905,2.306807,0.664262,2.950820,6.557377,0.000000,0.057483
0.020000,0.721123,2.310437,0.724590,3.081967,6.557377,-0.000000,0.062931
0.020000,0.783938,2.314575,0.787541,3.213115,6.557377,0.000000,0.068638
0.020000,0.849343,2.319268,0.853115,3.344262,6.557377,0.000000,0.074608
0.020000,0.917334,2.324563,0.921311,3.475410,6.557377,-0.000000,0.080842
0.020000,0.987903,2.330511,0.992131,3.606557,6.557377,0.000000,0.087343
0.020000,1.061044,2.337165,1.065574,3.737705,6.557377,0.000000,0.094113
0.020000,1.136747,2.344580,1.141639,3.868852,6.557377,-0.000000,0.101154
0.020000,1.215003,2.352812,1.220328,4.000000,6.557377,0.000000,0.108468
0.020000,1.295802,2.361921,1.301639,4.131148,6.557377,0.000000,0.116057
0.020000,1.379133,2.371967,1.385574,4.262295,6.557377,0.000000,0.123923
0.020000,1.464982,2.383016,1.472131,4.393443,6.557377,0.000000,0.132067
0.020000,1.553336,2.395131,1.561311,4.524590,6.557377,-0.000000,0.140491
0.020000,1.644177,2.408382,1.653115,4.655738,6.557377,0.000000,0.149195
0.020000,1.737490,2.422837,1.747541,4.786885,6.557377,0.000000,0.158180
0.020000,1.833256,2.438567,1.844590,4.918033,6.557377,0.000000,0.167446
0.020000,1.931453,2.455648,1.944262,5.049180,6.557377,0.000000,0.176993
0.020000,2.032060,2.474153,2.046557,5.180328,6.557377,0.000000,0.186820
0.020000,2.135052,2.494161,2.151475,5.311475,6.557377,-0.000000,0.196927
0.020000,2.240404,2.515749,2.259016,5.442623,6.557377,0.000000,0.207312
0.020000,2.348086,2.538998,2.369180,5.573770,6.557377,0.000000,0.217971
0.020000,2.458069,2.563989,2.481967,5.704918,6.557377,0.000000,0.228904
0.020000,2.570319,2.590806,2.597377,5.836066,6.557377,0.000000,0.240106
0.020000,2.684802,2.619531,2.715410,5.967213,6.557377,0.000000,0.251573
0.020000,2.801481,2.650250,2.836066,6.098361,6.557377,-0.000000,0.263299
0.020000,2.920316,2.683048,2.959344,6.229508,6.557377,0.000000,0.275281
0.020000,3.041265,2.718010,3.085246,6.360656,6.557377,0.000000,0.287510
0.020000,3.164284,2.755223,3.213770,6.491803,6.557377,0.000000,0.299980
0.020000,3.289325,2.794772,3.344918,6.622951,6.557377,0.000000,0.312682
0.020000,3.416340,2.836743,3.478689,6.754098,6.557377,0.000000,0.325608
0.020000,3.545276,2.881222,3.615082,6.885246,6.557377,-0.000000,0.338747
0.020000,3.676080,2.928291,3.754098,7.016393,6.557377,0.000000,0.352090
0.020000,3.808695,2.978036,3.895738,7.147541,6.557377,0.000000,0.365623
0.020000,3.943064,3.030537,4.040000,7.278689,6.557377,0.000000,0.379336
0.020000,4.079125,3.085875,4.186885,7.409836,6.557377,0.000000,0.393214
0.020000,4.216816,3.144129,4.336393,7.540984,6.557377,0.000000,0.407244
0.020000,4.356073,3.205374,4.488525,7.672131,6.557377,-0.000000,0.421411
0.020000,4.496830,3.269684,4.643279,7.803279,6.557377,0.000000,0.435700
0.020000,4.639021,3.337131,4.800656,7.934426,6.557377,0.000000,0.450095
0.020000,4.781989,3.407488,4.960000,8.000000,3.278689,-163.934426,0.464520
0.020000,4.924516,3.480190,5.120000,8.000000,0.000000,-163.934426,0.478843
0.020000,5.065993,3.554915,5.280000,8.000000,0.000000,0.000000,0.492996
0.020000,5.206405,3.631623,5.440000,8.000000,0.000000,0.000000,0.506972
0.020000,5.345739,3.710272,5.600000,8.000000,0.000000,0.000000,0.520763
0.020000,5.483982,3.790822,5.760000,8.000000,0.000000,0.000000,0.534362
0.020000,5.621126,3.873232,5.920000,8.000000,0.000000,0.000000,0.547763
0.020000,5.757161,3.957457,6.080000,8.000000,0.000000,0.000000,0.560962
0.020000,5.892082,4.043457,6.240000,8.000000,0.000000,0.000000,0.573952
0.020000,6.025884,4.131189,6.400000,8.000000,0.000000,0.000000,0.586731
0.020000,6.158563,4.220608,6.560000,8.000000,0.000000,0.000000,0.599294
0.020000,6.290118,4.311674,6.720000,8.000000,0.000000,0.000000,0.611639
0.020000,6.420550,4.404341,6.880000,8.000000,0.000000,0.000000,0.623763
0.020000,6.549858,4.498569,7.040000,8.000000,0.000000,0.000000,0.635665
0.020000,6.678047,4.594316,7.200000,8.000000,0.000000,0.000000,0.647344
0.020000,6.805120,4.691538,7.360000,8.000000,0.000000,0.000000,0.658797
0.020000,6.931082,4.790195,7.520000,8.000000,0.000000,0.000000,0.670026
0.020000,7.055940,4.890246,7.680000,8.000000,0.000000,0.000000,0.681029
0.020000,7.179701,4.991652,7.840000,8.000000,0.000000,0.000000,0.691808
0.020000,7.302373,5.094371,8.000000,8.000000,0.000000,0.000000,0.702363
0.020000,7.423966,5.198366,8.160000,8.000000,0.000000,0.000000,0.712696
0.020000,7.544489,5.303599,8.320000,8.000000,0.000000,0.000000,0.722807
0.020000,7.663954,5.410031,8.480000,8.000000,0.000000,0.000000,0.732698
0.020000,7.782372,5.517628,8.640000,8.000000,0.000000,0.000000,0.742371
0.020000,7.899756,5.626351,8.800000,8.000000,0.000000,0.000000,0.751829
0.020000,8.016118,5.736168,8.960000,8.000000,0.000000,0.000000,0.761073
0.020000,8.131472,5.847044,9.120000,8.000000,0.000000,0.000000,0.770106
0.020000,8.245831,5.958945,9.280000,8.000000,0.000000,0.000000,0.778931
0.020000,8.359209,6.071839,9.440000,8.000000,0.000000,0.000000,0.787550
0.020000,8.471622,6.185695,9.600000,8.000000,0.000000,0.000000,0.795966
0.020000,8.583085,6.300482,9.760000,8.000000,0.000000,0.000000,0.804183
0.020000,8.693611,6.416170,9.920000,8.000000,0.000000,0.000000,0.812202
0.020000,8.803218,6.532730,10.080000,8.000000,0.000000,0.000000,0.820028
0.020000,8.911921,6.650133,10.240000,8.000000,0.000000,0.000000,0.827663
0.020000,9.019735,6.768353,10.400000,8.000000,0.000000,0.000000,0.835111
0.020000,9.119673,6.879463,10.560000,8.000000,0.000000,0.000000,0.841054
0.020000,9.226025,6.999001,10.720000,8.000000,0.000000,0.000000,0.846262
0.020000,9.331788,7.119060,10.880000,8.000000,0.000000,0.000000,0.850877
0.020000,9.437031,7.239574,11.040000,8.000000,0.000000,0.000000,0.854906
0.020000,9.541823,7.360482,11.200000,8.000000,0.000000,0.000000,0.858355
0.020000,9.646233,7.481720,11.360000,8.000000,0.000000,0.000000,0.861228
0.020000,9.750328,7.603228,11.520000,8.000000,0.000000,0.000000,0.863530
0.020000,9.854178,7.724945,11.680000,8.000000,0.000000,0.000000,0.865264
0.020000,9.957852,7.846813,11.840000,8.000000,0.000000,0.000000,0.866433
0.020000,10.061417,7.968773,12.000000,8.000000,0.000000,0.000000,0.867039
0.020000,10.164942,8.090767,12.160000,8.000000,0.000000,0.000000,0.867082
0.020000,10.268497,8.212736,12.320000,8.000000,0.000000,0.000000,0.866563
0.020000,10.372149,8.334622,12.480000,8.000000,0.000000,0.000000,0.865481
0.020000,10.475968,8.456367,12.640000,8.000000,0.000000,0.000000,0.863833
0.020000,10.580021,8.577911,12.800000,8.000000,0.000000,0.000000,0.861619
0.020000,10.684378,8.699194,12.960000,8.000000,0.000000,0.000000,0.858834
0.020000,10.789107,8.820156,13.120000,8.000000,0.000000,0.000000,0.855474
0.020000,10.894276,8.940735,13.280000,8.000000,0.000000,0.000000,0.851534
0.020000,10.999955,9.060868,13.440000,8.000000,0.000000,0.000000,0.847009
0.020000,11.106212,9.180491,13.600000,8.000000,0.000000,0.000000,0.841892
0.020000,11.213115,9.299535,13.760000,8.000000,0.000000,0.000000,0.836177
0.020000,11.320732,9.417935,13.920000,8.000000,0.000000,0.000000,0.829855
0.020000,11.429132,9.535618,14.080000,8.000000,0.000000,0.000000,0.822918
0.020000,11.538382,9.652513,14.240000,8.000000,0.000000,0.000000,0.815359
0.020000,11.648548,9.768544,14.400000,8.000000,0.000000,0.000000,0.807168
0.020000,11.759699,9.883633,14.560000,8.000000,0.000000,0.000000,0.798335
0.020000,11.871898,9.997699,14.720000,8.000000,0.000000,0.000000,0.788853
0.020000,11.985211,10.110659,14.880000,8.000000,0.000000,0.000000,0.778711
0.020000,12.099701,10.222425,15.040000,8.000000,0.000000,0.000000,0.767902
0.020000,12.215430,10.332909,15.200000,8.000000,0.000000,0.000000,0.756416
0.020000,12.332457,10.442016,15.360000,8.000000,0.000000,0.000000,0.744247
0.020000,12.450840,10.549650,15.520000,8.000000,0.000000,0.000000,0.731388
0.020000,12.570634,10.655711,15.680000,8.000000,0.000000,0.000000,0.717833
0.020000,12.691891,10.760097,15.840000,8.000000,0.000000,0.000000,0.703580
0.020000,12.814659,10.862700,16.000000,8.000000,0.000000,0.000000,0.688625
0.020000,12.938983,10.963412,16.160000,8.000000,0.000000,0.000000,0.672971
0.020000,13.064438,11.061764,16.319413,7.941303,-2.934841,-146.742066,0.656681
0.020000,13.190044,11.156922,16.476996,7.817033,-6.213530,-163.934426,0.639903
0.020000,13.315184,11.248429,16.632026,7.685885,-6.557377,-17.192360,0.622753
0.020000,13.439746,11.336244,16.784432,7.554737,-6.557377,0.000000,0.605281
0.020000,13.563665,11.420378,16.934215,7.423590,-6.557377,-0.000000,0.587532
0.020000,13.686871,11.500850,17.081375,7.292442,-6.557377,0.000000,0.569554
0.020000,13.809290,11.577688,17.225913,7.161295,-6.557377,0.000000,0.551395
0.020000,13.930842,11.650928,17.367827,7.030147,-6.557377,0.000000,0.533102
0.020000,14.051446,11.720615,17.507119,6.899000,-6.557377,0.000000,0.514723
