dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.007477,1.373199,0.000656,0.065574,3.278689,163.934426,6.282270
0.020000,0.007683,1.373198,0.000862,0.010297,-2.763841,-302.126474,6.282495
0.020000,0.008095,1.373198,0.001274,0.020597,0.515006,163.942363,6.282946
0.020000,0.013790,1.373199,0.006969,0.284773,13.208810,634.690191,0.000436
0.020000,0.025107,1.373209,0.018286,0.565826,14.052628,42.190893,0.001337
0.020000,0.039253,1.373236,0.032432,0.707336,7.075528,-348.854991,0.002465
0.020000,0.056230,1.373290,0.049409,0.848847,7.075533,0.000220,0.003820
0.020000,0.076040,1.373381,0.069219,0.990479,7.081614,0.304089,0.005403
0.020000,0.098681,1.373524,0.091860,1.132077,7.079870,-0.087231,0.007215
0.020000,0.124155,1.373734,0.117335,1.273755,7.083904,0.201720,0.009257
0.020000,0.152463,1.374028,0.145645,1.415472,7.085837,0.096665,0.011531
0.020000,0.183606,1.374426,0.176791,1.557302,7.091497,0.282995,0.014037
0.020000,0.217585,1.374950,0.210774,1.699143,7.092073,0.028799,0.016778
0.020000,0.254401,1.375622,0.247596,1.841100,7.097832,0.287928,0.019754
0.020000,0.294054,1.376469,0.287258,1.983128,7.101425,0.179657,0.022968
0.020000,0.336545,1.377519,0.329762,2.125198,7.103516,0.104541,0.026422
0.020000,0.381876,1.378801,0.375111,2.267441,7.112119,0.430137,0.030118
0.020000,0.430046,1.380347,0.423305,2.409716,7.113779,0.083040,0.034057
0.020000,0.481054,1.382191,0.474347,2.552091,7.118747,0.248361,0.038242
0.020000,0.534903,1.384371,0.528240,2.694624,7.126621,0.393744,0.042674
0.020000,0.591589,1.386924,0.584983,2.837185,7.128077,0.072773,0.047357
0.020000,0.651113,1.389893,0.644581,2.979892,7.135358,0.364068,0.052293
0.020000,0.713473,1.393319,0.707036,3.122711,7.140931,0.278653,0.057483
0.020000,0.778666,1.397249,0.772347,3.265595,7.144210,0.163951,0.062931
0.020000,0.846692,1.401730,0.840521,3.408675,7.153968,0.487901,0.068638
0.020000,0.917546,1.406813,0.911557,3.551791,7.155837,0.093421,0.074608
0.020000,0.991223,1.412551,0.985457,3.695019,7.161403,0.278317,0.080842
0.020000,1.067720,1.418999,1.062225,3.838411,7.169580,0.408835,0.087343
0.020000,1.147030,1.426214,1.141862,3.981833,7.171120,0.077019,0.094113
0.020000,1.229145,1.434257,1.224370,4.125398,7.178225,0.355259,0.101154
0.020000,1.314057,1.443189,1.309751,4.269051,7.182651,0.221269,0.108468
0.020000,1.401756,1.453076,1.398006,4.412747,7.184800,0.107471,0.116057
0.020000,1.492233,1.463984,1.489138,4.556590,7.192163,0.368115,0.123923
0.020000,1.585473,1.475984,1.583147,4.700446,7.192784,0.031086,0.132067
0.020000,1.681463,1.489147,1.680035,4.844391,7.197234,0.222492,0.140491
0.020000,1.780185,1.503546,1.779801,4.988345,7.197734,0.025004,0.149195
0.020000,1.881622,1.519260,1.882449,5.132357,7.200601,0.143318,0.158180
0.020000,1.985754,1.536365,1.987976,5.276351,7.199705,-0.044777,0.167446
0.020000,2.092557,1.554942,2.096383,5.420375,7.201160,0.072769,0.176993
0.020000,2.202008,1.575074,2.207670,5.564322,7.197367,-0.189676,0.186820
0.020000,2.314078,1.596845,2.321835,5.708260,7.196924,-0.022154,0.196927
0.020000,2.428738,1.620341,2.438877,5.852124,7.193204,-0.186007,0.207312
0.020000,2.545954,1.645648,2.558794,5.995854,7.186474,-0.336503,0.217971
0.020000,2.665691,1.672856,2.681584,6.139484,7.181509,-0.248210,0.228904
0.020000,2.787911,1.702054,2.807243,6.282935,7.172552,-0.447877,0.240106
0.020000,2.912571,1.733333,2.935767,6.426203,7.163409,-0.457157,0.251573
0.020000,3.039626,1.766784,3.067152,6.569253,7.152488,-0.546053,0.263299
0.020000,3.169029,1.802498,3.201393,6.712037,7.139201,-0.664329,0.275281
0.020000,3.300727,1.840568,3.338483,6.854515,7.123878,-0.766170,0.287510
0.020000,3.434667,1.881084,3.478417,6.996689,7.108725,-0.757637,0.299980
0.020000,3.570790,1.924139,3.621186,7.138457,7.088382,-1.017140,0.312682
0.020000,3.709034,1.969820,3.766782,7.279829,7.068617,-0.988233,0.325608
0.020000,3.849336,2.018219,3.915197,7.420745,7.045800,-1.140853,0.338747
0.020000,3.991627,2.069423,4.066421,7.561176,7.021551,-1.212465,0.352090
0.020000,4.135837,2.123516,4.220442,7.701073,6.994822,-1.336466,0.365623
0.020000,4.281892,2.180584,4.377250,7.840406,6.966646,-1.408796,0.379336
0.020000,4.429716,2.240706,4.536833,7.979127,6.936094,-1.527584,0.393214
0.020000,4.579230,2.303961,4.699177,8.117222,6.904729,-1.568245,0.407244
0.020000,4.730353,2.370425,4.864270,8.254634,6.870589,-1.707006,0.421411
0.020000,4.883002,2.440168,5.032097,8.391345,6.835536,-1.752675,0.435700
0.020000,5.037092,2.513259,5.202643,8.527329,6.799222,-1.815689,0.450095
0.020000,5.191903,2.589444,5.375185,8.627067,4.986906,-90.615808,0.464520
0.020000,5.346104,2.668102,5.548289,8.655215,1.407383,-178.976158,0.478843
0.020000,5.499033,2.748875,5.721238,8.647451,-0.388204,-89.779320,0.492996
0.020000,5.650667,2.831713,5.894025,8.639321,-0.406493,-0.914451,0.506972
0.020000,5.800990,2.916565,6.066642,8.630858,-0.423162,-0.833469,0.520763
0.020000,5.949985,3.003379,6.239084,8.622091,-0.438347,-0.759220,0.534362
0.020000,6.097639,3.092104,6.411345,8.613050,-0.452018,-0.683575,0.547763
0.020000,6.243942,3.182687,6.583420,8.603755,-0.464763,-0.637233,0.560962
0.020000,6.388886,3.275075,6.755305,8.594254,-0.475074,-0.515551,0.573952
0.020000,6.532466,3.369218,6.926996,8.584567,-0.484335,-0.463068,0.586731
0.020000,6.674677,3.465062,7.098490,8.574713,-0.492674,-0.416939,0.599294
0.020000,6.815520,3.562556,7.269785,8.564726,-0.499379,-0.335257,0.611639
0.020000,6.954996,3.661649,7.440878,8.554643,-0.504141,-0.238114,0.623763
0.020000,7.093106,3.762290,7.611767,8.544459,-0.509201,-0.252974,0.635665
0.020000,7.229856,3.864431,7.782451,8.534228,-0.511521,-0.116021,0.647344
0.020000,7.365252,3.968021,7.952930,8.523954,-0.513704,-0.109144,0.658797
0.020000,7.499303,4.073013,8.123204,8.513661,-0.514694,-0.049468,0.670026
0.020000,7.632018,4.179360,8.293271,8.503369,-0.514553,0.007036,0.681029
0.020000,7.763408,4.287016,8.463133,8.493100,-0.513482,0.053555,0.691808
0.020000,7.893485,4.395936,8.632790,8.482851,-0.512439,0.052114,0.702363
0.020000,8.022262,4.506075,8.802244,8.472673,-0.508911,0.176444,0.712696
0.020000,8.149755,4.617393,8.971494,8.462540,-0.506652,0.112907,0.722807
