dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.304928,3.105000,0.000656,0.065574,3.278689,163.934426,6.282171
0.020000,0.304697,3.105000,0.000886,0.011536,-2.701870,-299.027917,6.282424
0.020000,0.304235,3.105000,0.001348,0.023076,0.576997,163.943336,6.282928
0.020000,0.308737,3.105001,0.005849,0.225073,10.099852,476.142772,0.000500
0.020000,0.318305,3.105011,0.015417,0.478383,12.665497,128.282224,0.001510
0.020000,0.330263,3.105036,0.027376,0.597920,5.976851,-334.432290,0.002773
0.020000,0.344610,3.105087,0.041723,0.717382,5.973082,-0.188437,0.004292
0.020000,0.361348,3.105174,0.058461,0.836892,5.975502,0.120975,0.006066
0.020000,0.380473,3.105309,0.077586,0.956254,5.968099,-0.370156,0.008097
0.020000,0.401983,3.105508,0.099098,1.075577,5.966158,-0.097030,0.010387
0.020000,0.425878,3.105787,0.122994,1.194806,5.961454,-0.235193,0.012936
0.020000,0.452156,3.106164,0.149275,1.314047,5.962060,0.030306,0.015747
0.020000,0.480814,3.106659,0.177937,1.433111,5.953190,-0.443541,0.018822
0.020000,0.511850,3.107295,0.208979,1.552118,5.950336,-0.142657,0.022162
0.020000,0.545261,3.108096,0.242400,1.671013,5.944767,-0.278495,0.025769
0.020000,0.581044,3.109087,0.278196,1.789844,5.941525,-0.162080,0.029646
0.020000,0.619195,3.110298,0.316367,1.908523,5.933952,-0.378664,0.033795
0.020000,0.659711,3.111757,0.356909,2.027129,5.930302,-0.182490,0.038219
0.020000,0.702588,3.113498,0.399822,2.145609,5.924028,-0.313691,0.042920
0.020000,0.747820,3.115553,0.445100,2.263936,5.916351,-0.383842,0.047900
0.020000,0.795403,3.117960,0.492744,2.382200,5.913175,-0.158830,0.053162
0.020000,0.845331,3.120755,0.542751,2.500309,5.905464,-0.385511,0.058709
0.020000,0.897598,3.123980,0.595117,2.618328,5.900947,-0.225883,0.064544
0.020000,0.952197,3.127677,0.649841,2.736183,5.892750,-0.409840,0.070668
0.020000,1.009121,3.131890,0.706920,2.853956,5.888642,-0.205387,0.077086
0.020000,1.068360,3.136665,0.766352,2.971586,5.881518,-0.356195,0.083798
0.020000,1.129907,3.142052,0.828134,3.089109,5.876137,-0.269079,0.090808
0.020000,1.193753,3.148101,0.892265,3.206570,5.873056,-0.154057,0.098118
