dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.304000,2.190000,0.000656,0.065574,3.278689,163.934426,6.282171
0.020000,0.304000,2.190000,0.003279,0.196721,6.557377,163.934426,6.282424
0.020000,0.304000,2.190000,0.008525,0.327869,6.557377,0.000000,6.282928
0.020000,0.309194,2.190001,0.016393,0.459016,6.557377,0.000000,0.000500
0.020000,0.319686,2.190012,0.026885,0.590164,6.557377,-0.000000,0.001510
0.020000,0.332801,2.190040,0.040000,0.721311,6.557377,0.000000,0.002773
0.020000,0.348537,2.190096,0.055738,0.852459,6.557377,-0.000000,0.004292
0.020000,0.366899,2.190191,0.074098,0.983607,6.557377,0.000000,0.006066
0.020000,0.387882,2.190339,0.095082,1.114754,6.557377,-0.000000,0.008097
0.020000,0.411487,2.190557,0.118689,1.245902,6.557377,0.000000,0.010387
0.020000,0.437714,2.190863,0.144918,1.377049,6.557377,-0.000000,0.012936
0.020000,0.466564,2.191277,0.173770,1.508197,6.557377,0.000000,0.015747
0.020000,0.498035,2.191821,0.205246,1.639344,6.557377,0.000000,0.018822
0.020000,0.532126,2.192520,0.239344,1.770492,6.557377,-0.000000,0.022162
0.020000,0.568837,2.193400,0.276066,1.901639,6.557377,0.000000,0.025769
0.020000,0.608166,2.194490,0.315410,2.032787,6.557377,0.000000,0.029646
0.020000,0.650112,2.195820,0.357377,2.163934,6.557377,0.000000,0.033795
0.020000,0.694673,2.197426,0.401967,2.295082,6.557377,-0.000000,0.038219
0.020000,0.741848,2.199340,0.449180,2.426230,6.557377,0.000000,0.042920
0.020000,0.791632,2.201603,0.499016,2.557377,6.557377,0.000000,0.047900
0.020000,0.844024,2.204252,0.551475,2.688525,6.557377,-0.000000,0.053162
0.020000,0.899019,2.207332,0.606557,2.819672,6.557377,0.000000,0.058709
0.020000,0.956615,2.210885,0.664262,2.950820,6.557377,0.000000,0.064544
0.020000,1.016805,2.214961,0.724590,3.081967,6.557377,-0.000000,0.070668
0.020000,1.079584,2.219607,0.787541,3.213115,6.557377,0.000000,0.077086
0.020000,1.144946,2.224876,0.853115,3.344262,6.557377,0.000000,0.083798
0.020000,1.212882,2.230822,0.921311,3.475410,6.557377,-0.000000,0.090808
0.020000,1.283386,2.237502,0.992131,3.606557,6.557377,0.000000,0.098118
0.020000,1.356448,2.244974,1.065574,3.737705,6.557377,0.000000,0.105729
0.020000,1.432056,2.253300,1.141639,3.868852,6.557377,-0.000000,0.113645
0.020000,1.510199,2.262545,1.220328,4.000000,6.557377,0.000000,0.121866
0.020000,1.590864,2.272773,1.301639,4.131148,6.557377,0.000000,0.130393
0.020000,1.674037,2.284054,1.385574,4.262295,6.557377,0.000000,0.139228
0.020000,1.759700,2.296458,1.472131,4.393443,6.557377,0.000000,0.148372
0.020000,1.847838,2.310058,1.561311,4.524590,6.557377,-0.000000,0.157824
0.020000,1.938428,2.324928,1.653115,4.655738,6.557377,0.000000,0.167584
0.020000,2.031451,2.341147,1.747541,4.786885,6.557377,0.000000,0.177650
0.020000,2.126882,2.358792,1.844590,4.918033,6.557377,0.000000,0.188023
0.020000,2.224696,2.377944,1.944262,5.049180,6.557377,0.000000,0.198698
0.020000,2.324866,2.398686,2.046557,5.180328,6.557377,0.000000,0.209674
0.020000,2.427361,2.421102,2.151475,5.311475,6.557377,-0.000000,0.220946
0.020000,2.532148,2.445276,2.259016,5.442623,6.557377,0.000000,0.232509
0.020000,2.639195,2.471294,2.369180,5.573770,6.557377,0.000000,0.244359
0.020000,2.748463,2.499245,2.481967,5.704918,6.557377,0.000000,0.256489
0.020000,2.859913,2.529214,2.597377,5.836066,6.557377,0.000000,0.268891
0.020000,2.973503,2.561291,2.715410,5.967213,6.557377,0.000000,0.281557
0.020000,3.089188,2.595563,2.836066,6.098361,6.557377,-0.000000,0.294477
0.020000,3.206921,2.632119,2.959344,6.229508,6.557377,0.000000,0.307640
0.020000,3.326652,2.671047,3.085246,6.360656,6.557377,0.000000,0.321036
0.020000,3.448330,2.712432,3.213770,6.491803,6.557377,0.000000,0.334650
0.020000,3.571901,2.756361,3.344918,6.622951,6.557377,0.000000,0.348468
0.020000,3.697307,2.802919,3.478689,6.754098,6.557377,0.000000,0.362477
0.020000,3.824490,2.852186,3.615082,6.885246,6.557377,-0.000000,0.376659
0.020000,3.953389,2.904245,3.754098,7.016393,6.557377,0.000000,0.390998
