dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303072,1.275000,0.000656,0.065574,3.278689,163.934426,6.282171
0.020000,0.303303,1.275000,0.000886,0.011536,-2.701870,-299.027917,6.282424
0.020000,0.303765,1.275000,0.001348,0.023076,0.576997,163.943336,6.282928
0.020000,0.309651,1.275001,0.007235,0.294333,13.562837,649.291998,0.000500
0.020000,0.321067,1.275013,0.018651,0.570794,13.823045,13.010401,0.001510
0.020000,0.335338,1.275043,0.032922,0.713556,7.138103,-334.247090,0.002773
0.020000,0.352464,1.275104,0.050048,0.856317,7.138033,-0.003517,0.004292
0.020000,0.372449,1.275207,0.070033,0.999241,7.146205,0.408595,0.006066
0.020000,0.395291,1.275369,0.092875,1.142111,7.143487,-0.135867,0.008097
0.020000,0.420991,1.275607,0.118576,1.285073,7.148107,0.230969,0.010387
0.020000,0.449551,1.275940,0.147138,1.428077,7.150216,0.105461,0.012936
0.020000,0.480973,1.276390,0.178563,1.571266,7.159436,0.460980,0.015747
0.020000,0.515256,1.276983,0.212852,1.714427,7.158054,-0.069100,0.018822
0.020000,0.552403,1.277744,0.250006,1.857718,7.164555,0.325070,0.022162
0.020000,0.592413,1.278703,0.290028,2.001087,7.168452,0.194831,0.025769
0.020000,0.635288,1.279892,0.332920,2.144602,7.175732,0.364025,0.029646
0.020000,0.681029,1.281343,0.378683,2.288169,7.178362,0.131474,0.033795
0.020000,0.729635,1.283094,0.427321,2.431892,7.186168,0.390304,0.038219
0.020000,0.781107,1.285183,0.478836,2.575717,7.191232,0.253208,0.042920
0.020000,0.835443,1.287652,0.533228,2.719615,7.194932,0.184989,0.047900
0.020000,0.892644,1.290545,0.590502,2.863701,7.204271,0.466982,0.053162
0.020000,0.952707,1.293908,0.650659,3.007867,7.208300,0.201439,0.058709
0.020000,1.015632,1.297791,0.713703,3.152191,7.216194,0.394694,0.064544
0.020000,1.081413,1.302244,0.779635,3.296582,7.219564,0.168533,0.070668
0.020000,1.150048,1.307324,0.848457,3.441135,7.227632,0.403397,0.077086
0.020000,1.221531,1.313087,0.920173,3.585768,7.231694,0.203096,0.083798
0.020000,1.295857,1.319592,0.994783,3.730515,7.237326,0.281593,0.090808
0.020000,1.373020,1.326902,1.072291,3.875416,7.245039,0.385621,0.098118
0.020000,1.453010,1.335083,1.152698,4.020358,7.247125,0.104331,0.105729
0.020000,1.535817,1.344203,1.236006,4.165394,7.251778,0.232659,0.113645
0.020000,1.621430,1.354331,1.322216,4.310504,7.255490,0.185594,0.121866
0.020000,1.709836,1.365541,1.411330,4.455702,7.259934,0.222202,0.130393
0.020000,1.801020,1.377908,1.503349,4.600920,7.260889,0.047739,0.139228
0.020000,1.894963,1.391511,1.598272,4.746146,7.261281,0.019570,0.148372
0.020000,1.991648,1.406430,1.696101,4.891445,7.264972,0.184594,0.157824
0.020000,2.091050,1.422747,1.796834,5.036649,7.260168,-0.240220,0.167584
