dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.212066,11.706002,0.000656,0.065574,3.278689,163.934426,3.139479
0.020000,18.212393,11.706001,0.000983,0.016359,-2.460723,-286.970585,3.139837
0.020000,18.213048,11.706000,0.001638,0.032740,0.819032,163.987748,3.140552
0.020000,18.213781,11.706000,0.002371,0.036658,0.195917,-31.155715,3.141627
0.020000,18.204600,11.705993,0.011552,0.459048,21.119501,1046.179154,3.143063
0.020000,18.193133,11.705966,0.023019,0.573344,5.714787,-770.235663,3.144865
0.020000,18.179382,11.705906,0.036770,0.687561,5.710839,-0.197413,3.147036
0.020000,18.163351,11.705798,0.052801,0.801558,5.699878,-0.548037,3.149581
0.020000,18.145049,11.705625,0.071105,0.915172,5.680699,-0.958948,3.152508
0.020000,18.124474,11.705367,0.091681,1.028823,5.682521,0.091073,3.155822
0.020000,18.101645,11.705000,0.114513,1.141609,5.639291,-2.161487,3.159531
0.020000,18.076561,11.704498,0.139602,1.254450,5.642052,0.138057,3.163646
0.020000,18.049237,11.703834,0.166934,1.366596,5.607306,-1.737293,3.168174
0.020000,18.019685,11.702975,0.196499,1.478234,5.581886,-1.271011,3.173127
0.020000,17.987911,11.701887,0.228291,1.589597,5.568166,-0.686001,3.178518
0.020000,17.953940,11.700533,0.262289,1.699912,5.515734,-2.621595,3.184358
0.020000,17.917777,11.698871,0.298490,1.810058,5.507319,-0.420774,3.190662
0.020000,17.879446,11.696859,0.336874,1.919201,5.457169,-2.507511,3.197445
0.020000,17.838964,11.694448,0.377428,2.027683,5.424107,-1.653056,3.204723
0.020000,17.796354,11.691588,0.420134,2.135308,5.381242,-2.143290,3.212512
0.020000,17.751633,11.688225,0.464981,2.242365,5.352858,-1.419160,3.220833
0.020000,17.704834,11.684301,0.511944,2.348136,5.288508,-3.217545,3.229703
0.020000,17.655979,11.679753,0.561010,2.453297,5.258059,-1.522422,3.239145
0.020000,17.605102,11.674517,0.612156,2.557323,5.201332,-2.836360,3.249178
0.020000,17.552231,11.668523,0.665366,2.660479,5.157794,-2.176900,3.259827
