dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.214000,12.621000,0.000656,0.065574,3.278689,163.934426,3.139479
0.020000,18.214000,12.621000,0.003279,0.196721,6.557377,163.934426,3.139837
0.020000,18.214000,12.621000,0.008525,0.327869,6.557377,0.000000,3.140552
0.020000,18.213750,12.621000,0.016393,0.459016,6.557377,0.000000,3.141627
0.020000,18.203254,12.620992,0.026885,0.590164,6.557377,-0.000000,3.143063
0.020000,18.190139,12.620961,0.040000,0.721311,6.557377,0.000000,3.144865
0.020000,18.174402,12.620892,0.055738,0.852459,6.557377,-0.000000,3.147036
0.020000,18.156042,12.620769,0.074098,0.983607,6.557377,0.000000,3.149581
0.020000,18.135062,12.620571,0.095082,1.114754,6.557377,-0.000000,3.152508
0.020000,18.111455,12.620274,0.118689,1.245902,6.557377,0.000000,3.155822
0.020000,18.085232,12.619852,0.144918,1.377049,6.557377,-0.000000,3.159531
0.020000,18.056384,12.619276,0.173770,1.508197,6.557377,0.000000,3.163646
0.020000,18.024918,12.618510,0.205246,1.639344,6.557377,0.000000,3.168174
0.020000,17.990835,12.617520,0.239344,1.770492,6.557377,-0.000000,3.173127
0.020000,17.954132,12.616263,0.276066,1.901639,6.557377,0.000000,3.178518
0.020000,17.914822,12.614696,0.315410,2.032787,6.557377,0.000000,3.184358
0.020000,17.872897,12.612770,0.357377,2.163934,6.557377,0.000000,3.190662
0.020000,17.828368,12.610432,0.401967,2.295082,6.557377,-0.000000,3.197445
0.020000,17.781238,12.607626,0.449180,2.426230,6.557377,0.000000,3.204723
0.020000,17.731517,12.604288,0.499016,2.557377,6.557377,0.000000,3.212512
0.020000,17.679203,12.600354,0.551475,2.688525,6.557377,-0.000000,3.220833
0.020000,17.624317,12.595751,0.606557,2.819672,6.557377,0.000000,3.229703
0.020000,17.566861,12.590403,0.664262,2.950820,6.557377,0.000000,3.239145
0.020000,17.506851,12.584227,0.724590,3.081967,6.557377,-0.000000,3.249178
0.020000,17.444298,12.577135,0.787541,3.213115,6.557377,0.000000,3.259827
0.020000,17.379229,12.569034,0.853115,3.344262,6.557377,0.000000,3.271113
0.020000,17.311656,12.559823,0.921311,3.475410,6.557377,-0.000000,3.283062
0.020000,17.241608,12.549396,0.992131,3.606557,6.557377,0.000000,3.295698
0.020000,17.169114,12.537640,1.065574,3.737705,6.557377,0.000000,3.309045
0.020000,17.094204,12.524437,1.141639,3.868852,6.557377,-0.000000,3.323128
0.020000,17.016918,12.509658,1.220328,4.000000,6.557377,0.000000,3.337974
0.020000,16.937295,12.493172,1.301639,4.131148,6.557377,0.000000,3.353604
0.020000,16.855390,12.474839,1.385574,4.262295,6.557377,0.000000,3.370042
0.020000,16.771252,12.454511,1.472131,4.393443,6.557377,0.000000,3.387310
0.020000,16.684953,12.432038,1.561311,4.524590,6.557377,-0.000000,3.405423
0.020000,16.596558,12.407261,1.653115,4.655738,6.557377,0.000000,3.424398
0.020000,16.506149,12.380015,1.747541,4.786885,6.557377,0.000000,3.444246
0.020000,16.413817,12.350134,1.844590,4.918033,6.557377,0.000000,3.464970
0.020000,16.319659,12.317445,1.944262,5.049180,6.557377,0.000000,3.486570
0.020000,16.223787,12.281776,2.046557,5.180328,6.557377,0.000000,3.509037
