dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.215934,13.535998,0.000656,0.065574,3.278689,163.934426,3.139479
0.020000,18.215607,13.535999,0.000983,0.016359,-2.460723,-286.970585,3.139837
0.020000,18.214952,13.536000,0.001638,0.032740,0.819032,163.987748,3.140552
0.020000,18.213719,13.536000,0.002871,0.061672,1.446578,31.377308,3.141627
0.020000,18.201909,13.535991,0.014681,0.590490,26.440948,1249.718519,3.143063
0.020000,18.187145,13.535956,0.029444,0.738176,7.384269,-952.833943,3.144865
0.020000,18.169421,13.535879,0.047169,0.886204,7.401426,0.857845,3.147036
0.020000,18.148732,13.535740,0.067858,1.034488,7.414174,0.637367,3.149581
0.020000,18.125075,13.535516,0.091516,1.182908,7.420998,0.341240,3.152508
0.020000,18.098435,13.535181,0.118159,1.332104,7.459792,1.939654,3.155822
0.020000,18.068819,13.534705,0.147779,1.481007,7.445174,-0.730898,3.159531
0.020000,18.036207,13.534053,0.180397,1.630911,7.495176,2.500130,3.163646
0.020000,18.000599,13.533187,0.216016,1.780944,7.501678,0.325112,3.168174
0.020000,17.961986,13.532065,0.254645,1.931455,7.525523,1.192245,3.173127
0.020000,17.920353,13.530639,0.296302,2.082857,7.570140,2.230820,3.178518
0.020000,17.875704,13.528860,0.340987,2.234249,7.569578,-0.028101,3.184358
0.020000,17.828016,13.526669,0.388725,2.386898,7.632454,3.143809,3.190662
0.020000,17.777289,13.524005,0.439521,2.539823,7.646228,0.688687,3.197445
0.020000,17.723513,13.520803,0.493393,2.693589,7.688326,2.104943,3.204723
0.020000,17.666680,13.516988,0.550354,2.848056,7.723334,1.750361,3.212512
0.020000,17.606774,13.512483,0.610429,3.003729,7.783645,3.015566,3.220833
0.020000,17.543800,13.507202,0.673624,3.159762,7.801665,0.901020,3.229703
0.020000,17.477742,13.501052,0.739968,3.317180,7.870886,3.461011,3.239145
0.020000,17.408600,13.493936,0.809475,3.475385,7.910260,1.968731,3.249178
0.020000,17.336366,13.485747,0.882172,3.634838,7.972650,3.119490,3.259827
0.020000,17.261048,13.476370,0.958071,3.794941,8.005168,1.625873,3.271113
0.020000,17.182642,13.465682,1.037202,3.956545,8.080166,3.749912,3.283062
0.020000,17.101160,13.453552,1.119582,4.119023,8.123913,2.187363,3.295698
0.020000,17.016611,13.439842,1.205236,4.282676,8.182656,2.937172,3.309045
0.020000,16.929010,13.424401,1.294187,4.447560,8.244193,3.076806,3.323128
0.020000,16.838382,13.407071,1.386457,4.613505,8.297268,2.653755,3.337974
0.020000,16.744755,13.387685,1.482070,4.780647,8.357087,2.990975,3.353604
0.020000,16.648173,13.366066,1.581043,4.948617,8.398517,2.071467,3.370042
0.020000,16.548677,13.342027,1.683401,5.117914,8.464848,3.316568,3.387310
0.020000,16.446339,13.315377,1.789152,5.287562,8.482367,0.875959,3.405423
0.020000,16.341227,13.285913,1.898316,5.458180,8.530913,2.427287,3.424398
0.020000,16.233430,13.253427,2.010901,5.629290,8.555528,1.230776,3.444246
0.020000,16.123057,13.217708,2.126910,5.800412,8.556086,0.027905,3.464970
0.020000,16.010229,13.178536,2.246345,5.971743,8.566523,0.521815,3.486570
0.020000,15.895090,13.135698,2.369194,6.142467,8.536197,-1.516314,3.509037
0.020000,15.777804,13.088977,2.495444,6.312487,8.500997,-1.759994,3.532354
0.020000,15.658554,13.038162,2.625068,6.481245,8.437949,-3.152396,3.556493
0.020000,15.537546,12.983053,2.758034,6.648287,8.352068,-4.294053,3.581417
0.020000,15.415008,12.923460,2.894295,6.813019,8.236622,-5.772298,3.607076
0.020000,15.291185,12.859209,3.033795,6.975021,8.100067,-6.827715,3.633408
0.020000,15.166343,12.790149,3.176466,7.133532,7.925570,-8.724854,3.660339
0.020000,15.040761,12.716150,3.322228,7.288126,7.729698,-9.793616,3.687784
0.020000,14.914730,12.637111,3.470993,7.438228,7.505106,-11.229608,3.715643
0.020000,14.788547,12.552960,3.622662,7.583445,7.260826,-12.213970,3.743809
0.020000,14.662512,12.463661,3.777126,7.723220,6.988765,-13.603054,3.772165
0.020000,14.536920,12.369208,3.934272,7.857303,6.704156,-14.230455,3.800585
0.020000,14.412055,12.269627,4.093983,7.985523,6.410988,-14.658425,3.828940
0.020000,14.288188,12.164981,4.256136,8.107674,6.107568,-15.170989,3.857099
0.020000,14.165568,12.055359,4.420613,8.223855,5.809029,-14.926925,3.884931
0.020000,14.044417,11.940879,4.587297,8.334171,5.515834,-14.659773,3.912307
0.020000,13.924930,11.821679,4.756074,8.438869,5.234863,-14.048540,3.939106
0.020000,13.807268,11.697919,4.926839,8.538271,4.970092,-13.238583,3.965210
0.020000,13.691560,11.569772,5.099495,8.632785,4.725701,-12.219543,3.990512
0.020000,13.577899,11.437422,5.273952,8.722869,4.504208,-11.074650,4.014917
0.020000,13.466345,11.301058,5.450132,8.808987,4.305923,-9.914249,4.038338
