dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.625061,11.607544,0.000656,0.065574,3.278689,163.934426,3.143632
0.020000,17.624808,11.607544,0.000909,0.012680,-2.644700,-296.169443,3.143355
0.020000,17.624300,11.607543,0.001417,0.025378,0.634895,163.979780,3.142800
0.020000,17.623538,11.607543,0.002179,0.038112,0.636711,0.090764,3.141967
0.020000,17.615556,11.607545,0.010160,0.399069,18.047832,870.556069,3.140854
0.020000,17.601170,11.607566,0.024546,0.719300,16.011584,-101.812399,3.139458
0.020000,17.583889,11.607617,0.041828,0.864097,7.239827,-438.587869,3.137775
0.020000,17.563721,11.607714,0.061996,1.008398,7.215074,-1.237633,3.135801
0.020000,17.540662,11.607874,0.085056,1.152986,7.229386,0.715600,3.133531
0.020000,17.514707,11.608117,0.111011,1.297764,7.238924,0.476914,3.130959
0.020000,17.485839,11.608465,0.139882,1.443522,7.287893,2.448447,3.128079
0.020000,17.454068,11.608945,0.171657,1.588736,7.260674,-1.360965,3.124883
0.020000,17.419376,11.609586,0.206354,1.734894,7.307932,2.362895,3.121364
0.020000,17.381765,11.610419,0.243975,1.881024,7.306462,-0.073477,3.117512
0.020000,17.341221,11.611481,0.284533,2.027907,7.344175,1.885645,3.113316
0.020000,17.297733,11.612809,0.328041,2.175418,7.375536,1.568048,3.108766
0.020000,17.251293,11.614449,0.374510,2.323427,7.400474,1.246884,3.103850
0.020000,17.201897,11.616444,0.423946,2.471806,7.418947,0.923661,3.098554
0.020000,17.149535,11.618848,0.476363,2.620869,7.453139,1.709620,3.092863
0.020000,17.094191,11.621716,0.531781,2.770898,7.501427,2.414388,3.086763
0.020000,17.035856,11.625108,0.590215,2.921685,7.539359,1.896607,3.080235
0.020000,16.974523,11.629091,0.651677,3.073108,7.571175,1.590769,3.073262
0.020000,16.910181,11.633734,0.716187,3.225469,7.618041,2.343304,3.065824
0.020000,16.842819,11.639115,0.783763,3.378832,7.668138,2.504841,3.057899
0.020000,16.772419,11.645319,0.854436,3.533658,7.741326,3.659445,3.049463
0.020000,16.698983,11.652435,0.928216,3.688975,7.765830,1.225159,3.040493
0.020000,16.622498,11.660562,1.005131,3.845756,7.839066,3.661828,3.030962
0.020000,16.542953,11.669804,1.085212,4.004040,7.914179,3.755643,3.020841
0.020000,16.460341,11.680278,1.168485,4.163651,7.980571,3.319603,3.010099
0.020000,16.374665,11.692104,1.254973,4.324415,8.038165,2.879673,2.998706
0.020000,16.285916,11.705418,1.344715,4.487104,8.134461,4.814804,2.986627
0.020000,16.194101,11.720361,1.437738,4.651136,8.201593,3.356631,2.973826
0.020000,16.099222,11.737090,1.534081,4.817129,8.299655,4.903073,2.960264
0.020000,16.001291,11.755770,1.633777,4.984845,8.385834,4.308959,2.945904
0.020000,15.900329,11.776578,1.736862,5.154208,8.468107,4.113667,2.930703
0.020000,15.796351,11.799710,1.843381,5.325978,8.588531,6.021185,2.914620
0.020000,15.689398,11.825367,1.953369,5.499371,8.669628,4.054867,2.897612
0.020000,15.579517,11.853768,2.066861,5.674636,8.763253,4.681240,2.879636
0.020000,15.466754,11.885147,2.183909,5.852390,8.887733,6.223999,2.860649
0.020000,15.351195,11.919748,2.304536,6.031352,8.948076,3.017143,2.840610
0.020000,15.232926,11.957829,2.428785,6.212448,9.054799,5.336134,2.819481
0.020000,15.112058,11.999662,2.556687,6.395112,9.133181,3.919110,2.797226
0.020000,14.988733,12.045524,2.688265,6.578862,9.187521,2.717030,2.773817
0.020000,14.863105,12.095704,2.823543,6.763930,9.253386,3.293233,2.749232
0.020000,14.735371,12.150495,2.962532,6.949457,9.276346,1.148018,2.723458
0.020000,14.605755,12.210187,3.105234,7.135070,9.280671,0.216222,2.696495
0.020000,14.474520,12.275065,3.251630,7.319802,9.236585,-2.204304,2.668357
0.020000,14.341959,12.345405,3.401696,7.503321,9.175979,-3.030291,2.639075
0.020000,14.208407,12.421460,3.555386,7.684510,9.059426,-5.827631,2.608698
0.020000,14.074230,12.503461,3.712636,7.862490,8.899029,-8.019850,2.577297
0.020000,13.939830,12.591602,3.873360,8.036199,8.685436,-10.679674,2.544965
0.020000,13.805633,12.686034,4.037453,8.204634,8.421744,-13.184589,2.511818
0.020000,13.672086,12.786861,4.204787,8.366694,8.102993,-15.937574,2.477993
0.020000,13.539648,12.894131,4.375218,8.521538,7.742187,-18.040297,2.443651
0.020000,13.408775,13.007834,4.548584,8.668347,7.340466,-20.086038,2.408966
0.020000,13.279915,13.127900,4.724712,8.806376,6.901466,-21.950014,2.374131
0.020000,13.153489,13.254202,4.903417,8.935261,6.444259,-22.860336,2.339345
0.020000,13.029885,13.386559,5.084516,9.054917,5.982763,-23.074814,2.304810
0.020000,12.909443,13.524746,5.267824,9.165412,5.524739,-22.901176,2.270727
0.020000,12.792452,13.668499,5.453166,9.267096,5.084230,-22.025456,2.237288
0.020000,12.679142,13.817525,5.640377,9.360579,4.674152,-20.503891,2.204673
0.020000,12.570118,13.970882,5.828538,9.408047,2.373382,-115.038518,2.173170
0.020000,12.466248,14.126943,6.016005,9.373357,-1.734498,-205.393996,2.143144
0.020000,12.367778,14.284692,6.201966,9.298017,-3.767016,-101.625905,2.114765
0.020000,12.274460,14.443781,6.386404,9.221908,-3.805403,-1.919339,2.088051
0.020000,12.186026,14.603901,6.569322,9.145891,-3.800867,0.226791,2.062998
