dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.623195,12.522542,0.000656,0.065574,3.278689,163.934426,3.143632
0.020000,17.623195,12.522542,0.003279,0.196721,6.557377,163.934426,3.143355
0.020000,17.623195,12.522542,0.008525,0.327869,6.557377,0.000000,3.142800
0.020000,17.623195,12.522542,0.016393,0.459016,6.557377,0.000000,3.141967
0.020000,17.616232,12.522545,0.026885,0.590164,6.557377,-0.000000,3.140854
0.020000,17.603123,12.522564,0.040000,0.721311,6.557377,0.000000,3.139458
0.020000,17.587382,12.522611,0.055738,0.852459,6.557377,-0.000000,3.137775
0.020000,17.569021,12.522699,0.074098,0.983607,6.557377,0.000000,3.135801
0.020000,17.548038,12.522844,0.095082,1.114754,6.557377,-0.000000,3.133531
0.020000,17.524437,12.523065,0.118689,1.245902,6.557377,0.000000,3.130959
0.020000,17.498204,12.523382,0.144918,1.377049,6.557377,-0.000000,3.128079
0.020000,17.469356,12.523817,0.173770,1.508197,6.557377,0.000000,3.124883
0.020000,17.437884,12.524399,0.205246,1.639344,6.557377,0.000000,3.121364
0.020000,17.403797,12.525154,0.239344,1.770492,6.557377,-0.000000,3.117512
0.020000,17.367090,12.526115,0.276066,1.901639,6.557377,0.000000,3.113316
0.020000,17.327763,12.527317,0.315410,2.032787,6.557377,0.000000,3.108766
0.020000,17.285820,12.528797,0.357377,2.163934,6.557377,0.000000,3.103850
0.020000,17.241266,12.530597,0.401967,2.295082,6.557377,-0.000000,3.098554
0.020000,17.194104,12.532762,0.449180,2.426230,6.557377,0.000000,3.092863
0.020000,17.144335,12.535341,0.499016,2.557377,6.557377,0.000000,3.086763
0.020000,17.091963,12.538387,0.551475,2.688525,6.557377,-0.000000,3.080235
0.020000,17.036997,12.541955,0.606557,2.819672,6.557377,0.000000,3.073262
0.020000,16.979443,12.546109,0.664262,2.950820,6.557377,0.000000,3.065824
0.020000,16.919309,12.550912,0.724590,3.081967,6.557377,-0.000000,3.057899
0.020000,16.856598,12.556439,0.787541,3.213115,6.557377,0.000000,3.049463
0.020000,16.791332,12.562763,0.853115,3.344262,6.557377,0.000000,3.040493
0.020000,16.723519,12.569968,0.921311,3.475410,6.557377,-0.000000,3.030962
0.020000,16.653172,12.578142,0.992131,3.606557,6.557377,0.000000,3.020841
0.020000,16.580311,12.587379,1.065574,3.737705,6.557377,0.000000,3.010099
0.020000,16.504962,12.597779,1.141639,3.868852,6.557377,-0.000000,2.998706
0.020000,16.427143,12.609453,1.220328,4.000000,6.557377,0.000000,2.986627
0.020000,16.346889,12.622515,1.301639,4.131148,6.557377,0.000000,2.973826
0.020000,16.264230,12.637088,1.385574,4.262295,6.557377,0.000000,2.960264
0.020000,16.179206,12.653306,1.472131,4.393443,6.557377,0.000000,2.945904
0.020000,16.091866,12.671307,1.561311,4.524590,6.557377,-0.000000,2.930703
0.020000,16.002253,12.691242,1.653115,4.655738,6.557377,0.000000,2.914620
0.020000,15.910432,12.713268,1.747541,4.786885,6.557377,0.000000,2.897612
0.020000,15.816475,12.737553,1.844590,4.918033,6.557377,0.000000,2.879636
0.020000,15.720449,12.764274,1.944262,5.049180,6.557377,0.000000,2.860649
0.020000,15.622455,12.793614,2.046557,5.180328,6.557377,0.000000,2.840610
0.020000,15.522588,12.825770,2.151475,5.311475,6.557377,-0.000000,2.819481
0.020000,15.420963,12.860941,2.259016,5.442623,6.557377,0.000000,2.797226
0.020000,15.317712,12.899337,2.369180,5.573770,6.557377,0.000000,2.773817
0.020000,15.212975,12.941173,2.481967,5.704918,6.557377,0.000000,2.749232
0.020000,15.106913,12.986666,2.597377,5.836066,6.557377,0.000000,2.723458
0.020000,14.999705,13.036038,2.715410,5.967213,6.557377,0.000000,2.696495
0.020000,14.891548,13.089505,2.836066,6.098361,6.557377,-0.000000,2.668357
0.020000,14.782654,13.147286,2.959344,6.229508,6.557377,0.000000,2.639075
0.020000,14.673253,13.209586,3.085246,6.360656,6.557377,0.000000,2.608698
0.020000,14.563591,13.276605,3.213770,6.491803,6.557377,0.000000,2.577297
0.020000,14.453928,13.348522,3.344918,6.622951,6.557377,0.000000,2.544965
0.020000,14.344534,13.425501,3.478689,6.754098,6.557377,0.000000,2.511818
0.020000,14.235686,13.507680,3.615082,6.885246,6.557377,-0.000000,2.477993
0.020000,14.127666,13.595173,3.754098,7.016393,6.557377,0.000000,2.443651
0.020000,14.020750,13.688064,3.895738,7.147541,6.557377,0.000000,2.408966
0.020000,13.915209,13.786403,4.040000,7.278689,6.557377,0.000000,2.374131
0.020000,13.811301,13.890211,4.186885,7.409836,6.557377,0.000000,2.339345
0.020000,13.709264,13.999477,4.336393,7.540984,6.557377,0.000000,2.304810
0.020000,13.609314,14.114157,4.488525,7.672131,6.557377,-0.000000,2.270727
0.020000,13.511638,14.234181,4.643279,7.803279,6.557377,0.000000,2.237288
0.020000,13.416392,14.359455,4.800656,7.934426,6.557377,0.000000,2.204673
0.020000,13.324071,14.489322,4.960000,8.000000,3.278689,-163.934426,2.173170
0.020000,13.235426,14.622513,5.120000,8.000000,0.000000,-163.934426,2.143144
0.020000,13.150708,14.758238,5.280000,8.000000,0.000000,0.000000,2.114765
