dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.621329,13.437541,0.000656,0.065574,3.278689,163.934426,3.143632
0.020000,17.621582,13.437541,0.000909,0.012680,-2.644700,-296.169443,3.143355
0.020000,17.622090,13.437542,0.001417,0.025378,0.634895,163.979780,3.142800
0.020000,17.622852,13.437542,0.002179,0.038112,0.636711,0.090764,3.141967
0.020000,17.616909,13.437545,0.008123,0.297179,12.953357,615.832325,3.140854
0.020000,17.605076,13.437562,0.019955,0.591605,14.721279,88.396101,3.139458
0.020000,17.590875,13.437604,0.034156,0.710063,5.922928,-439.917565,3.137775
0.020000,17.574320,13.437684,0.050711,0.827764,5.885063,-1.893214,3.135801
0.020000,17.555415,13.437815,0.069617,0.945288,5.876201,-0.443128,3.133531
0.020000,17.534166,13.438013,0.090867,1.062492,5.860194,-0.800355,3.130959
0.020000,17.510569,13.438298,0.114466,1.179954,5.873068,0.643689,3.128079
0.020000,17.484644,13.438690,0.140393,1.296357,5.820154,-2.645668,3.124883
0.020000,17.456392,13.439211,0.168650,1.412846,5.824476,0.216067,3.121364
0.020000,17.425829,13.439889,0.199221,1.528552,5.785263,-1.960638,3.117512
0.020000,17.392959,13.440749,0.232102,1.644031,5.773973,-0.564496,3.113316
0.020000,17.357794,13.441824,0.267284,1.759096,5.753269,-1.035205,3.108766
0.020000,17.320346,13.443145,0.304755,1.873555,5.722949,-1.516006,3.103850
0.020000,17.280634,13.444750,0.344499,1.987212,5.682842,-2.005357,3.098554
0.020000,17.238674,13.446676,0.386503,2.100223,5.650565,-1.613816,3.092863
0.020000,17.194479,13.448966,0.430758,2.212711,5.624388,-1.308859,3.086763
0.020000,17.148069,13.451665,0.477246,2.324400,5.584434,-1.997711,3.080235
0.020000,17.099470,13.454820,0.525947,2.435079,5.533950,-2.524167,3.073262
0.020000,17.048705,13.458483,0.576845,2.544868,5.489458,-2.224627,3.065824
0.020000,16.995800,13.462710,0.629918,2.653692,5.441187,-2.413560,3.057899
0.020000,16.940777,13.467558,0.685154,2.761778,5.404312,-1.843735,3.049463
0.020000,16.883680,13.473091,0.742519,2.868227,5.322467,-4.092247,3.040493
0.020000,16.824540,13.479374,0.801992,2.973659,5.271591,-2.543825,3.030962
0.020000,16.763392,13.486479,0.863551,3.077950,5.214562,-2.851408,3.020841
0.020000,16.700281,13.494480,0.927167,3.180813,5.143142,-3.571042,3.010099
0.020000,16.635258,13.503455,0.992806,3.281962,5.057454,-4.284386,2.998706
0.020000,16.568370,13.513488,1.060443,3.381833,4.993510,-3.197177,2.986627
0.020000,16.499677,13.524668,1.130040,3.479831,4.899913,-4.679853,2.973826
0.020000,16.429238,13.537087,1.201565,3.576277,4.822329,-3.879212,2.960264
0.020000,16.357121,13.550842,1.274982,3.670859,4.729100,-4.661471,2.945904
0.020000,16.283402,13.566035,1.350250,3.763406,4.627306,-5.089683,2.930703
0.020000,16.208154,13.582774,1.427338,3.854379,4.548665,-3.932036,2.914620
0.020000,16.131466,13.601170,1.506201,3.943145,4.438322,-5.517147,2.897612
0.020000,16.053433,13.621338,1.586798,4.029874,4.336450,-5.093619,2.879636
0.020000,15.974145,13.643401,1.669099,4.115039,4.258249,-3.910057,2.860649
0.020000,15.893715,13.667481,1.753056,4.197845,4.140307,-5.897061,2.840610
0.020000,15.812251,13.693710,1.838639,4.279143,4.064874,-3.771693,2.819481
0.020000,15.729868,13.722221,1.925816,4.358836,3.984659,-4.010737,2.797226
0.020000,15.646692,13.753150,2.014556,4.437025,3.909451,-3.760420,2.773817
0.020000,15.562844,13.786641,2.104845,4.514434,3.870428,-1.951148,2.749232
0.020000,15.478455,13.822837,2.196669,4.591211,3.838892,-1.576757,2.723458
0.020000,15.393654,13.861888,2.290029,4.668014,3.840136,0.062158,2.696495
0.020000,15.308576,13.903945,2.384935,4.745292,3.863879,1.187168,2.668357
0.020000,15.223348,13.949167,2.481417,4.824095,3.940150,3.813568,2.639075
0.020000,15.138099,13.997713,2.579520,4.905132,4.051883,5.586657,2.608698
0.020000,15.052952,14.049748,2.679308,4.989417,4.214244,8.118020,2.577297
0.020000,14.968026,14.105442,2.780867,5.077943,4.426298,10.602705,2.544965
0.020000,14.883435,14.164967,2.884303,5.171784,4.692021,13.286148,2.511818
0.020000,14.799287,14.228499,2.989741,5.271913,5.006466,15.722246,2.477993
0.020000,14.715684,14.296215,3.097328,5.379346,5.371660,18.259687,2.443651
