dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.106951,18.161086,0.000656,0.065574,3.278689,163.934426,6.282934
0.020000,0.106895,18.161086,0.000712,0.002791,-3.139128,-320.890812,6.282995
0.020000,0.106784,18.161086,0.000823,0.005573,0.139105,163.911658,6.283117
0.020000,0.111527,18.161086,0.005566,0.237136,11.578146,571.952017,0.000114
0.020000,0.121797,18.161089,0.015836,0.513517,13.819022,112.043826,0.000356
0.020000,0.134636,18.161095,0.028675,0.641964,6.422373,-369.832461,0.000657
0.020000,0.150045,18.161108,0.044085,0.770458,6.424714,0.117063,0.001016
0.020000,0.168025,18.161130,0.062065,0.899005,6.427341,0.131333,0.001432
0.020000,0.188578,18.161164,0.082617,1.027618,6.430658,0.165837,0.001903
0.020000,0.211704,18.161214,0.105743,1.156303,6.434241,0.179171,0.002428
0.020000,0.237405,18.161284,0.131444,1.285071,6.438369,0.206387,0.003005
0.020000,0.265684,18.161378,0.159723,1.413930,6.442965,0.229809,0.003632
0.020000,0.296541,18.161501,0.190581,1.542888,6.447903,0.246887,0.004307
0.020000,0.329980,18.161657,0.224020,1.671956,6.453396,0.274657,0.005028
0.020000,0.366002,18.161852,0.260043,1.801143,6.459352,0.297786,0.005791
0.020000,0.404611,18.162091,0.298652,1.930455,6.465592,0.312019,0.006595
0.020000,0.445808,18.162380,0.339850,2.059907,6.472594,0.350097,0.007435
0.020000,0.489596,18.162725,0.383640,2.189501,6.479735,0.357057,0.008310
0.020000,0.535980,18.163131,0.430025,2.319250,6.487412,0.383840,0.009215
0.020000,0.584960,18.163606,0.479008,2.449161,6.495588,0.408798,0.010147
0.020000,0.636542,18.164154,0.530593,2.579247,6.504306,0.435880,0.011102
0.020000,0.690729,18.164782,0.584783,2.709510,6.513128,0.441132,0.012077
0.020000,0.747524,18.165496,0.641583,2.839965,6.522755,0.481330,0.013066
0.020000,0.806931,18.166302,0.700995,2.970618,6.532644,0.494449,0.014067
0.020000,0.868954,18.167206,0.763025,3.101476,6.542903,0.512940,0.015074
0.020000,0.933597,18.168214,0.827676,3.232553,6.553824,0.546067,0.016082
0.020000,1.000865,18.169330,0.894953,3.363852,6.564976,0.557585,0.017087
0.020000,1.070762,18.170559,0.964860,3.495384,6.576612,0.581807,0.018084
0.020000,1.143292,18.171907,1.037404,3.627159,6.588748,0.606831,0.019067
0.020000,1.218462,18.173377,1.112587,3.759184,6.601245,0.624852,0.020031
0.020000,1.296275,18.174973,1.190417,3.891469,6.614221,0.648801,0.020970
0.020000,1.376736,18.176697,1.270897,4.024020,6.627566,0.667224,0.021878
0.020000,1.459853,18.178553,1.354034,4.156848,6.641403,0.691864,0.022750
0.020000,1.545629,18.180540,1.439833,4.289962,6.655704,0.715036,0.023578
0.020000,1.634071,18.182661,1.528301,4.423368,6.670292,0.729407,0.024358
0.020000,1.725185,18.184915,1.619442,4.557078,6.685482,0.759487,0.025081
0.020000,1.818976,18.187299,1.713264,4.691098,6.701041,0.777975,0.025741
0.020000,1.915452,18.189812,1.809773,4.825438,6.716981,0.797003,0.026332
0.020000,2.014619,18.192450,1.908975,4.960108,6.733501,0.825999,0.026845
0.020000,2.116484,18.195208,2.010877,5.095115,6.750334,0.841657,0.027275
0.020000,2.221054,18.198080,2.115487,5.230469,6.767692,0.867891,0.027612
0.020000,2.328336,18.201056,2.222810,5.366178,6.785486,0.889687,0.027850
0.020000,2.438339,18.204129,2.332855,5.502254,6.803764,0.913893,0.027980
0.020000,2.551069,18.207286,2.445629,5.638703,6.822479,0.935751,0.027994
0.020000,2.666534,18.210514,2.561140,5.775537,6.841694,0.960767,0.027883
0.020000,2.784744,18.213798,2.679395,5.912765,6.861381,0.984353,0.027640
0.020000,2.905706,18.217120,2.800403,6.050396,6.881592,1.010556,0.027255
0.020000,3.029430,18.220461,2.924172,6.188441,6.902252,1.032956,0.026720
0.020000,3.155924,18.223800,3.050710,6.326911,6.923473,1.061096,0.026024
0.020000,3.285198,18.227110,3.180027,6.465815,6.945216,1.087110,0.025159
0.020000,3.417261,18.230366,3.312130,6.605164,6.967453,1.111867,0.024114
0.020000,3.552123,18.233538,3.447029,6.744970,6.990281,1.141417,0.022880
0.020000,3.689794,18.236591,3.584734,6.885242,7.013620,1.166945,0.021447
0.020000,3.830284,18.239492,3.725254,7.025994,7.037584,1.198206,0.019804
0.020000,3.973603,18.242199,3.868599,7.167235,7.062067,1.224144,0.017940
0.020000,4.119762,18.244670,4.014778,7.308978,7.087117,1.252502,0.015845
0.020000,4.268771,18.246860,4.163803,7.451235,7.112838,1.286031,0.013506
0.020000,4.420640,18.248717,4.315683,7.594017,7.139101,1.313157,0.010914
0.020000,4.575379,18.250187,4.470430,7.737336,7.165969,1.343406,0.008055
0.020000,4.733000,18.251213,4.628054,7.881204,7.193410,1.372033,0.004919
0.020000,4.893512,18.251731,4.788567,8.025632,7.221403,1.399643,0.001492
0.020000,5.056254,18.251674,4.951309,8.137123,5.574559,-82.342169,6.280963
0.020000,5.219892,18.250989,5.114948,8.181945,2.241061,-166.674932,6.276986
0.020000,5.383753,18.249630,5.278815,8.193327,0.569124,-83.596846,6.272760
0.020000,5.547834,18.247555,5.442909,8.204732,0.570256,0.056611,6.268285
0.020000,5.712133,18.244722,5.607233,8.216158,0.571293,0.051852,6.263560
0.020000,5.876645,18.241087,5.771785,8.227602,0.572180,0.044346,6.258585
0.020000,6.041365,18.236607,5.936566,8.239059,0.572876,0.034788,6.253359
0.020000,6.206288,18.231237,6.101576,8.250527,0.573384,0.025405,6.247883
0.020000,6.371408,18.224936,6.266816,8.262000,0.573650,0.013301,6.242156
0.020000,6.536717,18.217658,6.432286,8.273473,0.573636,-0.000710,6.236178
0.020000,6.702208,18.209360,6.597985,8.284939,0.573301,-0.016713,6.229950
0.020000,6.867872,18.199997,6.763912,8.296391,0.572606,-0.034783,6.223471
0.020000,7.033698,18.189527,6.930069,8.307821,0.571506,-0.054991,6.216742
0.020000,7.199676,18.177904,7.096453,8.319220,0.569958,-0.077397,6.209764
0.020000,7.365793,18.165085,7.263065,8.330578,0.567917,-0.102051,6.202538
0.020000,7.532038,18.151027,7.429902,8.341885,0.565337,-0.128987,6.195065
0.020000,7.698394,18.135685,7.596965,8.353128,0.562173,-0.158226,6.187346
0.020000,7.864848,18.119017,7.764251,8.364296,0.558377,-0.189771,6.179383
0.020000,8.031382,18.100981,7.931758,8.375374,0.553905,-0.223605,6.171177
0.020000,8.197977,18.081533,8.099485,8.386348,0.548711,-0.259689,6.162732
0.020000,8.364616,18.060632,8.267429,8.397203,0.542752,-0.297959,6.154049
0.020000,8.531276,18.038236,8.435588,8.407923,0.535986,-0.338322,6.145132
0.020000,8.697937,18.014307,8.603958,8.418491,0.528373,-0.380659,6.135984
0.020000,8.864574,17.988803,8.772535,8.428888,0.519876,-0.424816,6.126609
0.020000,9.031164,17.961686,8.941317,8.439097,0.510464,-0.470608,6.117010
0.020000,9.197679,17.932920,9.110299,8.449100,0.500108,-0.517813,6.107193
0.020000,9.364093,17.902467,9.279477,8.458875,0.488784,-0.566172,6.097163
0.020000,9.530377,17.870294,9.448845,8.468399,0.476212,-0.628627,6.086923
0.020000,9.696501,17.836365,9.618398,8.477660,0.463005,-0.660343,6.076482
0.020000,9.862433,17.800649,9.788131,8.486634,0.448721,-0.714221,6.065844
0.020000,10.028142,17.763116,9.958037,8.495302,0.433394,-0.766329,6.055017
0.020000,10.193593,17.723738,10.128110,8.503643,0.417084,-0.815508,6.044007
0.020000,10.358753,17.682487,10.298342,8.511640,0.399813,-0.863523,6.032823
0.020000,10.523584,17.639339,10.468727,8.519251,0.380555,-0.962904,6.021472
0.020000,10.688051,17.594272,10.639257,8.526492,0.362056,-0.924950,6.009963
0.020000,10.852116,17.547265,10.809924,8.533336,0.342209,-0.992353,5.998304
0.020000,11.015742,17.498300,10.980719,8.539748,0.320569,-1.082034,5.986506
0.020000,11.178889,17.447361,11.151633,8.545716,0.298406,-1.108124,5.974576
0.020000,11.341519,17.394435,11.322659,8.551263,0.277387,-1.050954,5.962526
0.020000,11.503591,17.339513,11.493785,8.556299,0.251766,-1.281049,5.950365
0.020000,11.665068,17.282584,11.665003,8.560910,0.230566,-1.059993,5.938103
0.020000,11.825909,17.223645,11.836302,8.564985,0.203763,-1.340167,5.925753
0.020000,11.975807,17.166974,11.996555,8.012651,-27.616691,-1391.022701,5.918278
0.020000,12.130601,17.107255,12.162470,8.295717,14.153261,2088.497607,5.911814
0.020000,12.284346,17.046868,12.327648,8.258914,-1.840123,-799.669195,5.906155
0.020000,12.437089,16.985944,12.492093,8.222264,-1.832498,0.381244,5.901296
0.020000,12.588882,16.924614,12.655809,8.185759,-1.825266,0.361598,5.897236
0.020000,12.739777,16.863002,12.818796,8.149384,-1.818732,0.326702,5.893971
0.020000,12.889823,16.801235,12.981059,8.113121,-1.813172,0.277980,5.891498
0.020000,13.039072,16.739432,13.142598,8.076947,-1.808714,0.222925,5.889816
0.020000,13.187574,16.677715,13.303414,8.040834,-1.805607,0.155354,5.888923
0.020000,13.335380,16.616201,13.463509,8.004756,-1.803946,0.083039,5.888820
0.020000,13.482230,16.555134,13.622551,7.952086,-2.633479,-41.476665,5.889502
0.020000,13.627272,16.495000,13.779564,7.850659,-5.071365,-121.894280,5.890955
0.020000,13.769673,16.436266,13.933603,7.701925,-7.436698,-118.266656,5.893143
0.020000,13.909205,16.379129,14.084380,7.538859,-8.153270,-35.828584,5.896030
0.020000,14.045928,16.323656,14.231928,7.377413,-8.072314,4.047784,5.899579
0.020000,14.179897,16.269901,14.376279,7.217548,-7.993243,3.953564,5.903755
0.020000,14.311162,16.217913,14.517464,7.059236,-7.915591,3.882601,5.908525
0.020000,14.439766,16.167729,14.655513,6.902451,-7.839263,3.816382,5.913855
0.020000,14.565749,16.119378,14.790456,6.747174,-7.763871,3.769611,5.919713
0.020000,14.689148,16.072881,14.922324,6.593387,-7.689332,3.726955,5.926066
0.020000,14.809992,16.028253,15.051146,6.441081,-7.615315,3.700840,5.932881
0.020000,14.928310,15.985502,15.176951,6.290242,-7.541913,3.670110,5.940126
0.020000,15.044126,15.944627,15.299768,6.140867,-7.468755,3.657894,5.947770
0.020000,15.157461,15.905622,15.419627,5.992948,-7.395980,3.638731,5.955781
0.020000,15.268334,15.868477,15.536557,5.846479,-7.323424,3.627802,5.964126
0.020000,15.376760,15.833173,15.650586,5.701455,-7.251203,3.611066,5.972775
0.020000,15.482754,15.799688,15.761743,5.557869,-7.179291,3.595598,5.981695
0.020000,15.586328,15.767995,15.870057,5.415713,-7.107794,3.574858,5.990856
0.020000,15.687492,15.738061,15.975557,5.274978,-7.036793,3.550030,6.000227
0.020000,15.786255,15.709852,16.078270,5.135649,-6.966444,3.517477,6.009776
0.020000,15.882626,15.683327,16.178224,4.997712,-6.896861,3.479122,6.019474
0.020000,15.976610,15.658442,16.275447,4.861146,-6.828301,3.428024,6.029290
0.020000,16.068214,15.635152,16.369966,4.725930,-6.760758,3.377141,6.039196
0.020000,16.157444,15.613407,16.461806,4.592035,-6.694754,3.300214,6.049161
0.020000,16.244303,15.593156,16.550995,4.459436,-6.629986,3.238410,6.059158
0.020000,16.328796,15.574346,16.637557,4.328094,-6.567088,3.144894,6.069159
0.020000,16.410928,15.556921,16.721516,4.197973,-6.506042,3.052278,6.079138
0.020000,16.490701,15.540825,16.802897,4.069029,-6.447193,2.942473,6.089069
0.020000,16.568118,15.526000,16.881721,3.941228,-6.390064,2.856452,6.098926
0.020000,16.643184,15.512387,16.958012,3.814509,-6.335958,2.705299,6.108687
0.020000,16.715901,15.499927,17.031788,3.688832,-6.283818,2.606966,6.118328
0.020000,16.786272,15.488562,17.103071,3.564147,-6.234250,2.478420,6.127828
0.020000,16.854300,15.478232,17.171879,3.440401,-6.187317,2.346657,6.137167
0.020000,16.919988,15.468878,17.238230,3.317530,-6.143531,2.189285,6.146324
0.020000,16.983339,15.460441,17.302140,3.195499,-6.101578,2.097628,6.155282
0.020000,17.044355,15.452864,17.363625,3.074237,-6.063112,1.923302,6.164024
0.020000,17.103040,15.446091,17.422699,2.953702,-6.026719,1.819686,6.172534
0.020000,17.159395,15.440065,17.479375,2.833837,-5.993249,1.673488,6.180798
0.020000,17.213424,15.434731,17.533667,2.714588,-5.962442,1.540341,6.188801
0.020000,17.265130,15.430038,17.585585,2.595914,-5.933733,1.435460,6.196532
0.020000,17.314515,15.425933,17.635140,2.477756,-5.907899,1.291681,6.203979
0.020000,17.361581,15.422366,17.682342,2.360075,-5.884023,1.193791,6.211131
0.020000,17.406332,15.419290,17.727199,2.242826,-5.862440,1.079158,6.217980
0.020000,17.448770,15.416658,17.769718,2.125964,-5.843116,0.966214,6.224517
0.020000,17.488897,15.414426,17.809907,2.009459,-5.825272,0.892196,6.230733
0.020000,17.526716,15.412552,17.847772,1.893261,-5.809900,0.768623,6.236623
0.020000,17.562229,15.410996,17.883319,1.777348,-5.795660,0.711989,6.242180
0.020000,17.595438,15.409720,17.916553,1.661683,-5.783216,0.622205,6.247398
0.020000,17.626345,15.408689,17.947477,1.546234,-5.772470,0.537302,6.252273
0.020000,17.654953,15.407869,17.976097,1.430985,-5.762442,0.501406,6.256801
0.020000,17.681264,15.407230,18.002415,1.315900,-5.754269,0.408640,6.260978
0.020000,17.705278,15.406742,18.026434,1.200964,-5.746804,0.373254,6.264800
0.020000,17.726998,15.406381,18.048157,1.086151,-5.740637,0.308337,6.268265
0.020000,17.746425,15.406121,18.067587,0.971452,-5.734915,0.286072,6.271371
0.020000,17.763561,15.405942,18.084723,0.856842,-5.730517,0.219944,6.274115
0.020000,17.778407,15.405825,18.099570,0.742321,-5.726036,0.224018,6.276496
0.020000,17.790964,15.405754,18.112127,0.627842,-5.723951,0.104285,6.278512
0.020000,17.801232,15.405714,18.122395,0.513432,-5.720530,0.171040,6.280163
0.020000,17.809213,15.405695,18.130376,0.399058,-5.718676,0.092675,6.281447
0.020000,17.814908,15.405688,18.136071,0.284720,-5.716927,0.087457,6.282364
0.020000,17.818316,15.405686,18.139479,0.170396,-5.716198,0.036461,6.282913
0.020000,17.819729,15.405686,18.140892,0.070652,-4.987204,36.449689,6.283140
0.020000,17.820009,15.405686,18.141172,0.014025,-2.831339,107.793263,0.000000
0.020000,17.820009,15.405686,18.141172,0.000000,-0.701246,106.504623,0.000000
