dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.106721,17.246086,0.000656,0.065574,3.278689,163.934426,6.282934
0.020000,0.106721,17.246086,0.003279,0.196721,6.557377,163.934426,6.282995
0.020000,0.106721,17.246086,0.008525,0.327869,6.557377,0.000000,6.283117
0.020000,0.111631,17.246086,0.016393,0.459016,6.557377,0.000000,0.000114
0.020000,0.122122,17.246089,0.026885,0.590164,6.557377,-0.000000,0.000356
0.020000,0.135237,17.246095,0.040000,0.721311,6.557377,0.000000,0.000657
0.020000,0.150975,17.246109,0.055738,0.852459,6.557377,-0.000000,0.001016
0.020000,0.169335,17.246131,0.074098,0.983607,6.557377,0.000000,0.001432
0.020000,0.190319,17.246166,0.095082,1.114754,6.557377,-0.000000,0.001903
0.020000,0.213926,17.246217,0.118689,1.245902,6.557377,0.000000,0.002428
0.020000,0.240155,17.246288,0.144918,1.377049,6.557377,-0.000000,0.003005
0.020000,0.269007,17.246384,0.173770,1.508197,6.557377,0.000000,0.003632
0.020000,0.300482,17.246509,0.205246,1.639344,6.557377,0.000000,0.004307
0.020000,0.334580,17.246668,0.239344,1.770492,6.557377,-0.000000,0.005028
0.020000,0.371301,17.246867,0.276066,1.901639,6.557377,0.000000,0.005791
0.020000,0.410645,17.247111,0.315410,2.032787,6.557377,0.000000,0.006595
0.020000,0.452611,17.247405,0.357377,2.163934,6.557377,0.000000,0.007435
0.020000,0.497200,17.247756,0.401967,2.295082,6.557377,-0.000000,0.008310
0.020000,0.544411,17.248170,0.449180,2.426230,6.557377,0.000000,0.009215
0.020000,0.594245,17.248653,0.499016,2.557377,6.557377,0.000000,0.010147
0.020000,0.646701,17.249210,0.551475,2.688525,6.557377,-0.000000,0.011102
0.020000,0.701779,17.249849,0.606557,2.819672,6.557377,0.000000,0.012077
0.020000,0.759479,17.250574,0.664262,2.950820,6.557377,0.000000,0.013066
0.020000,0.819802,17.251393,0.724590,3.081967,6.557377,-0.000000,0.014067
0.020000,0.882746,17.252310,0.787541,3.213115,6.557377,0.000000,0.015074
0.020000,0.948312,17.253332,0.853115,3.344262,6.557377,0.000000,0.016082
0.020000,1.016499,17.254463,0.921311,3.475410,6.557377,-0.000000,0.017087
0.020000,1.087308,17.255709,0.992131,3.606557,6.557377,0.000000,0.018084
0.020000,1.160738,17.257073,1.065574,3.737705,6.557377,0.000000,0.019067
0.020000,1.236789,17.258560,1.141639,3.868852,6.557377,-0.000000,0.020031
0.020000,1.315461,17.260174,1.220328,4.000000,6.557377,0.000000,0.020970
0.020000,1.396753,17.261916,1.301639,4.131148,6.557377,0.000000,0.021878
0.020000,1.480667,17.263789,1.385574,4.262295,6.557377,0.000000,0.022750
0.020000,1.567201,17.265795,1.472131,4.393443,6.557377,0.000000,0.023578
0.020000,1.656356,17.267933,1.561311,4.524590,6.557377,-0.000000,0.024358
0.020000,1.748131,17.270202,1.653115,4.655738,6.557377,0.000000,0.025081
0.020000,1.842527,17.272602,1.747541,4.786885,6.557377,0.000000,0.025741
0.020000,1.939543,17.275129,1.844590,4.918033,6.557377,0.000000,0.026332
0.020000,2.039180,17.277780,1.944262,5.049180,6.557377,0.000000,0.026845
0.020000,2.141437,17.280549,2.046557,5.180328,6.557377,0.000000,0.027275
0.020000,2.246316,17.283428,2.151475,5.311475,6.557377,-0.000000,0.027612
0.020000,2.353816,17.286411,2.259016,5.442623,6.557377,0.000000,0.027850
0.020000,2.463937,17.289487,2.369180,5.573770,6.557377,0.000000,0.027980
0.020000,2.576679,17.292644,2.481967,5.704918,6.557377,0.000000,0.027994
0.020000,2.692044,17.295870,2.597377,5.836066,6.557377,0.000000,0.027883
0.020000,2.810031,17.299147,2.715410,5.967213,6.557377,0.000000,0.027640
0.020000,2.930642,17.302460,2.836066,6.098361,6.557377,-0.000000,0.027255
0.020000,3.053875,17.305788,2.959344,6.229508,6.557377,0.000000,0.026720
0.020000,3.179733,17.309109,3.085246,6.360656,6.557377,0.000000,0.026024
0.020000,3.308216,17.312400,3.213770,6.491803,6.557377,0.000000,0.025159
0.020000,3.439323,17.315632,3.344918,6.622951,6.557377,0.000000,0.024114
0.020000,3.573057,17.318777,3.478689,6.754098,6.557377,0.000000,0.022880
0.020000,3.709417,17.321802,3.615082,6.885246,6.557377,-0.000000,0.021447
0.020000,3.848403,17.324671,3.754098,7.016393,6.557377,0.000000,0.019804
0.020000,3.990018,17.327346,3.895738,7.147541,6.557377,0.000000,0.017940
0.020000,4.134259,17.329785,4.040000,7.278689,6.557377,0.000000,0.015845
0.020000,4.281129,17.331943,4.186885,7.409836,6.557377,0.000000,0.013506
0.020000,4.430626,17.333771,4.336393,7.540984,6.557377,0.000000,0.010914
0.020000,4.582750,17.335217,4.488525,7.672131,6.557377,-0.000000,0.008055
0.020000,4.737501,17.336224,4.643279,7.803279,6.557377,0.000000,0.004919
0.020000,4.894877,17.336732,4.800656,7.934426,6.557377,0.000000,0.001492
0.020000,5.054221,17.336677,4.960000,8.000000,3.278689,-163.934426,6.280963
0.020000,5.214219,17.336006,5.120000,8.000000,0.000000,-163.934426,6.276986
0.020000,5.374214,17.334680,5.280000,8.000000,0.000000,0.000000,6.272760
0.020000,5.534201,17.332657,5.440000,8.000000,0.000000,0.000000,6.268285
0.020000,5.694177,17.329898,5.600000,8.000000,0.000000,0.000000,6.263560
0.020000,5.854138,17.326364,5.760000,8.000000,0.000000,0.000000,6.258585
0.020000,6.014078,17.322014,5.920000,8.000000,0.000000,0.000000,6.253359
0.020000,6.173993,17.316808,6.080000,8.000000,0.000000,0.000000,6.247883
0.020000,6.333877,17.310706,6.240000,8.000000,0.000000,0.000000,6.242156
