dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.106491,16.331086,0.000656,0.065574,3.278689,163.934426,6.282934
0.020000,0.106547,16.331086,0.000712,0.002791,-3.139128,-320.890812,6.282995
0.020000,0.106658,16.331086,0.000823,0.005573,0.139105,163.911658,6.283117
0.020000,0.111735,16.331086,0.005899,0.253811,12.411862,613.637848,0.000114
0.020000,0.122448,16.331089,0.016613,0.535664,14.092665,84.040154,0.000356
0.020000,0.135838,16.331096,0.030003,0.669511,6.692354,-370.015555,0.000657
0.020000,0.151904,16.331109,0.046069,0.803314,6.690128,-0.111325,0.001016
0.020000,0.170645,16.331132,0.064810,0.937059,6.687267,-0.143027,0.001432
0.020000,0.192060,16.331168,0.086225,1.070743,6.684196,-0.153583,0.001903
0.020000,0.216147,16.331220,0.110312,1.204352,6.680473,-0.186145,0.002428
0.020000,0.242905,16.331293,0.137070,1.337880,6.676389,-0.204167,0.003005
0.020000,0.272331,16.331390,0.166496,1.471317,6.671868,-0.226069,0.003632
0.020000,0.304424,16.331518,0.198589,1.604653,6.666778,-0.254479,0.004307
0.020000,0.339181,16.331680,0.233347,1.737880,6.661345,-0.271668,0.005028
0.020000,0.376600,16.331882,0.270766,1.870989,6.655473,-0.293585,0.005791
0.020000,0.416679,16.332131,0.310846,2.003969,6.648981,-0.324624,0.006595
0.020000,0.459414,16.332431,0.353582,2.136816,6.642365,-0.330784,0.007435
0.020000,0.504803,16.332788,0.398972,2.269516,6.634983,-0.369119,0.008310
0.020000,0.552842,16.333209,0.447014,2.402061,6.627248,-0.386737,0.009215
0.020000,0.603529,16.333700,0.497703,2.534443,6.619126,-0.406122,0.010147
0.020000,0.656859,16.334266,0.551036,2.666657,6.610662,-0.423182,0.011102
0.020000,0.712829,16.334915,0.607009,2.798685,6.601409,-0.462661,0.012077
0.020000,0.771435,16.335652,0.665620,2.930527,6.592091,-0.465870,0.013066
0.020000,0.832673,16.336483,0.726863,3.062170,6.582153,-0.496930,0.014067
0.020000,0.896538,16.337414,0.790735,3.193604,6.571707,-0.522279,0.015074
0.020000,0.963026,16.338450,0.857232,3.324825,6.561059,-0.532433,0.016082
0.020000,1.032133,16.339597,0.926348,3.455820,6.549764,-0.564724,0.017087
0.020000,1.103854,16.340858,0.998080,3.586582,6.538088,-0.583820,0.018084
0.020000,1.178183,16.342240,1.072422,3.717103,6.526047,-0.602023,0.019067
0.020000,1.255116,16.343744,1.149369,3.847373,6.513500,-0.627347,0.020031
0.020000,1.334647,16.345375,1.228917,3.977384,6.500569,-0.646552,0.020970
0.020000,1.416770,16.347135,1.311060,4.107127,6.487141,-0.671402,0.021878
0.020000,1.501481,16.349026,1.395792,4.236594,6.473343,-0.689920,0.022750
0.020000,1.588773,16.351049,1.483107,4.365777,6.459142,-0.710018,0.023578
0.020000,1.678641,16.353204,1.573000,4.494664,6.444359,-0.739173,0.024358
0.020000,1.771077,16.355490,1.665465,4.623250,6.429309,-0.752500,0.025081
0.020000,1.866077,16.357905,1.760496,4.751525,6.413752,-0.777834,0.025741
0.020000,1.963634,16.360447,1.858086,4.879479,6.397695,-0.802862,0.026332
0.020000,2.063740,16.363110,1.958228,5.007106,6.381332,-0.818137,0.026845
0.020000,2.166391,16.365889,2.060916,5.134394,6.364387,-0.847291,0.027275
0.020000,2.271578,16.368777,2.166142,5.261335,6.347062,-0.866215,0.027612
0.020000,2.379295,16.371766,2.273901,5.387920,6.329259,-0.890154,0.027850
0.020000,2.489534,16.374845,2.384183,5.514140,6.311014,-0.912270,0.027980
0.020000,2.602290,16.378003,2.496983,5.639986,6.292265,-0.937415,0.027994
0.020000,2.717554,16.381225,2.612292,5.765447,6.273063,-0.960138,0.027883
0.020000,2.835319,16.384497,2.730102,5.890514,6.253361,-0.985108,0.027640
0.020000,2.955577,16.387800,2.850406,6.015178,6.233194,-1.008347,0.027255
0.020000,3.078321,16.391115,2.973194,6.139427,6.212468,-1.036304,0.026720
0.020000,3.203542,16.394419,3.098459,6.263253,6.191277,-1.059539,0.026024
0.020000,3.331233,16.397689,3.226192,6.386644,6.169558,-1.085919,0.025159
0.020000,3.461385,16.400898,3.356384,6.509589,6.147267,-1.114579,0.024114
0.020000,3.593990,16.404017,3.489026,6.632079,6.124476,-1.139556,0.022880
0.020000,3.729039,16.407012,3.624108,6.754101,6.101085,-1.169530,0.021447
0.020000,3.866523,16.409850,3.761621,6.875644,6.077188,-1.194858,0.019804
0.020000,4.006432,16.412493,3.901555,6.996698,6.052662,-1.226316,0.017940
0.020000,4.148756,16.414900,4.043900,7.117248,6.027538,-1.256171,0.015845
0.020000,4.293486,16.417027,4.188645,7.237286,6.001906,-1.281621,0.013506
0.020000,4.440611,16.418826,4.335781,7.356799,5.975631,-1.313719,0.010914
0.020000,4.590120,16.420247,4.485297,7.475775,5.948773,-1.342893,0.008055
0.020000,4.742001,16.421235,4.637181,7.594201,5.921305,-1.373402,0.004919
0.020000,4.896241,16.421733,4.791422,7.712065,5.893221,-1.404205,0.001492
0.020000,5.052187,16.421679,4.947368,7.797293,4.261404,-81.590886,6.280963
0.020000,5.208547,16.421024,5.103729,7.818044,1.037566,-161.191897,6.276986
0.020000,5.364675,16.419729,5.259862,7.806661,-0.569196,-80.338105,6.272760
0.020000,5.520567,16.417758,5.415767,7.795254,-0.570331,-0.056741,6.268285
0.020000,5.676221,16.415074,5.571444,7.783827,-0.571346,-0.050751,6.263560
0.020000,5.831630,16.411641,5.726891,7.772382,-0.572234,-0.044373,6.258585
0.020000,5.986792,16.407421,5.882110,7.760923,-0.572969,-0.036751,6.253359
0.020000,6.141699,16.402378,6.037099,7.749453,-0.573481,-0.025605,6.247883
0.020000,6.296346,16.396476,6.191858,7.737978,-0.573751,-0.013497,6.242156
0.020000,6.450726,16.389679,6.346388,7.726503,-0.573740,0.000517,6.236178
0.020000,6.604833,16.381952,6.500689,7.715035,-0.573410,0.016521,6.229950
0.020000,6.758659,16.373259,6.654761,7.703581,-0.572718,0.034593,6.223471
0.020000,6.912197,16.363564,6.808604,7.692148,-0.571622,0.054803,6.216742
0.020000,7.065436,16.352834,6.962219,7.680747,-0.570078,0.077211,6.209764
0.020000,7.218369,16.341033,7.115606,7.669386,-0.568041,0.101868,6.202538
0.020000,7.370986,16.328127,7.268768,7.658077,-0.565464,0.128811,6.195065
0.020000,7.523277,16.314083,7.421705,7.646831,-0.562303,0.158060,6.187346
0.020000,7.675230,16.298868,7.574418,7.635661,-0.558511,0.189621,6.179383
0.020000,7.826835,16.282448,7.726909,7.624580,-0.554041,0.223481,6.171177
0.020000,7.978080,16.264792,7.879181,7.613603,-0.548849,0.259604,6.162732
0.020000,8.128953,16.245869,8.031236,7.602745,-0.542890,0.297934,6.154049
0.020000,8.279441,16.225647,8.183077,7.592022,-0.536122,0.338391,6.145132
0.020000,8.429530,16.204097,8.334706,7.581452,-0.528505,0.380868,6.135984
0.020000,8.579209,16.181189,8.486127,7.571052,-0.520000,0.425234,6.126609
0.020000,8.728461,16.156895,8.637344,7.560841,-0.510574,0.471331,6.117010
0.020000,8.877274,16.131188,8.788360,7.550837,-0.500194,0.518974,6.107193
0.020000,9.025631,16.104039,8.939182,7.541060,-0.488835,0.567953,6.097163
0.020000,9.173519,16.075425,9.089812,7.531526,-0.476710,0.606273,6.086923
0.020000,9.320922,16.045320,9.240257,7.522261,-0.463244,0.673278,6.076482
0.020000,9.467823,16.013701,9.390523,7.513285,-0.448820,0.721198,6.065844
0.020000,9.614207,15.980546,9.540615,7.504617,-0.433405,0.770761,6.055017
0.020000,9.760059,15.945832,9.690541,7.496278,-0.416960,0.822269,6.044007
0.020000,9.905361,15.909541,9.840307,7.488288,-0.399491,0.873408,6.032823
0.020000,10.050098,15.871654,9.989920,7.480649,-0.381945,0.877327,6.021472
0.020000,10.194252,15.832153,10.139388,7.473409,-0.361965,0.998988,6.009963
0.020000,10.337807,15.791023,10.288719,7.466580,-0.341482,1.024163,5.998304
0.020000,10.480747,15.748248,10.437923,7.460160,-0.320970,1.025579,5.986506
0.020000,10.623056,15.703816,10.587006,7.454172,-0.299421,1.077470,5.974576
0.020000,10.764716,15.657715,10.735979,7.448662,-0.275507,1.195715,5.962526
0.020000,10.905712,15.609935,10.884851,7.443575,-0.254367,1.056974,5.950365
0.020000,11.046028,15.560467,11.033631,7.439009,-0.228293,1.303702,5.938103
0.020000,11.185646,15.509304,11.182329,7.434885,-0.206165,1.106405,5.925753
0.020000,11.322749,15.457467,11.328904,7.328758,-5.306353,-255.009392,5.918278
0.020000,11.466507,15.402005,11.482989,7.704257,18.774919,1204.063602,5.911814
0.020000,11.610610,15.345403,11.637810,7.741064,1.840354,-846.728249,5.906155
0.020000,11.755095,15.287773,11.793365,7.777720,1.832797,-0.377878,5.901296
0.020000,11.899999,15.229226,11.949649,7.814231,1.825543,-0.362697,5.897236
0.020000,12.045361,15.169873,12.106661,7.850610,1.818947,-0.329792,5.893971
0.020000,12.191223,15.109828,12.264399,7.886875,1.813276,-0.283544,5.891498
0.020000,12.337628,15.049202,12.422860,7.923052,1.808832,-0.222203,5.889816
0.020000,12.484622,14.988112,12.582043,7.959165,1.805690,-0.157105,5.888923
0.020000,12.632252,14.926671,12.741948,7.995245,1.803971,-0.085957,5.888820
0.020000,12.780255,14.865124,12.902239,8.014520,0.963746,-42.011243,5.889502
0.020000,12.927753,14.803973,13.061910,7.983584,-1.546780,-125.526285,5.890955
0.020000,13.073857,14.743711,13.219954,7.902202,-4.069123,-126.117133,5.893143
0.020000,13.218278,14.684573,13.376014,7.802969,-4.961647,-44.626220,5.896030
0.020000,13.361019,14.626658,13.530056,7.702118,-5.042532,-4.044253,5.899579
0.020000,13.502081,14.570059,13.682050,7.599684,-5.121706,-3.958717,5.903755
0.020000,13.641461,14.514857,13.831964,7.495699,-5.199273,-3.878348,5.908525
0.020000,13.779153,14.461127,13.979767,7.390185,-5.275681,-3.820393,5.913855
0.020000,13.915145,14.408935,14.125431,7.283165,-5.351014,-3.766619,5.919713
0.020000,14.049422,14.358340,14.268924,7.174652,-5.425617,-3.730194,5.926066
0.020000,14.181966,14.309392,14.410217,7.064662,-5.499502,-3.694227,5.932881
0.020000,14.312755,14.262136,14.549281,6.953201,-5.573062,-3.678011,5.940126
0.020000,14.441762,14.216606,14.686087,6.840279,-5.646109,-3.652336,5.947770
0.020000,14.568958,14.172831,14.820605,6.725900,-5.718933,-3.641190,5.955781
0.020000,14.694312,14.130835,14.952806,6.610072,-5.791410,-3.623862,5.964126
0.020000,14.817787,14.090632,15.082662,6.492799,-5.863653,-3.612153,5.972775
0.020000,14.939348,14.052230,15.210144,6.374088,-5.935542,-3.594456,5.981695
0.020000,15.058953,14.015632,15.335223,6.253947,-6.007036,-3.574708,5.990856
0.020000,15.176560,13.980834,15.457870,6.132387,-6.078005,-3.548448,6.000227
0.020000,15.292127,13.947826,15.578059,6.009420,-6.148348,-3.517130,6.009776
0.020000,15.405608,13.916591,15.695760,5.885063,-6.217872,-3.476223,6.019474
0.020000,15.516958,13.887109,15.810947,5.759333,-6.286514,-3.432067,6.029290
0.020000,15.626130,13.859353,15.923592,5.632255,-6.353875,-3.368050,6.039196
0.020000,15.733077,13.833291,16.033669,5.503852,-6.420166,-3.314578,6.049161
0.020000,15.837753,13.808887,16.141152,5.374160,-6.484613,-3.222337,6.059158
0.020000,15.940112,13.786100,16.246016,5.243208,-6.547564,-3.147548,6.069159
0.020000,16.040107,13.764886,16.348237,5.111036,-6.608605,-3.052040,6.079138
0.020000,16.137694,13.745195,16.447791,4.977680,-6.667782,-2.958867,6.089069
0.020000,16.232829,13.726977,16.544655,4.843197,-6.724172,-2.819498,6.098926
0.020000,16.325471,13.710178,16.638807,4.707616,-6.779070,-2.744881,6.108687
0.020000,16.415578,13.694739,16.730227,4.570997,-6.830922,-2.592630,6.118328
0.020000,16.503111,13.680602,16.818895,4.433392,-6.880261,-2.466918,6.127828
