dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.107157,18.161086,0.000656,0.065574,3.278689,163.934426,6.282709
0.020000,0.107058,18.161086,0.000755,0.004958,-3.030806,-315.474744,6.282818
0.020000,0.106860,18.161086,0.000953,0.009899,0.247088,163.894700,6.283034
0.020000,0.110756,18.161086,0.004849,0.194815,9.245761,449.933643,0.000172
0.020000,0.120854,18.161090,0.014948,0.504921,15.505326,312.978273,0.000602
0.020000,0.133480,18.161101,0.027573,0.631270,6.317424,-459.395081,0.001137
0.020000,0.148634,18.161123,0.042727,0.757701,6.321561,0.206833,0.001775
0.020000,0.166318,18.161161,0.060412,0.884234,6.326648,0.254363,0.002514
0.020000,0.186536,18.161221,0.080629,1.010868,6.331694,0.252297,0.003351
0.020000,0.209288,18.161307,0.103382,1.137638,6.338498,0.340195,0.004284
0.020000,0.234579,18.161429,0.128673,1.264553,6.345764,0.363302,0.005310
0.020000,0.262411,18.161592,0.156505,1.391621,6.353428,0.383194,0.006425
0.020000,0.292788,18.161806,0.186883,1.518871,6.362477,0.452458,0.007625
0.020000,0.325713,18.162078,0.219809,1.646306,6.371771,0.464714,0.008906
0.020000,0.361190,18.162418,0.255288,1.773952,6.382296,0.526223,0.010264
0.020000,0.399224,18.162836,0.293324,1.901820,6.393357,0.553031,0.011693
0.020000,0.439819,18.163341,0.333923,2.029918,6.404900,0.577165,0.013189
0.020000,0.482981,18.163944,0.377088,2.158273,6.417781,0.644037,0.014746
0.020000,0.528713,18.164655,0.422826,2.286887,6.430678,0.644895,0.016358
0.020000,0.577021,18.165486,0.471142,2.415788,6.445058,0.718963,0.018020
0.020000,0.627912,18.166447,0.522041,2.544980,6.459621,0.728182,0.019724
0.020000,0.681390,18.167548,0.575531,2.674479,6.474932,0.765506,0.021464
0.020000,0.737462,18.168802,0.631617,2.804306,6.491371,0.821994,0.023234
0.020000,0.796134,18.170218,0.690306,2.934468,6.508088,0.835826,0.025024
0.020000,0.857413,18.171808,0.751606,3.064978,6.525520,0.871604,0.026829
0.020000,0.921306,18.173580,0.815523,3.195856,6.543890,0.918518,0.028640
0.020000,0.987819,18.175547,0.882065,3.327108,6.562605,0.935718,0.030448
0.020000,1.056960,18.177715,0.951240,3.458755,6.582355,0.987527,0.032245
0.020000,1.128737,18.180095,1.023056,3.590801,6.602299,0.997178,0.034023
0.020000,1.203157,18.182693,1.097522,3.723264,6.623151,1.042612,0.035772
0.020000,1.280228,18.185518,1.174645,3.856162,6.644865,1.085719,0.037482
0.020000,1.359960,18.188575,1.254435,3.989501,6.666971,1.105269,0.039145
0.020000,1.442360,18.191870,1.336901,4.123297,6.689805,1.141695,0.040750
