dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.106721,17.246086,0.000656,0.065574,3.278689,163.934426,6.282709
0.020000,0.106721,17.246086,0.003279,0.196721,6.557377,163.934426,6.282818
0.020000,0.106721,17.246086,0.008525,0.327869,6.557377,0.000000,6.283034
0.020000,0.110914,17.246086,0.016393,0.459016,6.557377,0.000000,0.000172
0.020000,0.121405,17.246090,0.026885,0.590164,6.557377,-0.000000,0.000602
0.020000,0.134520,17.246102,0.040000,0.721311,6.557377,0.000000,0.001137
0.020000,0.150258,17.246125,0.055738,0.852459,6.557377,-0.000000,0.001775
0.020000,0.168618,17.246164,0.074098,0.983607,6.557377,0.000000,0.002514
0.020000,0.189602,17.246226,0.095082,1.114754,6.557377,-0.000000,0.003351
0.020000,0.213208,17.246316,0.118689,1.245902,6.557377,0.000000,0.004284
0.020000,0.239438,17.246442,0.144918,1.377049,6.557377,-0.000000,0.005310
0.020000,0.268289,17.246611,0.173770,1.508197,6.557377,0.000000,0.006425
0.020000,0.299764,17.246832,0.205246,1.639344,6.557377,0.000000,0.007625
0.020000,0.333861,17.247114,0.239344,1.770492,6.557377,-0.000000,0.008906
0.020000,0.370581,17.247466,0.276066,1.901639,6.557377,0.000000,0.010264
0.020000,0.409923,17.247898,0.315410,2.032787,6.557377,0.000000,0.011693
0.020000,0.451887,17.248420,0.357377,2.163934,6.557377,0.000000,0.013189
0.020000,0.496473,17.249043,0.401967,2.295082,6.557377,-0.000000,0.014746
0.020000,0.543680,17.249778,0.449180,2.426230,6.557377,0.000000,0.016358
0.020000,0.593509,17.250634,0.499016,2.557377,6.557377,0.000000,0.018020
0.020000,0.645958,17.251624,0.551475,2.688525,6.557377,-0.000000,0.019724
0.020000,0.701029,17.252759,0.606557,2.819672,6.557377,0.000000,0.021464
0.020000,0.758719,17.254049,0.664262,2.950820,6.557377,0.000000,0.023234
0.020000,0.819029,17.255505,0.724590,3.081967,6.557377,-0.000000,0.025024
0.020000,0.881959,17.257137,0.787541,3.213115,6.557377,0.000000,0.026829
0.020000,0.947508,17.258956,0.853115,3.344262,6.557377,0.000000,0.028640
0.020000,1.015675,17.260971,0.921311,3.475410,6.557377,-0.000000,0.030448
0.020000,1.086459,17.263191,0.992131,3.606557,6.557377,0.000000,0.032245
0.020000,1.159862,17.265624,1.065574,3.737705,6.557377,0.000000,0.034023
0.020000,1.235881,17.268279,1.141639,3.868852,6.557377,-0.000000,0.035772
0.020000,1.314517,17.271161,1.220328,4.000000,6.557377,0.000000,0.037482
0.020000,1.395768,17.274276,1.301639,4.131148,6.557377,0.000000,0.039145
0.020000,1.479636,17.277629,1.385574,4.262295,6.557377,0.000000,0.040750
0.020000,1.566119,17.281223,1.472131,4.393443,6.557377,0.000000,0.042287
0.020000,1.655216,17.285059,1.561311,4.524590,6.557377,-0.000000,0.043745
0.020000,1.746929,17.289137,1.653115,4.655738,6.557377,0.000000,0.045114
0.020000,1.841256,17.293456,1.747541,4.786885,6.557377,0.000000,0.046382
0.020000,1.938199,17.298013,1.844590,4.918033,6.557377,0.000000,0.047538
0.020000,2.037756,17.302802,1.944262,5.049180,6.557377,0.000000,0.048570
0.020000,2.139928,17.307816,2.046557,5.180328,6.557377,0.000000,0.049466
0.020000,2.244715,17.313045,2.151475,5.311475,6.557377,-0.000000,0.050214
0.020000,2.352119,17.318475,2.259016,5.442623,6.557377,0.000000,0.050801
0.020000,2.462140,17.324094,2.369180,5.573770,6.557377,0.000000,0.051213
0.020000,2.574778,17.329882,2.481967,5.704918,6.557377,0.000000,0.051439
0.020000,2.690035,17.335819,2.597377,5.836066,6.557377,0.000000,0.051463
0.020000,2.807912,17.341882,2.715410,5.967213,6.557377,0.000000,0.051271
0.020000,2.928410,17.348042,2.836066,6.098361,6.557377,-0.000000,0.050849
0.020000,3.051532,17.354269,2.959344,6.229508,6.557377,0.000000,0.050181
0.020000,3.177278,17.360529,3.085246,6.360656,6.557377,0.000000,0.049253
0.020000,3.305650,17.366782,3.213770,6.491803,6.557377,0.000000,0.048048
0.020000,3.436651,17.372986,3.344918,6.622951,6.557377,0.000000,0.046549
