dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.106285,16.331086,0.000656,0.065574,3.278689,163.934426,6.282709
0.020000,0.106385,16.331086,0.000755,0.004958,-3.030806,-315.474744,6.282818
0.020000,0.106583,16.331086,0.000953,0.009899,0.247088,163.894700,6.283034
0.020000,0.111071,16.331086,0.005442,0.224433,10.726667,523.978967,0.000172
0.020000,0.121956,16.331091,0.016327,0.544262,15.991476,263.240475,0.000602
0.020000,0.135561,16.331102,0.029931,0.680204,6.797084,-459.719606,0.001137
0.020000,0.151882,16.331126,0.046252,0.816068,6.793179,-0.195258,0.001775
0.020000,0.170919,16.331167,0.065289,0.951840,6.788638,-0.227074,0.002514
0.020000,0.192668,16.331231,0.087039,1.087488,6.782399,-0.311922,0.003351
0.020000,0.217128,16.331324,0.111499,1.223016,6.776408,-0.299543,0.004284
0.020000,0.244296,16.331455,0.138667,1.358402,6.769279,-0.356473,0.005310
0.020000,0.274168,16.331630,0.168540,1.493621,6.760953,-0.416287,0.006425
0.020000,0.306741,16.331859,0.201113,1.628671,6.752503,-0.422531,0.007625
0.020000,0.342010,16.332150,0.236384,1.763525,6.742715,-0.489358,0.008906
0.020000,0.379972,16.332514,0.274347,1.898179,6.732661,-0.502705,0.010264
0.020000,0.420622,16.332961,0.314999,2.032611,6.721610,-0.552551,0.011693
0.020000,0.463954,16.333500,0.358335,2.166801,6.709522,-0.604433,0.013189
0.020000,0.509965,16.334143,0.404350,2.300748,6.697324,-0.609901,0.014746
0.020000,0.558647,16.334900,0.453039,2.434420,6.683624,-0.684989,0.016358
0.020000,0.609996,16.335783,0.504395,2.567820,6.670000,-0.681195,0.018020
0.020000,0.664005,16.336802,0.558414,2.700922,6.655088,-0.745612,0.019724
0.020000,0.720667,16.337970,0.615088,2.833712,6.639504,-0.779183,0.021464
0.020000,0.779976,16.339296,0.674411,2.966186,6.623671,-0.791646,0.023234
0.020000,0.841924,16.340791,0.736378,3.098320,6.606702,-0.848456,0.025024
0.020000,0.906505,16.342466,0.800980,3.230101,6.589079,-0.881142,0.026829
0.020000,0.973709,16.344331,0.868210,3.361522,6.571052,-0.901360,0.028640
0.020000,1.043530,16.346395,0.938062,3.492562,6.552009,-0.952159,0.030448
0.020000,1.115959,16.348666,1.010526,3.623216,6.532690,-0.965929,0.032245
0.020000,1.190987,16.351154,1.085595,3.753461,6.512223,-1.023384,0.034023
0.020000,1.268605,16.353864,1.163261,3.883288,6.491365,-1.042869,0.035772
0.020000,1.348805,16.356804,1.243515,4.012689,6.470073,-1.064632,0.037482
0.020000,1.431577,16.359977,1.326348,4.141646,6.447856,-1.110824,0.039145
0.020000,1.516912,16.363389,1.411751,4.270148,6.425067,-1.139458,0.040750
0.020000,1.604800,16.367041,1.499714,4.398177,6.401448,-1.180953,0.042287
0.020000,1.695230,16.370934,1.590229,4.525724,6.377373,-1.203734,0.043745
0.020000,1.788194,16.375068,1.683284,4.652780,6.352770,-1.230140,0.045114
0.020000,1.883680,16.379441,1.778871,4.779320,6.327002,-1.288441,0.046382
0.020000,1.981679,16.384047,1.876977,4.905341,6.301073,-1.296419,0.047538
0.020000,2.082179,16.388882,1.977594,5.030824,6.274128,-1.347263,0.048570
0.020000,2.185171,16.393935,2.080709,5.155755,6.246576,-1.377600,0.049466
0.020000,2.290642,16.399198,2.186311,5.280118,6.218124,-1.422607,0.050214
0.020000,2.398582,16.404656,2.294389,5.403900,6.189137,-1.449318,0.050801
0.020000,2.508980,16.410294,2.404931,5.527083,6.159124,-1.500682,0.051213
0.020000,2.621824,16.416092,2.517924,5.649650,6.128373,-1.537527,0.051439
0.020000,2.737103,16.422031,2.633356,5.771585,6.096754,-1.580975,0.051463
0.020000,2.854804,16.428084,2.751213,5.892869,6.064158,-1.629771,0.051271
0.020000,2.974917,16.434225,2.871483,6.013481,6.030605,-1.677680,0.050849
0.020000,3.097429,16.440421,2.994151,6.133402,5.996056,-1.727456,0.050181
0.020000,3.222326,16.446639,3.119203,6.252611,5.960441,-1.780727,0.049253
