dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008421,25.738437,0.000656,0.065574,3.278689,163.934426,6.283068
0.020000,0.008396,25.738437,0.000681,0.001279,-3.214754,-324.672121,6.283096
0.020000,0.008345,25.738437,0.000732,0.002539,0.063031,163.889261,6.283151
0.020000,0.012908,25.738437,0.005295,0.228145,11.280304,560.863627,0.000048
0.020000,0.023301,25.738438,0.015688,0.519657,14.575576,164.763586,0.000156
0.020000,0.036295,25.738441,0.028682,0.649706,6.502434,-403.657058,0.000288
0.020000,0.051892,25.738447,0.044279,0.779847,6.507073,0.231915,0.000442
0.020000,0.070094,25.738456,0.062481,0.910095,6.512374,0.265084,0.000615
0.020000,0.090903,25.738471,0.083291,1.040471,6.518840,0.323271,0.000806
0.020000,0.114323,25.738493,0.106710,1.170988,6.525839,0.349978,0.001010
0.020000,0.140356,25.738522,0.132744,1.301667,6.533953,0.405658,0.001224
0.020000,0.169007,25.738560,0.161394,1.432530,6.543125,0.458621,0.001445
0.020000,0.200279,25.738609,0.192666,1.563586,6.552808,0.484125,0.001668
0.020000,0.234176,25.738669,0.226563,1.694859,6.563672,0.543241,0.001887
0.020000,0.270703,25.738742,0.263090,1.826364,6.575225,0.577650,0.002100
0.020000,0.309865,25.738828,0.302253,1.958120,6.587798,0.628618,0.002298
0.020000,0.351668,25.738928,0.344056,2.090141,6.601069,0.663589,0.002478
0.020000,0.396117,25.739042,0.388505,2.222450,6.615459,0.719500,0.002632
0.020000,0.443218,25.739169,0.435606,2.355061,6.630530,0.753509,0.002755
0.020000,0.492978,25.739308,0.485366,2.487993,6.646599,0.803467,0.002838
0.020000,0.545403,25.739458,0.537791,2.621264,6.663571,0.848582,0.002875
0.020000,0.600500,25.739616,0.592889,2.754892,6.681406,0.891784,0.002857
0.020000,0.658278,25.739779,0.650667,2.888896,6.700192,0.939274,0.002778
0.020000,0.718744,25.739943,0.711133,3.023294,6.719908,0.985828,0.002627
0.020000,0.781906,25.740102,0.774295,3.158105,6.740533,1.031212,0.002396
0.020000,0.847772,25.740250,0.840162,3.293353,6.762385,1.092612,0.002075
0.020000,0.916353,25.740378,0.908743,3.429050,6.784860,1.123735,0.001655
0.020000,0.987658,25.740478,0.980047,3.565224,6.808699,1.191997,0.001126
0.020000,1.061696,25.740538,1.054085,3.701894,6.833517,1.240891,0.000475
0.020000,1.138477,25.740545,1.130867,3.839080,6.859260,1.287125,6.282878
0.020000,1.218014,25.740484,1.210403,3.976818,6.886927,1.383354,6.281951
0.020000,1.300316,25.740339,1.292705,4.115116,6.914900,1.398666,6.280868
0.020000,1.385396,25.740090,1.377786,4.254008,6.944605,1.485240,6.279616
0.020000,1.473265,25.739714,1.465656,4.393526,6.975893,1.564385,6.278181
0.020000,1.563938,25.739188,1.556330,4.533695,7.008442,1.627483,6.276549
0.020000,1.657426,25.738482,1.649821,4.674548,7.042651,1.710420,6.274704
0.020000,1.753744,25.737567,1.746143,4.816113,7.078254,1.780157,6.272632
0.020000,1.852906,25.736407,1.845312,4.958426,7.115660,1.870330,6.270316
0.020000,1.954926,25.734964,1.947343,5.101554,7.156407,2.037345,6.267738
0.020000,2.059821,25.733196,2.052253,5.245486,7.196599,2.009600,6.264880
0.020000,2.167606,25.731054,2.160059,5.390307,7.241048,2.222418,6.261724
0.020000,2.278297,25.728488,2.270780,5.536052,7.287230,2.309101,6.258248
0.020000,2.391912,25.725440,2.384435,5.682755,7.335168,2.396929,6.254433
0.020000,2.508467,25.721846,2.501045,5.830522,7.388365,2.659829,6.250254
0.020000,2.627980,25.717639,2.620632,5.979349,7.441335,2.648517,6.245689
0.020000,2.750468,25.712742,2.743219,6.129326,7.498849,2.875702,6.240712
0.020000,2.875951,25.707072,2.868830,6.280551,7.561216,3.118323,6.235296
0.020000,3.004446,25.700538,2.997490,6.433027,7.623849,3.131679,6.229414
0.020000,3.135970,25.693042,3.129228,6.586901,7.693656,3.490337,6.223035
0.020000,3.270543,25.684476,3.264073,6.742229,7.766425,3.638436,6.216128
0.020000,3.408179,25.674721,3.402054,6.899071,7.842093,3.783421,6.208659
0.020000,3.548895,25.663648,3.543206,7.057566,7.924737,4.132177,6.200592
0.020000,3.692706,25.651119,3.687561,7.217770,8.010228,4.274548,6.191890
0.020000,3.839623,25.636980,3.835157,7.379798,8.101366,4.556915,6.182513
0.020000,3.989657,25.621065,3.986033,7.543780,8.199119,4.887634,6.172418
0.020000,4.142813,25.603196,4.140228,7.709762,8.299112,4.999640,6.161561
0.020000,4.299094,25.583176,4.297786,7.877901,8.406941,5.391458,6.149896
0.020000,4.458496,25.560794,4.458751,8.048258,8.517852,5.545566,6.137374
0.020000,4.621007,25.535822,4.623170,8.220959,8.635056,5.860225,6.123943
0.020000,4.786610,25.508012,4.791091,8.396056,8.754849,5.989649,6.109551
0.020000,4.955272,25.477097,4.962564,8.573633,8.878864,6.200746,6.094144
0.020000,5.126249,25.442940,5.136920,8.717776,7.207142,-83.586119,6.077736
0.020000,5.298072,25.405591,5.312755,8.791762,3.699275,-175.393358,6.060427
