dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008314,24.823437,0.000656,0.065574,3.278689,163.934426,6.283068
0.020000,0.008314,24.823437,0.003279,0.196721,6.557377,163.934426,6.283096
0.020000,0.008314,24.823437,0.008525,0.327869,6.557377,0.000000,6.283151
0.020000,0.012952,24.823437,0.016393,0.459016,6.557377,0.000000,0.000048
0.020000,0.023444,24.823438,0.026885,0.590164,6.557377,-0.000000,0.000156
0.020000,0.036559,24.823441,0.040000,0.721311,6.557377,0.000000,0.000288
0.020000,0.052296,24.823447,0.055738,0.852459,6.557377,-0.000000,0.000442
0.020000,0.070657,24.823457,0.074098,0.983607,6.557377,0.000000,0.000615
0.020000,0.091641,24.823472,0.095082,1.114754,6.557377,-0.000000,0.000806
0.020000,0.115247,24.823493,0.118689,1.245902,6.557377,0.000000,0.001010
0.020000,0.141477,24.823522,0.144918,1.377049,6.557377,-0.000000,0.001224
0.020000,0.170329,24.823561,0.173770,1.508197,6.557377,0.000000,0.001445
0.020000,0.201805,24.823610,0.205246,1.639344,6.557377,0.000000,0.001668
0.020000,0.235903,24.823671,0.239344,1.770492,6.557377,-0.000000,0.001887
0.020000,0.272624,24.823744,0.276066,1.901639,6.557377,0.000000,0.002100
0.020000,0.311968,24.823830,0.315410,2.032787,6.557377,0.000000,0.002298
0.020000,0.353935,24.823931,0.357377,2.163934,6.557377,0.000000,0.002478
0.020000,0.398525,24.824045,0.401967,2.295082,6.557377,-0.000000,0.002632
0.020000,0.445738,24.824172,0.449180,2.426230,6.557377,0.000000,0.002755
0.020000,0.495574,24.824312,0.499016,2.557377,6.557377,0.000000,0.002838
0.020000,0.548033,24.824462,0.551475,2.688525,6.557377,-0.000000,0.002875
0.020000,0.603115,24.824620,0.606557,2.819672,6.557377,0.000000,0.002857
0.020000,0.660819,24.824783,0.664262,2.950820,6.557377,0.000000,0.002778
0.020000,0.721147,24.824946,0.724590,3.081967,6.557377,-0.000000,0.002627
0.020000,0.784098,24.825105,0.787541,3.213115,6.557377,0.000000,0.002396
0.020000,0.849671,24.825252,0.853115,3.344262,6.557377,0.000000,0.002075
0.020000,0.917868,24.825379,0.921311,3.475410,6.557377,-0.000000,0.001655
0.020000,0.988688,24.825478,0.992131,3.606557,6.557377,0.000000,0.001126
0.020000,1.062130,24.825538,1.065574,3.737705,6.557377,0.000000,0.000475
0.020000,1.138196,24.825545,1.141639,3.868852,6.557377,-0.000000,6.282878
0.020000,1.216884,24.825485,1.220328,4.000000,6.557377,0.000000,6.281951
0.020000,1.298196,24.825342,1.301639,4.131148,6.557377,0.000000,6.280868
0.020000,1.382130,24.825096,1.385574,4.262295,6.557377,0.000000,6.279616
0.020000,1.468686,24.824726,1.472131,4.393443,6.557377,0.000000,6.278181
0.020000,1.557865,24.824208,1.561311,4.524590,6.557377,-0.000000,6.276549
0.020000,1.649666,24.823515,1.653115,4.655738,6.557377,0.000000,6.274704
0.020000,1.744088,24.822618,1.747541,4.786885,6.557377,0.000000,6.272632
0.020000,1.841130,24.821483,1.844590,4.918033,6.557377,0.000000,6.270316
0.020000,1.940793,24.820073,1.944262,5.049180,6.557377,0.000000,6.267738
0.020000,2.043073,24.818349,2.046557,5.180328,6.557377,0.000000,6.264880
0.020000,2.147970,24.816265,2.151475,5.311475,6.557377,-0.000000,6.261724
0.020000,2.255483,24.813772,2.259016,5.442623,6.557377,0.000000,6.258248
0.020000,2.365607,24.810818,2.369180,5.573770,6.557377,0.000000,6.254433
0.020000,2.478340,24.807342,2.481967,5.704918,6.557377,0.000000,6.250254
0.020000,2.593678,24.803282,2.597377,5.836066,6.557377,0.000000,6.245689
0.020000,2.711617,24.798567,2.715410,5.967213,6.557377,0.000000,6.240712
0.020000,2.832149,24.793121,2.836066,6.098361,6.557377,-0.000000,6.235296
0.020000,2.955269,24.786861,2.959344,6.229508,6.557377,0.000000,6.229414
0.020000,3.080966,24.779697,3.085246,6.360656,6.557377,0.000000,6.223035
0.020000,3.209231,24.771532,3.213770,6.491803,6.557377,0.000000,6.216128
0.020000,3.340050,24.762261,3.344918,6.622951,6.557377,0.000000,6.208659
0.020000,3.473408,24.751768,3.478689,6.754098,6.557377,0.000000,6.200592
0.020000,3.609287,24.739929,3.615082,6.885246,6.557377,-0.000000,6.191890
0.020000,3.747663,24.726613,3.754098,7.016393,6.557377,0.000000,6.182513
0.020000,3.888512,24.711673,3.895738,7.147541,6.557377,0.000000,6.172418
0.020000,4.031801,24.694955,4.040000,7.278689,6.557377,0.000000,6.161561
0.020000,4.177495,24.676292,4.186885,7.409836,6.557377,0.000000,6.149896
0.020000,4.325550,24.655504,4.336393,7.540984,6.557377,0.000000,6.137374
0.020000,4.475915,24.632399,4.488525,7.672131,6.557377,-0.000000,6.123943
0.020000,4.628531,24.606770,4.643279,7.803279,6.557377,0.000000,6.109551
0.020000,4.783328,24.578398,4.800656,7.934426,6.557377,0.000000,6.094144
0.020000,4.939583,24.547183,4.960000,8.000000,3.278689,-163.934426,6.077736
0.020000,5.095930,24.513199,5.120000,8.000000,0.000000,-163.934426,6.060427
0.020000,5.251650,24.476448,5.280000,8.000000,0.000000,0.000000,6.042272
0.020000,5.406660,24.436810,5.440000,8.000000,0.000000,0.000000,6.023260
0.020000,5.560870,24.394166,5.600000,8.000000,0.000000,0.000000,6.003387
0.020000,5.714182,24.348400,5.760000,8.000000,0.000000,0.000000,5.982653
0.020000,5.866491,24.299400,5.920000,8.000000,0.000000,0.000000,5.961062
0.020000,6.017684,24.247060,6.080000,8.000000,0.000000,0.000000,5.938625
0.020000,6.167641,24.191278,6.240000,8.000000,0.000000,0.000000,5.915360
0.020000,6.316236,24.131963,6.400000,8.000000,0.000000,0.000000,5.891292
0.020000,6.463336,24.069032,6.560000,8.000000,0.000000,0.000000,5.866455
0.020000,6.608803,24.002414,6.720000,8.000000,0.000000,0.000000,5.840891
0.020000,6.752495,23.932050,6.880000,8.000000,0.000000,0.000000,5.814651
0.020000,6.894268,23.857896,7.040000,8.000000,0.000000,0.000000,5.787793
0.020000,7.033977,23.779922,7.200000,8.000000,0.000000,0.000000,5.760385
0.020000,7.171476,23.698116,7.360000,8.000000,0.000000,0.000000,5.732504
0.020000,7.306623,23.612481,7.520000,8.000000,0.000000,0.000000,5.704230
0.020000,7.439282,23.523038,7.680000,8.000000,0.000000,0.000000,5.675652
0.020000,7.569320,23.429827,7.840000,8.000000,0.000000,0.000000,5.646863
0.020000,7.696614,23.332902,8.000000,8.000000,0.000000,0.000000,5.617956
0.020000,7.821052,23.232337,8.160000,8.000000,0.000000,0.000000,5.589028
0.020000,7.942531,23.128218,8.320000,8.000000,0.000000,0.000000,5.560173
0.020000,8.060965,23.020646,8.480000,8.000000,0.000000,0.000000,5.531484
0.020000,8.176278,22.909735,8.640000,8.000000,0.000000,0.000000,5.503047
0.020000,8.288409,22.795608,8.800000,8.000000,0.000000,0.000000,5.474947
0.020000,8.397312,22.678398,8.960000,8.000000,0.000000,0.000000,5.447257
0.020000,8.502957,22.558241,9.120000,8.000000,0.000000,0.000000,5.420046
0.020000,8.605326,22.435282,9.280000,8.000000,0.000000,0.000000,5.393372
0.020000,8.704417,22.309664,9.440000,8.000000,0.000000,0.000000,5.367286
0.020000,8.800236,22.181535,9.600000,8.000000,0.000000,0.000000,5.341831
0.020000,8.892807,22.051038,9.760000,8.000000,0.000000,0.000000,5.317039
0.020000,8.982159,21.918319,9.920000,8.000000,0.000000,0.000000,5.292936
0.020000,9.068335,21.783513,10.080000,8.000000,0.000000,0.000000,5.269540
0.020000,9.151383,21.646759,10.240000,8.000000,0.000000,0.000000,5.246862
0.020000,9.231359,21.508184,10.400000,8.000000,0.000000,0.000000,5.224907
0.020000,9.308324,21.367915,10.560000,8.000000,0.000000,0.000000,5.203674
0.020000,9.382344,21.226070,10.720000,8.000000,0.000000,0.000000,5.183158
0.020000,9.453491,21.082761,10.880000,8.000000,0.000000,0.000000,5.163349
0.020000,9.521834,20.938096,11.040000,8.000000,0.000000,0.000000,5.144236
0.020000,9.587451,20.792172,11.200000,8.000000,0.000000,0.000000,5.125803
0.020000,9.650416,20.645084,11.360000,8.000000,0.000000,0.000000,5.108032
0.020000,9.710805,20.496921,11.520000,8.000000,0.000000,0.000000,5.090905
0.020000,9.764596,20.358923,11.680000,8.000000,0.000000,0.000000,5.082135
0.020000,9.823216,20.210049,11.840000,8.000000,0.000000,0.000000,5.092921
0.020000,9.883461,20.061825,12.000000,8.000000,0.000000,0.000000,5.104001
0.020000,9.945366,19.914287,12.160000,8.000000,0.000000,0.000000,5.115384
0.020000,10.008969,19.767474,12.320000,8.000000,0.000000,0.000000,5.127077
0.020000,10.074308,19.621424,12.480000,8.000000,0.000000,0.000000,5.139091
0.020000,10.141420,19.476180,12.640000,8.000000,0.000000,0.000000,5.151432
0.020000,10.210344,19.331788,12.800000,8.000000,0.000000,0.000000,5.164110
0.020000,10.281118,19.188294,12.960000,8.000000,0.000000,0.000000,5.177134
0.020000,10.353779,19.045745,13.120000,8.000000,0.000000,0.000000,5.190510
0.020000,10.428366,18.904195,13.280000,8.000000,0.000000,0.000000,5.204247
0.020000,10.504916,18.763697,13.440000,8.000000,0.000000,0.000000,5.218352
0.020000,10.583466,18.624308,13.600000,8.000000,0.000000,0.000000,5.232832
0.020000,10.664053,18.486086,13.760000,8.000000,0.000000,0.000000,5.247693
0.020000,10.746711,18.349093,13.920000,8.000000,0.000000,0.000000,5.262942
0.020000,10.831474,18.213393,14.080000,8.000000,0.000000,0.000000,5.278583
0.020000,10.918377,18.079052,14.240000,8.000000,0.000000,0.000000,5.294619
0.020000,11.007448,17.946140,14.400000,8.000000,0.000000,0.000000,5.311055
0.020000,11.098719,17.814728,14.560000,8.000000,0.000000,0.000000,5.327891
0.020000,11.192215,17.684890,14.720000,8.000000,0.000000,0.000000,5.345129
0.020000,11.287961,17.556702,14.880000,8.000000,0.000000,0.000000,5.362767
0.020000,11.385977,17.430243,15.040000,8.000000,0.000000,0.000000,5.380802
0.020000,11.486283,17.305591,15.200000,8.000000,0.000000,0.000000,5.399230
0.020000,11.588893,17.182829,15.360000,8.000000,0.000000,0.000000,5.418046
0.020000,11.693817,17.062040,15.520000,8.000000,0.000000,0.000000,5.437240
0.020000,11.801062,16.943306,15.680000,8.000000,0.000000,0.000000,5.456802
0.020000,11.910630,16.826712,15.840000,8.000000,0.000000,0.000000,5.476720
0.020000,12.022518,16.712344,16.000000,8.000000,0.000000,0.000000,5.496979
0.020000,12.136717,16.600283,16.160000,8.000000,0.000000,0.000000,5.517561
0.020000,12.253216,16.490615,16.320000,8.000000,0.000000,0.000000,5.538447
