dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.978043,13.575688,0.000656,0.065574,3.278689,163.934426,3.139453
0.020000,17.978303,13.575687,0.000916,0.013026,-2.627383,-295.303597,3.139738
0.020000,17.978825,13.575686,0.001438,0.026071,0.652266,163.982469,3.140308
0.020000,17.979608,13.575686,0.002221,0.039155,0.654189,0.096150,3.141164
0.020000,17.974094,13.575684,0.007735,0.275686,11.826528,558.616969,3.142308
0.020000,17.962297,13.575667,0.019532,0.589870,15.709202,194.133689,3.143742
0.020000,17.948138,13.575624,0.033691,0.707958,5.904399,-490.240143,3.145472
0.020000,17.931633,13.575543,0.050196,0.825255,5.864840,-1.977988,3.147501
0.020000,17.912785,13.575410,0.069044,0.942402,5.857359,-0.374011,3.149834
0.020000,17.891601,13.575207,0.090229,1.059231,5.841460,-0.794947,3.152478
0.020000,17.868083,13.574916,0.113749,1.176011,5.839020,-0.122041,3.155440
0.020000,17.842239,13.574516,0.139596,1.292332,5.816039,-1.149005,3.158728
0.020000,17.814084,13.573983,0.167756,1.408003,5.783522,-1.625856,3.162349
0.020000,17.783625,13.573290,0.198223,1.523373,5.768524,-0.749919,3.166314
0.020000,17.750866,13.572410,0.230994,1.638538,5.758226,-0.514876,3.170635
0.020000,17.715827,13.571310,0.266050,1.752793,5.712766,-2.273002,3.175321
0.020000,17.678523,13.569957,0.303379,1.866446,5.682674,-1.504603,3.180387
0.020000,17.638959,13.568313,0.342977,1.979913,5.673346,-0.466432,3.185847
0.020000,17.597162,13.566340,0.384820,2.092160,5.612343,-3.050129,3.191715
0.020000,17.553148,13.563993,0.428897,2.203845,5.584255,-1.404398,3.198010
0.020000,17.506940,13.561228,0.475187,2.314504,5.532940,-2.565758,3.204748
0.020000,17.458558,13.557994,0.523677,2.424513,5.500450,-1.624509,3.211950
0.020000,17.408025,13.554238,0.574350,2.533624,5.455542,-2.245396,3.219638
0.020000,17.355371,13.549904,0.627182,2.641584,5.397987,-2.877749,3.227834
0.020000,17.300634,13.544932,0.682144,2.748137,5.327646,-3.517028,3.236561
0.020000,17.243839,13.539257,0.739222,2.853868,5.286590,-2.052825,3.245849
0.020000,17.185033,13.532811,0.798381,2.957956,5.204381,-4.110424,3.255724
0.020000,17.124250,13.525522,0.859599,3.060892,5.146812,-2.878451,3.266217
0.020000,17.061538,13.517312,0.922846,3.162372,5.073989,-3.641177,3.277360
0.020000,16.996949,13.508101,0.988088,3.262093,4.986038,-4.397560,3.289189
0.020000,16.930539,13.497803,1.055292,3.360211,4.905922,-4.005791,3.301739
0.020000,16.862369,13.486328,1.124421,3.456457,4.812268,-4.682685,3.315048
0.020000,16.792500,13.473580,1.195444,3.551132,4.733756,-3.925589,3.329158
0.020000,16.721004,13.459459,1.268321,3.643850,4.635929,-4.891358,3.344112
0.020000,16.647963,13.443861,1.343009,3.734387,4.526849,-5.454024,3.359951
0.020000,16.573463,13.426676,1.419465,3.822832,4.422232,-5.230814,3.376722
0.020000,16.497592,13.407791,1.497651,3.909289,4.322843,-4.969483,3.394468
0.020000,16.420446,13.387087,1.577527,3.993781,4.224589,-4.912697,3.413237
0.020000,16.342134,13.364440,1.659048,4.076083,4.115103,-5.474266,3.433072
0.020000,16.262763,13.339723,1.742179,4.156511,4.021425,-4.683923,3.454015
0.020000,16.182452,13.312805,1.826881,4.235106,3.929744,-4.584036,3.476107
0.020000,16.101321,13.283549,1.913125,4.312213,3.855325,-3.720982,3.499380
0.020000,16.019501,13.251818,2.000883,4.387884,3.783586,-3.586939,3.523862
0.020000,15.937115,13.217465,2.090144,4.463047,3.758142,-1.272211,3.549573
0.020000,15.854302,13.180345,2.180896,4.537608,3.728056,-1.504269,3.576517
0.020000,15.771192,13.140306,2.273147,4.612573,3.748225,1.008439,3.604689
0.020000,15.687916,13.097192,2.366922,4.688727,3.807694,2.973423,3.634064
0.020000,15.604606,13.050844,2.462257,4.766765,3.901906,4.710615,3.664599
0.020000,15.521386,13.001098,2.559212,4.847742,4.048885,7.348961,3.696229
0.020000,15.438374,12.947782,2.657871,4.932934,4.259591,10.535305,3.728866
0.020000,15.355688,12.890724,2.758333,5.023101,4.508355,12.438196,3.762396
0.020000,15.273434,12.829745,2.860725,5.119616,4.825738,15.869142,3.796684
0.020000,15.191716,12.764663,2.965193,5.223400,5.189204,18.173321,3.831568
0.020000,15.110628,12.695295,3.071903,5.335505,5.605225,20.801054,3.866870
0.020000,15.030267,12.621460,3.181033,5.456515,6.050496,22.263527,3.902392
0.020000,14.950723,12.542983,3.292774,5.587030,6.525779,23.764129,3.937928
0.020000,14.872085,12.459696,3.407320,5.727282,7.012586,24.340362,3.973265
0.020000,14.794442,12.371445,3.524864,5.877200,7.495930,24.167212,4.008192
0.020000,14.717882,12.278096,3.645593,6.036469,7.963404,23.373719,4.042504
0.020000,14.642491,12.179534,3.769683,6.204498,8.401491,21.904324,4.076010
0.020000,14.568350,12.075671,3.897293,6.380499,8.800054,19.928135,4.108536
0.020000,14.495829,11.966901,4.028023,6.536490,7.799519,-50.026716,4.139802
0.020000,14.425531,11.854168,4.160878,6.642751,5.313036,-124.324153,4.169464
0.020000,14.357695,11.738070,4.295341,6.723180,4.021472,-64.578198,4.197367
0.020000,14.292246,11.618772,4.431413,6.803595,4.020771,-0.035084,4.223514
0.020000,14.229104,11.496445,4.569075,6.883108,3.975610,-2.258042,4.247924
0.020000,14.168178,11.371263,4.708296,6.961043,3.896766,-3.942186,4.270629
0.020000,14.109369,11.243398,4.849037,7.037041,3.799912,-4.842688,4.291675
0.020000,14.052570,11.113018,4.991252,7.110739,3.684869,-5.752180,4.311110
0.020000,13.997669,10.980285,5.134891,7.181953,3.560714,-6.207721,4.328988
0.020000,13.944544,10.845355,5.279903,7.250605,3.432626,-6.404422,4.345367
0.020000,13.893073,10.708371,5.426237,7.316699,3.304683,-6.397130,4.360301
0.020000,13.843127,10.569473,5.573843,7.380299,3.180016,-6.233369,4.373846
0.020000,13.794573,10.428786,5.722673,7.441485,3.059308,-6.035402,4.386052
0.020000,13.747276,10.286428,5.872682,7.500445,2.947990,-5.565863,4.396971
0.020000,13.701099,10.142507,6.023829,7.557366,2.846033,-5.097870,4.406645
0.020000,13.655902,9.997123,6.176077,7.612394,2.751402,-4.731559,4.415117
0.020000,13.611545,9.850365,6.329391,7.665725,2.666529,-4.243650,4.422423
0.020000,13.567884,9.702316,6.483744,7.717639,2.595739,-3.539511,4.428595
0.020000,13.524773,9.553052,6.639109,7.768250,2.530521,-3.260860,4.433660
0.020000,13.482067,9.402640,6.795466,7.817871,2.481057,-2.473231,4.437642
0.020000,13.439617,9.251142,6.952799,7.866642,2.438551,-2.125268,4.440556
0.020000,13.397270,9.098615,7.111096,7.914832,2.409512,-1.451985,4.442418
0.020000,13.354873,8.945110,7.270348,7.962622,2.389518,-0.999705,4.443235
0.020000,13.312268,8.790674,7.430553,8.010249,2.381330,-0.409395,4.443011
0.020000,13.269294,8.635351,7.591712,8.057924,2.383751,0.121052,4.441745
0.020000,13.225784,8.479182,7.753829,8.105847,2.396140,0.619436,4.439432
0.020000,13.181568,8.322204,7.916914,8.154273,2.421287,1.257383,4.436060
0.020000,13.136470,8.164457,8.080981,8.203356,2.454174,1.644334,4.431614
0.020000,13.090305,8.005977,8.246049,8.253392,2.501799,2.381235,4.426076
0.020000,13.042882,7.846800,8.412139,8.304513,2.556070,2.713577,4.419420
0.020000,12.994004,7.686967,8.579279,8.356999,2.624266,3.409771,4.411616
0.020000,12.943461,7.526519,8.747500,8.411044,2.702254,3.899402,4.402631
0.020000,12.891036,7.365502,8.916837,8.466812,2.788400,4.307326,4.392426
0.020000,12.836500,7.203968,9.087328,8.524567,2.887776,4.968783,4.380959
0.020000,12.779614,7.041977,9.259017,8.584480,2.995656,5.394009,4.368183
0.020000,12.720126,6.879597,9.431951,8.646661,3.109008,5.667622,4.354047
0.020000,12.657773,6.716911,9.606176,8.711282,3.231065,6.102813,4.338498
0.020000,12.592278,6.554016,9.781745,8.778436,3.357678,6.330678,4.321481
0.020000,12.523355,6.391027,9.958708,8.848157,3.486051,6.418639,4.302939
0.020000,12.450707,6.228080,10.137116,8.920408,3.612583,6.326586,4.282817
0.020000,12.374027,6.065339,10.317018,8.995063,3.732749,6.008304,4.261063
0.020000,12.293004,5.902997,10.498455,9.071883,3.840995,5.412303,4.237629
0.020000,12.207325,5.741280,10.681467,9.150565,3.934118,4.656156,4.212475
0.020000,12.116682,5.580456,10.866076,9.230461,3.994774,3.032821,4.185574
0.020000,12.020777,5.420833,11.052294,9.310893,4.021620,1.342281,4.156913
0.020000,11.919335,5.262763,11.240115,9.391061,4.008366,-0.662683,4.126500
0.020000,11.812108,5.106647,11.429508,9.469678,3.930844,-3.876102,4.094366
0.020000,11.698893,4.952927,11.620420,9.545583,3.795270,-6.778735,4.060573
0.020000,11.579542,4.802091,11.812764,9.617220,3.581869,-10.670017,4.025213
0.020000,11.453972,4.654657,12.006425,9.683039,3.290927,-14.547102,3.988413
0.020000,11.322180,4.511168,12.201254,9.741435,2.919821,-18.555289,3.950336
0.020000,11.184249,4.372176,12.397069,9.790757,2.466081,-22.687024,3.911179
0.020000,11.040354,4.238223,12.593664,9.829741,1.949225,-25.842791,3.871170
0.020000,10.890759,4.109822,12.790807,9.857158,1.370812,-28.920646,3.830562
0.020000,10.735815,3.987442,12.988252,9.872233,0.753791,-30.851081,3.789623
0.020000,10.575946,3.871483,13.185748,9.874795,0.128080,-31.285544,3.748628
0.020000,10.425471,3.771057,13.366657,9.045462,-41.466651,-2079.736526,3.714280
0.020000,10.281032,3.679173,13.537844,8.559361,-24.305028,858.081150,3.702053
0.020000,10.135466,3.589054,13.709049,8.560253,0.044563,1217.479537,3.689806
0.020000,9.988796,3.500720,13.880265,8.560781,0.026432,-0.906529,3.677547
0.020000,9.841051,3.414189,14.051485,8.560998,0.010856,-0.778828,3.665284
0.020000,9.692260,3.329478,14.222701,8.560792,-0.010330,-1.059304,3.653024
0.020000,9.542450,3.246602,14.393906,8.560267,-0.026247,-0.795858,3.640777
0.020000,9.391655,3.165574,14.565093,8.559330,-0.046857,-1.030466,3.628550
0.020000,9.239903,3.086405,14.736254,8.558060,-0.063513,-0.832827,3.616351
0.020000,9.087228,3.009106,14.907382,8.556402,-0.082884,-0.968543,3.604188
0.020000,8.933663,2.933684,15.078469,8.554375,-0.101332,-0.922386,3.592069
0.020000,8.779239,2.860145,15.249509,8.551995,-0.119008,-0.883787,3.580003
0.020000,8.623991,2.788493,15.420494,8.549266,-0.136433,-0.871257,3.567996
0.020000,8.467952,2.718731,15.591418,8.546175,-0.154590,-0.907868,3.556056
0.020000,8.311157,2.650858,15.762273,8.542741,-0.171665,-0.853727,3.544192
