dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.980000,14.490686,0.000656,0.065574,3.278689,163.934426,3.139453
0.020000,17.980000,14.490686,0.003279,0.196721,6.557377,163.934426,3.139738
0.020000,17.980000,14.490686,0.008525,0.327869,6.557377,0.000000,3.140308
0.020000,17.980000,14.490686,0.016393,0.459016,6.557377,0.000000,3.141164
0.020000,17.973439,14.490683,0.026885,0.590164,6.557377,-0.000000,3.142308
0.020000,17.960330,14.490664,0.040000,0.721311,6.557377,0.000000,3.143742
0.020000,17.944588,14.490617,0.055738,0.852459,6.557377,-0.000000,3.145472
0.020000,17.926227,14.490527,0.074098,0.983607,6.557377,0.000000,3.147501
0.020000,17.905244,14.490379,0.095082,1.114754,6.557377,-0.000000,3.149834
0.020000,17.881641,14.490153,0.118689,1.245902,6.557377,0.000000,3.152478
0.020000,17.855413,14.489829,0.144918,1.377049,6.557377,-0.000000,3.155440
0.020000,17.826561,14.489382,0.173770,1.508197,6.557377,0.000000,3.158728
0.020000,17.795094,14.488786,0.205246,1.639344,6.557377,0.000000,3.162349
0.020000,17.761007,14.488011,0.239344,1.770492,6.557377,-0.000000,3.166314
0.020000,17.724296,14.487024,0.276066,1.901639,6.557377,0.000000,3.170635
0.020000,17.684972,14.485789,0.315410,2.032787,6.557377,0.000000,3.175321
0.020000,17.643035,14.484268,0.357377,2.163934,6.557377,0.000000,3.180387
0.020000,17.598479,14.482417,0.401967,2.295082,6.557377,-0.000000,3.185847
0.020000,17.551319,14.480191,0.449180,2.426230,6.557377,0.000000,3.191715
0.020000,17.501553,14.477537,0.499016,2.557377,6.557377,0.000000,3.198010
0.020000,17.449191,14.474404,0.551475,2.688525,6.557377,-0.000000,3.204748
0.020000,17.394234,14.470730,0.606557,2.819672,6.557377,0.000000,3.211950
0.020000,17.336686,14.466453,0.664262,2.950820,6.557377,0.000000,3.219638
0.020000,17.276559,14.461503,0.724590,3.081967,6.557377,-0.000000,3.227834
0.020000,17.213868,14.455809,0.787541,3.213115,6.557377,0.000000,3.236561
0.020000,17.148618,14.449288,0.853115,3.344262,6.557377,0.000000,3.245849
0.020000,17.080829,14.441858,0.921311,3.475410,6.557377,-0.000000,3.255724
0.020000,17.010514,14.433425,0.992131,3.606557,6.557377,0.000000,3.266217
0.020000,16.937692,14.423892,1.065574,3.737705,6.557377,0.000000,3.277360
0.020000,16.862389,14.413153,1.141639,3.868852,6.557377,-0.000000,3.289189
0.020000,16.784631,14.401095,1.220328,4.000000,6.557377,0.000000,3.301739
0.020000,16.704452,14.387598,1.301639,4.131148,6.557377,0.000000,3.315048
0.020000,16.621882,14.372532,1.385574,4.262295,6.557377,0.000000,3.329158
0.020000,16.536963,14.355759,1.472131,4.393443,6.557377,0.000000,3.344112
0.020000,16.449749,14.337133,1.561311,4.524590,6.557377,-0.000000,3.359951
0.020000,16.360297,14.316499,1.653115,4.655738,6.557377,0.000000,3.376722
0.020000,16.268669,14.293692,1.747541,4.786885,6.557377,0.000000,3.394468
