dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.981957,15.405684,0.000656,0.065574,3.278689,163.934426,3.139453
0.020000,17.981697,15.405684,0.000916,0.013026,-2.627383,-295.303597,3.139738
0.020000,17.981175,15.405685,0.001438,0.026071,0.652266,163.982469,3.140308
0.020000,17.980392,15.405686,0.002221,0.039155,0.654189,0.096150,3.141164
0.020000,17.972785,15.405683,0.009828,0.380369,17.060681,820.324578,3.142308
0.020000,17.958363,15.405662,0.024250,0.721080,17.035583,-1.254852,3.143742
0.020000,17.941038,15.405610,0.041575,0.866252,7.258584,-488.849994,3.145472
0.020000,17.920820,15.405511,0.061793,1.010908,7.232817,-1.288326,3.147501
0.020000,17.897703,15.405348,0.084911,1.155915,7.250320,0.875171,3.149834
0.020000,17.871681,15.405099,0.110934,1.301149,7.261706,0.569299,3.152478
0.020000,17.842743,15.404741,0.139875,1.447029,7.294015,1.615446,3.155440
0.020000,17.810883,15.404248,0.171738,1.593143,7.305659,0.582167,3.158728
0.020000,17.776103,15.403589,0.206525,1.739347,7.310232,0.228665,3.162349
0.020000,17.738389,15.402731,0.244248,1.886175,7.341380,1.557413,3.166314
0.020000,17.697727,15.401638,0.284925,2.033849,7.383710,2.116507,3.170635
0.020000,17.654116,15.400269,0.328557,2.181608,7.387958,0.212376,3.175321
0.020000,17.607548,15.398580,0.375156,2.329948,7.417017,1.452973,3.180387
0.020000,17.558000,15.396521,0.424747,2.479515,7.478302,3.064211,3.185847
0.020000,17.505476,15.394041,0.477329,2.629144,7.481497,0.159767,3.191715
0.020000,17.449959,15.391082,0.532925,2.779800,7.532778,2.564063,3.198010
0.020000,17.391442,15.387579,0.591546,2.931043,7.562147,1.468460,3.204748
0.020000,17.329910,15.383466,0.653216,3.083505,7.623100,3.047634,3.211950
0.020000,17.265347,15.378668,0.717957,3.237039,7.676689,2.679423,3.219638
0.020000,17.197746,15.373103,0.785787,3.391495,7.722826,2.306859,3.227834
0.020000,17.127102,15.366686,0.856722,3.546725,7.761483,1.932865,3.236561
0.020000,17.053396,15.359320,0.930795,3.703675,7.847491,4.300395,3.245849
0.020000,16.976626,15.350905,1.008025,3.861480,7.890271,2.139021,3.255724
0.020000,16.896778,15.341329,1.088444,4.020989,7.975420,4.257427,3.266217
0.020000,16.813846,15.330472,1.172085,4.182018,8.051487,3.803332,3.277360
0.020000,16.727828,15.318204,1.258973,4.344385,8.118346,3.342966,3.289189
