dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.920233,13.477280,0.000656,0.065574,3.278689,163.934426,3.143578
0.020000,17.919918,13.477280,0.000971,0.015760,-2.490692,-288.469008,3.143233
0.020000,17.919287,13.477279,0.001602,0.031539,0.788961,163.982650,3.142544
0.020000,17.917701,13.477278,0.003187,0.079273,2.386675,79.885694,3.141509
0.020000,17.905941,13.477288,0.014948,0.588018,25.437250,1152.528745,3.140125
0.020000,17.891238,13.477322,0.029650,0.735136,7.355914,-904.066808,3.138390
0.020000,17.873588,13.477397,0.047300,0.882507,7.368556,0.632111,3.136300
0.020000,17.852987,13.477531,0.067902,1.030089,7.379089,0.526636,3.133850
0.020000,17.829431,13.477747,0.091460,1.177872,7.389165,0.503829,3.131035
0.020000,17.802906,13.478069,0.117986,1.326321,7.422454,1.664417,3.127847
0.020000,17.773418,13.478527,0.147478,1.474602,7.414025,-0.421442,3.124280
0.020000,17.740955,13.479153,0.179947,1.623426,7.441231,1.360304,3.120327
0.020000,17.705509,13.479984,0.215402,1.772779,7.467638,1.320333,3.115977
0.020000,17.667074,13.481060,0.253853,1.922539,7.488016,1.018901,3.111222
0.020000,17.625644,13.482426,0.295305,2.072587,7.502383,0.718386,3.106051
0.020000,17.581208,13.484130,0.339773,2.223439,7.542614,2.011542,3.100451
0.020000,17.533763,13.486227,0.387265,2.374593,7.557656,0.752099,3.094412
0.020000,17.483295,13.488773,0.437797,2.526575,7.599149,2.074621,3.087918
0.020000,17.429798,13.491834,0.491382,2.679254,7.633912,1.738172,3.080955
0.020000,17.373265,13.495477,0.548032,2.832493,7.661958,1.402301,3.073509
0.020000,17.313691,13.499777,0.607761,2.986447,7.697708,1.787480,3.065562
0.020000,17.251068,13.504813,0.670586,3.141279,7.741617,2.195454,3.057097
0.020000,17.185388,13.510674,0.736527,3.297054,7.788753,2.356832,3.048096
0.020000,17.116649,13.517450,0.805599,3.453572,7.825854,1.855035,3.038540
0.020000,17.044847,13.525243,0.877823,3.611194,7.881145,2.764543,3.028407
0.020000,16.969989,13.534158,0.953210,3.769355,7.908018,1.343627,3.017679
0.020000,16.892069,13.544311,1.031788,3.928916,7.978076,3.502946,3.006333
0.020000,16.811098,13.555824,1.113574,4.089272,8.017763,1.984342,2.994347
0.020000,16.727082,13.568827,1.198590,4.250834,8.078100,3.016842,2.981699
0.020000,16.640040,13.583459,1.286854,4.413164,8.116536,1.921795,2.968367
0.020000,16.549989,13.599866,1.378387,4.576681,8.175839,2.965125,2.954329
0.020000,16.456958,13.618205,1.473208,4.741066,8.219262,2.171185,2.939563
0.020000,16.360981,13.638638,1.571336,4.906370,8.265163,2.295043,2.924049
0.020000,16.262098,13.661339,1.672791,5.072764,8.319714,2.727525,2.907767
0.020000,16.160367,13.686487,1.777585,5.239671,8.345357,1.282156,2.890701
0.020000,16.055848,13.714269,1.885733,5.407409,8.386913,2.077790,2.872837
0.020000,15.948620,13.744879,1.997244,5.575575,8.408280,1.068375,2.854163
0.020000,15.838775,13.778516,2.112124,5.744011,8.421812,0.676612,2.834672
0.020000,15.726418,13.815383,2.230375,5.912547,8.426803,0.249530,2.814365
0.020000,15.611671,13.855686,2.351994,6.080937,8.419482,-0.366049,2.793244
0.020000,15.494678,13.899628,2.476967,6.248645,8.385397,-1.704237,2.771323
0.020000,15.375595,13.947413,2.605280,6.415629,8.349194,-1.810171,2.748619
0.020000,15.254604,13.999237,2.736903,6.581168,8.276976,-3.610899,2.725162
0.020000,15.131901,14.055290,2.871803,6.744993,8.191229,-4.287325,2.700991
0.020000,15.007701,14.115748,3.009937,6.906684,8.084557,-5.333601,2.676152
0.020000,14.882238,14.180773,3.151248,7.065589,7.945234,-6.966166,2.650707
0.020000,14.755763,14.250505,3.295674,7.221274,7.784279,-8.047761,2.624723
0.020000,14.628533,14.325068,3.443142,7.373403,7.606451,-8.891382,2.598283
0.020000,14.500824,14.404555,3.593567,7.521256,7.392620,-10.691556,2.571476
0.020000,14.372911,14.489033,3.746859,7.664603,7.167352,-11.263387,2.544403
0.020000,14.245071,14.578542,3.902919,7.803018,6.920771,-12.329075,2.517170
0.020000,14.117578,14.673091,4.061646,7.936335,6.665862,-12.745446,2.489890
0.020000,13.990696,14.772658,4.222930,8.064213,6.393871,-13.599528,2.462681
0.020000,13.864675,14.877192,4.386663,8.186657,6.122196,-13.583772,2.435663
0.020000,13.739749,14.986617,4.552737,8.303679,5.851108,-13.554385,2.408953
0.020000,13.616125,15.100829,4.721044,8.415356,5.583887,-13.361065,2.382669
0.020000,13.493988,15.219706,4.891482,8.521916,5.327954,-12.796655,2.356923
0.020000,13.373492,15.343106,5.063955,8.623614,5.084945,-12.150423,2.331821
0.020000,13.254762,15.470872,5.238371,8.720802,4.859379,-11.278336,2.307461
0.020000,13.137892,15.602838,5.414648,8.813870,4.653415,-10.298191,2.283933
0.020000,13.022944,15.738830,5.592712,8.903213,4.467114,-9.315032,2.261320
0.020000,12.910406,15.878094,5.771763,8.952530,2.465849,-100.063246,2.239780
0.020000,12.801119,16.019273,5.950300,8.926829,-1.285037,-187.544307,2.219518
0.020000,12.695358,16.161569,6.127594,8.864730,-3.104943,-90.995296,2.200613
0.020000,12.592921,16.304773,6.303664,8.803505,-3.061232,2.185525,2.183048
0.020000,12.493603,16.448698,6.478532,8.743375,-3.006496,2.736812,2.166797
0.020000,12.397197,16.593177,6.652222,8.684490,-2.944266,3.111483,2.151834
