dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.918416,14.392278,0.000656,0.065574,3.278689,163.934426,3.143578
0.020000,17.918416,14.392278,0.003279,0.196721,6.557377,163.934426,3.143233
0.020000,17.918416,14.392278,0.008525,0.327869,6.557377,0.000000,3.142544
0.020000,17.917778,14.392278,0.016393,0.459016,6.557377,0.000000,3.141509
0.020000,17.907284,14.392287,0.026885,0.590164,6.557377,-0.000000,3.140125
0.020000,17.894168,14.392317,0.040000,0.721311,6.557377,0.000000,3.138390
0.020000,17.878431,14.392384,0.055738,0.852459,6.557377,-0.000000,3.136300
0.020000,17.860071,14.392504,0.074098,0.983607,6.557377,0.000000,3.133850
0.020000,17.839091,14.392696,0.095082,1.114754,6.557377,-0.000000,3.131035
0.020000,17.815483,14.392983,0.118689,1.245902,6.557377,0.000000,3.127847
0.020000,17.789258,14.393390,0.144918,1.377049,6.557377,-0.000000,3.124280
0.020000,17.760412,14.393946,0.173770,1.508197,6.557377,0.000000,3.120327
0.020000,17.728945,14.394684,0.205246,1.639344,6.557377,0.000000,3.115977
0.020000,17.694858,14.395638,0.239344,1.770492,6.557377,-0.000000,3.111222
0.020000,17.658158,14.396848,0.276066,1.901639,6.557377,0.000000,3.106051
0.020000,17.618842,14.398356,0.315410,2.032787,6.557377,0.000000,3.100451
0.020000,17.576917,14.400208,0.357377,2.163934,6.557377,0.000000,3.094412
0.020000,17.532384,14.402456,0.401967,2.295082,6.557377,-0.000000,3.087918
0.020000,17.485247,14.405152,0.449180,2.426230,6.557377,0.000000,3.080955
0.020000,17.435514,14.408357,0.499016,2.557377,6.557377,0.000000,3.073509
0.020000,17.383192,14.412133,0.551475,2.688525,6.557377,-0.000000,3.065562
0.020000,17.328289,14.416549,0.606557,2.819672,6.557377,0.000000,3.057097
0.020000,17.270812,14.421677,0.664262,2.950820,6.557377,0.000000,3.048096
0.020000,17.210776,14.427596,0.724590,3.081967,6.557377,-0.000000,3.038540
0.020000,17.148191,14.434388,0.787541,3.213115,6.557377,0.000000,3.028407
0.020000,17.083080,14.442142,0.853115,3.344262,6.557377,0.000000,3.017679
0.020000,17.015455,14.450954,0.921311,3.475410,6.557377,-0.000000,3.006333
0.020000,16.945341,14.460922,0.992131,3.606557,6.557377,0.000000,2.994347
0.020000,16.872762,14.472156,1.065574,3.737705,6.557377,0.000000,2.981699
0.020000,16.797750,14.484765,1.141639,3.868852,6.557377,-0.000000,2.968367
0.020000,16.720335,14.498870,1.220328,4.000000,6.557377,0.000000,2.954329
0.020000,16.640560,14.514595,1.301639,4.131148,6.557377,0.000000,2.939563
0.020000,16.558468,14.532072,1.385574,4.262295,6.557377,0.000000,2.924049
