dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.916600,15.307277,0.000656,0.065574,3.278689,163.934426,3.143578
0.020000,17.916915,15.307277,0.000971,0.015760,-2.490692,-288.469008,3.143233
0.020000,17.917546,15.307278,0.001602,0.031539,0.788961,163.982650,3.142544
0.020000,17.917855,15.307278,0.001911,0.015449,-0.804513,-79.673710,3.141509
0.020000,17.908627,15.307286,0.011139,0.461426,22.298867,1155.168969,3.140125
0.020000,17.897099,15.307313,0.022667,0.576402,5.748778,-827.504430,3.138390
0.020000,17.883273,15.307371,0.036492,0.691260,5.742925,-0.292623,3.136300
0.020000,17.867156,15.307476,0.052611,0.805904,5.732163,-0.538144,3.133850
0.020000,17.848751,15.307645,0.071016,0.920258,5.717744,-0.720915,3.131035
0.020000,17.828060,15.307896,0.091708,1.034620,5.718073,0.016432,3.127847
0.020000,17.805098,15.308253,0.114673,1.148268,5.682419,-1.782704,3.124280
0.020000,17.779869,15.308739,0.139907,1.261690,5.671085,-0.566688,3.120327
0.020000,17.752380,15.309384,0.167403,1.374800,5.655517,-0.778407,3.115977
0.020000,17.722643,15.310216,0.197152,1.487433,5.631610,-1.195330,3.111222
0.020000,17.690672,15.311270,0.229140,1.599420,5.599377,-1.611656,3.106051
0.020000,17.656476,15.312582,0.263362,1.711087,5.583331,-0.802290,3.100451
0.020000,17.620072,15.314190,0.299801,1.821967,5.544032,-1.964980,3.094412
0.020000,17.581473,15.316138,0.338449,1.932391,5.521179,-1.142666,3.087918
0.020000,17.540696,15.318471,0.379293,2.042175,5.489184,-1.599706,3.080955
0.020000,17.497763,15.321237,0.422315,2.151138,5.448154,-2.051522,3.073509
0.020000,17.452693,15.324490,0.467502,2.259320,5.409123,-1.951572,3.065562
0.020000,17.405510,15.328285,0.514837,2.366768,5.372412,-1.835519,3.057097
0.020000,17.356237,15.332681,0.564306,2.473455,5.334339,-1.903662,3.048096
0.020000,17.304903,15.337741,0.615890,2.579158,5.285161,-2.458890,3.038540
0.020000,17.251534,15.343533,0.669571,2.684084,5.246260,-1.945043,3.028407
0.020000,17.196171,15.350126,0.725326,2.787749,5.183292,-3.148393,3.017679
0.020000,17.138840,15.357596,0.783141,2.890746,5.149823,-1.673487,3.006333
0.020000,17.079585,15.366021,0.842993,2.992585,5.091937,-2.894276,2.994347
0.020000,17.018442,15.375484,0.904864,3.093545,5.048023,-2.195703,2.981699
0.020000,16.955459,15.386071,0.968730,3.193303,4.987890,-3.006633,2.968367
0.020000,16.890682,15.397873,1.034573,3.292179,4.943805,-2.204265,2.954329
0.020000,16.824162,15.410985,1.102373,3.389989,4.890482,-2.666171,2.939563
0.020000,16.755954,15.425506,1.172110,3.486846,4.842867,-2.380737,2.924049
0.020000,16.686111,15.441540,1.243770,3.582988,4.807119,-1.787405,2.907767
0.020000,16.614697,15.459192,1.317333,3.678167,4.758912,-2.410338,2.890701
0.020000,16.541773,15.478576,1.392789,3.772816,4.732479,-1.321648,2.872837
0.020000,16.467405,15.499805,1.470128,3.866921,4.705238,-1.362057,2.854163
0.020000,16.391662,15.522998,1.549342,3.960703,4.689082,-0.807822,2.834672
0.020000,16.314615,15.548278,1.630431,4.054440,4.686885,-0.109832,2.814365
0.020000,16.236334,15.575772,1.713399,4.148432,4.699611,0.636322,2.793244
0.020000,16.156895,15.605608,1.798256,4.242855,4.721129,1.075870,2.771323
0.020000,16.076370,15.637920,1.885022,4.338292,4.771861,2.536603,2.748619
0.020000,15.994836,15.672843,1.973721,4.434937,4.832227,3.018324,2.725162
0.020000,15.912366,15.710516,2.064388,4.533347,4.920515,4.414397,2.700991
0.020000,15.829034,15.751080,2.157069,4.634029,5.034085,5.678473,2.676152
0.020000,15.744914,15.794678,2.251816,4.737361,5.166620,6.626779,2.650707
0.020000,15.660077,15.841453,2.348693,4.843881,5.325974,7.967671,2.624723
0.020000,15.574592,15.891552,2.447777,4.954171,5.514506,9.426611,2.598283
0.020000,15.488530,15.945118,2.549147,5.068513,5.717121,10.130774,2.571476
0.020000,15.401959,16.002295,2.652896,5.187445,5.946577,11.472805,2.544403
0.020000,15.314943,16.063222,2.759121,5.311266,6.191060,12.224118,2.517170
0.020000,15.227548,16.128037,2.867928,5.440324,6.452915,13.092743,2.489890
0.020000,15.139837,16.196868,2.979422,5.574697,6.718650,13.286784,2.462681
0.020000,15.051873,16.269838,3.093712,5.714537,6.991962,13.665567,2.435663
0.020000,14.963715,16.347060,3.210909,5.859830,7.264651,13.634446,2.408953
0.020000,14.875423,16.428636,3.331118,6.010444,7.530708,13.302867,2.382669
0.020000,14.787050,16.514654,3.454442,6.166198,7.787713,12.850253,2.356923
0.020000,14.698650,16.605190,3.580978,6.326802,8.030191,12.123904,2.331821
0.020000,14.610268,16.700304,3.710816,6.491923,8.256051,11.293016,2.307461
0.020000,14.521945,16.800042,3.844040,6.661184,8.463053,10.350058,2.283933
0.020000,14.433713,16.904433,3.980723,6.834163,8.648960,9.295389,2.261320
0.020000,14.345955,17.013039,4.120355,6.981580,7.370831,-63.906444,2.239780
0.020000,14.259367,17.124901,4.261813,7.072891,4.565550,-140.264054,2.219518
0.020000,14.174245,17.239433,4.404513,7.135023,3.106590,-72.948004,2.200613
0.020000,14.090513,17.356495,4.548439,7.196280,3.062881,-2.185461,2.183048
0.020000,14.008088,17.475945,4.693568,7.256445,3.008260,-2.731066,2.166797
0.020000,13.926882,17.597648,4.839875,7.315370,2.946228,-3.101610,2.151834
0.020000,13.846803,17.721469,4.987334,7.372963,2.879647,-3.329026,2.138129
0.020000,13.767754,17.847279,5.135917,7.429158,2.809747,-3.495003,2.125653
0.020000,13.689631,17.974955,5.285598,7.484023,2.743284,-3.323153,2.114376
0.020000,13.612329,18.104377,5.436349,7.537560,2.676805,-3.323965,2.104268
